#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
INTERACTION_CANT_DOW_BLOOD_BROTHER;²»ÄÜÊÇ½á°İĞÖµÜ;Ne doit pas être un frère de sang;Darf kein Blutsbruder sein;;No debe ser un hermano de sangre;;;;;;;;;x
EVTNAMEHL6;[From.Clan.GetName]ÊÀ³ğ;La querelle avec le clan [From.Clan.GetName];Die [From.Clan.GetName]-Fehde;;La enemistad de [From.Clan.GetName];;;;;;;;;x
EVTDESCHL6;[From.GetBestName]ºÍËûµÄÃñÖÚÔÚÎÒÃÇµÄÍÁµØÉÏ´òÁÔ£¬ÍµÇÔÎÒÃÇµÄÑòÖ»²¢°ó¼ÜÎÒÃÇµÄÅ®ÈË¡£¼´Ê¹ËûºÜÇå³şÓëÎÒÃÇµÄ²¿×å¼äµÄÁìÍÁ»®·Ö£¡±°±É£¬ÕæµÄ±°±É£¬Èç¹ûÓĞ»ú»á£¬ËûÃÇÒ»¶¨»á±³ÅÑÎÒÃÇ¡£;[From.GetBestName] et les siens ont chass?sur nos terres, vol?nos moutons et ont enlev?nos femmes. Ils ont perpétr?ces actes en étant pleinement conscients des frontières qui existent entre nos deux clans? Ce sont des vermines détestables, et ils nous trahiraient sans hésiter ?la moindre occasion.;[From.GetBestName] und seine Helfershelfer haben Vieh und Wild von unserem Land gestohlen und unsere Frauen entführt. Dies geschah, obwohl der Grenzverlauf zwischen unseren Klans ihnen wohlbekannt ist! Sie sind wahrhaft verabscheuungswürdig und würden keinen Moment zögern, uns zu verraten, wenn sich ihnen die Gelegenheit dazu böte.;;[From.GetBestName] y su pueblo han cazado en nuestras tierras, robado nuestras ovejas y secuestrado nuestras mujeres. ¡Eso a pesar de saber muy bien los límites entre nuestros clanes! Son realmente despreciables y nos traicionarían al instante si les diéramos la oportunidad.;;;;;;;;;x
EVTOPTAHL6;µ±ĞÄ[From.Clan.GetName]¡£ËûÃÇºÁÎŞÈÙÓş¡£;Prenez garde au clan [From.Clan.GetName]. Ils sont dénués de tout honneur.;Misstraut den [From.Clan.GetName]. Sie kennen keine Ehre.;;Cuidado con los [From.Clan.GetName]. No tienen honor.;;;;;;;;;x
SHOW_OPINION;§Y²é¿´²¿×åÁ¢³¡§!;§YInspecter la réputation des clans?;§YInformationen zum Klan?;;§YInspeccionar posiciones del clan?;;;;;;;;;x
TOTAL_POPULATION;×ÜÈË¿Ú:;Population totale?;Gesamtbevölkerung:;;Población total: ;;;;;;;;;x
FEUD;ÊÀ³ğ;Querelle;Fehde;;Enemistad;;;;;;;;;x
FEUD_BLOOD_BROTHER;ĞÖµÜãÒÇ½;Querelle avec des frères de sang;Fehde mit Blutsbrüdern;;Enemistad con hermanos de sangre;;;;;;;;;x
CLAN_LEADER_HAS_NO_JOB;²»ÊÇÒ»ÃûÊàÃÜÔº³ÉÔ±;N'occupe aucun poste au conseil;Hat keine Position im Rat;;No tiene posición del consejo;;;;;;;;;x
PRESTIGE;ÉùÍû;Prestige;Prestige;;Prestigio;;;;;;;;;x
FEUD_CLAN_LEADER_HAS_JOB;ÊÇÒ»ÃûÊàÃÜÔº³ÉÔ±; occupe un poste au conseil; hat Position im Rat;;Tiene la posición del consejo;;;;;;;;;x
EVTNAMEHL10;ĞÖµÜÖ®ËÀ;La mort d'un frère;Tod eines Bruders;;Muerte de un hermano;;;;;;;;;x
EVTDESCHL10;Ëæ×Å[From.GetBestName]ËÀÈ¥£¬ÎÒÃÇºÍËû¼ÒÈËµÄÑªÊÄ£¬ÒÔ¼°ÎÒÃÇ¶ÔÓÚËûÃñÖÚµÄÒåÎñ£¬Ò²Ëæ×ÅËûµÄÉúÃüÒ»Í¬ÏûÊ§¡£;Avec la mort de [From.GetBestName], le pacte du sang qui liait notre famille ?la sienne cesse d'exister, tout comme notre obligation envers les siens.;Der Tod von [From.GetBestName] bedeutet das Ende unseres Blutschwurs mit seiner Familie und unsere Verpflichtungen gegenüber seinem Volk sind damit aufgehoben.;;Con la muerte de [From.GetBestName], nuestro juramento de sangre con su familia y nuestra obligación hacia su pueblo desaparece junto con su vida.;;;;;;;;;x
EVTOPTAHL10;¶Ô[Root.Clan.GetName]±¯ÉËµÄÒ»Ìì¡­¡­;Un triste jour pour le clan [Root.Clan.GetName]...;Ein Tag der Trauer für die [Root.Clan.GetName]...;;Un día triste para los [Root.Clan.GetName]...;;;;;;;;;x
EVTDESC_HL_10700;[From.GetFirstName]»¨ÁËËûĞÁ¿à×¬À´µÄÇ®£¬È¥ÎüÒıÕĞÄ¼¸ü¶àµÄÊ¿±ø½øÈëËûµÄÓ¶±øÍÅ¡£;[From.GetFirstName] a dépens?sa fortune durement gagnée ?attirer et ?recruter davantage de soldats pour sa bande de mercenaires.;[From.GetFirstName] hat seinen sauer verdienten Reichtum für das Anwerben und Rekrutieren neuer Soldaten für seinen Söldnertrupp ausgegeben.;;[From.GetFirstName] ha gastado la riqueza que tanto le cost?ganar atrayendo y reclutando más soldados para su banda de mercenarios.;;;;;;;;;x
EVTOPTA_HL_10700;ÎÒÏ£ÍûÊÇ¸öÁ¼ºÃµÄÍ¶×Ê¡£;Un investissement judicieux, je l'espère.;Hoffentlich eine gute Investition!;;Una buena inversión, espero.;;;;;;;;;x
EVTDESC_HL_10701;[From.GetFirstName]½«ËûĞÁ¿à×¬À´µÄÇ®»¨ÔÚÓë²¿ÏÂ¿ñ»¶£¬ÀË·ÑÔÚÁÒ¾ÆÓëÅ®ÈËÉíÉÏ;[From.GetFirstName] a dépens?sa fortune durement gagnée ?faire ribote avec ses hommes, gâchant son or en alcool et en femmes;[From.GetFirstName] hat seinen sauer verdienten Reichtum bei Gelagen verprasst und alles für Schnaps und Weiber ausgegeben.;;[From.GetFirstName] ha gastado la riqueza que tanto le cost?ganar yendo de parranda, gastándola en bebidas y mujeres,;;;;;;;;;x
EVTOPTA_HL_10701;Ò»¸öÁ¼ºÃµÄ¼Ò×å´«Í³¡£;Une bonne tradition familiale.;Das ist eine ehrenwerte Familientradition.;;Una buena tradición familiar.;;;;;;;;;x
alert_inefficent_land_management_instant;§YÎŞĞ§µÄÍÁµØ¹ÜÀí§!;§YGestion des terres inefficaces?;§YIneffiziente Landverwaltung?;;§YIneficaz gestión de la tierra?;;;;;;;;;x
alert_inefficent_land_management_delayed;ÄãµÄ¸öÈËÖ±Ï½ÁìµØÀïÓĞÌ«¶àµØ²ú¡£×÷ÎªÓÎÄÁ£¬ÏëÒª±ÜÃâ³Í·£ÄãÖ»ÄÜÓĞÒ»¸öµØ²ú¡£È»¶ø£¬Äã¿ÉÄÜÏë×Ô¼ºÁôÏÂÕâĞ©ÍÁµØ·½±ãÄãÂÓ¶á¡­¡­$LIST$;Vous avez trop de propriétés dans votre domaine personnel. En tant que nomade, vous ne pouvez posséder qu'une seule propriét?sans souffrir de pénalités. Cependant, il pourrait être avantageux de garder ces terres pour vous-même, de sorte que vous puissiez les piller...$LIST$;Ihr habt zu viele Liegenschaften in Eurer Domäne. Als Nomade könnt Ihr nur eine Liegenschaft haben. Anderenfalls erhaltet Ihr Abzüge. Trotzdem wollt Ihr das Land vielleicht für Euch behalten, damit Ihr es plündern könnt...$LIST$;;Tienes demasiadas posesiones en tu dominio personal. Como nómada, solo puedes tener una posesión sin penalizaciones. Sin embargo es posible que desees mantener la tierra para poder saquearla...$LIST$;;;;;;;;;x
plot_gain_title_short;ÃÜÄ±»ñµÃ;Comploter pour acquérir;Verschwörung zur Übernahme;;Complot para adquirir;;;;;;;;;x
plot_gain_vassal_title_short;ÃÜÄ±ÊÕ»Ø;Comploter pour révoquer;Verschwörung zur Aberkennung;;Complot para revocar;;;;;;;;;x
plot_kill_character_short;ÃÜÄ±É±ËÀ;Comploter pour tuer;Verschwörung zur Ermordung;;Complot para matar;;;;;;;;;x
plot_kill_spouse_short;ÃÜÄ±É±ËÀ;Comploter pour tuer;Verschwörung zur Ermordung;;Complot para matar;;;;;;;;;x
plot_gain_liege_title_short;ÃÜÄ±Ğû³Æ;Comploter pour revendiquer;Verschwörung für Besitzanspruch;;Complot para reclamar;;;;;;;;;x
plot_gain_fellow_vassal_title_short;ÃÜÄ±Ğû³Æ;Comploter pour revendiquer;Verschwörung für Besitzanspruch;;Complot para reclamar;;;;;;;;;x
MAKE_PRIMARY;ÉèÎªÖ÷Í·ÏÎ;Désigner principal;Haupttitel;;Hacer principal;;;;;;;;;x
WAR_INVALID_LIEGE_JOINS_ENEMY;\n£¨$LIEGE$²Î¼Ó$OTHER$µÄÕ½Õù£©;\n($LIEGE$ a rejoint la guerre de $OTHER$;\n($LIEGE$ tritt in den Krieg von $OTHER$ ein.);;\n($LIEGE$ se une a a la guerra de $OTHER$);;;;;;;;;x
WAR_INVALID_ELECTED_REL_HEAD;\n£¨$CHAR$µ±Ñ¡$TITLE$£©;\n($CHAR$ a ét?élu(e) $TITLE$);\n($CHAR$ wurde zum $TITLE$ gewählt.);;\n($CHAR$ fue elegido $TITLE$);;;;;;;;;x
INTERACTION_HAS_TITLES_TO_REVOKE;ÓĞ¿ÉÊÕ»ØÍ·ÏÎ;Possède des titres qui peuvent être révoqués;Hat Titel, die aberkannt werden können;;Tiene títulos que pueden ser revocados;;;;;;;;;x
REL_UNCLE_HUSBAND;ÕÉ·ò;Mari;Gatte;;Esposo;;;;;;;;;x
REL_NEPHEW_HUSBAND;ÕÉ·ò;Mari;Gatte;;Esposo;;;;;;;;;x
REL_COUSIN_HUSBAND;ÕÉ·ò;Mari;Gatte;;Esposo;;;;;;;;;x
REL_COUSIN_WIFE;ÆŞ×Ó;Femme;Gattin;;Esposa;;;;;;;;;x
REL_AUNT_WIFE;ÆŞ×Ó;Femme;Gattin;;Esposa;;;;;;;;;x
REL_NIECE_WIFE;ÆŞ×Ó;Femme;Gattin;;Esposa;;;;;;;;;x
MINOR_CLAN_REVOLT;[Root.County.GetAdjective]Ğ¡ĞÍ²¿×å·´ÅÑ;Soulèvement de clan mineur [Root.County.GetAdjective];[Root.County.GetAdjective] Kleinerer Klan erhebt sich;;[Root.County.GetAdjective] Rebelión del clan menor;;;;;;;;;x
succ_nomadic_desc;ÔÚ²İÔ­µÄÈËÃñÖĞ£¬ÉùÍû¼´¿É¾ö¶¨¼Ì³ĞµÄË³Ğò¡£ºÏ·¨µÄ×ÓÅ®ºÍµ±Ç°Í³ÖÎÕßµÄĞÖµÜ½ãÃÃ¶¼ÓµÓĞ×Ê¸ñ¡£µ«ÊÇ£¬²»Í¬ÓÚÆäËû¼Ì³ĞĞÎÊ½£¬Ö»ÓĞÕıÈ·ÎÄ»¯µÄ³ÉÄêÈËÄÜ¹»¼Ì³Ğ¡£;Au sein du peuple steppique, le prestige ?lui seul détermine la lignée de succession. Les enfants légitimes et les frères et sœurs du souverain actuel sont éligibles, mais contrairement aux autres formes de succession, seuls les adultes issus de la bonne culture sont en droit d'hériter.;Prestige bestimmt bei den Steppenvölkern über die Erbfolge. Legitime Kinder und Verwandte des aktuellen Herrschers kommen als Nachfolger in Frage, aber im Unterschied zu anderen Formen der Erbfolge können nur Erwachsene mit der richtigen Kultur das Erbe antreten.;;Entre los pueblos de la estepa, solo el prestigio solo determina la línea de sucesión. Hijos legítimos y hermanos del actual gobernante son elegibles, pero a diferencia de otras formas de la sucesión, sólo los adultos de la cultura correcta pueden heredar.;;;;;;;;;x
STAT_CULTURE_PROV_DESC;ÕâÊÇ´ËÊ¡·İµÄÖ÷Á÷ÎÄ»¯¡£;Cette culture est majoritaire dans ce comt?;Dies ist die Kultur der Mehrheit in dieser Grafschaft.;;Esta es la cultura mayoritaria de este condado.;;;;;;;;;x
STAT_RELIGION_PROV_DESC;ÕâÊÇ´ËÊ¡·İµÄÖ÷Á÷×Ú½Ì¡£;Cette religion est majoritaire dans ce comt?;Dies ist die Religion der Mehrheit in dieser Grafschaft.;;Esta es la religión mayoritaria en este condado.;;;;;;;;;x
TITLE_CANNOT_CREATE_MERCENARY_TITLE;Äã²»ÄÜÖ±½Ó´´½¨Ó¶±øÍ·ÏÎ;Vous ne pouvez jamais directement créer un titre de mercenaire;Ihr könnt prinzipiell keine Söldnertitel erschaffen.;;No se puede crear directamente un título mercenario;;;;;;;;;x
TITLE_CANNOT_CREATE_HOLY_ORDER_TITLE;Äã²»ÄÜÖ±½Ó´´½¨×Ú½ÌÆïÊ¿ÍÅÍ·ÏÎ;Vous ne pouvez jamais directement créer un titre de mercenaire de l'Ordre sacr?Ihr könnt prinzipiell keine Titel von Kriegerorden erschaffen.;;No se puede crear directamente un título de una orden sagrada;;;;;;;;;x
NO_VALID_AMBITIONS;§RÎŞÓĞĞ§µÄÒ°ĞÄ¿É¹©Ñ¡Ôñ£¡§!;§RIl n'y a aucune ambition valide ?choisir??;§REs kann keine gültige Zielsetzung ausgewählt werden!?;;§R¡No hay tienes ninguna Ambición válida que escoger!?;;;;;;;;;x
NO_VALID_FOCUSES;§RÎŞÓĞĞ§µÄÖØĞÄ¿É¹©Ñ¡Ôñ£¡§!;§RIl n'y a aucun intérêt valide ?choisir??;§REs kann kein gültiger Fokus ausgewählt werden!?;;§R¡No hay ningún Enfoque válido que escoger!?;;;;;;;;;x
AIREASON_WILL_NOT_MARRY_INFIDELS;§Y[GetTitledFirstName]§!²»»á¿¼ÂÇÒì½ÌÍ½µÄÇëÇó;§Y[GetTitledFirstName]? ne prendra pas en considération les offres issues d'infidèles;§Y[GetTitledFirstName]? zieht von Ungläubigen keine Angebote in Betracht;;§Y[GetTitledFirstName]? no tendr?en cuenta ofertas de infieles.;;;;;;;;;x
AN_UNKNOWN_LOCATION;Ò»´¦²»Ã÷µØµã;un endroit inconnu;ein unbekannter Ort;;un lugar desconocido;;;;;;;;;x
cb_liberate_nomad_duchy_desc;§Y$CLAIMANT$§!ÄÜ¹»Ê¹ÓÃ´ËĞûÕ½ÀíÓÉ¶áÈ¡§Y$TITLE$§!·¨ÀíÄÚÒ°ÂùµÄ§Y$TARGET$§!µÄËùÓĞÍ·ÏÎ¡£;§Y$CLAIMANT$? peut utiliser ce casus belli pour s'emparer de tous les titres que possède l'infâme §Y$TARGET$? au sein du §Y$TITLE$? de jure.;§Y$CLAIMANT$? kann diesen Kriegsgrund dazu benutzen, den Wilden in §Y$TARGET$? sämtliche Titel unter dem de jure-Titel §Y$TITLE$? abzunehmen.;;§Y$CLAIMANT$? Puede utilizar este casus belli para aprovechar todos los títulos que tengan los salvajes, §Y$TARGET$?, dentro del §Y$TITLE$? de jure.;;;;;;;;;x
nomad_dispute_desc;ÊÀ³ğ²¿Âä¶Ô±Ë´ËĞûÕ½ÇÀ¶áÒ»¿éµ¥¶ÀµÄÊ¡·İ¡£;Les clans impliqués dans une querelle peuvent se déclarer la guerre dans le but de s'emparer d'un seul comt?;Klans, die eine Fehde führen, können einander den Krieg erklären, um einzelne Grafschaften in Besitz zu nehmen.;;Los clanes enemistados pueden declarar guerras uno contra otro para apoderarse de un solo condado.;;;;;;;;;x
CB_NAME_LIBERATE_NOMAD;½â·Å[Title.GetBaseName];Libérer [Title.GetBaseName];[Title.GetBaseName] befreien;;Liberar el [Title.GetBaseName] ;;;;;;;;;x
WAR_NAME_LIBERATE_NOMAD;$ORDER$$FIRST_ADJ$½â·Å$OTHER_TITLE$;$ORDER$Libération $FIRST_ADJ$ de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Befreiung von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ liberación de $OTHER_TITLE$;;;;;;;;;x
liberate_nomad_cb_succ_tip;§Y[Root.GetTitledFirstName]§!¸½Ó¹·ÇÓÎÄÁÁìÖ÷£¬¶áÈ¡§Y[This.GetFullBaseName]§!ÄÚµÄÆäËûËùÓĞÍ·ÏÎ¡£\n;§Y[Root.GetTitledFirstName]? vassalise les seigneurs non-nomades et s'empare de tous les autres titres en §Y[This.GetFullBaseName]?.;§Y[Root.GetTitledFirstName]? unterwirft die nicht-nomadischen Herrscher und übernimmt alle anderen Titel in §Y[This.GetFullBaseName]?.\n;;§Y[Root.GetTitledFirstName]? hace vasallos a los señores no nómadas y toma todos los demás títulos en el §Y[This.GetFullBaseName]?;;;;;;;;;x
pagan_subjugation_desc;Ô­Ê¼×Ú½ÌÒ»ÉúÖĞÓĞÒ»´ÎÕ÷·şÆäËûÔ­Ê¼×Ú½ÌÍ³ÖÎÕßµÄ»ú»á¡£(ÈçÓĞ¡®³ÉÎª$KING$¡¯µÄÒ°ĞÄ£¬Ôò¶Ô³ÖÓĞÄ¿±êÍõ¹úÄÚÍ·ÏÎµÄÈËÎŞÉÏÊöÊ±¼äÏŞÖÆ¡££©×ÔÓÉÈËÓÀÔ¶Ô¸Òâ×·Ëæ×îÇ¿´óµÄ¾ıÖ÷¡­¡­;Les païens peuvent assujettir d'autres souverains païens, et ce, une seule fois au cours de leur vie. Avec l'ambition « Devenir $KING$ », cette limitation est levée quand il s'agit de cibles internes au royaume en question. Les hommes libres veulent toujours suivre le souverain le plus puissant...;Heiden dürfen einmal im Leben andere heidnische Anführer unterwerfen. (Mit der Zielsetzung '$KING$ werden' gibt es kein solches Limit bezüglich Charakteren, die innerhalb des Königreiches Titel innehaben.) Freie Männer sind immer willens, dem stärksten Herrscher zu folgen...;;A los paganos se les permite subyugar a otros gobernantes paganos una vez en su vida. (Con la ambición 'Convertirse en $KING$ ', no hay tal límite de tiempo contra aquellos que controlan títulos dentro del reino). Los hombres libres están siempre dispuestos a seguir gobernante al más poderoso...;;;;;;;;;x
pagan_county_conquest_desc;Ô­Ê¼×Ú½ÌºÍÓÎÄÁ¿ÉÒÔ²»ÓÃÈÎºÎÀíÓÉÀ´Õ÷·şµ¥¸ö±ß¾³Ê¡·İ¡£ÅµË¹Ô­Ê¼×Ú½Ì»¹¿ÉÒÔ»ñµÃÈÎÒâÑØº£Ê¡·İ¡£;Les païens et nomades peuvent conquérir les comtés frontaliers sans raison spécifique. Les païens nordiques peuvent aussi s'emparer de tout comt?côtier.;Heiden und Nomaden können einzelne angrenzende Grafschaften ohne Grund erobern. Nordische Heiden können zudem jede Küstenregion einnehmen.;;Paganos y nómadas pueden conquistar condados fronterizos sencillos sin razones específicas. Los paganos nórdicos también pueden tomar cualquier condado costero.;;;;;;;;;x
nomad_subjugation_desc;ÓÎÄÁÒ»ÉúÖĞ¿ÉÒÔ¶Ô·ÇÓÎÄÁÁìÖ÷·¢ÆğÒ»´ÎÕ÷·ş¡£;Les nomades peuvent assujettir les royaumes non-nomades, et ce, une seule fois au cours de leur vie.;Nomaden können nicht-nomadische Reiche zu Lebzeiten einmal unterwerfen.;;Los nómadas pueden subyugar reinos no nómadas una vez en su vida.;;;;;;;;;x
