#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
ONLY_ONE_TRIBAL;Ã¿¸öÊ¡·İÖ»ÄÜ´æÁôÒ»¸ö²¿Âä¡£;Chaque comt?ne peut héberger qu'une seule tribu.;In jeder Provinz kann nur ein Stamm leben.;;Sólo una tribu puede vivir en cada provincia.;;;;;;;;;x
FROM_FORTS;À´×Ô±¤Àİ: §G$AMOUNT$§!\n;Provenant des forts? §G$AMOUNT$?\n;Von Festungen: §G$AMOUNT$?\n;;De fortalezas: §G$AMOUNT$?\n;;;;;;;;x
DESTROY_EXTRA_HOLDING_EFFECT;ÔÚ$LOCATION$µÄ$TYPE$±»´İ»Ù;La propriét?de type '$TYPE$' détruite en $LOCATION$;$TYPE$ in $LOCATION$ wurde zerstört;;El $TYPE$ en $LOCATION$ fue destruido;;;;;;;;x
SEIZE_EXTRA_HOLDING_EFFECT;§Y$TAKER$§!¶áÈ¡ÁË§Y$PROV$§!$TYPE$;§Y$TAKER$? s'empare de la propriét?de type '$TYPE$' en §Y$PROV$?;§Y$TAKER$? beschlagnahmt $TYPE$ in §Y$PROV$?;;§Y$TAKER$? toma §Y$PROV$? $TYPE$;;;;;;;;x
ANY_FORT_STARTS;ÈÎºÎ±¤Àİ;Tout fort;Beliebige Festung;;Cualquier fortaleza;;;;;;;;x
num_fort_diff_lower_than;§Y$FIRST$§!Óë§Y$SECOND$§!µÄ±¤ÀİÖ®²îÒìĞ¡ÓÚ§Y$VAL$§!;La différence entre le nombre de forts de §Y$FIRST$? et de §Y$SECOND$? est inférieure ?§Y$VAL$?;Unterschied zwischen den Festungen von §Y$FIRST$? und §Y$SECOND$? kleiner als §Y$VAL$?;;Diferencia entre las fortalezas §Y$FIRST$? y §Y$SECOND$? menor que §Y$VAL$?;;;;;;;;x
num_fort_diff_at_least;§Y$FIRST$§!Óë§Y$SECOND$§!µÄ±¤ÀİÖ®²îÒìÖÁÉÙ§Y$VAL$§!;La différence entre le nombre de forts de §Y$FIRST$? et de §Y$SECOND$? est d'au moins §Y$VAL$?;Unterschied zwischen den Festungen von §Y$FIRST$? und §Y$SECOND$? mindestens §Y$VAL$?;;Diferencia entre las fortalezas §Y$FIRST$? y §Y$SECOND$? por lo menos §Y$VAL$?;;;;;;;;x
has_fewer_fort_than;ÉÙÓÚ§Y$NUM$§!×ù±¤Àİ;Possède moins de §Y$NUM$? forts;Hat weniger als §Y$NUM$? Festungen;;Tiene menos de §Y$NUM$? fortalezas;;;;;;;;x
has_more_fort_than;ÖÁÉÙ§Y$NUM$§!×ù±¤Àİ;Possède au moins §Y$NUM$? forts;Hat mindestens §Y$NUM$? Festungen;;Tiene por lo menos §Y$NUM$? fortalezas;;;;;;;;x
HAS_EXTRA_HOLDING;ÓĞ$TYPE$;Possède une propriét?de type '$TYPE$';Hat $TYPE$;;Tiene $TYPE$;;;;;;;;x
HAS_NOT_EXTRA_HOLDING;Ã»ÓĞ$TYPE$;Ne possède pas une propriét?de type '$TYPE$';Hat KEINE $TYPE$;;NO tiene $TYPE$;;;;;;;;x
TRIGGER_FORT_OWNER;±¤ÀİËùÓĞÕß;Propriétaire du fort;Eigentümer der Festung;;Dueño de Fortaleza ;;;;;;;;x
FORT_PROV;$PROV$µÄ±¤Àİ;Fort de $PROV$;Festung in $PROV$;;Fortaleza de $PROV$;;;;;;;;x
strengthened_loyalty;ÖÒ³ÏÔö½ø;Loyaut?renforcée;Verbesserte Loyalität;;Lealtad reforzada;;;;;;;;;x
proud_parent;×ÔºÀµÄ¸¸Ä¸;Fier parent;Stolze Eltern;;Padre orgulloso;;;;;;;;;x
wolf_child;ÀÇº¢;Enfant-loup;Wolfskind;;Niño Lobo;;;;;;;;;x
wolf_child_desc;Õâ¸öĞ¡º¢ÓĞĞ©¹Ö¡­¡­;Cet enfant a quelque chose d'étrange...;Irgendetwas stimmt nicht mit diesem Kind...;;Hay algo extraño con este niño...;;;;;;;;;x
wolf_blood;ÀÇÑª;Sang de loup;Wolfsblut;;La sangre del lobo;;;;;;;;;x
wolf_blood_desc;Õâ¸ö½ÇÉ«±»´«ÑÔ[GetHerHis]Ñª¹ÜÀïÁ÷ÌÊ×ÅÀÇÑª¡£;On raconte que dans les veines de cet enfant coule le sang des loups.;Diese Person hat angeblich Wolfsblut in den Adern.;;Corre un rumor sobre este personaje, se dice que por [GetHerHis] venas corre sangre de lobo.;;;;;;;;;x
sleep_deprivation;Ã»Ë¯ºÃ;Insomniaque;Schlechter Schlaf;;No duerme bien;;;;;;;;;x
sleep_deprivation_desc;Õâ¸ö½ÇÉ«×î½üÃ»Ë¯ºÃ¾õ¡£;Ce personnage souffre d'insomnie ces derniers temps.;Diese Person schlief in letzter Zeit nicht viel.;;Este personaje últimamente no duerme mucho.;;;;;;;;;x
EVTTITLE_HL_1001;ÀÇº¢;L'enfant loup;Das Wolfskind;;El niño lobo;;;;;;;;;x
EVTDESC_HL_1001;Ğ¡Ğ¡µÄ[From.GetFirstName]³É³¤µÄÊ®·ÖÑ¸ËÙ¡£[From.GetSheHeCap]Ë¼Î¬Ãô½İÑ§Ï°Ñ¸ËÙ£¬Ç¿×³²¢½¡¿µ¡£È»¶ø£¬[From.GetHerHisCap]ÉùÒôÓĞµã²»Ñ°³££¬³£³£Éî³Áµ«ÓÖÍçÆ¤µÄÅØÏø¡£[From.GetSheHeCap]¾­³£ÒÔÒ»ÖÖËÄ´¦Ğá×ÅµÄÆæ¹Ö·½Ê½È¥Ñ°ÕÒ[From.GetHerHis]Íæ¾ß£¬¶øÇÒ[From.GetSheHe]È·ÊµÒì³£µØÃ«È×È×¡£\n\n[From.GetSheHeCap]Ò²ÓĞ¼¸´ÎÒ§[From.GetHerHis]±£Ä·¡£µ«³ı´ËÖ®Íâ£¬Ò»ÇĞÕı³£¡£;[From.GetFirstName] est en pleine croissance. Son esprit est vif, sa force et sa sant?sont excellentes. Mais sa voix est assez inhabituelle et mue parfois en grognements ?la fois puissants et espiègles. [From.GetSheHeCap] se prend parfois ?renifler de manière étrange quand [From.GetSheHe] ne trouve plus ses jouets et, croyez-le ou non, [From.GetSheHe] a vraiment beaucoup de poils.\n\n[From.GetSheHeCap] a mordu sa nourrice plusieurs fois. Mais ?part cela, tout va bien.;Klein [From.GetFirstName] wächst schnell. [From.GetSheHeCap] ist aufgeweckt, intelligent, stark und gesund. Nur die Stimme klingt etwas seltsam. Manchmal ähnelt sie gar einem tiefen, wenn auch verspielten Knurren. [From.GetSheHeCap] schnüffelt manchmal auf merkwürdige Weise, wenn Spielsachen verloren gehen, und [From.GetSheHe] ist etwas stärker behaart als andere Kinder.\n\n[From.GetSheHeCap] hat auch ein paar Mal [From.GetHerHis] Kindermädchen gebissen. Doch abgesehen davon gibt es keine Unterschiede.;;El pequeño [From.GetFirstName] ha crecido rápidamente. [From.GetSheHeCap] est?alerta y aprende rápido, fuerte y saludable. [From.GetHerHisCap] voz, sin embargo, es un poco inusual. A menudo se reduce a un gruñido profundo pero juguetón. [From.GetSheHeCap] a menudo olfatea alrededor de una manera extraña buscando [From.GetHerHis] juguetes,y s? [From.GetSheHe] es excepcionalmente peludo.\n\n[From.GetSheHeCap] también varias veces mordi?a [From.GetHerHis] niñera. Pero aparte de eso, todo es normal.;;;;;;;;;x
EVTOPTA_HL_1001;Ò»Ö»µÄĞ¡[From.GetBoyGirl]£¡;Quel adorable enfant?;Was für ein wundervolles Kind!;;¡Un/Una [From.GetBoyGirl] pequeño/a y agradable ;;;;;;;;;x
EVTOPTB_HL_1001;ÕâºÜÆæ¹ÖÁîÈËµ£ĞÄ¡­¡­;Voil?qui est étrange et inquiétant...;Das ist seltsam... und besorgniserregend.;;Esto es extraño y preocupante...;;;;;;;;;x
EVTDESC_HL_1010;ÄãÍâ³öÑ²ÊÓÄãµÄÍÁµØ£¬×î¾«Á¼µÄÊ¿±ø°éËæ×óÓÒ¡£Äã¾­¹ıÒ»ÌõÇ³Ç³µÄÏ¿¹È£¬Â·ÅÔ³¤×ÅµÍ°«ÇÒ±»·ç´µÍäµÄÊ÷Ä¾£¬ÄãÍ»È»×¢Òâµ½²»Ñ°³£µÄÉùÏì¡£ÄãÃüÁî¶ÓÎéÍ£ÏÂ£¬²à¶úÇãÌı¡£È·ÊµÓĞÉùÒô£¬ÄãÏÖÔÚÌıÇå³şÁË£¬Ò»¸öÎ¢ÈõµÄ¿Şº¿Éù£¬ÈçÍ¬ÊÇÓÉ¸Õ³öÉúµÄĞ¡¹··¢³öÀ´µÄ\nÄã²ßÂíÇ°ĞĞ³¢ÊÔ¶¨Î»ÉùÒôµÄÔ´Í·£¬ºÜ¿ìÄã¾ÍÓöµ½Ò»¸öĞ¡Ğ¡µÄ¶´Ñ¨¡£Äã½øÈë¶´Ñ¨£¬ÓÃ»ğ¹âÇıÉ¢ÁËÀïÃæµÄÒõ°µ£¬Äã¿´µ½Ææ¹ÖµÄ¾°Ïó¡£ËÀÈ¥µÄÄ¸ÀÇÌÉÔÚ¶´Ñ¨Èë¿Ú²»Ô¶´¦£¬¼²²¡µÄ¼£ÏóÔÚÊ¬ÌåÉÏÇåÎú¿É¼û¡£Ó×Ğ¡µÄÈËÀàÓ¤¶ùÌÉÔÚµ¾²İ´²ÉÏ£¬±»ÒÅÆúÔÚÄ¸ÀÇÉí±ß£¬ÓÃÆæÌØµÄÉùµ÷¿Şº¿£¬ÔÚÄãÌıÀ´¼¸ºõÏñÊÇ¶¯ÎïÔÚº¿½Ğ£¬ÌØ±ğÊÇÔÚÕâ¸öÆæ¹ÖµÄµØ·½¡­¡­;Escorté[Root.GetNoneE] par vos meilleurs soldats, vous menez une tournée d'inspection de vos terres. Alors que vous traversez une gorge étroite bordée de petits arbres balayés par le vent, un bruit inhabituel vous met soudain en alerte. Vous ordonnez ?la colonne de faire halte et penchez la tête pour mieux entendre. Oui, vous les entendez ?présent? de petits gémissements comme en pousserait un chiot...\nVous éperonnez votre cheval pour tenter de trouver d'o?vient le bruit et découvrez bien vite une petite grotte. Vous y entrez, vous éclairant d'une torche et un étrange spectacle s'offre ?vous? une louve morte près de l'entrée, sa carcasse couverte de marques de maladie. Un petit enfant est allong?sur un matelas d'herbes et de feuilles près de la louve et pousse des gémissements qui vous semblent, dans ce lieu étrange, quasiment animaux.;In Begleitung Eurer besten Männer seid Ihr unterwegs auf einem Ausritt durch Euer Land. Gerade als Ihr eine flache Schlucht, die von kleinen, windschiefen Bäumen gesäumt ist, durchquert, fällt Euch ein ungewöhnliches Geräusch auf: Ein leises Wimmern, fast wie das Winseln eines Welpen.\nIhr befehlt Euren Männern zu warten und reitet in die Richtung, aus der dieses Wimmern kommt. Schon bald erreicht Ihr eine kleine Höhle, in der sich Euch ein seltsames Bild bietet. Dort liegt, am Eingang der Höhle, eine tote Wölfin, allem Anschein nach an einer Krankheit verendet, und neben ihr, auf einem Lager aus Gras und Blättern, befindet sich tatsächlich ein Menschenkind, hungrig und elend an diesem seltsamen Ort, dessen klägliches Weinen eher dem eines Tieres als dem eines Menschenkinds ähnelt.;;Has salido a inspeccionar tus tierras, en compañía de tus mejores soldados. Al pasar a través de un desfiladero poco profundo bordeado de árboles bajos, azotados por el viento, un sonido diferente te pone en alerta. Ordenas que la columna se detenga y ladeas la cabeza para escuchar. S? ahora lo oyes, un ligero lamento, como el de un perrito\nEspoleas tu caballo hacia adelante para tratar de localizar la fuente del sonido,y pronto encuentras una pequeña cueva. Cuando entras, metiendo una luz en la penumbra, ves un espectáculo extraño. Una loba muerta se encuentra cerca de la entrada de la cueva, rastros de enfermedad claramente visible en su cadáver. Un pequeño niño humano yace sobre un lecho de hierba y hojas cerca de la loba, gimiendo en un tono extraño que te parece casi animal en este extraño lugar...;;;;;;;;;x
EVTOPTA_HL_1010;ÎÒ½«Ïñ¶Ô´ıÎÒ×Ô¼ºµÄ[New.GetSonDaughter]Ò»ÑùÕÕ¹ËËû¡£;J'adopterai cet enfant.;Ich werde mich um dieses Kind kümmern, als ob es mein eigenes wäre.;;Recoger?a este niño como si fuera mi propio/a [New.GetSonDaughter].;;;;;;;;;x
EVTOPTB_HL_1010;ÎÒÓëÕâ²»Ïà¸É£¡;Ce n'est pas mon problème?;Was kümmert mich das?!;;¡No tengo nada que ver con esto!;;;;;;;;;x
EVTDESC_HL_1020;ÓĞÒ»Ìì£¬Äã¶À×ÔÍæË££¬ÄãÍ»È»·¢ÏÖÃ»ÈË×¢ÒâÄã£¬´óÈËÃÇ¶¼ÔÚÃ¦¡£ÕâÊÇÌì´ÍÁ¼»ú£¬ÄãÈ¥ÍâÃæÍæ¸ù±¾²»»á±»·¢ÏÖ£¬ÄãºÜ¿ì¾ÍÍµÍµÁï×ß²¢×ßÏòÒ°Íâ£¬ÔÚÒ°Íâ×ßÁË¼¸¸öĞ¡Ê±ºóÄãÖÕÓÚ·¢¾õ£¬ÄãÃÔÂ·ÁË¡£³¹µ×µÄÃÔÂ·ÁË¡£µ±Äã×øÔÚÑÒÊ¯ÉÏ¿ŞÆüÊ±£¬ÄãÌıµ½Éíºó´«À´Ææ¹ÖµÄÉùÒô¡£µ±Äã×ªÉíºó£¬Äã¿´µ½Ò»Ö»ÀÇ¶¢×ÅÄã¡£ËüËÆºõ²¢²»Î£ÏÕ¡£¹ıÁËÆ¬¿Ì£¬ÄãÃ÷°×ËüÖ»ÊÇÏë´øÄã»Ø¼Ò¡£ÄãÃÇÒ»Æğ±¼ÅÜ£¬Ñ¸ËÙµ½´ïÁËÒ»¸öÈËÀà¾ÓÃñÇø¸½½ü£¬µ«ÔÙÍùÇ°ÄÇÖ»ÀÇ¾Í²»¸Ò¿¿½üÁË¡£Äã»ÓÊÖ¸æ±ğËü£¬È»ºóÅÜ»Ø¼Ò¸æËß¸¸Ä¸Õâ¸öÆæÃîµÄÃ°ÏÕ¡£;Un jour alors que vous jouez dehors, vous remarquez soudain que personne ne vous surveille. Tous les adultes sont occupés. C'est le moment idéal pour partir ?l'aventure. Vous vous éclipsez rapidement et, même si on vous l'a interdit, vous partez dans la nature...\nQuelques heures plus tard, vous êtes complètement perdu[Root.GetNoneE]. Assis[Root.GetNoneE] sur une pierre, vous vous mettez ?pleurer quand vous entendez un bruit étrange derrière vous. Vous tournez la tête et voyez une grande louve grise qui vous regarde. Son attitude n'est pas menaçante. Après quelques instants, vous comprenez qu'elle veut vous aider ?retrouver votre chemin. Vous courez ensemble et vous voil?si proche de votre maison que la louve refuse de vous accompagner plus loin. Vous la saluez et rentrez chez vous en courant pour raconter cette formidable aventure ?vos parents.;Eines Tages beim Spielen fällt Euch auf, dass alle beschäftigt sind und niemand Euch beobachtet ?die ideale Chance für einen kleinen Ausflug ins Unbekannte!\nIhr schleicht Euch davon in Richtung Wald, den Ihr normalerweise nie allein betreten dürft. Nach ein paar Stunden bemerkt Ihr, dass Ihr Euch verlaufen habt ?und zwar gründlich.\nEntmutigt sinkt Ihr auf einem Stein zusammen und beginnt zu schluchzen. Da hört Ihr hinter Euch plötzlich ein seltsames Geräusch, und als Ihr Euch umdreht, seht Ihr, dass eine große, graue Wölfin Euch anschaut und dabei gar nicht furchteinflößend wirkt. Schnell begreift Ihr, dass die Wölfin Euch helfen möchte. Gemeinsam lauft Ihr durch den Wald und voller Freude bemerkt Ihr, dass Ihr nach Hause unterwegs seid. Den letzten Teil der Strecke lauft Ihr allein, da die Wölfin sich nicht weiter an die Siedlung der Menschen heranwagt. Dankbar und erleichtert brennt Ihr darauf, Euren Eltern von diesem tollen Abenteuer zu erzählen.;;Un día, cuando estás jugando fuera solo, de repente notas que nadie te vigila, todos los adultos están ocupados. Este es un momento perfecto para ir a explorar tranquilamente, te escapas rápida y sigilosamente y te diriges a lo lejos, donde normalmente no te dejan ir solo.\nUn par de horas más tarde, estás perdido. Completamente perdido. Te sientas sobre una roca y comienzas a llorar, escuchas un sonido extraño detrás de ti. Cuando te das la vuelta, ves una gran loba gris que te est?mirando. No parece amenazante en absoluto. Después de unos momentos, entiendes que quiere ayudarte a encontrar tu hogar. Empezáis a correr juntos, llegando rápidamente al punto donde la loba no se atreve a acercarse más a los asentamientos humanos. Te despides de ella con la mano y corres a casa para contarle a tus padres esta maravillosa aventura.;;;;;;;;;x
EVTOPTA_HL_1020;ÁîÈËĞË·ÜµÄÒ»Ìì£¡;Une journée pleine de sensations fortes?;Was für ein aufregender Tag!;;¡Qu?día tan emocionante!;;;;;;;;;x
EVTDESC_HL_1021;[From.GetFirstName]ÒÑ¾­ÏûÊ§ÁËÒ»ÕûÌì¡£[From.GetSheHeCap]½ñÌìÔçÉÏ»¹ÔÚ£¬¿ÉÈç½ñÈ´ÏûÊ§ÁË¡£ÄãÅÉÈËÈ¥ÕÒ£¬¿ÉÈ´ÒÀ¾ÉÃ»ÕÒµ½[From.GetSheHe]¡£\n¾ÍÔÚÄãÔ½À´Ô½½¹¼±Ê±£¬ÄãÌıµ½ÃÅÍâ´«À´ÁËÊìÏ¤µÄÉùÒô¡£Äã¿´µ½[From.GetFirstName]Ìøµ½ÄãÑÛÇ°£¬[From.GetHerHis]Á³ÉÏ³äÂú¼¸ºõÊÇĞÀ¿ìµÄĞ¦Èİ¡£[From.GetSheHeCap]º°µÀ£º¡®[Root.GetFatherMotherCap]£¡ÎÒÃÔÂ·ÁË£¬È»ºóÎÒÓöµ½Ò»Ö»Æ¯ÁÁµÄÀÇ£¬ËıºÜÓÑºÃ£¬ÊÇËıËÍÎÒ»Ø¼ÒµÄ¡£ÕâÕæÊÇÌ«ÆæÃîÁË£¡¡¯;[From.GetFirstName] est introuvable depuis ce matin. [From.GetSheHeCap] a disparu dans la matinée et n'a pas donn?signe de vie depuis. Vous envoyez des gens ?sa recherche mais [From.GetSheHe] n'est décidément nulle part.\nAlors que votre inquiétude grandit, vous entendez un cri de joie retentit au dehors. Vous voyez [From.GetFirstName] marcher ?votre rencontre en sautillant. [From.GetSheHeCap] s'écrie? '[Root.GetFatherMotherCap]? J'ai couru très très loin et j'ai rencontr?une louve et elle était toute gentille et on est rentrés ?la maison ensemble, c'était génial?';[From.GetFirstName] hat sich den ganzen Tag im Wald herumgetrieben und war unauffindbar. [From.GetSheHeCap] ist heute Morgen verschwunden und konnte auch von Suchtrupps nicht gefunden werden.\nDie Besorgnis wächst, doch plötzlich hört man von draußen ein fröhliches Rufen. [From.GetFirstName] stürmt heran, ein beinahe euphorisches Lächeln im Gesicht. [From.GetSheHeCap] ruft: '[Root.GetFatherMotherCap]! Ich bin ganz weit weg gewesen! Und dann kam eine nette Wölfin, die war ganz, ganz lieb und hat mich heimgebracht! Das war wunderbar!';;[From.GetFirstName] [From.GetFirstName] ha estado perdido todo todo el día. [From.GetSheHeCap] desapareci?esta mañana y se le ha visto desde entonces. Enviaste gente en su busca pero [From.GetSheHe] había desaparecido. Miras fuera y ves a [From.GetFirstName] saltando hacia ti con una sonrisa casi eufórica en [From.GetHerHis] cara. [From.GetSheHeCap] grita: ¡[Root.GetFatherMotherCap]! Me fui muy lejos y entonces conoc?a una loba buena, era muy amistosa y luego me ayud?a llegar a casa. ¡Fue maravilloso!;;;;;;;;;x
EVTOPTA_HL_1021;ºÃÆæ¹ÖµÄ¹ÊÊÂ¡­¡­;Quelle étrange histoire...;Was für eine seltsame Geschichte...;;Qu?cuento tan extraño...;;;;;;;;;x
EVTOPTB_HL_1021;ÎÒÓ¦¸Ã¿¼ÂÇ°Ñ[From.GetHerHim]¹ØÆğÀ´¡£;Je devrais peut-être l'enfermer.;Ich glaube, ich sollte das Kind in Zukunft einsperren.;;Probablemente debería empezar a mantener[From.GetHerHim] dentro de casa.;;;;;;;;;x
EVTTITLE_HL_1030;ÀÇÖ®[Root.GetSonDaughter]£¿;[Root.GetSonDaughter] du Loup?;[Root.GetSonDaughter] einer Wölfin?;;¿[Root.GetSonDaughter] de la loba?;;;;;;;;;x
