;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
augustus;°Â¹ÅË¹¶¼;Augustus;Augustus;;Augustus;;;;;;;;;x
EVTDESCLoR.10;ÂŞÂíµÛ¹úµÄÊÆÁ¦·¶Î§ÏÖÔÚÔÙ¶ÈÒ»Â·À©ÕÅµ½ÁË¹ÅÎ÷°àÑÀĞĞÊ¡¡£ÕâÆ¬ÍÁµØÒÑ¾­ÉîÊÜÄÂË¹ÁÖºÍÌìÖ÷½ÌÁìÖ÷Òò±ß½ç³åÍ»ÒıÆğµÄ²»¶Ï¾À·×µÄÀ§ÈÅ£¬È»¶øÏÖÔÚËæ×ÅÂŞÂíµÄºÍÆ½½µÁÙÕâ¸ö°ëµºËü×îÖÕ»ñµÃÁËºÍÆ½¡£;Le pouvoir et l'influence de l'Empire romain s'étendent de nouveau ?travers l'ancienne province d'Hispanie. Cette contrée a grandement souffert des incessantes guerres frontalières provoquées par les querelles des seigneurs musulmans et catholiques. Mais désormais	elle peut enfin connaître la paix ?nouveau grâce ?au retour de la Pax Romana dans la péninsule.;Macht und Einfluss des Römischen Reiches erstrecken sich nun erneut bis hin zu der alten Provinz Hispania. Dieses Land hat schwer unter den Grenzstreitigkeiten zanksüchtiger	muselmanischer und katholischer Herrscher gelitten	doch nun kehrt erneut Friede;;El poder y la influencia del Imperio Romano de nuevo se extiende a lo largo y ancho de la antigua provincia de Hispania. Esta tierra ha sufrido enormemente por las constantes escaramuzas en la frontera por las constantes disputas entre señores musulmanes y católicos	pero ahora por fin pueden conocer la paz de nuevo ya que la Pax Romana se establece sobre la península.;;;;;;;;;x
EVTDESCLoR.11;Î°´óµÄ±´ÀûÈøÁô½«¾üÔÚ¹«Ôª6ÊÀ¼ÍÊ±´ÓÍô´ï¶ûÈËÊÖÖĞÊÕ»ØÁË²¿·ÖÃ«ÀïËşÄáÑÇµÄÍÁµØ£¬µ«×îÖÕÓÖÔÚ°¢À­²®ÈËÑ¸ËÙÏò±±·ÇÀ©ÕÅµÄ¹ı³ÌÖĞÉ¥Ê§ÁË¡£ÔÚ±»±©ÕşÑ¹ÆÈÁËÊı°ÙÄêºó£¬ÂŞÂíÈËÓÖÖØĞÂÊÕ¸´ÁËÕâÆ¬ÍÁµØ£¬Ëü½«»áÔÙ´Î·±ÈÙ¡£;Au VIe siècle	le grand général Bélisaire avait reconquis certaines zones de la Maurétanie alors tenues par les Vandales. Mais Byzance avait finalement d?les perdre au profit des Arabes en pleine conquête du nord de l'Afrique. Après des siècles de chaos	cette province peut enfin refleurir et redevenir verdoyante.;Der große General Belisarius hat im 6. Jahrhundert Teile Mauretanias aus den Fängen barbarischer Vandalen zurückerobert	doch am Ende ging alles an die Araber	während ihres rücksichtslosen Vormarschs durch Nord-Afrika	verloren. Nun	da diese Provinz nac;;El gran general Belisarius reconquist?partes de Mauritania a los Vándalos en el siglo sexto	pero finalmente todo fue perdido frente a los árabes en su implacable marcha por el norte de África. Ahora que esta provincia ha sido completamente reintegrada al control romano después de siglos de desgobierno	ahora	puede florecer de nuevo.;;;;;;;;;x
EVTDESCLoR.12;Í¼À­Õæ»ÊµÛ´ÓÅÁÌáÑÇµÛ¹úÊÖÖĞÕ÷·şÁËÃÀË÷²»´ïÃ×ÑÇ£¬²¢ÈÃËü³ÉÎªÂŞÂíµÛ¹úµÄÒ»¸öĞĞÊ¡¡£µ«ÊÇËûµÄ¼ÌÈÎÕß¹şµÂÁ¼¼¸Äêºó·ÅÆúÁËËü¡£ÏÖÔÚÓ×·¢À­µ×ºÓºÍµ×¸ñÀïË¹ºÓÔÙ´Î´¦ÓÚÂŞÂíµÛ¹úµÄ±Ó»¤Ö®ÏÂ£¬²¢ÇÒÕâÒ»´ÎËüÃÇ½«ÓÀÔ¶ÁôÏÂ¡£;L'empereur Trajan conquit la Mésopotamie ?l'Empire perse et en fit une province romaine. Mais	quelques années plus tard	son successeur Hadrien l'abandonna. Les fleuves Euphrate et Tigre sont dorénavant sous l'égide des Romains qui	cette fois	comptent bien y demeurer pour longtemps.;Kaiser Trajan eroberte Mesopotamia vom Partherreich und organisierte das Land als römische Provinz	doch sein Nachfolger Hadrian gab die Provinz nur wenige Jahre später auf. Nun sind die Flüsse Euphrat und Tigris erneut unter römischer Obhut	und dieses M;;El Emperador Trajano conquist?Mesopotamia desde el Imperio Parto y la organiz?como provincia romana	pero fue abandonada por su sucesor Adriano pocos años después. Ahora los ríos Éufrates y Tigris son una vez más bajo la égida romana	y esta vez pueden estar all?para quedarse.;;;;;;;;;x
EVTDESCLoR.13;ÂŞÂíµÛ¹úÄ¿Ç°µÄ±ß½çÒÑ¾­À©ÕÅ³¬Ô½ÁË¹Å´ú¹şµÂÁ¼³¤³ÇºÍ°²¶«Äá³¤³ÇµÄ·ÏĞæ£¬×îÖÕÄÒÀ¨ÁËÕû¸ö¼ÓÀÕ¶àÄáÑÇ¡£Õâ¿éÀäÄ®ºÍÎŞÇéµÄÍÁµØÊÇÒ»ÌØÊâÈËÖÖµÄ¼ÒÏç£¬µ«ÊÇËûÃÇ½«×ª±äÎª¶à²úµÄÂŞÂí¹«Ãñ¡£;Les frontières de Rome s'étendent maintenant au-del?des anciennes ruines du mur d'Hadrien et du mur d'Antonin	pour englober toute la Calédonie. Cette terre ingrate et impitoyable est la patrie d'un peuple aux coutumes étranges	mais celui-ci sera au final assimil?en bons et loyaux citoyens romains.;Die Grenzen Roms erstrecken sich nun weit hinter die alten Ruinen sowohl des Hadrianwalls als auch des Antoninuswalls und schließen nun ganz Caledonia ein. Dieses harte und unerbittliche Land ist die Heimat von einer ganz speziellen Sorte Mensch	doch auc;;Las fronteras del Imperio Romano han avanzado mucho más all?de las antiguas ruinas del Muro de Adriano y del Muro de Antonino a fin de incluir toda Caledonia. Esta tierra	dura e implacable	es el hogar de una raza peculiar	pero sin duda alguna se convertirán en ciudadanos romanos productivos.;;;;;;;;;x
EVTDESCLoR.14;Ï£²®ÄáÑÇµºÊÇ×îĞÂ¼ÓÈë²»¶ÏÀ©ÕÅµÄÂŞÂíµÛ¹úµÄÁìÍÁ¡£¾ÉµÛ¹ú´ÓÎ´Õ÷·şÕâÆ¬ÍÁµØÉÏÂşÂşÆğ·üµÄÈºÉ½ºÍÂÌÉ«µÄÌïÒ°£¬µ«ÊÇÈç¹û²»½éÒâÏÂÓê»òÑØ×Åº£°¶¶¨¾ÓµÄ¶ñ³ôµÄÅµË¹¾ÓÃñ£¬ËüÓ¦¸ÃÄÜ³ÉÎªÎªÒ»¸ö¿ÉÒÔÊæÊÊÖÎÀíµÄ²ÉÒØ¡£;L'île d'Hibernia est le dernier ajout au territoire de l'Empire romain	qui ne cesse de s'étendre. Cette terre aux collines ondulantes et aux prés verdoyants n'avait jamais ét?conquise par l'ancien Empire	mais elle constituera une agréable province ?gouverner si l'on ne tient pas compte de la pluie incessante ou des marais nauséabonds nordiques qui parsèment le long de la côte.;Die Insel Hibernia ist der jüngste Zuwachs zu dem stets wachsenden Römischen Reich. Dieses Land der sanft abfallenden Hügel und grünen Felder wurde noch nie zuvor vom alten Reich erobert	doch es sollte sich sehr angenehm als Lehen regieren lassen	wenn m;;La isla de Hibernia es la última incorporación a los dominios del Imperio Romano	en expansión constante. Esta tierra de colinas suaves y campos verdes nunca fue conquistada por el imperio antiguo	pero debe convertirse en un agradable feudo a gobernar	si a uno no le importa la lluvia ni las colonias de malolientes nórdicos situadas en la costa.;;;;;;;;;x
EVTDESCLoR.2;°£¹ÅÆÕÍĞË¹ÈËÃñµÄºÚ°µÊ±´úÒÑ¾­¹ıÈ¥£¬ÔÙ´Î»Ø¹éÁËÂŞÂíµÄÍ³ÖÎ¡£·¨ÀÏµÄÍÁµØÊÇ¾ÉµÛ¹úµÄ´óºÃÁ¸²Ö£¬²¢ÇÒËü½«ÔÚÓÀÊÀ²ıÊ¢µÄÂŞÂíÖØĞÂ³ÉÎªÖÁ¹ØÖØÒªµÄ»ùÊ¯¡­¡­;La longue période de ténèbres est finie pour le peuple égyptien	car l'autorit?romaine règne de nouveau sur le pays. La Terre des Pharaons était le grenier de l'ancien Empire et elle va de nouveau devenir la pierre angulaire de la prospérit?du glorieux Empire romain.;Die dunklen Zeiten für die Bewohner von Aegyptus sind beendet	die römische Herrschaft über die Provinz ist wiederhergestellt. Das Land der Pharaonen diente vorzüglich als Brotkammer des alten Reichs	und wird erneut ein wertvoller Eckpfeiler im Fortbesta;;Para la gente de Aegyptus los tiempos duros ya pasaron	el dominio Romano ha sido reinstaurado	una vez más	para gobernar la provincia. La tierra de los Pharaos fue el granero para el antiguo Imperio	y volver?a ser una piedra angular esencial para la continua prosperidad del glorioso Estado Romano.;;;;;;;;;x
EVTDESCLoR.20;ÅóÓÑÃÇ¡¢ÂŞÂíÈË¡¢Í¬°ûÃÇ£¬ÌıÎÒËµÁ½¾ä£¡ÔÚÆæ¼£°ãµØ»Ö¸´Ğí¶àÊÀ¼ÍÇ°Ê§È¥µÄÁìÍÁÖ®ºó£¬ÂŞÂíµÛ¹úÔ¡»ğÖØÉúÁË£¡Å·ÂŞ°ÍÒÑ¾­ÈÌÊÜÁËÄÇ¸ö±»Ò°ÂùÈËÃÍ¹¥µÛ¹ú±ß½®£¬Ò»¸öÓÖÒ»¸öÊ¡·İ±»ËûÃÇÉÕ³É°×µØµÄºÚ°µÊ±´ú£¬µ«ÊÇÏÖÔÚ¶ÔÕû¸öÎÄÃ÷ÊÀ½çÀ´ËµĞÂÊ±´úµÄÊï¹âÒÑ¾­µ½À´¡£\n\nÂŞÂí²»ÔÙÖ¸µÄÊÇÄÇ¸öÎ÷·½¼µ¶ÊµÄÃ°ÅÆ»õ³Æ×÷µÄ"Ï£À°ÈËµÛ¹ú"ÁË£¬¶øÊÇ¹«ÈÏµÄÕæÕıµÄÂŞÂíÒÅ²úµÄ¼Ì³ĞÈË¡£[Root.GetTitledFirstName]Í³ÖÎÕû¸öÖØ½¨µÄÂŞÂí£¬È»¶ø»¹ÓĞĞí¶à¹¤×÷»¹Î´Íê³É¡£»¹ÓĞÁìµØºÍ¹ÅÊ±µÄ½®½çµÈ´ı×Å¹â¸´.ÎªÁËÔªÀÏÔººÍÂŞÂíÈËÃñ£¡;« Amis	Romains	compatriotes	écoutez-moi? Après la reconquête miraculeuse des antiques provinces perdues depuis des siècles	l'Empire romain a ressuscit?de ses cendres? L'Europe a connu des temps durs depuis que les barbares ont pris d'assaut les frontières impériales en brûlant et pillant chacune des provinces qu'ils touchaient. Mais désormais un âge d'or resplendissant a commenc?pour l'ensemble de la civilisation.\n\nL'Empire romain ne sera plus appel?« Empire des Grecs » par les princes rivaux et jaloux de l'Occident	mais sera reconnu comme le véritable héritier de Rome. [Root.GetTitledFirstName] règne sur le Romanum Imperium restaur? Toutefois	beaucoup de travail reste ?faire. Il reste encore une antique région ?récupérer. Pour le Sénat et le peuple de Rome! »;Freunde	Römer	Landsleute	leiht mir Euer Ohr! Nach der wundersamen Rückeroberung von Land	das wir vor vielen Jahrhunderten verloren glaubten	wurde das Römische Reich wiedergeboren! Europa erlitt wahrhaft dunkle Zeiten	seit der Erstürmung der römische;;¡Amigos	romanos	compatriotas	prestadme atención! ¡Después de la milagrosa recuperación de territorios que hace siglos fueron perdidos	el Imperio Romano ha renacido! Europa ha sufrido tiempos muy duros y difíciles. Las fronteras imperiales fueron asaltadas por los bárbaros y	provincia a provincia	fueron quemadas a su paso	pero ahora una nueva era luminosa ha amanecido para toda la civilización.\n\nEl Estado Romano ya no ser?conocido por sus pretendientes celosos del "Oeste como el Imperio" de los griegos	sino que ahora ser?reconocido como el verdadero heredero del legado de Roma. [Root.GetTitledFirstName] gobierna un Imperio Romano restaurado	pero todavía queda mucho trabajo por hacer. Aún hay territorios por recuperar y antiguas fronteras que reclamar ¡Por el Senado y el Pueblo de Roma!;;;;;;;;;x
EVTDESCLoR.200;Ëæ×Å³ÇÊĞÖØ»Ø¶«ÂŞÂíµÛ¹úµÄ¿ØÖÆ£¬ÊÇÊ±ºòÖØ½¨°²Ìõ¿Ë½ÌÇø×÷ÎªÕı½Ì»áÎå´óÄÁÊ×ÇøÖ®Ò»ÁË.Ëü×î³õÊÇ±»Ê¹Í½Ê¥±ËµÃËù½¨Á¢£¬±»³ÆÎªÌìÖ÷½ÌÊ×ÈÎ½Ì×Ú.;Puisque la cit?est de nouveau sous le contrôle de l'Empire romain d'Orient	le Patriarcat d'Antioche a solennellement ét?restaur? devenant l'un des sièges archiépiscopaux de la Pentarchie au sein de l'Église orthodoxe d'Orient. Il avait ét?fond??l'origine par l'Apôtre Saint Pierre lui-même	lui qui est considér?comme le premier Pape de l'Histoire par l'Église catholique d'Occident.;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist	wurde das Patriarchat von Antiochien	als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens	wiederhergestellt. Es wurde ursprünglich vom Heiligen Apostel Petrus gegr?;Con la ciudad de nuevo bajo el control romano del este	el Patriarcado de Antioquía ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental. La cual fue originalmente fundada por San Pedro Apóstol	considerado el primer Papa de la Iglesia católica occidental.;;;;;;;;;x
EVTDESCLoR.201;Ëæ×Å³ÇÊĞÖØ»Ø¶«ÂŞÂíµÛ¹úµÄ¿ØÖÆ£¬ÊÇÊ±ºòÖØ½¨Ò®Â·ÈöÀä½ÌÇø×÷ÎªÕı½Ì»áÎå´óÄÁÊ×ÇøÖ®Ò»ÁË¡£Ëü×î³õÊÇ±»¹«ÒåÕßÑÅ¸÷Ëù½¨Á¢£¬ÔÚÒ®öÕËÀºóºÜ¿ì±»ÍÆ¾ÙÎªÒ®Â·ÈöÀä½Ì»áÁìĞä¡£;Puisque la cit?est de nouveau sous le contrôle de l'Empire romain d'Orient	le Patriarcat de Jérusalem a solennellement ét?restaur? devenant l'un des sièges archiépiscopaux de la Pentarchie au sein de l'Église orthodoxe d'Orient. Il a ét?fond??l'origine par Saint Jacques le Juste	nomm??la tête de l'Église de Jérusalem peu de temps après la mort de Jésus.;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist	wurde das Patriarchat von Jerusalem	als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens	wiederhergestellt. Es wurde ursprünglich vom Heiligen Jakobus	dem Gerechte;;Con la ciudad de nuevo bajo el control romano del este	el Patriarcado de Jerusalén ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental	la cual fue originalmente fundada por Santiago el Justo	que fue nombrado jefe de la Iglesia en Jerusalén poco después de la  muerte de Jesús.;;;;;;;;;x
EVTDESCLoR.202;Ëæ×Å³ÇÊĞÖØ»Ø¶«ÂŞÂíµÛ¹úµÄ¿ØÖÆ£¬ÊÇÊ±ºòÖØ½¨ÑÇÀúÉ½´ó½ÌÇø×÷ÎªÕı½Ì»áÎå´óÄÁÊ×ÇøÖ®Ò»ÁË¡£Ëü×î³õÊÇ±»ĞÂÔ¼¸£ÒôÊéµÄ×÷ÕßÊ¥Âí¿ÉËù½¨Á¢£¬ÑÇÀúÉ½´óµÄÊ×ÈÎÄÁÊ×¡£;Puisque la cit?est de nouveau sous le contrôle de l'Empire romain d'Orient	le Patriarcat d'Alexandrie a solennellement ét?restaur? devenant l'un des sièges archiépiscopaux de la Pentarchie au sein de l'Église orthodoxe d'Orient. Il a ét?fond??l'origine par Saint Marc l'Évangéliste	qui en devint le premier patriarche.;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist	wurde das Patriarchat von Alexandrien	als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens	wiederhergestellt. Es wurde ursprünglich vom Heiligen Evangelist Markus g;;Con la ciudad de nuevo bajo el control romano del este	el Patriarcado de Alejandría ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental	que originalmente fue fundada por San Marcos Evangelista	el primer patriarca de Alejandría. ;;;;;;;;;x
EVTDESCLoR.203;Ëæ×Å³ÇÊĞÖØ»Ø¶«ÂŞÂíµÛ¹úµÄ¿ØÖÆ£¬ÊÇÊ±ºòÖØ½¨ÂŞÂí½ÌÇø×÷ÎªÕı½Ì»áÎå´óÄÁÊ×ÇøÖ®Ò»ÁË¡£Èç¹ûËùÓĞÎå¸ö¾ßÓĞÀúÊ·ĞÔµÄ½ÌÇøÖØ»ØÎå´óÄÁÊ×Çø£¬¶«Î÷·½½Ì»á´ó·ÖÁÑ¿ÉÄÜ½«»á±»ĞŞ¸´¡£;Puisque la cit?est de nouveau sous le contrôle de l'Empire romain d'Orient	le Patriarcat de Rome a solennellement ét?restaur? devenant l'un des sièges archiépiscopaux de la Pentarchie au sein de l'Église orthodoxe d'Orient. Si les cinq patriarcats historiques sont rétablis au sein de la Pentarchie	le schisme entre l'Église catholique et l'Église orthodoxe peut enfin être prendre fin.;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist	wurde das Patriarchat Roms	als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens	wiederhergestellt. Wenn alle fünf Patriarchate wieder der Pentarchie zugehörig sind	;;Con la ciudad de nuevo bajo el control romano del este	el Patriarcado de Roma ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental. Si los cinco patriarcados históricos son devueltos a la Pentarquía	el Gran Cisma entre las iglesias orientales y occidentales finalmente podr?ser reparado.;;;;;;;;;x
EVTDESCLoR.21;Ö®Ç°ÔÚÎ÷·½±»ºÜ¶àÈË³Æ×÷"Ï£À°ÈËµÛ¹ú"µÄ°İÕ¼Í¥µÛ¹ú£¬ÒÑ¾­Éè·¨¹â¸´×ã¹»¶àµÄÊ§µØÀ´Ğû³ÆÂŞÂíµÛ¹úÖØ½¨ÁË£¡°İÕ¼Í¥ÊÇÕæÕıµÄÂŞÂíºÍÆä¹â»ÔÒÅ²úµÄ¼Ì³ĞÈË£¬ÒÑ²»Èİ·ñÈÏ¡£ËûÃÇÉù³ÆÒ»¸öĞÂµÄÊ±´úÒÑ¾­À´ÁÙ¡£;Byzance était autrefois considér?comme n'étant plus que « l'Empire des Grecs » par une grande partie de l'Occident. Mais elle a réussi ?revendiquer suffisamment de territoires perdus pour proclamer la restauration de l'Empire romain? Nous ne pouvons plus nier qu'ils sont les vrais successeurs de Rome et de leur glorieux héritage. Cela ouvre pour nous une nouvelle ère.;Die Byzantiner	bisher von vielen in der westlichen Welt stets als das "Reich der Griechen" bezeichnet	haben es irgendwie geschafft	genügend verlorenes Land zurückzuerobern	um die Wiederherstellung des Römischen Reiches zu verkünden! Es kann nicht läng;;Los bizantinos	anteriormente conocidos como "El Imperio de los griegos" por muchos en Occidente	han logrado recuperar suficientes territorios perdidos para poder declarar que el Imperio Romano ha sido reestablecido.  Ya no se puede negar que ellos son los sucesores verdaderos de Roma y de su glorioso legado. Aseguran que una nueva era ha llegado.;;;;;;;;;x
EVTDESCLoR.210;×îÖÕÎ÷·½¹«½Ì»áºÍ¶«·½Õı½Ì»á´ó·ÖÁÑ±»ĞŞ²¹ÁË.Ëæ×ÅÕı½ÌµÄ´«²¥ºÍ°üÀ¨ÖÁ¹ØÖØÒªµÄÂŞÂíµÄÄÁÊ×Çø´óÍ³Ò»£¬ÏÖÔÚÅ·ÂŞ°ÍºÜÉÙÈË±£ÓĞÌìÖ÷½ÌĞÅÑö¡£ÄÇĞ©ÈË½«»áÄ«ÊØÌìÖ÷½ÌĞÅÑö£¬µ«ÊÇËûÃÇÈËÊıÏ¡ÉÙ²¢ÇÒÔÚ»ù¶½½ÌÊÀ½çÎåÄÁÊ×ÁªºÏÖÎÀí½Ì»á½«ÔÙ´Î³ÉÎªÆÕÊÀ¹æÔò¡£;Enfin	le schisme entre l'Église catholique d'Occident et l'Église orthodoxe d'Orient est termin? Avec l'expansion de l'orthodoxie et la réunification de la Pentarchie	incluant l'important siège épiscopal de Rome	la foi catholique n'a plus la même influence sur les peuples d'Europe. Il y aura ceux qui continueront ?se rattacher ?elle	mais ils seront peu nombreux	et l'autorit?légitime de la Pentarchie s'imposera universellement sur l'ensemble de la chrétient?;Endlich wurde das Große Schisma zwischen der westlichen katholischen Kirche und der östlichen orthodoxen Kirche geheilt. Mit der Ausbreitung der Rechtgläubigkeit und der Wiedervereinigung der Pentarchie	unter Einbindung aller fünf Episkopale Roms	hat de;;Por fin	el Gran Cisma entre la Iglesia Católica Occidental y la Iglesia Ortodoxa Oriental ha sido reparado. Con la expansión de la Ortodoxia y la reunificación de la Pentarquía	incluida la vital sede episcopal de Roma	la fe católica tiene ahora poca influencia sobre la gente en Europa. Habr?quienes todavía se aferren a ella	pero serán pocos en número y la  Pentarquía puede reclamar una vez más	el dominio universal sobre toda la cristiandad.;;;;;;;;;x
