;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
NOT_IN_DYNASTY;²»ÊÇ¸Ã¼Ò×åµÄ³ÉÔ±;N'est pas un membre de la Maison;Ist KEIN Mitglied von Haus ;;NO forma parte de la Casa ;;;;;;;;;x
tut_7c_4;ÎÒÃÇÔÚÖĞ¼¶½ÌÑ§ÖĞÔøÌÖÂÛ¹ıÒ°ĞÄ¡£ÒõÄ±Ò²ÊÇÀàËÆµÄ£¬ÔÚÄãÏëÊ©¼ÓÒõÄ±µÄÄ¿±êÈËÎïµÄÍ·Ïñ½çÃæµã»÷¡°Ñ¡ÔñÒõÄ±¡±¡£µ±È»Ñ¡ÔñÄÄ¸ö½ÇÉ«×÷ÎªÄ¿±êÄã²ÅÄÜ´ÓÖĞÊÜÒæ²»ÊÇÄÇÃ´ÈİÒ×¾ÍÄÜ¿´³öÀ´µÄ,ÔÚÒõÄ±´°¿ÚÑ¡Ôñ¿ÉÄÜÔÚÒâµÄÒõÄ±»á¸üÈİÒ×Ğ©¡£ÕâÀïÓĞÒ»¸ö´ó´óµÄ¡°µ¥»÷Ñ¡ÔñÒõÄ±°´Å¥¡±;Nous avons parl?des ambitions dans le tutoriel intermédiaire sur les intrigues. Les complots peuvent aussi être choisis ?partir de l'écran du portrait de votre personnage en trouvant un autre personnage contre lequel vous désirez comploter et en cliquant le bouton 'Choisir un complot'. Cependant, parce qu'il est difficile de savoir les bénefices que pourraient vous rapporter un complot contre un personnage donn? un moyen plus facile est d'utiliser le menu des complots dans l'écran intrigue afin de trouver des complots intéressants. C'est un grand bouton appell?'Cliquez pour choisir un complot'.;Über Ambitionen haben wir im mittleren Intrigen-Tutorial geredet. Verschwörungen können ebenfalls über den Charakterbildschirm ausgewählt werden. Geht hierzu auf den Charakterbildschirm der Zielperson und klickt die Schaltfläche "Wählt einen Anschlag". Da es allerdings mitunter schwer sein kann zu erkennen, von welchen möglichen Verschwörungen Ihr am meisten profitieren würdet, gibt es einen einfacheren Weg um interessante Verschwörungen zu finden. Geht hierfür auf die Intrigenseite und klickt auf die große Schaltfläche, die mit "Zur Auswahl einer Verschwörung klicken" betitelt ist. ;;Ya hemos hablado sobre ambiciones el tutorial intermedio sobre la intriga. Los complots también pueden ser esogidos desde la pantalla del retrato del personaje buscando un personaje contra el que quieras conspirar y seleccionando el botón 'Escoger Complot'. Sin embargo, ya que es dificil saber exáctamente contra quien te beneficiaria conspirar, es más facil hacerlo desde la selección de conspiraciones. Es un botón alargado llamado 'Seleccionar Complot';;;;;;;;;x
tut_7b_2;Õâ²¿·Ö½«»áÌÖÂÛÒ°ĞÄ,ÕâÊÇËùÓĞ¿ÉÒÔ½øĞĞÓÎÏ·µÄ½ÇÉ«¶¼ÄÜ¹»Ñ¡ÔñµÄ£¬¶ø²»ÊÇ¼û²»µÃ¹âµÄÒõÄ±¡£µã»÷ÄãµÄÈËÎïÍ·ÏñÒÔÁË½â¸ü¶à¡£;Ce chapitre vous parlera des ambitions. Tous les personnages jouables peuvent sélectionner une ambition en plus de manigancer des complots sournois. Cliquez sur le portrait de votre personnage pour en apprendre plus.;Dieser Teil wird Euch über Ambitionen aufklären. Alle Charaktere können neben ihren hinterhältigen Verschwörungen auch persönliche Ambitionen wählen. Klickt auf das Porträt eures Charakters, um mehr darüber zu erfahren.;;Este apartado tratar?sobre las ambiciones. Todos los personajes jugables pueden seleccionar una ambición además de participar en conspiraciones. Selecciona el retrato de tu personaje para aprender más.;;;;;;;;;x
tut_5b_4;ÔÚ¾üÊÂ´°¿ÚÖĞ£¬Äã¿ÉÒÔ¿´µ½Á½ÖÖ²»Í¬µÄÕ÷ÕÙ±ø:ÄãµÄË½ÈËÕ÷ÕÙ±øºÍÄãµÄ·â³¼µÄÕ÷ÕÙ±ø¡£Ë½ÈËÕ÷ÕÙ±øÊÇÄã×Ô¼º¿ØÖÆµÄ¡£·â³¼Õ÷ÕÙ±øÔò°üÀ¨ÄãµÄ·â³¼ºÍÄãµÄ·â³¼µÄ·â³¼µÄÕ÷ÕÙ±ø¡£Çëµã»÷¼ÌĞø¡£;Dans l'onglet militaire 'Armée', vous pouvez voir qu'il y a deux sortes de troupes: l'armée du domaine et l'armée fournie par les vassaux. Cliquez suivant pour continuer.;Wie Ihr auf der Militärseite sehen könnt, gibt es zwei Arten von Lehnstruppen, solche aus Eurer persönlichen Domäne und solche, die von euren Vasallen gestellt werden. Domänentruppen sind jene aus Provinzen, die von Euch kontrolliert werden während die Vasallentruppen aus Provinzen stammen, die von euren Vasallen oder den Vasallen Eurer Vasallen kontrolliert werden. Klickt weiter, um fortzufahren.;;En la pestaña militar puedes observar que hay dos tipos diferentes de levas: Las personales y las de los vasallos. Las levas personales son aquellas que controlas directamente, mientras que las de los vasallos son los que controlan tus vasallos y sus vasallos. Selecciona continuar para seguir.;;;;;;;;;x
tut_1a_3;ÒòÎªÄãÊÇ°çÑİÒ»Î»ÌìÖ÷½ÌÍ³ÖÎÕß£¬×Ú½ÌÁìÖ÷£¨ÀıÈçÖ÷½Ì)Èç¹û¶ÔÄãµÄºÃ¸Ğ¶È±È¶Ô½Ì×Ú¸ü¸ß£¬ÄÇÃ´ËûÃÇËù¿ØÖÆµÄÊ¡·İ½«»áÏòÄãÉÏ½É¹±½ğ¡£·ñÔò£¬ËûÃÇ»áÏò½Ì×ÚÉÏ½É¹±½ğ¡£·Ç×Ú½Ì·â³¼Ò»Ö±»áÏòÄã½ÉÄÉ¹±½ğ¡£²»¹ıÈç¹ûËûÃÇ¶ÔÄãºÃ¸Ğ¶È¸ß¾Í»á½ÉÄÉ¸ü¶à¹±½ğ¡£;Parce que vous jouez un seigneur catholique, les provinces contrôlées par les titulaires religieux tels que les évêques ne vous fourniront de l'argent que si leur opinion de vous est plus haute que celle qu'ils ont du Pape. Sinon l'argent ira ?celui-ci. Les vassaux qui ne sont pas des évêques vous donnerons toujours de l'argent mais vous en recevrez plus s'ils vous apprécient.;Da Ihr einen katholischen Herrscher spielt zahlen Euch religiöse Vasallen wie Bischöfe nur dann Steuern, wenn sie eine höhere Meinung von Euch als vom amtierenden Papst haben. Andernfalls zahlen sie an die Kirche. Andere Arten von Vasallen als Bischöfe zahlen stets an Euch, jedoch erhaltet ihr mehr Geld, wenn sie Euch mögen. ;;Como estas jugando con un gobernante católico, las provincias gobernadas por gobernantes eclesiásticos, como los obispos, sólo te pagarán impuestos si su opinión sobre ti es mayor que su opinión sobre el Papa. Si no todo el dinero ira para él. Todos los demás vasallos te pagaran los impuestos, más cuanto mejor opinión tengan de ti.;;;;;;;;;x
FAMILY_DUES_IRO;§Y$DYNASTY$§!³ÉÄêÄĞĞÔÍ¥³¼£º§Y$NUM$§!£¨Ã¿ÈË§Y$GOLD$§!¤£©¡£;Hommes adultes §Y$DYNASTY$? ?la cour: §Y$NUM$? (§Y$GOLD$??chacun).;Erwachsene §Y$DYNASTY$?-Männer am Hof: §Y$NUM$? (je §Y$GOLD$??.;;Hombres adultos de la casa §Y$DYNASTY$? en tu corte: §Y$NUM$? (§Y$GOLD$??cada).;;;;;;;;;x
FAMILY_DUES_DRO;ËùÓĞ¸Ã¹óÈË¼Ò×åµÄÄĞĞÔÍ¢³¼¶¼ÒªÇó»ñµÃÒ»·İÊÕÈë¡£×÷Îª»Ø±¨£¬ËûÃÇ»áÔö¼ÓÃ³Ò×½ÚµãÉÏÏŞ¡£;Les courtisans mâles adultes de la dynastie du patricien demandent tous une partie des revenus. En échange, ils augmentent la limite des comptoirs.;Erwachsene männliche Höflinge der Dynastie des Patriziers erhalten einen Anteil an den Einkünften, erhöhen dafür aber auch die Obergrenze an möglichen Handelsposten.;;Los cortesanos varones adultos de la dinastía del Patricio recibirán una parte de los ingresos. Como contraprestación incrementarán el límite de puestos comerciales que puedes tener.;;;;;;;;;x
coastal_republic_desc;§Y$CLAIMANT$§!¿ÉÒÔÒÔĞûÕ½ÒÔ»ñÈ¡º£°¶§Y$TITLE$§!£¬ÒòÎªËû»òËûµÄ·â³¼¹óÈËÔÚ¸ÃµØÓĞÒ»¸öÃ³Ò×½Úµã£¬ÓÖ»òÕßÊÇĞûÕ½Ä¿±êÎªµĞ¶ÔÉÌÒµ¹²ºÍ¹ú¡£;§Y$CLAIMANT$? peut déclarer la guerre pour prendre possession de §Y$TITLE$? côtière puisqu'il (ou un Patricien vassal) y a un comptoir ou que la cible est une république marchande rivale.;§Y$CLAIMANT$? kann Krieg erklären, um die Kontrolle über die Küste von §Y$TITLE$? zu erlangen, da entweder er oder ein Patriziervasall dort einen Handelsposten besitzt oder das Ziel einer rivalisierenden Handelsrepublik gehört.;;§Y$CLAIMANT$? puede declarar la guerra para tomar el costero §Y$TITLE$? porque él o un patricio vasallo tiene un puesto comercial en el, o el objetivo forma parte de una republica mercantil rival.;;;;;;;;;x
coastal_county_republic_desc;×÷ÎªÒ»¸öÉÌÒµ¹²ºÍ¹ú£¬§Y$CLAIMANT$§!¿ÉÒÔĞûÕ½ÒÔ»ñÈ¡§Y$TITLE$§! ¡£ÒòÎªËûÃÇÒÑ¿ØÖÆÁËÄÇÀïµÄÒ»×ù³ÇÊĞ¶øÇÒ¸Ã²®¾ôÒ²ÔÚÆä½ø¹¥·¶Î§Ö®ÄÚ¡£;En tant que république marchande, §Y$CLAIMANT$? peut déclarer la guerre pour prendre le contrôle de §Y$TITLE$? puisqu'il y contrôle déj?une ville et que le comt?est ?distance de celle-ci.;Als Handelsrepublik kann §Y$CLAIMANT$? Krieg erklären, um die Kontrolle über §Y$TITLE$? zu erlangen, da sie dort bereits eine Stadt kontrollieren und die Provinz in Reichweite ist.;;§Y$CLAIMANT$? puede declarar la guerra para controlar §Y$TITLE$? porque ya contola su ciudad y el condado est?en nuestra esfera de influencia.;;;;;;;;;x
MAX_TRADE_POSTS;Ã³Ò×½ÚµãÉÏÏŞ£º§Y$LIMIT$§!;Limite de comptoirs: §Y$LIMIT$?;Obergrenze an Handelsposten: §Y$LIMIT$?;;Límite de puestos comerciales: §Y$LIMIT$?;;;;;;;;;x
MIN_TRADE_POSTS;Ã³Ò×½ÚµãÏÂÏŞ£º§Y$NUM$§!;Limite de comptoirs minimum: §Y$NUM$?;Mindestmenge an Handelsposten: §Y$NUM$?;;Límite mínimo de puestos comerciales: §Y$NUM$?;;;;;;;;;x
ADULT_FAMILY_IN_COURT;¹¬Í¢ÖĞµÄÍ¬Ò»¼Ò×å³ÉÈËÄĞĞÔ£º§Y+$VALUE$§!;Nombres de membres adultes mâles de la famille qui se trouvent ?la cour: §Y+$VALUE$?;Erwachsene männliche Familienmitglieder am Hofe: §Y+$VALUE$?;;Familiares varones adultos en la corte: §Y+$VALUE$?;;;;;;;;;x
;#IS_NOT_OVER_TRADEPOST_LIMIT;Is not over Trade Post Limit;;Ist nicht ¨¹ber der Obergrenze an Handelsposten;;No est¨¢s por encima del l¨ªmite de puestos comerciales;;;;;;;;;x;
DECLARE_WAR_INTERACTION_0;´òÆÆºÍÔ¼(½«ÔÚ§Y$DATE$§!½áÊø)»áÏûºÄÄã§R$PRESTIGE$§!ÍşÍû. Äã»á±»ÈÏÎªÊÇÒ»¸ö'§Y²»×ñÊØºÍÔ¼µÄÈË§!', ½µµÍËùÓĞ§Y[Recipient.Religion.GetGroupName]§!Í³ÖÎÕß¶ÔÄãµÄºÃ¸Ğ §R$OPINION$§!.;Briser la trève (celle-ci se termine le §Y$DATE$?) vous coûterait §R$PRESTIGE$? prestige. Vous seriez considér?comme un §Ybriseur de trèves? ce qui diminuerait de §R$OPINION$? l'opinion qu'a de vous tout dirigeant §Y[Recipient.Religion.GetGroupName]?.;Ein Bruch des Waffenstillstands (der §Y$DATE$? endet) würde Euch §R$PRESTIGE$? Prestige kosten und die Meinung aller Herrscher vom §Y[Recipient.Religion.GetGroupName]en§W Glauben von Euch um §R$OPINION$? verschlechtern. Ihr würdet außerdem als §Y'Eidbrecher'§W angesehen werden (§R-5§W Diplomatie für §Y5§W Jahre);;Romper la tregua (dura hasta §Y$DATE$?) te costar?§R$PRESTIGE$? prestigio y reducir?la opinión de todos los gobernantes §Y[Recipient.Religion.GetGroupName]? hacía ti. Además serás considerado un '§YViolador de Treguas? (§R-5? diplomacia durante §Y5? años.);;;;;;;;;x
IMPRISON_INTERACTION_1B;°´ÏÂÕâ¸ö°´Å¥ºóÄã¾Í»á±»ÊÓÎª±©¾ı£¬¶øÇÒ£¬¹²ºÍ¹úÀïµÄËùÓĞ½ÇÉ«¶¼»á¶ÔÄãµÄºÃ¸Ğ¶ÈÏÂ½µ§R$OPINION$§!µã¡£;Cette voie est considérée comme tyrannique et l'opinion qu'ont de vous les personnages de la République diminuera de §R$OPINION$?;Dies wird als tyrannisch angesehen werden und die Meinung aller Personen in der Republik über Euch um §R$OPINION$?verschlechtern!;;Llevar a cabo esta acción ser?considerada tiránica, y reducir?la opinión sobre ti de todos los personajes en la República en §R$OPINION$?;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2A;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§W½á»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$µÄÇ×Êô£¬§Y$MYPARTY$§W½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marient. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$? ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
