;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTC91355;Ò²ĞíÎÒ¿ÉÒÔÇóÓÚ [From.GetHerHis] Ì°À·µÄÒ»Ãæ...;Peut-être pourrai-je faire appel ?son côt?cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
EVTOPTA91375;ÄãËµÊ²Ã´¾ÍÊÇÊ²Ã´,Ç×°®µÄ.;Tout ce que tu voudras, mon amour.;Natürlich, meine Liebe.;;Todo para ti, mi amor.;;;;;;;;;x
EVTDESC91376;ÎÒµÄÅäÅ¼¸øÎÒ´øÀ´ÁË¸ö¾ªÏ². ËÆºõ [FromFrom.GetTitledFirstName] ³¢ÊÔ¹´ÒıÎÒµÄ [From.GetHusbandWife] ²¢ÀûÓÃ [From.GetHerHim] ¶Ô¸¶ÎÒ.;Ma moiti?est venue me voir avec de terribles nouvelles. Il semble que [FromFrom.GetTitledFirstName] a tent?de [From.GetHerHim] séduire et de [From.GetHerHim] dresser contre moi?;Mein Gespons überbrachte mir schockierende Neuigkeiten. Scheinbar versuchte [FromFrom.GetTitledFirstName], mein Gespons zu verführen und [From.GetHerHim] gegen mich aufzuhetzen.;;Mi esposo vino a m?con noticias espantosas. ;;;;;;;;;x
EVTDESC7950;ÌıËµ [Root.PlotTarget.GetTitledName] µÄÉú»î»ÄÒùÎŞ¶È£¬ÔÚ [Root.PlotTarget.GetHerHis] ¹¬Í¢Àï¸Éµô [Root.PlotTarget.GetTitledFirstName] Ó¦¸ÃÊÇ×îºÃµÄÑ¡Ôñ¡­¡­;Entendant parler des mœurs décadentes de [Root.PlotTarget.GetTitledName], il est devenu clair pour moi qu'il fallait assassiner [Root.PlotTarget.GetTitledFirstName] dans son propre palais...;Als ich von der Dekadenz von [Root.PlotTarget.GetTitledName] erfuhr, wurde mir klar, dass [Root.PlotTarget.GetTitledFirstName] in [Root.PlotTarget.GetHerHis] Palast ermordet werden muss ?;Qued?claro para m?al escuchar acerca de las maneras decadentes de[Root.PlotTarget.GetTitledName] que es el lugar adecuado para matar a [Root.PlotTarget.GetTitledFirstName] en [Root.PlotTarget.GetHerHis] propio palacio ;;;;;;;;;x
EVTOPTA7950;ÎÒµÄÍ¬Ä±»áÊÕÂò [Root.PlotTarget.GetHerHis] ÊÌ´Ó.;Mes co-conspirateurs paieront ses serviteurs, ils nous aideront.;Meine Mitverschwörer werden [Root.PlotTarget.GetHerHis] Diener bestechen, damit sie uns helfen.;;Mis co-conspiradores sobornar?a [Root.PlotTarget.GetHerHis] siervos para ayudarnos;;;;;;;;;x
EVTOPTB7950;ÎÒ»áÊÕÂò [Root.PlotTarget.GetHerHis] ÊÌ´Ó.;Je paierai ses serviteurs, ils nous aideront.;Ich werde [Root.PlotTarget.GetHerHis] Diener bestechen, damit sie uns helfen.;;Voy a sobornar [Root.PlotTarget.GetHerHis] siervos para ayudarnos.;;;;;;;;;x
EVTOPTC7950;ÎÒ»áµô°ü [Root.PlotTarget.GetHerHis] ÊÌ´Ó.;Je remplacerai ses serviteurs par les miens.;Ich werde [Root.PlotTarget.GetHerHis] Diener durch meine ersetzen.;;Voy a sustituir a [Root.PlotTarget.GetHerHis] siervo con mi propio servidor.;;;;;;;;;x
EVTDESC7951;Ò»Ê±¼ä, ÎÒÃ÷°×ÁËÕâÖÖ¸¯»¯ÃÓÀÃµÄÉµ¹ÏÔÚ×Ô¼ºµÄ¹¬µîÀï×îµôÒÔÇáĞÄ.;Soudainement, je compris que de tels êtres décadents étaient très vulnérables dans leur propre palais.;Plötzlich wurde mir klar, dass derart dekadente Dummköpfe in ihrem eigenen Palast am verwundbarsten sind.;; De repente, me di cuenta de que tan decadente tontos sin duda son los más vulnerables en su propio palacio.;;;;;;;;;x
EVTDESC7953;[From.GetTitledName] ¸øÁËÎÒ×ã¹»µÄÇ®È¥»ßÂ¸ [From.PlotTarget.GetTitledName]µÄÊÌ´Ó¼ÓÈëÎÒÃÇ.;[From.GetTitledName] m'a envoy?l'argent nécessaire pour rallier les serviteurs de [From.PlotTarget.GetTitledName] ?notre cause.;[From.GetTitledName] hat mir das nötige Geld für die Bestechung der Diener von [From.PlotTarget.GetTitledName] geschickt.;;Me ha enviado los fondos necesarios para sobornar a los siervos de [From.PlotTarget.GetTitledName] para afiliarse a nuestra causa;;;;;;;;;x
EVTDESC7954;[From.GetTitledName] ¾Ü¾ø¸øÎÒ±ØĞëµÄ»ßÂ¸ÒÔ±ãÉ±ÁË [From.PlotTarget.GetTitledName].;[From.GetTitledName] a refus?de m'envoyer l'argent nécessaire pour faire tuer [From.PlotTarget.GetTitledName] dans son propre palais.;[From.GetTitledName] lehnte es ab, mir das Bestechungsgeld zu geben, das für die Ermordung von [From.PlotTarget.GetTitledName] im eigenen Palast nötig wäre.;; [From.GetTitledName] ha rechazado darme los fondos necesarios para sobornos para hacer matar a [From.PlotTarget.GetTitledName] en su propio palacio.;;;;;;;;;x
EVTDESC7955;°¡ÔÚ¼ÒÏíÓÃ"½Ú¼ó"µÄÉú»îÕæºÃ. À´ÈË,ÉÏ¾Æ! ¼Ó²Ë!;Quel plaisir de rester chez soi ?profiter des plaisirs simples de la vie. Serviteurs, du vin? Et quelque chose ?manger pour accompagner?;Wunderbar, zu Hause zu sein und das einfache Leben genießen zu können! Diener, mehr Wein bitte! Und noch etwas zu Essen, wo wir gerade dabei sind!;; Que maravilloso es solo ester en casa y disfrutar las cosas 'simples' en la vida¡Servidor más vino por favor! ¡Más comida también!;;;;;;;;;x
EVTTOOLTIP7955;[This.GetTitledName] ²»ÔÙÊÇ¼Ò×åµÄÎÛµãÁË!;[This.GetTitledName] ne sera plus la honte de ma dynastie?;[This.GetTitledName] wird nicht länger ein Schandfleck meiner Dynastie sein!;;[This.GetTitledName] ya no ser?una mancha por mi dinastía!;;;;;;;;;x
EVTOPTA7955;Õâ¾Í¶ÔÁË,¿ìÈ¥!;Tout ?fait, dépêchez-vous?;Richtig, Beeilung!;;Correcto,¡date prisa!;;;;;;;;;x
EVTOPTB7955;ÚÀ,ÎªÊ²Ã´ÎÒµÄÊÌ´ÓÏòÎÒ³å·æ?;Pourquoi ce serviteur court-il vers moi?;Warum eilt mein Diener im Laufschritt auf mich zu?;;Porque mi siervo est?corriendo hacia m?;;;;;;;;;x
EVTDESC7956;ÎÒ×Ô¼ºµÄÊÌ´Ó³é³öÒ»°Ñ²ØºÃµÄØ°Ê×,ÎÒ¾ÍÒªÕâÑùËÀÁËÃ´? [Root.Religion.GetRandomGodName] Ô­ÁÂÎÒÕâ¸ö×ïÈË..;Une dague cachée par un de mes serviteurs... Vais-je vraiment mourir ainsi? Que [Root.Religion.GetRandomGodName] me pardonne, j'ai péch?..;Eine versteckte Klinge, von des eigenen Dieners Hand - so soll ich sterben? [Root.Religion.GetRandomGodName] vergib mir, denn ich habe gesündigt ?; ¿Una daga escondida sostenida por mi propio siervo, ¿Esto es cómo voy a morir? [Root.Religion.GetRandomGodName] Perdóname, he pecado;;;;;;;;;x
EVTOPTA7956; [FromFrom.GetTitledFirstName]ËÀÁË!;Mort ?[FromFrom.GetTitledFirstName]?;Stirb, [FromFrom.GetTitledFirstName]!;;Muerte a [FromFrom.GetTitledFirstName]!;;;;;;;;;x
EVTOPTA7957;ÎªÊ²Ã´?ÎªÊ²Ã´ÊÇÄÇÈË? [Root.Religion.GetRandomGodName]...;Pourquoi? Qui? [Root.Religion.GetRandomGodName]...;Warum? Wer? [Root.Religion.GetRandomGodName] ...;;Porque? Quien? ;;;;;;;;;x
EVTDESC7958;ÎÒÊæ·şµÄ×ø×Å,×óÓµÓÒ±§ÃÀÀöµÄÊÌÕß,´ó²ÍÖ®ºóÕıÄÃÃÀ¾ÆÏûÊ³,Í»È»¼äÆäÖĞÒ»¸öÊÌ´Ó¾Ù×ÅØ°Ê×ÆË¹ıÀ´. ËµÊ±³ÙÄÇÊ±¿ì, ÎÒÒ»ÏÂÌø¿ª, ÈÃÊØÎÀÃÇ°ÑËıÄÃÏÂ. ¾­¹ıÒ»·¬ÕÛÌÚ,ËıÍÂÂ¶³öÁËÄ»ºóºÚÊÖ.;J'étais en train de passer un bon moment avec mes magnifiques servantes, je buvais une coupe de bon vin après un somptueux repas, quand soudain je vis l'une d'elles foncer vers moi, une dague ?la main. J'eus tout juste le temps de l'esquiver, mes gardes s'emparèrent d'elle avant qu'elle eût le temps de frapper ?nouveau. Avant de mourir, elle prononça le nom de celui qui était derrière ce complot.;Als ich gerade mit meinen hübschen Bediensteten beisammensa? genüsslich teuren Wein schlürfend nach festlichem Mahle, rannte plötzlich eine Dienerin auf mich zu, den Dolch in der Hand. Ich sprang auf, gerade noch rechtzeitig, und meine Wachen konnten sie überwältigen. Bevor man sie unschädlich machte, gab sie noch den Namen der Person preis, die hinter dem Plan steckte.;;Estaba sentado tan tranquilamente con mis hermosas sirvientas, disfrutando de una copa de vino caro tras la gran cena cuando, de repente, vi a una de ellas correr hacia m?con un puñal en mano. Pegu?un brinco justo a tiempo y mis guardas la cogieron antes de que pudiera atacarme de nuevo. Antes de que se ocuparan de ella, pronunci?el nombre de quien había ideado el plan.;;;;;;;;;x
EVTOPTA7958;È¥ËÀ°É, [FromFrom.GetTitledFirstName]!;Maudit soi [FromFrom.GetTitledFirstName]?;Verdammt sollst du sein, [FromFrom.GetTitledFirstName]!;;¡Maldita sea [FromFrom.GetTitledFirstName]!;;;;;;;;;x
EVTDESC7959;ÎÒÊæ·şµÄ×ø×Å,×óÓµÓÒ±§ÃÀÀöµÄÊÌÕß,´ó²ÍÖ®ºóÕıÄÃÃÀ¾ÆÏûÊ³,Í»È»¼äÆäÖĞÒ»¸öÊÌ´Ó¾Ù×ÅØ°Ê×ÆË¹ıÀ´. ËµÊ±³ÙÄÇÊ±¿ì, ÎÒÒ»ÏÂÌø¿ª, ÈÃÊØÎÀÃÇ°ÑËıÄÃÏÂ. Ëı²»ÔÙÊÇÍşĞ²ÁË,µ«¿ÖÅÂÒ²Ö»ÊÇÒ»¿ÌÆú×Ó,»¹²»ÖªµÀÊÇË­ÔÚÄ»ºó.;J'étais en train de passer un bon moment avec mes magnifiques servantes, je buvais une coupe de bon fin après un somptueux repas, quand soudain je vis l'une d'elles foncer vers moi, une dague ?la main. J'eus tout juste le temps de l'esquiver, mes gardes s'emparèrent d'elle avant qu'elle eût le temps de frapper ?nouveau. Elle a ét?mise ?mort, mais je pense que ce n'était qu'une exécutante. Qui donc tire les ficelles?;Als ich gerade mit meinen hübschen Bediensteten beisammensa? genüsslich teuren Wein schlürfend nach festlichem Mahle, rannte plötzlich eine Dienerin auf mich zu, den Dolch in der Hand. Ich sprang auf, gerade noch rechtzeitig, und meine Wachen konnten sie überwältigen. Sie wurde unschädlich gemacht und doch war sie nur das Werkzeug. Wer steckt hinter dem Plan?;;Estaba sentado tan tranquilamente con mis hermosas sirvientas disfrutando de una copa de vino caro tras la gran cena cuando, de repente, vi a una de ellas correr hacia m?con un puñal en mano. Pegu?un brinco justo a tiempo y mis guardas la cogieron antes de que pudiera atacarme de nuevo. Ya se encargaron de ella, pero me temo de que era simplemente un títere. ¿Quién estaba detrás de ese plan?;;;;;;;;;x
EVTOPTA7959;¿ÖÅÂÎÒÓÀÔ¶²»ÖªµÀ.;Je ne le saurai sans doute jamais.;Ich fürchte, das werde ich nie erfahren.;;Me temo que nunca lo sabr?;;;;;;;;;x
EVTDESC7960;ÎÒµÄÍ¬Ä±, [From.GetTitledName], ¸æÖªÎÒ [Root.PlotTarget.GetTitledName] ½«ËÀÔÚ [Root.PlotTarget.GetHerHis] ×Ô¼ºµÄ¹¬µî, ¶ø¸î¿ª [Root.PlotTarget.GetHerHis] ºíÁüµÄÊÇ [Root.PlotTarget.GetHerHis] ×Ô¼ºµÄÊÌ´Ó.;Mon co-conspirateur [From.GetTitledName] m'a fait savoir que [Root.PlotTarget.GetTitledName] allait mourir dans son propre palais, la gorge tranchée par une de ses servantes.;Mein Mitverschwörer [From.GetTitledName] hat mir mitgeteilt, dass [Root.PlotTarget.GetTitledName] in [Root.PlotTarget.GetHerHis] eigenen Palast sterben wird, durch einen Dolch an [Root.PlotTarget.GetHerHis] Kehle, der von [Root.PlotTarget.GetHerHis] eigenen Dienern geführt werden wird.;;;;;;;;;;;x
EVTOPTA7960;ÈËÔÚ×ö,ÌìÔÚ¿´!;Voil?ce qu'apporte la décadence?;Das ist die Konsequenz der Dekadenz!;;Esto es lo que conlleva la decadencia!;;;;;;;;;x
EVTDESC7961;[From.GetTitledName] Í¬ÒâÎÒÓÃ [From.PlotTarget.GetTitledName]  [From.PlotTarget.GetHerHis] ×Ô¼ºµÄÊÌ´ÓÄ±º¦ËûµÄÖ÷Òâ. [Root.Religion.GetRandomGodName] ¶¨µ±ÈÏ¿ÉÎÒÇåÀí [From.PlotTarget.GetTitledFirstName]¸¯»¯µÄ×ï¶ñ.;[From.GetTitledName] approuve mon plan de faire assassiner [From.PlotTarget.GetTitledName] par une de ses servantes. [Root.Religion.GetRandomGodName] nous pardonnera certainement en raison de la décadence de [From.PlotTarget.GetTitledFirstName].;[From.GetTitledName] teilt meine Ansicht, dass [From.PlotTarget.GetTitledName] von [From.PlotTarget.GetHerHis] eigenen Dienern ermordet werden soll. [Root.Religion.GetRandomGodName] wird mir bestimmt vergeben, denn ich bereite der Dekadenz von [From.PlotTarget.GetTitledFirstName] ein Ende.;;[From.GetTitledName] aprueba mi idea de asesinar a [From.PlotTarget.GetTitledName] mediante [From.PlotTarget.GetHerHis] propias sirvientas. Seguro que [Root.Religion.GetRandomGodName] me perdonar?por las formas decadentes de [From.PlotTarget.GetTitledFirstName];;;;;;;;;x
EVTDESC7962;[From.GetTitledName]Í¨ÖªÎÒ´ÌÉ± [From.PlotTarget.GetTitledName] µÄ¼Æ»®Õı°´²¿¾Í°à½øĞĞÖĞ. ¼¸¸ö[From.PlotTarget.GetHerHis]ÊÌ´ÓÖÒÓÚÎÒÃÇµÄÊÂÒµ, ×¼±¸ÔÚÒ»¸öÔÂÖ®ºóÖ´ĞĞ¼Æ»®.;[From.GetTitledName] m'a fait savoir que notre projet de faire assassiner [From.PlotTarget.GetTitledName] se déroule bien. Plusieurs de ses servantes sont ralliées ?notre cause et nous serons prêts ?frapper d'ici un mois.;[From.GetTitledName] teilte mir mit, dass das Komplott zur Ermordung von [From.PlotTarget.GetTitledName] Fortschritte macht. Einige [From.PlotTarget.GetHerHis] Diener stehen auf unserer Seite und werden innerhalb eines Monats bereit zum Zuschlagen sein.;;[From.GetTitledName] me ha comunicado que la conspiración para asesinar a [From.PlotTarget.GetTitledName] avanza con éxito. Varias de [From.PlotTarget.GetHerHis] sirvientas son leales a nuestra causa y en cuestión de un mes estaremos listos para dar el golpe.;;;;;;;;;x
EVTDESC7963;³É¹¦! [From.GetTitledName] ËÀÁË. ²»ĞĞµÄÊÇÎÒµÄ²ÎÓëÒ²±»·¢¾õ.;C'est une réussite? [From.GetTitledName] vient de trépasser. Malheureusement, mon implication a ét?découverte.;Hurra! [From.GetTitledName] ist tot. Leider wurde meine Mittäterschaft bekannt.;;¡Éxito! [From.GetTitledName] ha muerto. Desafortunadamente, mi complicidad fue descubierta.;;;;;;;;;x
EVTOPTA7963;ºÃ, µ«²»ÔõÃ´ºÃ.;Une bonne et une mauvaise nouvelle...;Gut. Das heißt ... schlecht.;; Bien. Pero.. Mal;;;;;;;;;x
EVTDESC7964;³É¹¦! [From.GetTitledName] ËÀÁËÒ²²»ÖªµÀ [From.GetPossPronoun]É±ÊÖ. ÊÜ»ßµÄÊÌ´ÓÒÑ¾­±»ÕÕÁÏ,²»¿ÉÄÜÔÙÌá¼°µ±ÈÕ·¢ÉúÖ®ÊÂ.;C'est une réussite? [From.GetTitledName] vient de trépasser sans connaître le nom de son assassin. Les servantes soudoyées ont ét?réduites au silence et ne révèleront rien de ce qui s'est pass?;Frohe Kunde! [From.GetTitledName] starb, ohne den Namen [From.GetPossPronoun] Mörders zu erfahren. Um die bestochenen Diener hat man sich gekümmert. Sie werden schweigen wie ein Grab.;;¡Éxito! [From.GetTitledName] ha muerto sin saber el nombre de [From.GetPossPronoun] asesino. Nos hemos ocupado de las sirvientas sobornadas y no hablarán de lo sucedido ese día.;;;;;;;;;x
EVTOPTA7964;ÎÒÓ¦µ±Çì×£..Ğ¡Ğ¡µÄÇì×£Ò»ÏÂ.;Il faut fêter cela... discrètement.;So will ich frohlocken und feiern ... in Maßen.;;Yo debo celebrarlo... modestamente;;;;;;;;;x
EVTDESC7965;Íêµ°ÁË! [From.GetTitledName] Ìıµ½ÁËÎÒÃÇµÄÍ¬Ä±ÌÖÂÛÄ±É± [From.GetHerHim]Ö®ÊÂ.;C'est un échec? [From.GetTitledName] a entendu les servantes corrompues discuter et a découvert notre projet de l'éliminer?;Fehlschlag! [From.GetTitledName] belauschte unsere Diener und bekam Wind von unserem Plan, [From.GetHerHim] zu ermorden.;;¡Fracaso! [From.GetTitledName] oy?a nuestras sirvientas hablar y descubri?nuestra conspiración par matar [From.GetHerHim].;;;;;;;;;x
EVTOPTA7965;³¹µ×ÍêÁË.;Cela ne va pas.;Das ist gar nicht gut.;;Malíssima;;;;;;;;;x
EVTDESC7966;Íêµ°ÁË! [From.GetTitledName] ·¢¾õÁËÊÂÇé²»¶Ô,µ÷×ßÁËÊÌ´Ó. ²»¹ıËûÒ²ÎŞ´ÓÖªÏş¼Æ»®Ï¸½Ú.;C'est un échec? [From.GetTitledName] a senti que quelque chose n'allait pas et a fait éloigner ses servantes. Mais personne ne sait qui tire les ficelles.;Fehlschlag! [From.GetTitledName] wurde misstrauisch und lie?die Diener entfernen. Allerdings hat er von unserem Plan nichts erfahren.;;¡Fracaso! [From.GetTitledName] se percat?de que pasaba algo y se llevaron a las sirvientas. De todos modos, fue incapaz de descubrir nuestra conspiración.;;;;;;;;;x
title_appointed_regent;Ö¸¶¨ÉãÕş;Régent désign?Designierter Regent;; Regente Nombrado;;;;;;;;;x
title_appointed_regent_desc;¾³¿öËùÆÈÊ±,Õâ¸ö½ÇÉ«»á³ÉÎªÉãÕş;Ce personnage deviendra régent s'il en faut un.;Diese Person wird im Bedarfsfall zum Regenten ernannt.;;Este personaje se convertir?en el Regente si es necesario;;;;;;;;;x
INTERACTION_REQ_REC_IS_DJ_LIEGE_OR_ADJ;§Y[Recipient.GetTitledFirstName]§! ±ØĞëÓëÎÒ½ÓÈÀ£¬»òÕßÊÇÎÒÊ×¶¼µÄ·¨ÀíÁìÖ÷;§Y[Recipient.GetTitledFirstName]? doit être soit un voisin, soit le seigneur de jure de ma capitale;§Y[Recipient.GetTitledFirstName]? muss ein Nachbar oder der De-Jure-Lehnsherr meiner Hauptstadt sein;;§Y[Recipient.GetTitledFirstName]? tiene que ser un vecino o el señor feudal De Jure de mi Capital;;;;;;;;;x
