;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
NAME_W_NICK;$TITLE$ $NAME$ '$NICK$';$TITLE$ $NAME$ '$NICK$';$TITLE$ $NAME$ '$NICK$';;$TITLE$ $NAME$ '$NICK$';;;;;;;;;x
RETRACT_VASSAL_INTERACTION_1;ÈÃ§Y[ThirdPartyCharacter.GetBestName]§W³ÉÎªÄãµÄÖ±Êô·â³¼¡£§Y[Recipient.GetTitledFirstName]§W¶ÔÄãµÄºÃ¸Ğ»á½µµÍ§R$OPINION$§W;Faire de §Y[ThirdPartyCharacter.GetBestName]§W votre vassal direct, réduisant de §R$OPINION$§W l'opinion que §Y[Recipient.GetTitledFirstName]§W a de vous.;Mache §Y[ThirdPartyCharacter.GetBestName]§W zu deinem direkten Vasallen und vermindere §Y[Recipient.GetTitledFirstName]§Ws Meinung von dir um §R$OPINION$§W.;;Hacer de §Y[ThirdPartyCharacter.GetBestName]§W tu vasallo directamente, rebajando la opinión que §Y[Recipient.GetTitledFirstName]§W tiene de ti en §R$OPINION$§W.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2;¶à¿÷ÓĞ§Y$CROWN_TITLE$§!µÄÍõÈ¨È¨Íş£¬ÎÒÃÇµÄ·â³¼ÎŞ·¨¾Ü¾ø.;Grâce au niveau d'autorité de la couronne en §Y$CROWN_TITLE$§!, nos vassaux ne peuvent y objecter.;Dank der Kronenautorität in den §Y$CROWN_TITLE$§! können unsere Vasallen keinen Widerspruch einlegen.;;Gracias a la autoridad real en el §Y$CROWN_TITLE$§!, nuestros vasallos no podrán oponerse.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2B;ÒòÎª§Y[Recipient.GetTitledFirstName]§!ÅÑ¹ú£¬ËùÒÔÎÒÃÇµÄ·â³¼²»»á·´¶Ô¡£;Puisque §Y[Recipient.GetTitledFirstName]§! est coupable de trahison, nos vassaux ne s'opposeront pas à cette décision.;Da §Y[Recipient.GetTitledFirstName]§! ein Verräter ist, werden unsere Vasallen nicht widersprechen.;;Como §Y[Recipient.GetTitledFirstName]§! es un traidor, nuestros vasallos no se opondrán.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2C;ÒòÎª §Y[Recipient.GetTitledFirstName]§! ÊÇ¸öÒì½ÌÍ½, Ö»ÓĞĞÅÑö §Y[Recipient.Religion.GetName]§! µÄ·â³¼»á¸Ğµ½Ê§Íû (§R$OPINION$§!).;Puisque §Y[Recipient.GetTitledFirstName]§! est un infidèle, seuls les vassaux de religion §Y[Recipient.Religion.GetName]§! s'y opposeront (§R$OPINION$§!).;Da §Y[Recipient.GetTitledFirstName]§! ein dreckiger §Y[Recipient.Religion.GetName]§! ist, werden unsere Vasallen nicht widersprechen.;;Como §Y[Recipient.GetTitledFirstName]§! es un fiel §Y[Recipient.Religion.GetName]§!, nuestros vasallos no se opondrán.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2D;ÕâÃ´×ö»áÎ¥±³·â³¼·¨£¬²¢»áÊ¹ÄãÆäËûµÄ·â³¼Ê§Íû(§R$OPINION$§!)¡£;Cet acte constitue une violation du contrat féodal, ce qui ne manquera pas de froisser vos autres vassaux (§R$OPINION$§!).;Dies ist ein Bruch des Feudalvertrages und wird deine anderen Vasallen beunruhigen (§R$OPINION$§!).;;Esta es una ruptura del contrato feudal y enfadará a nuestros vasallos (§R$OPINION$§!).;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2N;This is a breach of the feudal contract and will upset your other non-Nomadic vassals (§R$OPINION$§!).;Cet acte constitue une violation du contrat féodal, ce qui ne manquera pas de froisser vos autres vassaux non-nomades (§R$OPINION$§!).;Dies ist ein Bruch des Feudalvertrages und wird deine anderen nicht nomadischen Vasallen beunruhigen (§R$OPINION$§!).;;Esta es una ruptura del contrato feudal y enfadará a nuestros vasallos no nómadas (§R$OPINION$§!).;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2E;ÎÒÃÇµÄµÛ¹úĞĞÕş·¨¿ÉÈÃÎÒÃÇ²»ÓÃÀí»á¹ó×å½×²ãµÄ·´¶Ô¶øÊÕ»Ø¸÷·â³¼Í·ÏÎ¡£;Notre administration impériale nous autorise à soustraire des vassaux sans pénalité.;Unsere imperiale Administration erlaubt uns, Vasallen zurückzunehmen, ohne dass der Adel widerspricht.;;Nuestra administración imperial nos permite desafectar vasallos sin objeciones de la aristocracia.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_ACCEPT_SETUP;ÊÕ»Ø·â³¼Í·ÏÎ;Vassal soustrait;Vasall zurückgenommen;;Vasallo desafectado;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§WÒÑ°Ñ§Y[ThirdPartyCharacter.GetBestName]§WÍ·ÏÎ×ª·â¸ø§Y[Recipient.GetBestName]§W¡£;§Y[Actor.GetBestName]§W a soustrait le vasselage de §Y[ThirdPartyCharacter.GetBestName]§W à §Y[Recipient.GetBestName]§W;§Y[Actor.GetBestName]§W hat das Vasallentum von §Y[ThirdPartyCharacter.GetBestName]§W von §Y[Recipient.GetBestName]§W zurückgenommen.;;§Y[Actor.GetBestName]§W ha transferido el vasallaje de §Y[Recipient.GetBestName]§W sobre §Y[ThirdPartyCharacter.GetBestName]§W;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_LETTER;ÎÒÃÇÒÑ¾­¾ö¶¨ÊÕ»Ø[ThirdPartyCharacter.GetBestName]µÄÍ·ÏÎ¡£;Nous avons décidé de soustraire de votre vassalité [ThirdPartyCharacter.GetBestName]. Un refus mènera à la guerre.;Wir haben entschieden, das Vasallentum von [ThirdPartyCharacter.GetBestName] zurückzunehmen. Ablehnung wird zu Krieg führen.;;Hemos decidido desafectar el vasallaje de [ThirdPartyCharacter.GetBestName]. Negarse a aceptarlo nos llevará a la guerra.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_DECLINE_SETUP;ÊÕ»ØÍ·ÏÎÔâ¾Ü¡£;Retrait du vassal refusé;Vasallenrücknahme abgelehnt;;Desafección de un vasallo rechazada;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W¾Ü¾ø°´§Y[Actor.GetBestName]§WÒªÇóµÄ,ÊÕ»Ø·â³¼§Y[ThirdPartyCharacter.GetBestName]§WµÄÍ·ÏÎ¡£;§Y[Recipient.GetBestName]§W a refusé de se voir soustrait le vassal §Y[ThirdPartyCharacter.GetBestName]§W, comme l'a exigé §Y[Actor.GetBestName]§W;§Y[Recipient.GetBestName]§W hat die Rücknahme des Vasallen §Y[ThirdPartyCharacter.GetBestName]§W, gefordert von §Y[Actor.GetBestName]§W, abgelehnt.;;§Y[Recipient.GetBestName]§W ha rechazado la desafección de su vasallo §Y[ThirdPartyCharacter.GetBestName]§W, demandada por §Y[Actor.GetBestName]§W;;;;;;;;;x
EVTDESC274;Ö÷ÉÏ£¬ÎÒ½ÓÊÜÄúÊÕ»ØÎÒ[Root.GetBestName]Í·ÏÎµÄ¾ö¶¨£¬¾¡¹ÜÕâ»áÈÃÎÒ±¯Í´Íò·Ö¡£;M[Root.GetHerHis] [Root.GetLordLady], \nJ'accepte votre décision de me soustraire mon vassal, [Root.GetBestName], bien que cela me peine énormément.;Mein Lehnsherr, ich akzeptiere Eure Entscheidung, meinen Vasallen, [Root.GetBestName], zurückzunehmen, auch wenn sie mich tief betrübt.;;Mi Señor, acepto la decisión de desafectar mi vasallo, [Root.GetBestName], aunque me apena tremendamente.;;;;;;;;;x
EVTDESC275;ÄúÎ¥±³ÁË·â³¼·¨!ÕæÈÃÈËÄÑÒÔ½ÓÊÜ£¡ÎÒ²»Ï§Ò»Õ½Ò²Òªº´ÎÀÎÒµÄÍ·ÏÎ£¡;Cette violation du droit féodal est inacceptable, je n'abandonnerai pas mon vassal sans combattre !;Euer Bruch des feudalen Vertrages ist inakzeptabel, ich werde meinen Vasallen nicht ohne Kampf aufgeben!;;Tu ruptura del contrato feudal es inaceprable, ¡No entregaré ninguno de mis vasallos si no es a por medio de las armas!;;;;;;;;;x
CANNOT_DESTROY_GAVELKIND_TITLE;¸ù¾İÄĞ×Ó¾ù·Ö¼Ì³ĞÖÆ£¬Äú²»ÄÜÏú»ÙÍ·ÏÎ¡£;Les titres ne peuvent être détruits si vous êtes soumis au partage salique.;Kann unter Realerbteilungsrecht keine Titel vernichten;;No puedes destruir títulos bajo la ley de sucesión por división;;;;;;;;;x
INTERACTION_REQUIRES_PIETY;§Y[Actor.GetTitledFirstName]§! ¿ÉÒÔ³ĞÊÜÊ§È¥ §Y$COST$§W [Player.Religion.GetPietyName];§Y[Actor.GetTitledFirstName]§! dispose d'assez de [Player.Religion.GetPietyName] pour en perdre §Y$COST$§W;§Y[Actor.GetTitledFirstName]§! kann es sich leisten, §Y$COST$§W [Player.Religion.GetPietyName] zu verlieren;;§Y[Actor.GetTitledFirstName]§! no puede permitirse la perdida de §Y$COST$§W [Player.Religion.GetPietyName];;;;;;;;;x
INTERACTION_REQUIRES_MONEY;§Y[Actor.GetTitledFirstName]§! ¿ÉÒÔÖ§¸¶ §Y$COST$§W¤;§Y[Actor.GetTitledFirstName]§! peut débourser la somme de §Y$COST$§W¤;§Y[Actor.GetTitledFirstName]§! kann §Y$COST$§W¤ zahlen;;§Y[Actor.GetTitledFirstName]§! no puede pagar §Y$COST$§W¤;;;;;;;;;x
INTERACTION_REQUIRES_PRESTIGE;§Y[Actor.GetTitledFirstName]§! ¿ÉÒÔ³ĞÊÜÊ§È¥ §Y$COST$§W µãÍşÍû;§Y[Actor.GetTitledFirstName]§! dispose d'assez de prestige pour en perdre §Y$COST$§W;§Y[Actor.GetTitledFirstName]§! kann es sich leisten, §Y$COST$§W Prestige zu verlieren;;§Y[Actor.GetTitledFirstName]§! puede permitirse la perdida de §Y$COST$§W prestigio;;;;;;;;;x
CelticUnitPackDLC;¿­¶ûÌØµ¥Ôª°ü;Pack d'unités celtiques;Keltisches Einheitenpacket;;Pack de Unidades Celtas;;;;;;;;;x
CelticPortraitsDLC;¿­¶ûÌØÈºÏñ;Portraits celtiques;Keltische Porträts;;Perfiles Celtas;;;;;;;;;x
broken_spirit;ÒâÖ¾Ïû³Á;Esprit brisé ;Gebrochener Geist;;Espíritu Solitario;;;;;;;;;x
opinion_subjugated_other_rel;Õ÷·şÆäËû×Ú½Ì;Assujettissement;Unterworfen;;Subyugado;;;;;;;;;x
d_meath_adj_irish;ËşÀ¼µÄ;taran;Taranisch;;Taran;;;;;;;;;x
d_ghanan_band;¼ÓÄÉ¾üÍÅ;Bande armée ghanéenne;Bande von Ghana;;Banda Ghanesa;;;;;;;;;x
d_ghanan_band_adj;¼ÓÄÉµÄ;ghanéenne;Ghanaisch;;Ghanesa;;;;;;;;;x
AIREASON_CONSORT_CLAIMANT;ÊÇĞû³ÆÕß;Est un prétendant;Ist Anwärter;;Es un pretendiente;;;;;;;;;x
;#RULER_HAS_BECOME_KING_AMBITION;With the ambition to become king of §Y[PrimaryTitle.GetName]§!, §Y[GetTitovledFirstName]§! is not allowed to move the capital outside the de jure kingdom.;;Mit der Ambition, K?nig von §Y[PrimaryTitle.GetName]§! zu werden, darf §Y[GetTitledFirstName]§! die Hauptstadt nicht au?erhalb des de jure K?nigreichs verlegen..;;Con la ambici¨®n de convertirse en Rey de §Y[PrimaryTitle.GetName]§!, a §Y[GetTitledFirstName]§! no se le permite mover su capital fuera del Reino de jure.;;;;;;;;;x;
hellenic_pagan;Ï£À°¶àÉñ½Ì;hellénique;Hellenisch;;Helenística;;;;;;;;;x
hellenic_pagan_DESC;Ï£À°»¯µÄ¶àÉñ½ÌĞÅ·îÖì±ÓÌØ, Âí¶ûË¹, Ä«ÇğÀû, Î¬ÄÉË¹, ÃÜÄùÍßºÍÎ¬Ë¹ËşµÈÊ®¶şÖ÷Éñ. Ëü·¢Ô´ÓÚ¹ÅÏ£À°, ²¢°éËæÑÇÀúÉ½´ó´óµÛºÍÂŞÂíµÛ¹úµÄÕ÷·ş³ÉÎªÁËµØÖĞº£ÊÀ½çµÄÖ÷Òª×Ú½Ì, Ö±µ½»ù¶½½ÌáÈÆğ.;La religion hellénique est polythéiste, avec un panthéon de douze dieux majeurs dont Jupiter, Mars, Mercure, Venus, Minerve et Vesta. Elle puise ses origines dans la Grèce antique et, grâce aux conquêtes d'Alexandre le Grand et l'Empire romain, elle a pu devenir la religion dominante en Méditerrannée jusqu'à l'avènement du Christianisme.;Die hellenische Religion ist polytheistisch mit einem Pantheon von zwölf Hauptgöttern, zu welchen Jupiter, Mars, Merkur, Venus, Minerva und Vesta gehören. Sie entstammt dem alten Griechenland und wurde durch die Eroberungen Alexander des Großen und des römischen Reiches wurde sie zur Hauptreligion im Mittelmeerraum, bis zum Aufkommen des Christentums.;;La religión helenística es politeista, con un panteón de doce Dioses mayores incluyendo Júpiter, Marte, Mercurio, Venus, Minerva y Vesta. Se originó en la antigua Grecia y, con las conquistas de Alejandro Magno y el Imperio Romano, se convirtió en la religión predominante en el Mediterráneo hasta el auge del Cristianismo.;;;;;;;;;x
GOD_JUPITER;Öì±ÓÌØ;Jupiter;Jupiter;;Júpiter;;;;;;;;;x
GOD_MERCURY;Ä«ÇğÀû;Mercure;Merkur;;Mercurio;;;;;;;;;x
GOD_MARS;Âí¶ûË¹;Mars;Mars;;Marte;;;;;;;;;x
GOD_VENUS;Î¬ÄÉË¹;Venus;Venus;;Venus;;;;;;;;;x
GOD_MINERVA;ÃÖÄù¶ûÍß;Minerve;Minerva;;Minerva;;;;;;;;;x
GOD_VESTA;Î¬Ë¹Ëş;Vesta;Vesta;;Vesta;;;;;;;;;x
pagan_DESC;ÓĞÊ·ÒÔÀ´, Å·ÖŞºÍÖĞ¶«µ®ÉúÁËÊı²»ÇåµÄ²»ÊôÓÚÑÇ²®À­º±×Ú½ÌµÄÒì½ÌĞÅÑö;Depuis l'aube de l'Histoire, tant l'Europe que le Moyen-orient on été le foyer d'innombrables religions païennes et cultes détachés des fois abrahamiques.;Seit dem Beginn der Geschichte waren sowohl Europa als auch der Nahe Osten Heimat unzähliger heidnischer Religionen und Kulte, die nicht zu den abrahamitischen Glauben zählten.;;Desde el comienzo de los tiempos, tanto Europa como Oriente Medio han sido el hogar de incontables religiones paganas y de cultos no relacionados con las religiones abrahámicas.;;;;;;;;;x
d_aztec_reformed;°¢×ÈÌØ¿ËÉñÃí;L'Eglise aztèque;Die aztekische Kirche;;La Iglesia Azteca;;;;;;;;;x
job_spiritual_hellenic_pagan;¼ÀË¾;Devin;Augur;;Augur;;;;;;;;;x
job_spiritual_pagan;¼ÀË¾;Devin;Augur;;Augur;;;;;;;;;x
;#pagan_subjugation_desc;Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become King' ambition, there is no such time limit against targets within the kingdom.) Free men are always willing to follow the mightiest ruler...;;Heiden d¨¹rfen einmal im Leben andere heidnische Anf?hrer unterwerfen. (Mit der 'K?nig werden'-Ambition gibt es kein solches Zeitlimit gegen Gegner innerhalb des K?nigreiches.) Freie M?nner sind immer willens, dem st?rksten Herrscher zu folgen...;;Los paganos pueden subyugar a otros gobernantes paganos durante su vida. (Con la ambici¨®n 'Convertirse en Rey' no hay existe un plazo contra los objetivos dentro de los territorios de ese Reino.) Los hombres libres siempre estar¨¢n dispuestos a seguir al gobernante m¨¢s poderoso...;;;;;;;;;x;
