;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
gamer;ÓÎÏ·´óÊ¦;Expert en jeux;Meisterspieler;;Maestro de juego;;;;;;;;;x
desc_aspiring_trader;Õâ¸ö½ÇÉ«¸Õ¿ªÊ¼Ñ§Ï°ÉÌµÀ,ÓĞÍûÒ»ÌìÃûÀûÁ½»ñ.;Ce personnage commence ?apprendre l'art de faire de l'argent avec de l'argent.;Diese Person erlernt gerade die Kunst des Geldverdienens und wie man durch Geld zu Ruhm kommt.;;Este personaje comienza a aprender el arte de ganar dinero y fama con el dinero.;;;;;;;;;x
trader;ÉÌÈË;Marchand;Händler;;Comerciante;;;;;;;;;x
desc_trader;Õâ¸ö½ÇÉ«Í¨ÏşÁ²²ÆÖ®µÀ;Ce personnage sait comment faire entrer l'argent dans ses coffres par toutes sortes de moyens.;Diese Person hat gelernt, wie sie auf verschiedenste Arten und Weisen ihre Säckel füllen kann.;;Este personaje ha aprendido cómo atraer el dinero a sus arcas de todas clases de formas.;;;;;;;;;x
business_contacts;ÉÌÒµÁªÂç;Relations d'affaires;Geschäftskontakte;;Contactos comerciales;;;;;;;;;x
desc_business_contacts;Õâ¸ö½ÇÉ«°ïÖú¹ú¶È½¨Á¢ÁËÁ¼ºÃµÄÉÌÒµ»·¾³.;Ce personnage a aid??la création d'un climat d'affaires prospère dans le royaume.;Diese Person hat dazu beigetragen, ein positives Geschäftsklima im Reich zu erzeugen.;;Este personaje ha ayudado a crear un clima comercial próspero en el reino.;;;;;;;;;x
maze_pavilion;Á¹Í¤;Pavillon;Pavillon;;Pabellón;;;;;;;;;x
desc_maze_pavilion;ÔÚ [GetHerHis] »¨Ô°Àï£¬ÓĞ¸öÀËÂşÆ§¾²µÄÍ¤×Ó¡£;Ce personnage possède un pavillon romantique cach?au fond de son jardin.;Diese Person hat einen romantischen und abgelegenen Pavillon in ihrem Garten.;;Este personaje tiene un pabellón romántico y aislado en [GetHerHis]jardín.;;;;;;;;;x
building_towards_heaven;ÅÊÌì´óÏÃ;Vers les cieux;In den Himmel bauen;;Edificio hacia el Cielo;;;;;;;;;x
desc_building_towards_heaven;½ÌÊ¿ÃÇ¿É²»Ï²»¶ÖÚÈË¶¼ÓĞ×Ô¼ºÍ¨ÍùÌì¹úµÄ½×Ìİ.;Le clerg?n'apprécie pas vraiment ceux qui comptent construire des escaliers vers le paradis.;Der Klerus ist nicht begeistert, wenn Menschen ihre eigene Himmelsleiter erbauen.;;Al clero realmente no le gusta la gente que construye sus propias escaleras al cielo.;;;;;;;;;x
maze_fountain;ÅçÈª;Fontaine;Springbrunnen;;Fuente ;;;;;;;;;x
desc_maze_fountain;ÔÚ [GetHerHis] »¨Ô°Àï£¬ÓĞ¸ö´óÅçÈª¡£;Ce personnage possède une grande fontaine dans son jardin.;Diese Person hat einen großen Springbrunnen in ihrem Garten.;;Este personaje tiene una fuente grande en [GetHerHis]jardín.;;;;;;;;;x
maze_fountain_extravagant;ÅçÈª;Fontaine;Springbrunnen;;Fuente;;;;;;;;;x
desc_maze_fountain_extravagant;ÔÚ [GetHerHis] »¨Ô°Àï£¬ÓĞ¸öÅç¾ÆµÄ´óÅçÈª¡£;Ce personnage possède une grande fontaine remplie de vin dans son jardin.;Diese Person hat einen großen Springbrunnen in ihrem Garten, der mit Wein gefüllt ist.;;Este personaje tiene una fuente grande en [GetHerHis] jardín, llena de vino.;;;;;;;;;x
great_tower;¸ßËş;Grande tour;Großer Turm;;Gran torre;;;;;;;;;x
desc_great_tower;Õâ¸ö½ÇÉ«½¨ÁË×ù¸ßËş;Ce personnage a construit une grande tour.;Diese Person ist der Erbauer eines großen Turms.;;Este personaje construy?una gran torre.;;;;;;;;;x
opinion_trade_partner;Ã³Ò×»ï°é;Partenaire commercial;Handelspartner;;Compañero comercial;;;;;;;;;x
opinion_disrespecting_culture;²»¾´ÎÄ»¯;Mépris culturel;Geringschätzen einer Kultur;;Falta al respeto a la cultura;;;;;;;;;x
opinion_fine_gift;¾«ÇÉµÄÀñÎï;Beau cadeau;Schönes Geschenk;;Buen regalo;;;;;;;;;x
opinion_religious_quarrel;×Ú½Ì·ÖÆç;Querelle religieuse;Glaubensstreit;;Disputa religiosa;;;;;;;;;x
opinion_family_statues;¼ÒÍ¥¹ÛÄî;Statues familiales;Familienstatuen;;Estatuas de la familia;;;;;;;;;x
opinion_religious_agenda;×Ú½ÌÄ¿µÄ;Projet religieux;Religiöse Agenda;;Agenda religiosa;;;;;;;;;x
opinion_annoyed;²»Óä¿ì;Contrari?Verärgert;;Enojado;;;;;;;;;x
wol_steward_1;ĞÂÊÖ¹ÜÀí;Intendant amateur;Angehender Verwalter;;Administrador aficionado;;;;;;;;;x
desc_wol_steward_1;Õâ¸ö½ÇÉ«ÓĞÖ¾³ÉÎªÒ»¸ö¾«Í¨¹ÜÀíÖ®µÀµÄÈË.;Ce personnage aspire ?être intendant. Il désire maîtriser les arts de l'administration et du gouvernement.;Diese Person ist ein angehender Truchsess und strebt danach, die Kunst der Verwaltung und des Regierens zu erlernen.;;Este personaje es un aspirante a administrador que trata de dominar el arte de la administración y la gestión de los asuntos públicos.;;;;;;;;;x
wol_steward_2;¹ÜÀíÈË;Intendant;Verwalter;;Administrador;;;;;;;;;x
desc_wol_steward_2;Õâ¸ö½ÇÉ«Í¨Ïş¹ÜÀíÖ®µÀ.;Ce personnage est un intendant expériment?qui possède des dons en administration et en gestion.;Diese Person ist ein erfahrener Truchsess mit einem Talent für Verwaltung und Regierung.;;Este personaje es un administrador con experiencia, dotado en la administración y dirección.;;;;;;;;;x
wol_raja_dharma;´ó·¨Íõ;Grand Raja Dharma;Dharma des großen Radschas;;El gran Raj?Dharma;;;;;;;;;x
desc_wol_raja_dharma;Õâ¸ö½ÇÉ«Í¨Ïş´ïÄ¦,×ÅÊµÊÇ¸öÎ°´óµÄÍ³ÖÎÕß.;Ce personnage suit les principes de Dharma et a montr?qu'il était un souverain exceptionnel.;Diese Person folgt den Grundsätzen des Dharma und verfügt über außergewöhnliche Fähigkeiten als Herrscher.;;Este personaje ha seguido los principios de Dharma y ha resultado ser un jefe excepcional.;;;;;;;;;x
nick_the_rash;Ë®¶»;l'Imprudent;der/die Vorschnelle;;la Erupción;;;;;;;;;x
wol_legendary_wisdom;´«ÆæÖÇÕß;Sagesse légendaire;Legendäre Weisheit;;Sabiduría legendaria;;;;;;;;;x
desc_wol_legendary_wisdom;ÕâÈËµÄÖÇ»ÛÎŞÈË²»ÖªÎŞÈË²»Ïş.;La sagesse de ce personnage est connue de tous.;Die Weisheit dieser Person ist im ganzen Land bekannt.;;La sabiduría de este personaje es célebre en todas partes las tierras.;;;;;;;;;x
wol_respected_ruler;ÊÜ¾´ÖØµÄÍ³ÖÎÕß;Souverain respect?Angesehener Herrscher;;Gobernante respetado;;;;;;;;;x
desc_wol_respected_ruler;ÉíÎªÍ³ÖÎÕß,Õâ¸ö½ÇÉ«ÔÚ¹úÄÚÍâ¶¼ÊÜÈË¾´Ñö.;Ce personnage s'est fait respecter en tant que souverain.;Diese Person hat als Herrscher an Ansehen gewonnen.;;Este personaje ha ganado el respeto como gobernante.;;;;;;;;;x
EVTDESC_WOL_114;ÎÒ¹´ÒıµÄÄ¿±ê,[FromFromFrom.GetTitledFirstName],ÏÖÔÚÊÇÎÒµÄ [GetFromFromFromRelation]ÔÙ×·ÇóÏÂÈ¥Ò²Ã»Ê²Ã´ºÃ´¦ÁË.;[FromFromFrom.GetTitledFirstName], que je cheche ?séduire, est maintenant m[FromFromFrom.GetHerHis] [GetFromFromFromRelation]. Tout effort supplémentaire est inutile.;[FromFromFrom.GetTitledFirstName], das Ziel meiner Verführung, ist nun mein/e [GetFromFromFromRelation], daher sind weitere Bemühungen unnötig.;;[FromFromFrom.GetTitledFirstName], el objetivo de mi seducción, ahora es mi [GetFromFromFromRelation], haciendo bastante inútiles esfuerzos posteriores.;;;;;;;;;x
EVTOPTA_WOL_114;[FromFromFrom.GetSubjectPronounCap] ÒÑ¾­ÊÇÎÒµÄÈË¶ùÁË.;[FromFromFrom.GetSubjectPronounCap] est ?moi quoi qu'il arrive;[FromFromFrom.GetSubjectPronounCap] habe ich bereits erobert.;;[FromFromFrom.GetSubjectPronounCap] de todos modos es mío/a.;;;;;;;;;x
EVTOPTA_WOL_202;ÎÒ»¹²»»á·ÅÆú;Je n'abandonnerai pas tout de suite;Ich gebe noch nicht auf;;Aún no me rendir?;;;;;;;;;x
EVTDESC_WOL_2230;ÔÚ [target_captive.Host.GetTitledFirstNameNoRegnal]µÄĞ¡Ğ¡Äñ¸æËßÎÒ, [target_agent.GetBestName], ÒÑ¾­ÎŞ·¨¼ÌĞøÈÎÎñÁË.;Mon agent ?la cour de [target_captive.Host.GetTitledFirstNameNoRegnal], [target_agent.GetBestName], n'est plus en mesure de mener sa mission ?bien.;Mein Helfershelfer am Hof von [target_captive.Host.GetTitledFirstNameNoRegnal] [target_agent.GetBestName] kann die Mission nicht mehr ausführen.;;Mi agente en la corte de [target_captive.Host.GetTitledFirstNameNoRegnal], [target_agent.GetBestName], ya no es capaz de realizar la misión.;;;;;;;;;x
EVTOPTA_WOL_2230;¿´À´ÎÒµÃÕÒĞÂÏßÈËÁË;Je devrai en trouver un autre...;Ich muss eine neue Kontaktperson finden...;;Tendr?que buscar otro contacto...;;;;;;;;;x
EVTDESC_WOL_2231;Ç×°®µÄ [Root.GetTitledFirstNameNoRegnal], ¿ÖÅÂÎÒ½â·Å [target_captive.GetBestName] µÄ¼Æ»®ĞèÒª»¨·Ñ¸ü¶à½ğÇ®. Èç¹ûÄãÏ£Íû [target_captive.GetObjectPronoun] È¡µÃ×ÔÓÉ,ÇëËÍÀ´¸ü¶àµÄ×Ê½ğ.\n\nÄãµÄÅóÓÑ, [target_agent.GetBestName];Ch[Root.GetBoyGirl] [Root.GetTitledFirstNameNoRegnal], j'ai peur que mon projet de libérer [target_captive.GetBestName] ne coûte plus cher que prévu. Si vous souhairez toujours sa libération, veuillez me faire parvenir les fonds nécessaires.\n\nVotre ami[target_agent.GetNoneE], [target_agent.GetBestName];Oh [Root.GetTitledFirstNameNoRegnal], ich befürchte, dass mein Plan zur Befreiung von [target_captive.GetBestName] kostspieliger wird als ursprünglich gedacht. Falls Ihr [target_captive.GetObjectPronoun] immer noch befreien wollt, schickt mir bitte die nötigen Mittel.\n\nEuer Freund, [target_agent.GetBestName];;Querido/a [Root.GetTitledFirstNameNoRegnal], me temo que el plan he diseñado para liberar a [target_captive.GetBestName] costar?más dinero del que había estimado. Si aún deseas ver[target_captive.GetObjectPronoun] libre, por favor envíame los fondos necesarios.\n\nTu amigo/a[target_agent.GetBestName];;;;;;;;;x
EVTOPTA_WOL_2231;¿´À´ÎÒ±ğÎŞÑ¡Ôñ;Je n'ai pas le choix...;Ich habe wohl keine andere Wahl ...;;Supongo que no tengo otra opción...;;;;;;;;;x
EVTOPTC_WOL_2231;ÊÇÊ±ºò·ÅÆúÁË;Abandonnons l?ce projet;Der Plan muss abgeblasen werden;;Es hora de abandonar a este plan;;;;;;;;;x
EVTDESC_WOL_2232;ÎÒ¾¡Á¦ÁË,µ«ÈÔÃ»ÓĞÔÚ [target_captive.Host.GetTitledFirstName]µÄ¹¬ÖĞÕÒµ½Ô¸Òâ°ïÖú[target_captive.GetBestName] ÌÓÍÑµÄÈË.;Malgr?tous mes efforts, je n'ai toujours pas réussi ?trouver quelqu'un ?la cour de [target_captive.Host.GetTitledFirstName] qui accepte d'aider [target_captive.GetBestName] ?s'échapper.;Trotz meiner Bemühungen habe ich immer noch niemanden am Hof von [target_captive.Host.GetTitledFirstName] ausfindig machen können, der bereit wäre, bei der Befreiung von [target_captive.GetBestName] zu helfen.;;A pesar de mis mejores esfuerzos, aún no he logrado encontrar a nadie en la corte de [target_captive.Host.GetTitledFirstName] que est?dispuestos a ayudar a la fuga de [target_captive.GetBestName].;;;;;;;;;x
EVTOPTA_WOL_2232;¼ÌĞøÕÒ;Poursuivre les recherches;Suche fortsetzen;;Sigue buscando;;;;;;;;;x
EVTOPTB_WOL_2232;ÎÒ·ÅÆú!;J'abandonne?;Ich gebe auf!;;!Me rindo!;;;;;;;;;x
EVTOPTA_WOL_3003;ÎÒÕæ³ÏÓÖÊÜ»¶Ó­;Je veux être génial, je veux qu'on m'apprécie;Ich werde originell und beliebt sein;;Ser?cordial y apreciado;;;;;;;;;x
EVTOPTB_WOL_3003;ÎÒ½«³ÉÎªÈËÉúÂ·µÄ´óÊ¦;Je veux maîtriser le jeu de la vie;Ich werde das Spiel des Lebens meistern;;Dominar?el juego de la vida;;;;;;;;;x
EVTDESC_WOL_10101;[From.GetTitledFirstName] Ö®Ç°ËµËûÏëÈÃ [From.PrimaryTitle.GetName] [From.PrimaryTitle.GetTier] ·¢²Æ¡£ÏÖÔÚÓĞ¸ö»ú»á£¬Ã»×¼ÄÜ½¨Á¢ÆğÒ»ÌõÄÜ×¬Ç®µÄĞÂÃ³Ò×Â·Ïß¡£;[From.GetTitledFirstName] a par le pass?exprim?le désir d'enrichir [From.PrimaryTitle.GetTier] de [From.PrimaryTitle.GetName]. L'opportunit?se présente de créer une route commerciale possiblement lucrative pour [From.GetTitle.GetFullName].;[From.GetTitledFirstName] hat früher bereits den Wunsch geäußert, den Reichtum von das [From.PrimaryTitle.GetTier] von [From.PrimaryTitle.GetName] zu mehren. Nun bietet sich mir die Gelegenheit, eine Handelsroute für [From.GetTitle.GetFullName] aufzubauen.;;[From.GetTitledFirstName] había expresado con anterioridad el deseo de traer la riqueza al [From.PrimaryTitle.GetTier] de [From.PrimaryTitle.GetName]. Se me ha presentado la oportunidad de establecer una ruta comercial para el [From.GetTitle.GetFullName].;;;;;;;;;x
EVTOPTA_WOL_10101;Ïò [From.GetTitledFirstName]ËµÃ÷.;En parler ?[From.GetTitledFirstName].;Präsentiert [From.GetTitledFirstName] Euren Plan;;Preséntaselo a [From.GetTitledFirstName].;;;;;;;;;x
EVTOPTB_WOL_10101;ÎÒÓĞ¸üÖØÒªµÄÊÂÇéÒª×ö;J'ai d'autres priorités.;Ich habe Wichtigeres zu tun.;;Tengo asuntos más importantes.;;;;;;;;;x
EVTDESC_WOL_10102;ÔÚÒ»¸ö [From.GetJobTitle] Ç°À´ËµÃ÷ [From.GetSheHeCap] ´ÓÒì¹úÈ¡µÃÎï×ÊµÄ¼Æ»®. [From.GetSheHe] ½¨ÒéÍ¬Íâ¹ú½¨Á¢ÉÌÂ·,µ«ĞèÒª½øĞĞÒ»´Î°º¹óµÄÔ¶ĞĞ.Ç±ÔÚµÄÀûÈó·á¸».;Au cours de l'après-midi, votre [From.GetJobTitle] vient vous parler de son projet de faire venir des denrées exotiques de l'étranger grâce ?la mise en place d'une route commerciale. Malgr?l'investissement élev? les profits pourraient l'être encore plus.;Am Nachmittag sucht Euch der/die [From.GetJobTitle] auf und erläutert einen Plan, wie exotische Waren ins Reich zu importieren wären. [From.GetSheHeCap] schlägt vor, eine Handelsroute zu einem ausländischen Reich aufzubauen. Dazu wäre zwar eine teure Handelsexpedition nötig, langfristig winken jedoch große Profite.;;Durante la tarde tu [From.GetJobTitle] sube a explicarte [From.GetHerHis] plan para traer bienes exóticos al reino. [From.GetSheHeCap] aconseja establecer una ruta comercial con un reino extranjero, aunque esto requiere una expedición cara que podría resultar completamente provechosa.;;;;;;;;;x
EVTOPTA_WOL_10102;Æô³ÌÔ¶ĞĞ;Montons cette expédition.;Stellen wir die Handelsexpedition zusammen.;;Vamos a preparar la expedición.;;;;;;;;;x
EVTOPTB_WOL_10102;Ç®»¹ÊÇµÃ»¨ÔÚµ¶¼âÉÏ;Mon argent sera mieux utilis?ailleurs.;Ich kann mein Geld sinnvoller einsetzen.;;Mi dinero tiene mejores usos.;;;;;;;;;x
EVTDESC_WOL_10103;"ÊÇÊ±ºò×éÖ¯ÉÌ¶Ó,´øÉÏÍÔĞóÆô³ÌÁË. ÄãÇ°È¥Ñ°ÕÒÊÊºÏÔ¶ĞĞµÄÇ¿×³¶¯Îï,µ«¼Û¸ñ²»·Æ.";Il est temps de doter la caravane marchande de bêtes de somme pour qu'elle parte en expédition. Vous recherchez des animaux forts et endurants, l'idéal pour ce travail. Cependant, leur coût est très élev?;Wir müssen nun unsere Handelskarawane mit Packtieren ausstatten. Für eine solche Handelsexpedition sind starke und robuste Tiere am besten geeignet. Allerdings kosten sie eine Stange Geld.;;Es hora de equipar a nuestra caravana mercante con animales de carga para nuestra expedición comercial. Buscas bestias fuertes y resistentes que serían perfectas para este trabajo pero tienen un precio considerable.;;;;;;;;;x
EVTOPTA_WOL_10103;ÎªÂÃÍ¾¹ºÂòÉü¿Ú.;Acheter les bêtes pour le voyage.;Kauft die Packtiere für die Reise.;;Compra los animales de carga para el viaje.;;;;;;;;;x
EVTOPTB_WOL_10103;¹ÍÒ»»ïÇ¿µÁÈ¥ÍµÍÔĞó.;Embaucher des brigands qui voleront les bêtes.;Gebt einer Banditenbande den Auftrag, die Packtiere zu stehlen.;;Contrata un grupo de bandidos para robar los animales de carga.;;;;;;;;;x
EVTOPTC_WOL_10103;"ÏëÁËÏë,ÎÒÃ»Ç®.";J'ai bien réfléchi, je n'en ai pas les moyens.;Wenn ich darüber nachdenke, kann ich mir die Reise im Moment gar nicht leisten.;;Ahora que lo pienso mejor, no me puedo permitir el viaje de momento.;;;;;;;;;x
EVTDESC_WOL_10104;"ÊÇÊ±ºò×¼±¸Ô¶º½µÄ´¬Ö»ÁË. ¸Û¿Ú¹ÜÀíÔ±Ö¸ÁËÒ»Ìõ²Ö¿â¹»´óÊÊºÏÕâ´ÎÔ¶º½µÄ´¬,µ«¼Û¸ñ²»·Æ.";Il est temps de doter l'expédition d'un navire. Le capitaine du port vous montre un imposant vaisseau dot?d'une vaste soute, qui serait parfait pour l'occasion. Seulement, son prix est très élev?;Wir müssen nun ein Schiff für unsere Handelsexpedition besorgen. Der Hafenmeister hat ein großes Schiff mit reichlich Laderaum, das optimal für diese Aufgabe geeignet wäre. Allerdings kostet es eine Stange Geld.;;Es hora de equipar un barco para nuestra expedición comercial. El capitán de puerto muestra un gran barco con una gran capacidad de carga que sería perfecto para este trabajo, pero tiene un precio considerable.;;;;;;;;;x
EVTOPTA_WOL_10104;´ÓÉÌÈËÊÖÀïÂòÏÂÕâÌõ´¬.;Acheter le navire pour le voyage.;Kauft das Handelsschiff für die Reise.;;Compra el buque mercante para el viaje.;;;;;;;;;x
EVTOPTB_WOL_10104;¹ÍÒ»»ïÇ¿µÁÈ¥ÍµÕâÌõ´¬.;Embaucher des brigands qui voleront le navire.;Gebt einer Banditenbande den Auftrag, das Schiff zu stehlen.;;Contrata un grupo de bandidos para para robar el barco.;;;;;;;;;x
EVTOPTC_WOL_10104;"ÏëÁËÏë,ÎÒÃ»Ç®.";J'ai bien réfléchi, je n'en ai pas les moyens.;Wenn ich darüber nachdenke, kann ich mir die Reise im Moment gar nicht leisten.;;Ahora que lo pienso mejor, no me puedo permitir el viaje de momento.;;;;;;;;;x
EVTDESC_WOL_10105;"ÄãÔ¶ĞĞµÄ¼Æ»®´«¿ªÁË, Ò»Ğ©[Root.Religion.GetPriestTitle]À´µ½ÄãÃæÇ°, Ìá³ö½Ì»áÄÜÖ§¸¶Ò»²¿·Ö¿ªÏú,Ö»ÒªÄãÄÜ´øÉÏËüÃÇÈ¥Òì¹ú.";On raconte que vous préparez un voyage commercial et des [Root.Religion.GetPriestTitle]s se présentent ?votre cour. Ils vous proposent une partie des fonds de leur église si vous acceptez de les emmener avec vous vers le royaume étranger.;Es hat sich herumgesprochen, dass Ihr eine Handelsreise plant. Einige Geistliche haben sich an Eurem Hof eingefunden. Sie möchten mitreisen und sind bereit, mit Kirchengeldern dafür zu bezahlen.;;Corre la voz que estás planeando un viaje de comercial y algunos [Root.Religion.GetPriestTitle] han llegado a tu corte. Ofrecen algunos fondos de la iglesia para el viaje si puedan venir contigo al reino extranjero.;;;;;;;;;x
EVTOPTA_WOL_10105;"µ±È»,ÓëÄãÃÇÍ¬ĞĞÊÇÎÒµÄÈÙĞÒ.";Bien sûr, ce sera un honneur de vous avoir avec nous.;Natürlich. Es wäre uns eine Ehre, gemeinsam zu reisen.;;Por supuesto. Ser?un honor para con nosotros.;;;;;;;;;x
EVTOPTB_WOL_10105;ÒªÊÇÄãÃÇ°­ÊÂÔõÃ´°ì.;Je ne peux pas prendre le risque de les voir s'impliquer.;Ich kann es nicht riskieren, dass sie uns in die Quere kommen.;;No me puedo arriesgar a que se entrometan.;;;;;;;;;x
EVTDESC_WOL_10106;[Root.Religion.GetPriestTitle]¶¢×Å´¬Ô±ÈÃËûÃÇ¸Ğµ½²»¿ì. ½ñÌìËûÃÇ¸æÖªÄã,Í¬Ôô·ËÂÃĞĞÈÃËûÃÇ¸Ğµ½µ£ÓÇ.Ëû½Ó×ÅÖ¸³öÍ¬ÕâÖÖÈËÒ»Í¬ÂÃĞĞ²»±» [Root.Religion.GetName]ÈÏ¿É.;Cela fait deux jours que les [Root.Religion.GetPriestTitle]s regardent l'équipage d'un oeil inquiet. Aujourd'hui, ils viennent vous faire part de leur inquiétude de voyager en compagnie de voleurs et de bandits. Ils vous expliquent qu'il n'est pas appropri?pour des fidèles de religion [Root.Religion.GetName] de collaborer avec ce genre de personnes.;Die Geistlichen beäugen schon seit Tagen nervös die Besatzung. Heute haben sie Euch gegenüber Bedenken angemeldet, zusammen mit Dieben und Banditen reisen zu müssen. Weiterhin geben sie zu bedenken, dass die Gebote der Religion [Root.Religion.GetName] es ihnen nicht erlauben würden, mit derartigen Menschen gemeinsame Sache zu machen.;;El [Root.Religion.GetPriestTitle] ha estado echando miradas nerviosas a la tripulación durante un par de días y ahora se encara contigo preocupado por viajar con ladrones y bandidos. Sigue argumentando que no es propio del [Root.Religion.GetName] colaborar con la gente de tal ocupación.;;;;;;;;;x
EVTOPTA_WOL_10106;ºÃ°É;Je n'y peux rien...;Na gut.;;Bueno.;;;;;;;;;x
EVTOPTB_WOL_10106;ÎÒÃÇÇ¡ºÃÊÇÔÚÌá¹©ËûÃÇ²»·¸×ïÒ²ÄÜÉú´æÏÂÈ¥µÄÍ¾¾¶.;En fait, nous aidons ces gens ?vivre sans commettre de crimes.;In Wirklichkeit helfen wir diesen Männern, ein Leben außerhalb der Kriminalität zu führen.;;En realidad ayudamos a estos hombres con una vida sin delito.;;;;;;;;;x
EVTDESC_WOL_10107;"ÏûÏ¢´«À´Ëµ [From.GetTitledFirstName]Õı¼Æ»®È¥Òì¹ú½¨Á¢ÉÌÂ·. ¼øÓÚÉÌÂ·¾­¹ıÄãÀûÒæËùÔÚµÄµØÇø,×ÔÈ»Äã¿ÉÒÔÒªÇóÒ»±ÊÇ®²¹³¥¿ÉÄÜµÄÃ³Ò×ËğÊ§.";Un messager vous informe d'un projet de [From.GetTitledFirstName] de créer une route commerciale. Cette route doit passer par une région qui vous intéresse et vous avez certainement le droit d'exiger des dédommagements pour perte d'opportunités commerciales.;Ihr erhaltet die Botschaft, dass [From.GetTitledFirstName] plant, eine Handelsroute ins Ausland zu errichten. Da diese Route durch Euer Einflussgebiet führt, steht Euch sicherlich eine Entschädigung für entgangene Handelsmöglichkeiten zu.;;Un mensaje te llega con noticias de los planes de [From.GetTitledFirstName] para una ruta de comercio exterior. Como esta ruta est?trazada a través de su área de interés, seguramente tienes derecho a algunas compensaciones por las oportunidades comerciales perdidas.;;;;;;;;;x
EVTOPTA_WOL_10107;ÒªÇó½ğÇ®²¹³¥.;Exiger une compensation financière.;Verlangt Entschädigungszahlungen.;;Exige la compensación monetaria.;;;;;;;;;x
EVTOPTB_WOL_10107;ËãÁË;Ce n'est pas important.;Das ist unwichtig.;;No importa.;;;;;;;;;x
