#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
INTERACTION_RECIPIENT_NOT_TRUCE;§Y[Recipient.GetTitledFirstName]§! Óë §Y[ThirdPartyCharacter.GetTitledFirstName]§! Ö®¼äÃ»ÓĞÍ£Õ½Ğ­¶¨;§Y[Recipient.GetTitledFirstName]? n'a pas sign?de trêve avec §Y[ThirdPartyCharacter.GetTitledFirstName]?;§Y[Recipient.GetTitledFirstName]? hat noch keine Waffenruhe mit §Y[ThirdPartyCharacter.GetTitledFirstName]?;;§Y[Recipient.GetTitledFirstName]? no tiene firmada una tregua con §Y[ThirdPartyCharacter.GetTitledFirstName]?;;;;;;;;;x
INTERACTION_ACTOR_NOT_TRUCE;§Y[Actor.GetTitledFirstName]§! Óë §Y[ThirdPartyCharacter.GetTitledFirstName]§! Ö®¼äÃ»ÓĞÍ£Õ½Ğ­¶¨;§Y[Actor.GetTitledFirstName]? n'a pas sign?de trêve avec §Y[ThirdPartyCharacter.GetTitledFirstName]?;§Y[Actor.GetTitledFirstName]? hat noch keine Waffenruhe mit §Y[ThirdPartyCharacter.GetTitledFirstName]?;;§Y[Actor.GetTitledFirstName]? no tiene firmada una tregua con §Y[ThirdPartyCharacter.GetTitledFirstName]?;;;;;;;;;x
AIREASON_PRIMARY_IN_WARS;Ö÷Òª²ÎÕ½·½;Belligérant principal dans une guerre;Primärer Teilnehmer in einem Krieg;;Contendiente principal en una guerra;;;;;;;;;x
AIREASON_MINOR_IN_WARS;´ÎÒª²ÎÕ½·½;Belligérant secondaire dans une guerre;Sekundärer Teilnehmer in einem Krieg;;Contendiente adicional en una guerra;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_TITLE;ÒªÇóÏÂ´ï·â¸ÛÁî;Demander un embargo;Zum Embargo auffordern;;Pedir un embargo;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_DESC;ÒªÇó§Y[Recipient.GetBestName]§WĞû²¼¶ÔµĞ¶ÔÉÌÒµ¹²ºÍ¹ú·¢¶¯·â¸ÛÕ½Õù¡£;Demander ?§Y[Recipient.GetBestName]§W de mettre sous embargo une république marchande rivale.;Fordret §Y[Recipient.GetBestName]§W auf, einen Embargokrieg gegen eine rivalisierende Handelsrepublik zu erklären.;;Pide a §Y[Recipient.GetBestName]§W que declare una Guerra por Embargo contra una república mercantil rival.;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_LONG_DESC;Äã¿ÉÒÔÍ¨¹ıËµ·şÒ»¸öÁìÖ÷¶ÔÆäÏÂ´ïÃ³Ò×½ûÔËÒÔ´ïµ½Ï÷ÈõµĞ¶Ô¹²ºÍ¹úºÍÎªÄãµÄÃ³Ò×½Úµã¿ª·ÅÑØº£Ê¡·İµÄÄ¿µÄ¡£Í¨³£À´ËµÓÃ½ğÇ®¿ÉÒÔ°ïÄã°ìµ½Õâ¼şÊÂ¡£È»¶ø£¬Èç¹ûÄãÔÚÕ½ÕùÖĞï¡Óğ¶ø¹é£¬ §YÄã§!¾ÍÒªÅâ¸¶Õ½ÕùÅâ¿î¡£;Vous pouvez affaiblir une république marchande rivale et libérer la côte pour vos propres comptoirs en convaincant un seigneur de les mettre sous embargo. Un peu d'argent fera en général l'affaire. Toutefois, si vous veniez ?perdre la guerre, §Yvous? devrez régler les frais engagés dans cette guerre.;Ihr könnt eine rivalisierende Handelsrepublik schwächen und Küstenprovinzen für Eure Handelsposten öffnen, indem Ihr einen Herrscher auffordert, sie mit einem Embargo zu belegen. Geld führt meist zum gewünschten Ergebnis. Wenn Ihr allerdings den Krieg verliert, muss §Yyou? die Reparationszahlungen leisten.;;Puedes debilitar a una república mercantil rival y liberar condados costeros para tus puestos comerciales convencionando al gobernante para que les declare un embargo. Muchas veces se consigue con dinero. Sin embargo, si pierdes la guerra §Ydeberás? pagar las indemnizaciones pertinentes.;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_0;Ñ¡ÔñÒ»¸öµĞ¶ÔµÄÉÌÒµ¹²ºÍ¹úÒÔ¶ÔÆäÏÂ´ï·â¸ÛÁî¡£;Choisissez une république marchande rivale ?mettre sous embargo.;Wählt eine rivalisierende Handelsrepublik für ein Embargo aus.;;Selecciona a que republica mercantil embargar;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_1;ÈÃ §Y[Recipient.GetTitledFirstName]§! Ò»ÆğºÍÄãĞû²¼½ûÔËÕ½Õù, Ä¿±ê: §Y[ThirdPartyCharacter.GetTitledFirstName]§! ºÍ §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§!¡£¸øËûÃÇ §Y$GOLD$§!¤  À´´Ù½ø´ï³É½»Ò×¡£ §RÒªÊÇÄãÊäÁËÕâ³¡Õ½Õù, Äã½«ÒªÖ§¸¶Õ½°ÜÅâ¿î¡£§!;Demander ?§Y[Recipient.GetTitledFirstName]? de mettre conjointement ?vous, §Y[ThirdPartyCharacter.GetTitledFirstName]? et §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]? sous embargo. Appuyer votre requête avec §Y$GOLD$?? §RSi vous perdez cette guerre, vous serez tenu de payer les réparations de guerre.?; Lasst §Y[Recipient.GetTitledFirstName]? zusammen mit Euch einen Handelskrieg gegen §Y[ThirdPartyCharacter.GetTitledFirstName]? und §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]? führen. Biete §Y$GOLD$?? um das Angebot zu versüßen. §RFalls Ihr den Krieg verliert, müsst Ihr die Reparationszahlungen leisten.? ;;Convencer a §Y[Recipient.GetTitledFirstName]? para que junto a ti declareis una Guerra por Embargo sobre §Y[ThirdPartyCharacter.GetTitledFirstName]? y sobre §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]?. Ofrece §Y$GOLD$??para endulzar el acuerdo. §RSi pierdes la guerra tendrás que pagar las indemnizaciones pertinentes.?;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_ACCEPT_SETUP;·â¸ÛÁîÇëÇóÒÑ»ñÍ¨¹ı¡£;Requête d'embargo acceptée;Embargoaufforderung akzeptiert.;;Petición de embargo aceptada;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetTitledName]§!ºÍ§Y[Actor.GetTitledName]§!ÒÑĞû²¼¶Ô§Y[ThirdPartyCharacter.GetDynName]§!ÁªºÏ·¢¶¯½ûÔËÕ½Õù¡£;§Y[Recipient.GetTitledName]? conjointement ?§Y[Actor.GetTitledName]? ont déclar?un embargo contre §Y[ThirdPartyCharacter.GetDynName]?;§Y[Recipient.GetTitledName]? und §Y[Actor.GetTitledName]? haben einen gemeinsamen Embargokrieg gegen §Y[ThirdPartyCharacter.GetDynName]? erklärt.;;§Y[Recipient.GetTitledName]? y §Y[Actor.GetTitledName]? declararon una Guerra conjunta de Embargo sobre §Y[ThirdPartyCharacter.GetDynName]?;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_OFFER;[Actor.GetTitledName] ¸øÎÒÃÇ $COST$¤ £¬Ï£ÍûÄÜ¹»¶Ô [ThirdPartyCharacter.GetTitledFirstName] ºÍ [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName] ÏÂ´ïÃ³Ò×½ûÔË¡£;[Actor.GetTitledName] nous propose de mettre sous embargo [ThirdPartyCharacter.GetTitledFirstName] et [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName] contre la somme de $COST$?;[Actor.GetTitledName] bietet Uns $COST$? um [ThirdPartyCharacter.GetTitledFirstName] und [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName] mit einem Embargo zu belegen.;;[Actor.GetTitledName] nos ofrece $COST$?por embargar a [ThirdPartyCharacter.GetTitledFirstName] y a [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName].;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_LETTER;½Æ»«µÄ [ThirdPartyCharacter.PrimaryTitle.GetAdjective] ÉÌ··±ØĞë´ÓÄãµÄÍÁµØÇıÖğ³öÈ¥¡£Èç¹ûÄãÍ¬Òâ¶Ô [ThirdPartyCharacter.GetTitledName] ·¢¶¯Ã³Ò×½ûÔË, ÎÒÃÇ²»½ö»áÔÚÕ½ÕùÖĞ¼ÓÈëÄã·½£¬ÄãÒ²»á»ñµÃ $COST$¤. Èç¹ûÎÒÃÇµÄÕ½ÕùÊ§°ÜÁË, [Actor.PrimaryTitle.GetName] ½«»á³Ğµ£È«²¿Õ½ÕùÅâ¿î¡£;Les insidieux commerçants [ThirdPartyCharacter.PrimaryTitle.GetAdjective] doivent être boutés hors de vos terres. Si vous êtes d'accord pour imposer un embargo ?[ThirdPartyCharacter.GetTitledName], non seulement nous nous joindrons ?vous dans cette guerre mais nous vous offrons également la coquette somme de $COST$? Quand bien même nous échouerions, [Actor.PrimaryTitle.GetName] couvrira les dépenses de guerre.;Die heimtückischen [ThirdPartyCharacter.PrimaryTitle.GetAdjective] Händler müssen von Eurem Land entfernt werden. Falls Ihr einwilligt, einen Embargokrieg gegen [ThirdPartyCharacter.GetTitledName] zu erklären, werden Wir nicht nur an deiner Seite kämpfen, sondern Euch auch $COST$?überreichen. Sollten wir verlieren, wird [Actor.PrimaryTitle.GetName] alle Reparationszahlungen leisten.;;Los pérfidos mercaderes [ThirdPartyCharacter.PrimaryTitle.GetAdjective] deben ser expulsados de tus tierras. Si estás de acuerdo en declarar una Guerra por Embargo sobre [ThirdPartyCharacter.GetTitledName], no sólo nos uniremos a la guerra a tu lado, si no que te daremos $COST$? En caso de perder, [Actor.PrimaryTitle.GetName] pagar?las indemnizaciones de guerra.;;;;;;;;;x
INTERACTION_REQUIRES_TARGET_IS_MERCHANT_REPUBLIC;§Y[ThirdPartyCharacter.PrimaryTitle.GetName]§!ÊÇÒ»¸öÉÌÒµ¹²ºÍ¹ú¡£;§Y[ThirdPartyCharacter.PrimaryTitle.GetName]? est une république marchande;§Y[ThirdPartyCharacter.PrimaryTitle.GetName]? ist eine Handelsrepublik;;§Y[ThirdPartyCharacter.PrimaryTitle.GetName]? es una República Mercantil;;;;;;;;;x
ANY_ATTACKER_STARTS;ÈÎºÎ½ø¹¥·½¡£;Tout assaillant;Jeder Angreifer;;Cualquier atacante;;;;;;;;;x
ANY_DEFENDER_STARTS;ÈÎºÎ·ÀÊØ·½¡£;Tout défenseur;Jeder Verteidiger;;Cualquier defensor;;;;;;;;;x
EVTDESC295;¾­¹ıÉîË¼ÊìÂÇ£¬ÎÒ¾ö¶¨²ÉÄÉÄãµÄ½¨Òé¡£ÎÒÃÇ»á¹²Í¬½«[Root.PrimaryTitle.GetAdjective]ÉÌ··Çı¸Ï³ö[From.PrimaryTitle.GetName]£¡\n\n[From.GetTitledFirstName];Après un examen attentif, j'ai décid?de satisfaire ?votre requête. Ensemble, nous forcerons les marchands [Root.PrimaryTitle.GetAdjective] ?abandonner [From.PrimaryTitle.GetName]!\n\n[From.GetTitledFirstName];Nach sorgfältigem Überlegen habe ich mich entschlossen, Euren Vorschlag anzunehmen. Vereint werden wir die [Root.PrimaryTitle.GetAdjective] Händler aus [From.PrimaryTitle.GetName] vertreiben!\n\n[From.GetTitledFirstName];;Después de pensarlo mucho, he decidido aceptar tu sugerencia. Juntos podremos expulsar a los mercaderes [Root.PrimaryTitle.GetAdjective] de [From.PrimaryTitle.GetName]!\n\n[From.GetTitledFirstName];;;;;;;;;x
EVTDESC296;ËµÊµ»°£¬ÎÒ·¢ÏÖÄãÕë¶Ô[Root.PrimaryTitle.GetName]µÄ·â¸ÛÁîÆÄÎª¿ÉĞ¦¡£Á½¸ö¹ú¼Ò¶¼ÊÇÌú¹«¼¦£¬ÎÒÔõÃ´»áÆ«°®ÆäÖĞÒ»·½ÄØ£¿\n\n[From.GetTitledFirstName];En fin de compte, je trouve votre suggestion d'embargo contre [Root.PrimaryTitle.GetName] tout ?fait risible. Pourquoi devrais-je favoriser une des républiques assoiffées d'or plutôt qu'une autre?\n\n[From.GetTitledFirstName];Um ehrlich zu sein, finde ich Euren Vorschlag des Embargos gegen [Root.PrimaryTitle.GetName] lächerlich. Warum sollte ich eine gierige Republik einer anderen bevorzugen?\n\n[From.GetTitledFirstName];;Sinceramente, encuentro tu sugerencia de embargar a [Root.PrimaryTitle.GetName] bastante absurda. ¿Por qu?debería favorecer a una avariciosa república sobre otra?\n\n[From.GetTitledFirstName];;;;;;;;;x
CONQUEROR_HOME_CULTURE;ÎÄ»¯Å¦´ø;Liens culturels;Kulturelle Verbindungen;;Lazos culturales;;;;;;;;;x
AIREASON_SUPPORT_FOR_CONQUEROR;¡°Õ÷·şÕß¡±µÄºóÇÚ±£ÕÏ¡£;Renforts pour le conquérant;Heimatliche Unterstützung des Eroberers;;Apoyo local para el Conquistador;;;;;;;;;x
k_hansa;ººÈøÍ¬ÃË;La Hanse;Die Hanse;;La Hansa;;;;;;;;;x
k_hansa_adj;ººÈøÍ¬ÃË;hanséatique;Hanseatisch;;Hanseática;;;;;;;;;x
called_into_war;ËßÖîÕ½Õù¡£;Appel??rejoindre une guerre;In den Krieg gerufen;;Llamado a la guerra;;;;;;;;;x
city_kingdom_of_german;ÉÌÒµÁªÃË;Ligue marchande de;Handelsbündnis von;;Liga Mercantil de;;;;;;;;;x
city_kingdom_german;ÉÌÒµÁªÃË;Ligue marchande;Handelsbündnis;;Liga Mercantil;;;;;;;;;x
opinion_bribed_tp;»ßÂ¸Ã³Ò×½Úµã;Corruption ?propos d'un comptoir ;Bestechung wegen eines Handelspostens;;Sobornado sobre el puesto de comercio;;;;;;;;;x
opinion_thwarted_tp_destruction;×èÈÅ¶ÔÃ³Ò×½ÚµãµÄÆÆ»µ;A contrecarr?la destruction du comptoir ;Zerstörung eines Handelspostens abgewendet;;Frustrada destrucción del puesto de comercio;;;;;;;;;x
TRADEPOST_COST_OP_EFFECT;§Y$LIEGE$§!¶ÔÄãµÄºÃ¸Ğ¶È£º$EFFECT$;Opinion de §Y$LIEGE$? envers vous? $EFFECT$;§Y$LIEGE$?s Meinung über Euch: $EFFECT$;;La opinión de tu §Y$LIEGE$? sobre ti: $EFFECT$;;;;;;;;;x
#DESTROY_TRADEPOST_EFFECT;The Trade Post in $LOCATION$ is destroyed;;Der Handelsposten in $LOCATION$ ist zerst?rt;;El puesto de comercio en $LOCATION$ ha sido destruido;;;;;;;;;x;
EVTDESC_REP_601;×Ê½ğ³ÖĞøÁ÷ÈëÔÚ[From.GetName]µÄÃ³Ò×½Úµã£¬µ«ÄãÓëÓµÓĞ¸ÃÃ³Ò×½ÚµãµÄÉÌÒµ¼Ò×åµÄ¹ØÏµÒÑ¶ñ»¯¡£ÎªÁË²»¶¯¸É¸ê¶øÓÖÄÜ¸øËûÃÇµãÑÕÉ«£¬Äã¿ÉÒÔ²ß»®Ò»Æğ±©¶¯£¬°Ñ¸ÃÃ³Ò×½ÚµãÒÄÎªÆ½µØ¡£;L'argent coule ?flot au comptoir de [From.GetName], mais vos relations avec la famille marchande qui le possède se sont dégradées. Pour leur donner une bonne leçon, nous pourrions faire en sorte que le comptoir soit brûl??la faveur d'une révolte populaire...;Geld fließt weiterhin durch den Handelsposten in [From.GetName], aber Eure Beziehung zur Kaufmannsfamilie, die ihn besitzt, hat sich verschlechtert. Um ihnen eine Lektion zu erteilen, ohne in den Krieg zu ziehen, könntet ihr den Pöbel bezahlen, ihn niederzubrennen...;;El dinero sigue fluyendo de los puestos comerciales en [From.GetName], pero las relaciones con la familia de mercaderes que lo llevan se han enfriado. Para darles una lección sin necesidad de ir a la guerra puedes contratar a una muchedumbre para que le prendan fuego.;;;;;;;;;x
EVTOPTA_REP_601;ËùÑÔÉõÊÇ£¡¾ÀÖÚĞĞ±©£¡;Oui? Rassemblez la foule?;Sammelt den Pöbel!;;¡S? ¡Reunir una muchedumbre!;;;;;;;;;x
EVTOPTB_REP_601;²»!¾ÖÃæ»áÑİ±äµ½ÄÑÒÔ¿ØÖÆ£¡;Non, nous pourrions rapidement en perdre le contrôle...;Nein, die Angelegenheit könnte außer Kontrolle geraten...;;No, las cosas podrían irsenos de las manos...;;;;;;;;;x
tp_spare;Äã²»´òËã¶Ô¸ÃÃ³Ò×½Úµã²ÉÈ¡ĞĞ¶¯;Vous décidez de ne pas agir contre le comptoir.;Ihr entscheidet euch, nichts gegen den Handelsposten zu unternehmen.;;Decidiste no tomar decisión alguna sobre el puesto comercial;;;;;;;;;x
EVTTOOLTIP_REP_602;¼¤·ßµÄÃñÖÚÏòÃ³Ò×½ÚµãĞĞ½ø;Une foule en colère marche sur le comptoir.;Der aufgebrachte Pöbel zieht gegen den Handelsposten.;;Una muchedumbre enfurecida marcha hacía nuestro puesto comercial;;;;;;;;;x
EVTDESC_REP_602;È·ÇĞµØËµ£¬ÄãºÍ[From.GetTitledName]ÏÖÔÚ¹ØÏµ»¹²»ÊÇºÜÒªºÃ¡£¶øÇÒ£¬ÏÖÔÚ[From.GetSheHe]ËÆºõÒÑ¹Ä¶¯Ò»»ï±©Ãñ½«ÄãÔÚ[FromFrom.GetName]µÄÃ³Ò×½ÚµãÒÄÎªÆ½µØ!ÄãÈËÊı¼«ÉÙµÄÎÀÊù²¿¶ÓÒÑ±»ËûÃÇ°üÎ§¡£ËûÃÇ»¹ÍşĞ²µ½£¬³ı·ÇÄã³·³ö[FromFrom.GetName]£¬·ñÔòËûÃÇ½«»á°ÑÄãµÄ²¿¶ÓÍÀÉ±´ù¾¡¡£;[From.GetTitledName] et vous n'êtes pas vraiment en meilleurs termes et il semble ?présent qu'[From.GetSheHe] a encourag?une foule en colère ?détruire notre comptoir de [FromFrom.GetName]? Votre petite garnison est encerclée et la foule menace de tous les massacrer si vous n'évacuez pas [FromFrom.GetName].;Ihr und [From.GetTitledName] versteht euch nicht sehr gut, und jetzt hat anscheinend [From.GetSheHe] den Pöbel aufgehetzt, euren Handelsposten in [FromFrom.GetName] niederzubrennen! Eure kleine Garnison wurde umzingelt, und der Pöbel droht damit, alle abzuschlachten, wenn Ihr euch nicht aus [FromFrom.GetName] zurückzieht.;;La relación entre [From.GetTitledName] y t?no pasa por sus mejores horas, ¡y parece que [From.GetSheHe] ha convencido a una muchedumbre enfurecida para reducir tu puesto de comercio en [FromFrom.GetName] a cenizas! Tu pequeña guarnición ha sido sitiada y la turba amenaza con pasarlos a cuchillo si no te retiras de[FromFrom.GetName].;;;;;;;;;x
EVTOPTA_REP_602;ÎÒÃÇÒÑÉ½ÇîË®¾¡¡£²ğ³ıÃ³Ò×½Úµã°É!;Nous n'avons pas le choix? nous devons démanteler le comptoir.;Wir haben keine andere Wahl. Handelsposten abbrechen.;;No nos queda otra opción. Desmontemos el puesto comercial.;;;;;;;;;x
EVTOPTB_REP_602;Ïò[From.GetFirstName]ĞĞ»ß¡£;Tenter de corrompre [From.GetFirstName];Bietet [From.GetFirstName] ein Bestechungsgeld an.;;Ofrece un soborno a [From.GetFirstName];;;;;;;;;x
EVTOPTC_REP_602;Ö¸³öÃ³Ò×½Úµã´ø¸ø[FromFrom.GetName]µÄ²Æ¸»¡£;Faire remarquer que la prospérit?du comptoir rejaïllit sur [FromFrom.GetName].;Erinnert an den Reichtum, der der Handelsposten [FromFrom.GetName] einbringt.;;Convénceles de la riqueza que el puesto de comercio ofrece a [FromFrom.GetName];;;;;;;;;x
EVTOPTD_REP_602;ÔËÓÃ¸ß³¬µÄÍâ½»¼¼ÇÉÒÔÇıÉ¢±©Ãñ¡£;User de diplomatie pour disperser la foule.;Nutzt geschickte Diplomatie, um den Pöbel zu zerstreuen;;Demuestra una diplimacia eficaz para dispersar a la muchedumbre.;;;;;;;;;x
EVTDESC_REP_603;Äã¾À¼¯µÄ±©ÃñÏ´½ÙÁË¸ÃÃ³Ò×½Úµã²¢Ê¹Ö®ÒÄÎªÆ½µØ¡£;La foule que vous avez rassemblée ?pris d'assaut avec succès le comptoir et l'a rasé !;Der von Euch versammelte Pöbel hat den Handelsposten erfolgreich gestürmt und ihn niedergebrannt!;;¡La muhedumbre que reuniste ha reducido el puesto comercial a cenizas!;;;;;;;;;x
EVTOPTA_REP_603;Ò»ÇĞÕıÈçÎÒËùÔ¤ÁÏµÄÄÇÑù½øÕ¹×Å;Tout se passe comme prévu.;Alles geht so voran, wie ich es vorausgesehen habe.;;Todo sali?según lo planeado.;;;;;;;;;x
EVTTOOLTIP_REP_604;ÒÑ¶ÔÆäĞĞ»ß;Un pot-de-vin est offert.;Ein Bestechungsgeld wurde angeboten.;;Te ofrecieron un soborno;;;;;;;;;x
EVTDESC_REP_604;[FromFrom.GetTitledName]Ê¹½ÚÒÔ´ó±Ê½ğ¶î»ßÂ¸Äã£¬Ï£ÍûÄãÄÜ¹»°ÑÎ»ÓÚ[From.GetName]µÄÃ³Ò×½Úµã×ªÊÖ¸ø[FromFrom.GetHerHis];Les émissaires de [FromFrom.GetTitledName] vous ont soumis un pot-de-vin significatif dans l'espoir que vous userez de votre influence pour épargner leur comptoir de [From.GetName].;Gesandte von [FromFrom.GetTitledName] haben Euch ein hohes Bestechungsgeld geboten in der Hoffnung, dass Ihr Euren Einfluss benutzt, [FromFrom.GetHerHis] Handelsposten in [From.GetName] zu verschonen.;;Legados de [FromFrom.GetTitledName] se presentaron anti t?con una interesante oferta de soborno con la esperanza de que sirva para que perdones su puesto de comercio en [From.GetName];;;;;;;;;x
EVTOPTA_REP_604;ºÃ°É£¡ÇıÉ¢ÕâĞ©ÃñÖÚ°É£¡;Bien. Que la foule soit dispersée.;Gut. Lasst die Massen auflösen.;;Bien. Dispersad a la muchedumbre.;;;;;;;;;x
EVTOPTB_REP_604;¹ş¹ş£¡ÄÇ°×³Õ²»½ö»áËğÊ§Ò»±ÊÇ®²Æ£¬Ò²»áÊ§È¥ËûµÄÃ³Ò×½Úµã£¡;Ha? Ces fous perdront de concert leur argent et leur comptoir..;Der Idiot wird sowohl sein Geld als auch seinen Handelsposten verlieren.;;El muy tonto va a perder tanto su dinero como su puesto comercial;;;;;;;;;x
EVTTOOLTIP_REP_605;±©ÃñÉ¢È¥¡£;La foule se disperse.;Der Pöbel löst sich auf.;;La muchedumbre se dispersa;;;;;;;;;x
EVTDESC_REP_605;[From.GetTitledName]·Ç³£ÉÆÓÚ¾­Óª. ÓĞÀµÓÚ´Ë, [From.GetSheHe]Ïë·½Éè·¨µØ°²¸§ÄÇĞ©±©Ãñ, ¸æËßËûÃÇ²Æ¸»»á´ÓÃ³Ò×½ÚµãÁ÷Èë¸ÃÊ¡·İ. Õâ¶¯Ò¡ÁËËûÃÇ, ÈËÈºÉ¢¿ªÁË, Ã³Ò×½ÚµãÒ²°²È«ÎŞÓİ.;[From.GetTitledName] est un intendant talentueux et [From.GetSheHe] a quelque peu influenc?la foule en leur enseignant que la prospérit?du comt?dépend beaucoup du comptoir. La foule s'est dispersée et le comptoir est rest?intact.;[From.GetTitledName] ist ein geschickter Verwalter, und [From.GetSheHe] hat es irgendwie geschafft, den Pöbel auf seine Seite zu ziehen, indem er ihm erzählt hat, wie viel Reichtum durch den Handelsposten in die Provinz gelangt. Die Menge hat sich aufgelöst und der Handelsposten blieb unbehelligt.;;[From.GetTitledName] tiene gran habilidad administrativa, y de alguna manera ha conseguido soliviantar a la muchedumbre hablándoles de las riquezas que llegan a la provincia a través del puesto comercial. La muchedumbre se ha dispesado y el puesto comercial sigue intacto;;;;;;;;;x
