;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
TOOLTIP_DISALLOW_TRUE_COGNATIC;²»ÔÊĞíÄĞÅ®Æ½µÈ¼Ì³Ğ·¨\n;Empêche la loi de succession cognatique\n;Verbietet absolut kognatische Erbfolgerechte\n;;No permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
TOOLTIP_ALLOW_TRUE_COGNATIC;ÔÊĞíÄĞÅ®Æ½µÈ¼Ì³Ğ·¨\n;Autorise les lois de succession cognatique\n;Erlaubt absolut kognatische Erbfolgerechte\n;;Permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
;#TOOLTIP_ALLOW_ADDITIONAL_SUCCESSION_LAWS;Allows additional succession laws\n;Autorise les lois de succession suppl¨¦mentaires.\n;Erlaubt zus?tzliche Erbfolgerechte\n;;Permite las leyes de sucesi¨®n adicional\n;;;;;;;;;x;
;#TOOLTIP_DISALLOW_ADDITIONAL_SUCCESSION_LAWS;Disallows additional succession laws\n;Emp¨ºche les lois de succession suppl¨¦mentaires.\n;Verbietet zus?tzliche Erbfolgerechte\n;;No permite las leyes de sucesi¨®n adicional\n;;;;;;;;;x;
opinion_powerful_vassal_not_voter;ÏëÒª»ñµÃÊàÃÜÔºÏ¯Î»;Veut un siège au Conseil;Möchte einen Sitz im Rat;;Quiere un sitio en el Consejo;;;;;;;;;x
horse_death;ÕıÔÚºúÄÖ;en galopant;im Galopp;;Haciendo el tonto;;;;;;;;;x
AIREASON_EXPANDING_HORDE;Ì«¹ıÃ¦ÓÚÕ÷·şÊÀ½ç£¬¶øÄã¾ÍÊÇÏÂÒ»¸öÄ¿±ê£º;Trop occup??conquérir le monde et vous êtes le suivant? ;Mit der Eroberung der Welt beschäftigt und Ihr seid bald an der Reihe: ;;Demasiado ocupado conquistando el mundo y eres el próximo:;;;;;;;;;x
HAS_LIEGE_ENFORCED_PEACE;$LIEGE|Y$ÒÑÖ´ĞĞºÍÆ½;$LIEGE|Y$ a déclar?la paix.;$LIEGE|Y$ hat den Frieden durchgesetzt.;;$LIEGE|Y$ ha hecho cumplir la paz.;;;;;;;;;x
HAS_LIEGE_ENFORCED_PEACE_NOT;$LIEGE|Y$ÉĞÎ´Ö´ĞĞºÍÆ½;$LIEGE|Y$ n'a pas déclar?la paix.;$LIEGE|Y$ hat keinen Frieden durchgesetzt.;;$LIEGE|Y$ no ha hecho cumplir la paz.;;;;;;;;;x
WILL_LIEGE_ENFORCE_PEACE;$LIEGE|Y$½«»áÖ´ĞĞºÍÆ½;$LIEGE|Y$ déclarera la paix.;$LIEGE|Y$ wird den Frieden durchsetzen.;;$LIEGE|Y$ har?cumplir la paz.;;;;;;;;;x
WILL_LIEGE_ENFORCE_PEACE_NOT;$LIEGE|Y$²»»áÖ´ĞĞºÍÆ½;$LIEGE|Y$ ne déclarera pas la paix.;$LIEGE|Y$ wird keinen Frieden durchgesetzt.;;$LIEGE|Y$ no har?cumplir la paz.;;;;;;;;;x
INTERACTION_TYRANNY_AGAINST_COUNCIL;§RÓëÊàÃÜÔºµÄÒâÖ¾ÏàÎ¥±³½«»á±»ÊÓÎªÒ»ÖÖ±©¾ıĞĞÎª£¡§!;§RS'opposer ?la décision du Conseil sera perçu comme un acte tyrannique??;§RSich dem Willen des Rats zu widersetzen, wird als Tyrannei angesehen werden!?;;§RIr en contra de la voluntad del Consejo ser?visto como un acto de tiranía!?;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_TITLE;ÇëÇó¼ÓÈëÅÉÏµ;Demander de rejoindre les factions;Fordert zum Fraktionsbeitritt auf;;Pedir unirse a Facciones;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_DESC;ÓÃÒ»¸ö§YÈËÇé§!Ç¿ÆÈ§Y[Recipient.GetTitledFirstName]§!¼ÓÈëÄãµÄÅÉÏµ¡£;Utiliser une §Yfaveur? pour contraindre §Y[Recipient.GetTitledFirstName]? ?rejoindre vos factions.;Verwendet einen §YGefallen?, um §Y[Recipient.GetTitledFirstName]? zu zwingen, sich Euren Fraktionen anzuschließen.;;Gasta un §YFavor? para obligar a §Y[Recipient.GetTitledFirstName]? a unirse a tus facciones;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_LONG_DESC;Äã¿ÉÒÔÓÃ§Y[Recipient.GetTitledFirstName]§!Ç·Äã§YÈËÇé§!ÈÃËûÃÇ¼ÓÈëÄãËù½¨Á¢µÄÅÉÏµ¡£;Vous pouvez utiliser la §Yfaveur? que §Y[Recipient.GetTitledFirstName]? vous doit pour forcer son adhésion aux factions que vous avez créées.;Ihr könnt §Y[Recipient.GetTitledFirstName]? mit dem geschuldeten §YGefallen? dazu bringen, sich Euren Fraktionen anzuschließen.;;Puedes gastar §YFavor? §Y[Recipient.GetTitledFirstName]? te debe para hacerlos afiliarse a las facciones.;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_LETTER;\nÎªÁË»¹ÎÒµÄÈËÇé£¬ÎÒÒªÇóÄã¼ÓÈëÎÒËù½¨Á¢µÄÅÉÏµ¡£;\nEn échange de la faveur que vous me devez, j'exige que vous rejoigniez les factions que j'ai créées.;\nUm den Gefallen zu erwidern, den Ihr mir schuldet, bitte ich Euch darum, Euch meinen Fraktionen anzuschließen.;;\nPara devolver el favor que me debes, te pido que te unas a las facciones que he comenzado.;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_LETTER_GET;\n¼ÓÈëÎÒµÄÅÉÏµ¡£;\nRejoignez mes factions;\nTretet meinen Fraktion bei.;;\nUnirte a facciones que he comenzado.;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§!ÓÃ§Y[Recipient.GetBestName]§!µÄÈËÇéÇ¿ÆÈËûÃÇ¼ÓÈëËûÃÇËùÓĞÅÉÏµ¡£;§Y[Actor.GetBestName]? a utilis?une faveur auprès de §Y[Recipient.GetBestName]? pour forcer son adhésion ?l'ensemble de ses factions.;§Y[Actor.GetBestName]? hat einen Gefallen von §Y[Recipient.GetBestName]? eingefordert, um den Fraktionsbeitritt zu erzwingen.;;§Y[Actor.GetBestName]? utiliz?un favor en §Y[Recipient.GetBestName]? para obligarles a unirse a todas sus facciones.;;;;;;;;;x
CAN_JOIN_FACTION;$RECIPIENT|Y$¿ÉÒÔ¼ÓÈë$FACTION|Y$;$RECIPIENT|Y$ doit pouvoir rejoindre $FACTION|Y$;$RECIPIENT|Y$ kann $FACTION|Y$ beitreten.;;$RECIPIENT|Y$ puede unirse a $FACTION|Y$;;;;;;;;;x
CAN_JOIN_ONE_FACTION;$RECIPIENT|Y$¿ÉÒÔ¼ÓÈëÖÁÉÙÒ»¸öÄãµÄÅÉÏµ;$RECIPIENT|Y$ doit pouvoir rejoindre au moins l'une de vos factions;$RECIPIENT|Y$ kann mindestens einer Eurer Fraktionen beitreten.;;$RECIPIENT|Y$ puede unirse a al menos una de tus facciones.;;;;;;;;;x
NOT_DISSUADED_FROM_FACTIONS;$RECIPIENT|Y$ÒÑ¾­²»±»½ûÖ¹¼ÓÈëÅÉÏµÁË;$RECIPIENT|Y$ doit avoir l'autorisation de rejoindre des factions;$RECIPIENT|Y$ wurde nicht verboten, Fraktionen beizutreten.;;$RECIPIENT|Y$ no se le ha prohibido unirse a facciones.;;;;;;;;;x
JOIN_FACTION;§Y¼ÓÈëÅÉÏµ§!;§YRejoindre une faction?;Fraktion beitreten;;Unirse a facción;;;;;;;;;x
IS_DE_FACTO_LIEGE; ÊÇÊÂÊµÁìÖ÷;Est seigneur lige de facto;Ist de-facto-Lehnsherr;;Es señor de facto;;;;;;;;;x
LEAVE_FACTION_COERCED;²»ÄÜÀë¿ªÅÉÏµÒòÎªÄãÊÇ±»ÆÈ¼ÓÈëµÄ;Impossible de quitter cette faction, car votre adhésion a ét?forcée.;Fraktion kann nicht verlassen werden, weil Ihr zum Beitritt gezwungen wurdet.;;No puedes dejar la facción porque fuiste obligado a unirte;;;;;;;;;x
INVITE_FAVOR_MARRIED;$RECIPIENT|Y$±ØĞëÊÇÎ´»é;$RECIPIENT|Y$ ne doit pas avoir de conjoint;$RECIPIENT|Y$ darf nicht verheiratet sein.;;$RECIPIENT|Y$ no debe estar casado;;;;;;;;;x
INVITE_FAVOR_LIEGE_RELATIVE;$RECIPIENT|Y$²»ÄÜÊÇ$LIEGE|Y$µÄ½üÇ×;$RECIPIENT|Y$ ne peut pas être un proche parent de $LIEGE|Y$;$RECIPIENT|Y$ darf kein naher Verwandter von $LIEGE|Y$ sein.;;$RECIPIENT|Y$ no debe ser un pariente cercano de $LIEGE|Y$;;;;;;;;;x
INVITE_FAVOR_JOB;$RECIPIENT|Y$²»ÄÜÓĞÊàÃÜÔºÖ°Î»;$RECIPIENT|Y$ ne doit pas avoir de poste au Conseil;$RECIPIENT|Y$ darf keine Position im Rat haben.;;$RECIPIENT|Y$ no debe tener un puesto del Consejo.;;;;;;;;;x
AIREASON_LIEGE_HATE;ºŞËûÃÇµÄÁìÖ÷¡ª¡ª§Y[GetTitledName]§!;Déteste son seigneur lige, §Y[GetTitledName]?;Hasst den Lehnsherrn – §Y[GetTitledName]?;;Odia su señor - §Y[GetTitledName]?;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_TITLE;ÇëÇóÈ«¾³ºÍÆ½;Demander la paix dans le pays;Um Reichsfrieden bitten;;Pedir Paz del Reino;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_DESC;ÓÃÒ»¸ö§YÈËÇé§!ÇëÇóÄãµÄÁìÖ÷Ö´ĞĞ§YÈ«¾³ºÍÆ½§!¡£;Utiliser une §Yfaveur? afin de demander ?votre seigneur d'imposer la §Ypaix dans le pays?.;Verwendet einen §YGefallen?, um Euren Lehnsherrn zu bitten, den §YReichsfrieden? durchzusetzen.;;Gastar un §YFavor? para pedir a tu señor que imponga la  §YPaz del Reino?;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_LONG_DESC;Äã¿ÉÒÔÓÃ§Y[Recipient.GetTitledFirstName]§!Ç·Äã§YÈËÇé§!Ç¿ÆÈËûÃÇ¿ªÊ¼Ö´ĞĞ§YÈ«¾³ºÍÆ½§!¡£;Vous pouvez utiliser la §Yfaveur? que §Y[Recipient.GetTitledFirstName]? vous doit pour décréter la §Ypaix dans le pays?.;Ihr könnt §Y[Recipient.GetTitledFirstName]? mit dem geschuldeten §YGefallen? dazu zwingen, den §YReichsfrieden? durchzusetzen.;;Puedes gastar el §YFavor? que §Y[Recipient.GetTitledFirstName]? te debe para obligarle a que comience a hacer cumplir §YPaz del Reino?.;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_LETTER;\nÎªÁË»¹ÎÒµÄÈËÇé£¬ÎÒÒªÇóÄã¿ªÊ¼Ö´ĞĞÈ«¾³ºÍÆ½¡£;\nEn échange de la faveur que vous me devez, j'exige que vous imposiez la paix dans le pays.;\nUm den Gefallen zu erwidern, den Ihr mir schuldet, bitte ich Euch darum, Frieden im Reich durchzusetzen.;;\nPara devolver el favor que me debes, solicito que comencéis a imponer la paz en todo el  reino.;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_LETTER_GET;\nÖ´ĞĞÈ«¾³ºÍÆ½¡£;\nDéclarer la paix dans le pays.;\nReichsfrieden durchsetzen.;;\nHaz cumplir la Paz del Reino.;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§!ÓÃ§Y[Recipient.GetBestName]§!µÄÈËÇéÇ¿ÆÈËûÃÇÖ´ĞĞ§YÈ«¾³ºÍÆ½§!¡£;§Y[Actor.GetBestName]? a utilis?une faveur auprès de §Y[Recipient.GetBestName]? pour décréter la §Ypaix dans le pays?.;§Y[Actor.GetBestName]? hat einen Gefallen von §Y[Recipient.GetBestName]? eingefordert, um die Durchsetzung des §YReichsfriedens? zu erzwingen.;;§Y[Actor.GetBestName]? utiliz?un favor sobre §Y[Recipient.GetBestName]? para obligarles a hacer cumplir la §YPaz del Reino?.;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_TITLE;Ë÷ÒªÊàÃÜÔºÖ°Î»;Demander un poste au Conseil;Ratsposition verlangen;;Exige un puesto en el Consejo;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_DESC;ÓÃÒ»¸ö§YÈËÇé§!¸úÄãµÄÁìÖ÷Ë÷ÒªÒ»¸ö§YÊàÃÜÔº§!Ö°Î»¡£;Utiliser une §Yfaveur? pour demander ?votre seigneur lige un poste au sein du §YConseil?.;Verwendet einen §YGefallen?, um eine §YRatsposition? von Eurem Lehnsherrn zu verlangen.;;Gasta un §YFavor? Para pedir un puesto en el §YConsejo? a tu señor.;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_LONG_DESC;Äã¿ÉÒÔÓÃ§Y[Recipient.GetTitledFirstName]§!Ç·Äã§YÈËÇé§!Ç¿ÆÈËûÃÇÔÚ§YÊàÃÜÔº§!ÖĞÊÚÓèÄãÒ»¸öÖ°Î»¡£;Vous pouvez utiliser la §Yfaveur? que §Y[Recipient.GetTitledFirstName]? vous doit pour forcer l'obtention d'un poste au sein du §YConseil?.;Ihr könnt §Y[Recipient.GetTitledFirstName]? mit dem geschuldeten §YGefallen? dazu zwingen, Euch eine Position im §YRat? zu geben.;;Puedes gastar el §YFavor? que §Y[Recipient.GetTitledFirstName]? te debe con el fin de obligarles a que te den un puesto en el §YConsejo?.;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_LETTER;\nÎªÁË»¹ÎÒµÄÈËÇé£¬ÎÒÒªÇóÄãÔÚÊàÃÜÔºÖĞÊÚÓèÎÒÒ»¸öÊÊµ±µÄÖ°Î»¡£;\nEn échange de la faveur que vous me devez, j'exige que vous m'offriez le poste que je mérite au sein de votre Conseil.;\nUm den Gefallen zu erwidern, den Ihr mir schuldet, bitte ich Euch darum, mir meinen rechtmäßigen Platz in Eurem Rat zu geben.;;\nPara devolver el favor que me debéis, solicito que me deis el puesto que legítimamente merezco en vuestro  consejo.;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_LETTER_GET;\n×÷ÎªÄãÇ·ÎÒÈËÇéµÄ»Ø±¨£¬ÊÚÓèÎÒÒ»¸öÄãÊàÃÜÔºÖĞµÄÖ°Î»¡£;\nEn échange de la faveur que vous me devez, offrez-moi un poste au sein de votre Conseil.;\nGebt mir einen Platz in Eurem Rat, um den Gefallen zu erwidern, den Ihr mir schuldet.;;\nA cambio del favor que me debéis, dadme un puesto en vuestro consejo.;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§!ÓÃ§Y[Recipient.GetBestName]§!µÄÈËÇéµÃµ½ÁË$POSITION|Y$Ö°Î»$FIRED$;§Y[Actor.GetBestName]? a utilis?une faveur auprès de §Y[Recipient.GetBestName]? pour obtenir le poste de $POSITION|Y$;§Y[Actor.GetBestName]? hat einen Gefallen von §Y[Recipient.GetBestName]? eingefordert, um die Position $POSITION|Y$ zu erhalten $FIRED$;;§Y[Actor.GetBestName]? utiliz?un favor sobre §Y[Recipient.GetBestName]? para que el puesto $POSITION|Y$ fuese $FIRED$;;;;;;;;;x
COUNCIL_POSITION_FIRED;£¬´Ë¹ı³ÌÖĞ$FIRED|Y$±»½â¹Í¡£;, entraînant du même coup le limogeage de $FIRED|Y$.;, und wurde dabei $FIRED|Y$ entlassen.;;, hace despedir a $FIRED|Y$ en el proceso.;;;;;;;;;x
coerced_into_council_position;±»ÆÈÈ¥ÊÚÓèÒ»¸öÊàÃÜÔºÖ°Î»;A d?octroyer un poste au Conseil;Wurde gezwungen, eine Ratsposition zu vergeben;;Se vio obligado a dar un puesto del Consejo.;;;;;;;;;x
DEMAND_POSITION_MUST_HAVE_POSITIONS;$RECIPIENT|Y$±ØĞëÓĞ$ACTOR|Y$¿ÉÒÔÊ¤ÈÎµÄ§YÊàÃÜÔº§!Ö°Î»;$RECIPIENT|Y$ doit avoir des postes au §YConseil? qui peuvent convenir ?$ACTOR|Y$;$RECIPIENT|Y$ muss §YRatspositionen? haben, die $ACTOR|Y$ innehaben kann;;$RECIPIENT|Y$ tiene que tener puestos en el §YConsejo? que $ACTOR|Y$ pueda otorgar.;;;;;;;;;x
DEMAND_POSITION_CAN_HOLD_POSITION;$ACTOR|Y$¿ÉÒÔµ£ÈÎ$RECIPIENT|Y$µÄ$POSITION|Y$;$ACTOR|Y$ peut être $POSITION|Y$ pour $RECIPIENT|Y$;$ACTOR|Y$ kann $POSITION|Y$ für $RECIPIENT|Y$ sein;;$ACTOR|Y$ puede ser $POSITION|Y$ para $RECIPIENT|Y$;;;;;;;;;x
DEMAND_POSITION_MUST_CHOOSE_POSITION;$ACTOR|Y$±ØĞëÑ¡ÔñÒ»¸ö§YÊàÃÜÔº§!Ö°Î»À´ÇëÇó$RECIPIENT|Y$;$ACTOR|Y$ doit choisir quel poste du §YConseil? demander ?$RECIPIENT|Y$;$ACTOR|Y$ muss eine §YRatsposition? wählen, um $RECIPIENT|Y$ zu fragen.;; $ACTOR|Y$ tiene que elegir un puesto en el §YConsejo? que pedir a $RECIPIENT|Y$;;;;;;;;;x
;#EVTDESC526;I demand that you grant me a position on your council, in return for the favor you owe me.;[From.GetTitledFirstName] a utilis¨¦ la faveur que [This.GetTitledFirstName] lui devait pour forcer sa nomination au Conseil.;[From.GetTitledFirstName] hat den geschuldeten Gefallen von [This.GetTitledFirstName] benutzt, um sich eine Ratsposition zu erzwingen.;; [From.GetTitledFirstName] gast¨® el favor que [This.GetTitledFirstName] les deb¨ªa para abrirse paso hasta el Consejo.;;;;;;;;;x;
EVTDESC527;[This.GetTitledFirstName]¾Ü¾øÁË[From.GetTitledFirstName]ÔÚÊàÃÜÔºÖĞµ£ÈÎ[Title.GetName]µÄÇëÇó£¬¾¡¹ÜÇ·ÁËÈËÇé¡£;[This.GetTitledFirstName] a déclin?la requête de [From.GetTitledFirstName] de lui offrir le poste de [Title.GetName] au Conseil, malgr?la faveur due.;[This.GetTitledFirstName] hat die Anfrage von [From.GetTitledFirstName] zum Ratsbeitritt als [Title.GetName] trotz des geschuldeten Gefallens abgelehnt.;;[This.GetTitledFirstName] rechaz?la solicitud de [From.GetTitledFirstName] de unirse al consejo como [Title.GetName], a pesar del favor que le debía.;;;;;;;;;x
EVTDESC528;[From.GetTitledFirstName]ÓÃÁË[This.GetTitledFirstName]Ç·[From.GetObjectPronoun]µÄÈËÇéÇ¿ÆÈÈ«¾³ºÍÆ½¡£;[From.GetTitledFirstName] a utilis?la faveur que [This.GetTitledFirstName] lui devait pour décréter la paix dans le pays.;[From.GetTitledFirstName] hat den geschuldeten Gefallen von [This.GetTitledFirstName] benutzt, um den Reichsfrieden erzwingen.;;[From.GetTitledFirstName] gast?el favor [This.GetTitledFirstName] les debía para forzar la Paz del Reino.;;;;;;;;;x
EVTDESC529;[This.GetTitledFirstName]¾Ü¾øÁË[From.GetTitledFirstName]Ç¿ÆÈ¾³ÄÚĞİÕ½µÄÇëÇó£¬¾¡¹ÜÇ·ÁËÈËÇé¡£;[This.GetTitledFirstName] a déclin?la requête de [From.GetTitledFirstName] de décréter la paix dans le pays, malgr?la faveur due.;[This.GetTitledFirstName] hat die Anfrage von [From.GetTitledFirstName] zum Erzwingen des Reichsfriedens trotz des geschuldeten Gefallens abgelehnt.;;[This.GetTitledFirstName] rechaz?la solicitud de [From.GetTitledFirstName] de imponer la Paz del Reino, a pesar del favor que le debía.;;;;;;;;;x
EVTDESC530;[From.GetTitledFirstName]ÓÃÁË[This.GetTitledFirstName]Ç·[From.GetObjectPronoun]µÄÈËÇéÇ¿ÆÈ[This.GetTitledFirstName]¼ÓÈëËûÃÇµÄÅÉÏµ¡£;[From.GetTitledFirstName] a utilis?la faveur que [This.GetTitledFirstName] lui devait pour forcer l'adhésion de [This.GetTitledFirstName] ?ses factions.;[From.GetTitledFirstName] hat den geschuldeten Gefallen von [This.GetTitledFirstName] benutzt, um [This.GetTitledFirstName] zum Fraktionsbeitritt zu zwingen.;;[From.GetTitledFirstName] gast?el favor que [This.GetTitledFirstName] les debía para obligar a [This.GetTitledFirstName] a unirse a sus facciones.;;;;;;;;;x
EVTDESC531;[This.GetTitledFirstName]¾Ü¾øÁË[From.GetTitledFirstName]¼ÓÈë[Actor.GetTitledFirstName]µÄÅÉÏµ£¬¾¡¹ÜÇ·ÁËÈËÇé¡£;[This.GetTitledFirstName] a déclin?la requête de [From.GetTitledFirstName] de rejoindre les factions de [Actor.GetTitledFirstName], malgr?la faveur due.;[This.GetTitledFirstName] hat die Anfrage von [From.GetTitledFirstName] zum Beitritt der Fraktionen von [Actor.GetTitledFirstName] trotz des geschuldeten Gefallens abgelehnt.;;[This.GetTitledFirstName] rechaz?la solicitud [From.GetTitledFirstName] para imponer la Paz del Reino, a pesar del favor que le debía.;;;;;;;;;x
HAS_FACTION_TO_JOIN;$ACTOR|Y$ÕıÔÚÁìµ¼ÖÁÉÙÒ»¸ö§YÅÉÏµ§!;$ACTOR|Y$ est en charge d'au moins une §Yfaction?;$ACTOR|Y$ leitet mindestens eine §YFraktion?.;;$ACTOR|Y$ lidera al menos una §YFacción?;;;;;;;;;x
