#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
AIREASON_ALL_HELP_IS_APPRECIATED;¶ÔËùÓĞµÄ°ïÖú±íÊ¾¸ĞĞ»;Toute aide est appréciable;Jegliche Hilfe ist willkommen;;Toda ayuda se agradece;;;;;;;;;x
SEND_GIFT_INTERACTION_LONG_DESC;ËÍÀñ¸øËûÈË»áÌá¸ßËûÈË¶ÔÄãµÄºÃ¸Ğ£¬Ìá¸ßÖµ»ùÓÚ¹ú¼ÒÍâ½»ÄÜÁ¦ºÍÊÕÀñÕßµÄÌ°À·³Ì¶È. ±ğ¹úÈËÊÕµ½ÄúµÄÀñÎïºó»á±ÈÄúÁìµØÖĞµÄÈËÎïÊÕµ½ÄúµÄÀñÎïºó¸Ğµ½¸ü¼Ó¸ßĞË;Envoyer un cadeau coûteux ?des sujets permet de mieux vous apprécier selon votre diplomatie d'État et leur cupidit? Les sujets de votre Royaume ne seront un peu moins reconnaissants de vos dons que les étrangers. ;Das Versenden teurer Geschenke an Charaktere wird deren Meinung über dich um einen Wert, der von deren Gier und Eurer Staats-Diplomatie abhängig ist, erhöhen. Charaktere in Eurem Reich werden Geschenken nicht so anerkennend gegenüber stehen wie Außenseiter.;;El envío de un regalo costoso a los personajes mejorar?su opinión de ti, por una cantidad en función de su diplomacia del Estado y su codicia. Los personajes en su reino no serán tan agradecidos de los regalos como los extranjeros.;;;;;;;;;x
JOIN_ATTACKER_WARS_EFFECT;½«¼ÓÈë[GetTitledName]ÇÖÂÔ[GetPossPronoun]Õ½Õù;Rejoindra [GetTitledName] dans sa guerre offensive ;Wird sich [GetTitledName] in [GetPossPronoun] offensiven Kriegen anschließen;;Se unir?a [GetTitledName] en [GetPossPronoun] guerras ofensivas ;;;;;;;;;x
JOIN_DEFENDER_WARS_EFFECT;½«¼ÓÈë[GetTitledName]±£ÎÀ[GetPossPronoun]Õ½Õù;Rejoindra [GetTitledName] dans sa guerre défensive ;Wird sich [GetTitledName] in [GetPossPronoun] defensiven Kriegen anschließen;;Se unir?a [GetTitledName] en [GetPossPronoun] guerras defensivas ;;;;;;;;;x
IS_NOT_PRIMARY_WAR_ATTACKER;²»ÊÇÒ»³¡Õ½ÕùÖĞµÄÖ÷Òª½ø¹¥Õß;N'est pas l'attaquant principal dans une guerre;Ist NICHT der Hauptangreifer in einem Krieg;;NO es el atacante principal en una guerra;;;;;;;;;x
IS_PRIMARY_WAR_ATTACKER;ÊÇÒ»³¡Õ½ÕùÖĞµÄÖ÷Òª½ø¹¥Õß;Est l'attaquant principal dans une guerre;Ist der Hauptangreifer in einem Krieg;;Es el principal atacante en una guerra;;;;;;;;;x
IS_NOT_PRIMARY_WAR_DEFENDER;²»ÊÇÒ»³¡Õ½ÕùÖĞµÄÖ÷Òª·ÀÓùÕß;N'est pas le défenseur principal dans une guerre;Ist NICHT der Hauptverteidiger in einem Krieg;;NO es el principal defensor de una guerra;;;;;;;;;x
IS_PRIMARY_WAR_DEFENDER;ÊÇÒ»³¡Õ½ÕùÖĞµÄÖ÷Òª·ÀÓùÕß;Est le défenseur principal dans une guerre;Ist der Hauptverteidiger in einem Krieg;;Es el principal defensor de una guerra ;;;;;;;;;x
SET_DE_JURE_LIEGE_EFFECT;§Y$LIEGE$§!³ÉÎªÁË§Y$VASSAL$§!ĞÂµÄ·¨ÀíÖ÷¾ı;Le §Y$LIEGE$? devient le nouveau seigneur de jure de §Y$VASSAL$?;Der §Y$LIEGE$? erhält den neuen de jure Titel eines Lehnsherren von den §Y$VASSAL$?;;El §Y$LIEGE$? se convierte en el nuevo señor de feudal de facto de los §Y$VASSAL$?;;;;;;;;;x
CONTRIBUTION_PERC_IRO;$CHAR$µÄ¹±Ï×Öµ: §Y$PERC$%§! (§Y$SCORE$§!);Contribution de $CHAR$? §Y$PERC$%? (§Y$SCORE$?);$CHAR$s Abgabe: §Y$PERC$%? (§Y$SCORE$?);;Contribución de $CHAR$: §Y$PERC$%? (§Y$SCORE$?);;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_TITLE;ÌáÒé¼ÓÈëÕ½Õù;Offrir de se joindre ?la guerre;Bietet an, Euch dem Krieg anzuschließen;;Oferta para unirse a la guerra;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_DESC;ÏëÒªÔÚ§Y[Recipient.GetBestName]§!µÄÒ»³¡Õ½ÕùÖĞ¼ÓÈë[Recipient.GetPossPronoun]Ò»·½.;Offre de se joindre ?§Y[Recipient.GetBestName]? dans l'une de ses guerres.;Bietet an, Euch §Y[Recipient.GetBestName]? in einem [Recipient.GetPossPronoun] Kriege anzuschließen.;;Oferta para unirse a §Y[Recipient.GetBestName]? en una de las guerras [Recipient.GetPossPronoun].;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_LONG_DESC;ÔÚĞí¶àÖÖÀàĞÍµÄÕ½ÕùÖĞÄã¿ÉÒÔÌáÒé¼ÓÈëºÍ×Ô¼ºÍ¬×ÚµÄÁìÖ÷.;Vous pouvez proposer de rejoindre les souverains coreligionnaires dans de nombreux types de guerres.;Ihr könnt Herrschern Eurer eigenen Religion in vielen verschiedenen Kämpfen anbieten, sich ihnen anzuschließen.;;Puedes ofrecerte a unirte a gobernadores de tu misma religión en muchos tipos de guerras;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_0;ÏëÒªÔÚ§Y$WAR$§!ÖĞ¼ÓÈë§Y[Recipient.GetBestName]§!Ò»·½.;Offre de se joindre ?§Y[Recipient.GetBestName]? dans la §Y$WAR$?.;Bietet §Y[Recipient.GetBestName]? an, dass Ihr euch in §Y$WAR$? anschließt.;;Oferta para unirte a  §Y[Recipient.GetBestName]? en §Y$WAR$?.;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_ACCEPT_SETUP;¼ÓÈëÕ½ÕùµÄÌáÒé±»½ÓÊÜ;Offre de se joindre ?la guerre acceptée;Angebot, sich dem Krieg anzuschließen, angenommen;;Oferta para unirte a la guerra aceptada;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§WÔÊĞíÈÃ§Y[Actor.GetBestName]§W¼ÓÈë§Y$WAR$§!;§Y[Recipient.GetBestName]? a accept?l'offre de §Y[Actor.GetBestName]? de rejoindre la §Y$WAR$?;§Y[Recipient.GetBestName]§W hat §Y[Actor.GetBestName]s§W Angebot angenommen, sich dem §Y$WAR$? anzuschließen;;§Y[Recipient.GetBestName]§W ha aceptado la oferta de §Y[Actor.GetBestName]'s§W para unirse a  §Y$WAR$?;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_DECLINE_SETUP;¼ÓÈëÕ½ÕùµÄ¾öÒé±»Íñ¾ÜÁË;Offre de se joindre ?la guerre refusée;Angebot, sich dem Krieg anzuschließen, abgelehnt;;Oferta para unirse a la guerra rechazada;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W¾Ü¾øÈÃ§Y[Actor.GetBestName]§W¼ÓÈë§Y$WAR$§!;§Y[Recipient.GetBestName]? a refus?l'offre de se joindre ?la §Y$WAR$? de §Y[Actor.GetBestName]?;§Y[Recipient.GetBestName]§W hat §Y[Actor.GetBestName]s§W Angebot abgelehnt, sich dem §Y$WAR$? anzuschließen;;§Y[Recipient.GetBestName]§W ha rechazado la oferta de §Y[Actor.GetBestName]'s§W para unirse a §Y$WAR$?;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_OFFER;[Actor.GetBestName]Ïë¼ÓÈë§Y$WAR$§!;[Actor.GetBestName] veut se joindre ?la §Y$WAR$?;[Actor.GetBestName] möchte sich §Y$WAR$? anschließen;;[Actor.GetBestName] quiere unirse a §Y$WAR$?;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_LETTER;ÄãµÄÒªÇóÊÇÕıµ±µÄ!Çë½ÓÊÜÎÒÔÚ$WAR$ÖĞ¼ÓÈëÄã·½µÄÌáÒé.;Votre cause est juste? Veuillez accepter mon offre de me joindre ?la $WAR$.;Euer Grund ist gerecht! Bitte nehmt mein Angebot an, mich Eurem $WAR$ anzuschließen;;¡Tu causa es justa! Por favor, acepte mi oferta para participar en la $WAR$. ;;;;;;;;;x
INTERACTION_CANNOT_JOIN_LIEGE_WAR;ÎŞ·¨¼ÓÈëÁìÖ÷µÄÕ½Õù;Nous ne pouvons pas rejoindre les guerres de notre seigneur lige;Wir können uns den Kriegen unseres Lehnsherren nicht anschließen;;No podemos unirnos a la guerra de nuestros señores;;;;;;;;;x
INTERACTION_REQUIRES_RECIPIENT_IS_SAME_RELIGION;§Y[Recipient.GetTitledFirstName]§! ÊÇ [Actor.Religion.GetName];§Y[Recipient.GetTitledFirstName]? est [Actor.Religion.GetName];§Y[Recipient.GetTitledFirstName]? ist [Actor.Religion.GetName];;§Y[Recipient.GetTitledFirstName]? es [Actor.Religion.GetName];;;;;;;;;x
EVTDESC293;ÎÒ·Ç³£¸ßĞËÄúÄÜ¶ÔÎÒÊ©ÒÔÔ®ÊÖ.ÈÃÎÒÃÇµÄµĞÈË²ü¶¶°É!\n\n[From.GetTitledFirstName];J'accepte volontiers votre proposition d'aide dans ma guerre. Faisons trembler nos ennemis?\n\n[From.GetTitledFirstName];Ich nehme Euer Angebot, mich in meinem Krieg zu unterstützen, gerne an. Lasst unsere Feinde erzittern!\n\n[From.GetTitledFirstName];;Con gusto acepto tu oferta de ayuda en la guerra. ¡Que tiemblen nuestros enemigos! \n\n[From.GetTitledFirstName] ;;;;;;;;;x
EVTDESC294;ÄúµÄºÃÒâÎÒĞÄÁìÁË,µ«ÊÇÎÒÈ·Êµ²»ÏëÂé·³Äú²åÊÖÎÒµÄÕâ³¡Õ½Õù.\n\n[From.GetTitledFirstName];Je vous remercie de votre offre, mais je n'ai pas besoin de votre aide dans ma guerre.\n\n[From.GetTitledFirstName];Ich danke euch für Euer Angebot, doch ich benötige Eure Einmischung in meinen Krieg nicht.\n\n[From.GetTitledFirstName];;Agradezco tu ofrecimiento, pero no necesito tu intromisión en mi guerra.\n\n[From.GetTitledFirstName] ;;;;;;;;;x
CALL_ALLY_INTERACTION_TITLE;ÇëÇóÃËÓÑ;Appel aux armes;Ruf zu den Waffen;;Llamada a las armas;;;;;;;;;x
CALL_ALLY_INTERACTION_DESC;ÇëÇó§Y[Recipient.GetBestName]§!ÔÚµ±Ç°µÄ÷éÕ½ÖĞ¼ÓÈëÎÒ·½.;Demander que §Y[Recipient.GetBestName]? nous rejoigne dans nos efforts de guerre actuels.;Bittet darum, dass sich §Y[Recipient.GetBestName]? unseren aktuellen Kriegsbemühungen anschließt.;;Solicita que §Y[Recipient.GetBestName]? se una a nosotros en la guerra.;;;;;;;;;x
CALL_ALLY_INTERACTION_LONG_DESC;Ö»ÓĞµ±³öÉíÍ¬Ò»¼Ò×å»òÕßÓĞÇ×ÃÜµÄ»éÒö¹ØÏµÊ±£¬ÁìÖ÷²ÅÄÜ±»ÕÙ»½¼ÓÈëÕ½Õù.;Les personnages ne peuvent être appelés dans une guerre que s'ils sont de la même dynastie ou qu'ils ont un lien par mariage.;Charaktere können nur zum Beitritt in Kriege aufgerufen werden, wenn sie derselben Dynastie angehören oder enge familiäre Verbindungen bestehen.;;Los personajes pueden llamarse a las guerras si son de la misma dinastía o hay lazos cercanos por parte del cónyuge.;;;;;;;;;x
CALL_ALLY_INTERACTION_0;ÇëÇó§Y[Recipient.GetBestName]§!ÔÚ§Y$WAR$§!ÖĞ¼ÓÈëÎÒ·½.;Demander que §Y[Recipient.GetBestName]? nous rejoigne dans la §Y$WAR$?.;Erbittet, dass sich §Y[Recipient.GetBestName]? uns in §Y$WAR$? anschließt.;;Solicita que §Y[Recipient.GetBestName]? se una a nosotros en §Y$WAR$?.;;;;;;;;;x
CALL_ALLY_INTERACTION_ACCEPT_SETUP;ÇëÇó°ïÖúµÄÒªÇó±»½ÓÊÜÁË;Appel aux armes accept?Ruf zu den Waffen angenommen;;Llamada a las armas aceptada;;;;;;;;;x
CALL_ALLY_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§W½ÓÊÜÁË§Y[Actor.GetBestName]µÄ§WÇëÇó, ¼ÓÈëÁË§Y$ACTOR_WARS$§!;§Y[Recipient.GetBestName]? a accept?l'appel aux armes de §Y[Actor.GetBestName]? pour §Y$ACTOR_WARS$?;§Y[Recipient.GetBestName]§W hat §Y[Actor.GetBestName]s§W Ruf zu den Waffen für §Y$ACTOR_WARS$? angenommen;;§Y[Recipient.GetBestName]§W ha aceptado la llamada a la armas de §Y[Actor.GetBestName]'s§W para Y$ACTOR_WARS$?;;;;;;;;;x
CALL_ALLY_INTERACTION_DECLINE_SETUP;ĞÅÊ¹´ø»ØÁË±»¾Ü¾øµÄÏûÏ¢.;Appel aux armes refus?Ruf zu den Waffen abgelehnt;;Llamada a las armas rechazada;;;;;;;;;x
CALL_ALLY_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W¾Ü¾øÁË§Y[Actor.GetBestName]§W¹ØÓÚ¼ÓÈë§Y$ACTOR_WARS$§!µÄÇëÇó;§Y[Recipient.GetBestName]? a refus?l'appel aux armes de §Y[Actor.GetBestName]? pour §Y$ACTOR_WARS$?;§Y[Recipient.GetBestName]§W hat §Y[Actor.GetBestName]s§W Ruf zu den Waffen für §Y$ACTOR_WARS$? abgelehnt;;§Y[Recipient.GetBestName]§W ha rechazado la llamada a las armas de §Y[Actor.GetBestName]'s§W para §Y$ACTOR_WARS$?;;;;;;;;;x
CALL_ALLY_INTERACTION_OFFER;[Actor.GetBestName]Ï£ÍûÎÒ·½ÄÜ¹»¼ÓÈë§Y$ACTOR_WARS$§!;[Actor.GetBestName] veut se joindre ?la §Y$ACTOR_WARS$?;[Actor.GetBestName] möchte, dass wir uns §Y$ACTOR_WARS$? anschließen;;[Actor.GetBestName] quiere unirse a nosotros en §Y$ACTOR_WARS$?;;;;;;;;;x
ACTOR_WARS;[GetPossPronoun]Õ½Õù;ses guerres;[GetPossPronoun] kriege;;guerras [GetPossPronoun];;;;;;;;;x
DECLARE_WAR_INTERACTION_3;§R[Recipient.GetTitledFirstName]ÕıÔÚ·´¿¹[Recipient.GetPossPronoun]ÁìÖ÷. Èç¹ûÕâ³¡³åÍ»½áÊøÁË, ÎÒÃÇµÄÕ½ÕùÒ²»á½áÊø! ÒòÎªÕâÃûÁìÖ÷ºÍÕâĞ©Ôì·´ÕßµÄ¾ü¶Ó¶¼»á±ä³ÉÎÒ¾üµÄµĞÈË.§!;§R[Recipient.GetTitledFirstName] est actuellement en révolte contre son seigneur lige. Si ce conflit se termine, notre guerre prendrait fin également? Les forces du seigneur lige et des autres rebelles nous seront hostiles.?;§R[Recipient.GetTitledFirstName] rebelliert derzeit gegen [Recipient.GetPossPronoun] Lehnsherren. Sollte dieser Konflikt enden, endet auch unser Krieg! Die Truppen des Lehnsherren und aller anderen Aufständischen werden unseren Armeen feindlich gesinnt sein.?;;§R[Recipient.GetTitledFirstName] est?en plena rebelión contra el señor [Recipient.GetPossPronoun]. Si el conflicto termina, ¡nuestra guerra va a terminar también! Las fuerzas del señor y los rebeldes serán hostiles a nuestros ejércitos. ? ;;;;;;;;;x
DECLARE_WAR_INTERACTION_4;§R¸½½üµÄ[Recipient.Religion.GetName]µØÇøµÄÍ³ÖÎÕß¿ÉÄÜ»áÒªÇó¼ÓÈë[Recipient.GetTitledName]£¬ÒÔ´Ëº´ÎÀËûÃÇµÄĞÅÑö.§!;§RLes voisins de foi [Recipient.Religion.GetName] pourraient demander ?se joindre ?[Recipient.GetTitledName] pour défendre leur foi.?;§RDer benachbarte [Recipient.Religion.GetName] Herrscher könnte uns bitten, sich [Recipient.GetTitledName] anzuschließen, um ihren Glauben zu verteidigen.?;;§RGobernadores [Recipient.Religion.GetName] cercanos podrían pedir que se unan a [Recipient.GetTitledName] en defensa de su fe.?;;;;;;;;;x
plot_gain_vassal_title_title;ÊÕ»Ø[This.GetFullBaseName];Révoquer [This.GetFullBaseName];Annulliert den [This.GetFullBaseName];;Revocar la [This.GetFullBaseName];;;;;;;;;x
plot_gain_vassal_title_desc;[From.GetBestName]ÕıÔÚÃÜÄ±ÊÕ»Ø[This.GetFullBaseName]Í·ÏÎ¡£;[From.GetBestName] complote pour révoquer le titre de [This.GetFullBaseName].;[From.GetBestName] plant eine Verschwörung, um den Titel [This.GetFullName] für ungültig erklären zu lassen.;;[From.GetBestName] est?conspirando para revocar el título de [This.GetFullBaseName].;;;;;;;;;x
plot_gain_vassal_title_decision;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_gain_vassal_title_decision_desc;½«ÃÜÄ±¸¶ÖîĞĞ¶¯£¬ÏÂ´ï×îºóÍ¨ëº¸ø[Root.PlotTarget.GetTitledName].;Lancer l'exécution du complot en envoyant un ultimatum ?[Root.PlotTarget.GetTitledName].;Setzt die Verschwörung, durch Senden eines Ultimatums an [Root.PlotTarget.GetTitledName], in Bewegung.;;Pon en marcha el complot enviando un ultimátum a [Root.PlotTarget.GetTitledName].;;;;;;;;;x
EVTTOOLTIP8030;[Root.PlotTarget.GetTitledName]ÊÕµ½ÁËÒ»·âĞÅ.;[Root.PlotTarget.GetTitledName] reçoit une lettre.;[Root.PlotTarget.GetTitledName] erhält einen Brief.;;[Root.PlotTarget.GetTitledName] recibe una carta.;;;;;;;;;x
EVTDESC8030;ÎÒÒÑ¾ö¶¨[From.GetPlot]¡£ÁìµØÖĞµÄ·â³¼¶¼ÑĞ¾¿¹ıÕâ¸öÇéĞÎÖĞµÄ·¨ÂÉÎÄ¼ş£¬ÆäÖĞµÄ´ó¶àÊıÁìÖ÷¶¼ÈÏÎªÎÒµÄÒªÇóÊÇ¹«ÕıºÏÀí¡¢Í¯ÛÅÎŞÆÛµÄ£¬ÒªÃ´¹Ô¹ÔµØºÍÆ½ÏÂÌ¨£¬ÒªÃ´ÎÒ¾Í²»µÃ²»²ÉÈ¡¾üÊÂÊÖ¶Îº´ÎÀÎÒµÄºÏ·¨È¨ÀûÁË¡£\n\nÊğÃû£¬\n[From.GetTitledName];J'ai décid?de [From.GetPlot]. Les vassaux du Royaume ont étudi?les documents juridiques présentés dans cette affaire et la majorit?d'entre eux ont jug?ma demande justifiée. Abandonnez pacifiquement votre titre, ou je vais être oblig?de reprendre ce qui m'appartient par des moyens militaires.\n\nSign?\n[From.GetTitledName];Ich habe mich zu  [From.GetPlot] entschlossen. Die Vasallen in dem Reich haben die juristischen Dokumente, die in diesem Fall vorgelegt wurden, überprüft und die Mehrheit dieser zeigen, dass mein Begehr gerechtfertigt ist. Entweder dankt Ihr friedlich ab, oder ich bin dazu gezwungen mir mithilfe von militärischen Mitteln das zu nehmen, was mir zusteht.\n\nGezeichnet,\n[From.GetTitledName];;He decidido [From.GetPlot]. Los vasallos del reino han estudiado los documentos legales presentados en este caso y la mayoría de ellos han juzgado que mi demanda es justificada. O bien se rinde en una actitud pacífica o me ver?obligado a tomar lo que es mío por medios militares. \n\nFirmado,\n[From.GetTitledName] ;;;;;;;;;x
EVTDESC8068;ÓëÆäÈÃÄÚÕ½ËºËéÎÒÃÇµÄ¹ú¼Ò£¬ÎÒÄş¿ÉÏòÄúÇüÏ¥£¬Ë«ÊÖ·îÉÏÎÒµÄÍ·ÏÎ¸øÄã£¬µ«ÊÇÕâÆğÒõÏÕ¶¾À±µÄÇÃÕ©ĞĞ¶¯ÓÀÔ¶²»»á±»Íü¼Ç¡­¡­\n\nÊğÃû£¬\n[From.GetTitledName];Plutôt que de risquer une guerre civile qui va déchirer le Royaume, j'ai décid?de céder ?votre demande et de vous remettre mon titre. Mais cet acte déloyal de chantage ne sera jamais oubli?..\n\nSign?\n[From.GetTitledName];Ich habe beschlossen, mich lieber Eurer Forderung zu beugen und Euch meinen Titel zu übergeben, als einen Bürgerkrieg zu riskieren, der das Reich auseinanderreißen würde. Diese heimtückische Erpressung werde ich allerdings niemals vergessen...\n\nGezeichnet,\n[From.GetTitledName];;En vez de correr el riesgo de que una guerra civil destroce el reino, he decidido ceder ante tu demanda y entregarte mi título. Pero este traidor acto de chantaje no ser?olvidado...\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA8068;Ãî¼«ÁË!;Excellent?;Hervorragend!;;¡Excelente!;;;;;;;;;x
