;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTD_CM_1192;ËûÃÇÁ½¸ö¶¼Ó¦¸ÃÊÜµ½³Í·£!;Ils seront punis tous les deux.;Beide müssen bestraft werden.;;Ambos deben ser castigados.;;;;;;;;;x
EVTOPTE_CM_1192;ÕâÁîÈËÍ´¿à,µ«µØÀÎ²ÅÊÇ¼é·òÒù¸¾µÄ¹éËŞ.;Malheureusement, le cachot est le seul choix possible.;Auch wenn es mich grämt: Es bleibt nur der Kerker.;;Lo siento mucho, pero el calabozo es la única opción.;;;;;;;;;x
EVTDESC_CM_1132;ÖÂÎáÖ®¹ÊÖ÷, [Root.GetFirstNameWithNick],\n\nÎáÈËÒÑÈ»Ğ§ÖÒÓÚ·¨À¼¿Ë×åÈËÖ®ÕæÕıÏÍÍõ¶ø·ÇÎŞµÂÖ®¾ıÀà¸óÏÂÕß,ÓÚ´ËÎáÉî±íÒÅº¶..\n\nÈÙÒ«ÊôÓÚ·¨À¼¿ËµÛ¹ú,\n[From.GetBestName];?mon ancien seigneur [Root.GetFirstNameWithNick],\n\nC'est avec grand regret que je jure fidélit?au véritable souverain des Francs. J'estime votre revendication notoirement insatisfaisante et j'ai décid?de servir le plus puissant roi.\n\nPour la gloire de l'Empire franc,\n[From.GetBestName];An meinen ehemaligen Lehnsherren, [Root.GetFirstNameWithNick]:\n\nMit großem Bedauern muss ich Euch mitteilen, dass ich dem Herrscher der Franken den Lehnseid schwören werde. Euer Herrschaftsanspruch scheint schwach und dem stärkeren König werde ich folgen.\n\nRuhm sei dem Reiche der Franken!\n[From.GetBestName];;Mi querido señor, [Root.GetFirstNameWithNick],\n\nLamento tener que comunicarle que debo lealtad al gobernante de los francos. Considero que vuestra demanda es totalmente inapropiada y he decidido servir al Rey más firme y correcto.\n\nPor la gloria del Imperio Franco,\n[From.GetBestName];;;;;;;;;x
EVTOPTA_CM_1132;ÕâÕæ²»ĞÒ...;C'est bien malheureux...;Das ist ungünstig ...;;Eso es inoportuno...;;;;;;;;;x
ERA_CHAR_INFO_74441;æ¶ÃÜÊÒ·¥ÂŞÒ»ÊÀÔÚ½¨Á¢Ù¤Á«Äá³ÇºóÓÚ1042Äê³ÉÎªÎ÷ÕÚÂ¦Æä¹úÍõ²¢¶¨¶¼ÓÚ´Ë¡£ËûËäÈ»ÇÚÕşÓ¢ÎäÈ´¾¡Ëû±ÏÉúÖ®Á¦ÓëÀ´×ÔÖìÂŞÍõ³¯µÄ¾ºÕùÕßÎªÎÄêÈµÄÍ³ÖÎÈ¨¶øÏàÕù¡£ÓÉÓÚ²»ÄÜÕ½Ê¤ËŞµĞÒÔ¼°¾øÖ¢µÄÕÛÄ¥£¬æ¶ÃÜÊÒ·¥ÂŞ×îÖÕÓÚ¶«Ù¤ÆÅÍÓÂŞºÓÍ¶Ë®×Ô¾¡¡£;Somesvara Ier devint roi des Chalukya occidentaux en 1042 puis fonda la cit?de Kalyani et en fit sa capitale. C'était un souverain très actif et volontaire quii passa la plus grande partie de son règne en guerre contre une succession de souverains de la dynastie Chola, auxquels il disputait la domination de Vengi. Incapable de supplanter ses ennemis et tourment?par un mal incurable, Somesvara finit par s'ôter la vie en se noyant dans la rivière Tungabhadr?;Somesvara I wurde 1042 zum König der westlichen Chalukyas und gründete im Anschluss daran die Stadt Kalyani, die er zu seiner Hauptstadt machte. Er war ein tatkräftiger Herrscher, der den Großteil seiner Regierungszeit gegen eine Reihe von Herrschern der Chola-Dynastie um die Herrschaft über Vengi kämpfte. Als es ihm auch nach Jahren nicht gelungen war, den Krieg zu gewinnen, stürzte sich Somesvara, gequält von einer unheilbaren Krankheit, in den Flu?Tungabhadra und nahm sich auf diese Weise das Leben.;;Somesvara I se convirti?en el rey de Chalukia occidental en 1042, tras lo cual fund?la ciudad de Kalyani y la convirti?en su capital. Fue un gobernante muy activo y energético pero pas?la mayor parte de su reinado combatiendo en guerras contra una sucesión de gobernantes de la dinastía Chola, que eran los rivales con quienes se disputaba el dominio de Vengi. Incapaz de lograr la victoria contra sus enemigos y atormentado por una enfermedad incurable, Somesvara puso fin a su vida lanzándose en el Río Tungabhadra.;;;;;;;;;x
;#event_CM_1172_tooltip;[From.GetDynName] leaves your court.\n;;[From.GetDynName] verl?sst Euren Hof.\n;;[From.GetDynName] abandona tu corte.\n;;;;;;;;;x;
EVTDESC_CM_1401;ÄãÒÑ²»Ô¸¼ÌĞøÇüÏ¥ÓÚ[Root.Liege.GetTitledFirstName], µ« [Root.Liege.GetSheHe] ·Ç³£Ç¿´ó.Ò²ĞíÑ°ÇóÍâÔ®²ÅÊÇÕıÈ··½·¨ - ±±·½µÄ·¨À¼¿ÍÈËÈÕÒæÇ¿´ó²¢ÇÒËûÃÇ¶Ô[Root.Liege.GetOnlyDynastyName]Ò»×å²¢ÎŞºÃ¸Ğ. Äã¿ÉÒÔÏòËûÃÇĞíÒÔ³Æ³¼À´»»È¡Ô®¾ü - µ±È»ÔÚµÃµ½ËûÃÇµÄÔ®ÖúºóÄãÂÄĞĞ²»ÂÄĞĞÄãµÄÅµÑÔ¾ÍÊÇÁíÒ»»ØÊÂÁË...;Servir [Root.Liege.GetTitledFirstName] est une contrainte, mais c'est un puissant personnage. Il est peut-être temps de vous trouver des alliés ?l'étranger... Les Francs au nord deviennent de plus en plus puissants et n'apprécient ?l'évidence pas les [Root.Liege.GetOnlyDynastyName]. Vous pourriez leur jurer allégeance en échange de leur soutien. Vous n'aurez pas besoin d'honorer votre promesse une fois qu'ils vous auront aid?..;Ihr seid es leid, der Diener von [Root.Liege.GetTitledFirstName] zu sein, doch [Root.Liege.GetSheHe] ist äußerst mächtig. Vielleicht könnten Verbündete im Ausland die Lösung sein. Die Franken im Norden werden stetig mächtiger und sind auf die Familie [Root.Liege.GetOnlyDynastyName] nicht gut zu sprechen. Ihr könntet Ihnen Gefolgschaft versprechen, als Gegenleistung für ihre Hilfe ... und ob Ihr Euer Versprechen letztlich halten würdet - das wird sich zeigen.;;Te estás hartando de servir a [Root.Liege.GetTitledFirstName], pero [Root.Liege.GetSheHe] tiene mucho poder. Quiz?ha llegado el momento de buscar aliados extranjeros -los francos, al norte, se están volviendo cada vez más poderosos y muy probablemente no sientan mucho aprecio por los [Root.Liege.GetOnlyDynastyName]. Les podrías jurar lealtad a cambio de ayuda -promesa, claro, que no tienes por qu?cumplir una vez hayas recibido la ayuda que necesitas...;;;;;;;;;x
EVTOPTA_CM_1401;ÎÒ½«ÅÉ³öĞÅÊ¹.;J'enverrai un messager.;Ich werde einen Boten senden.;;Enviar?un mensajero.;;;;;;;;;x
EVTOPTB_CM_1401;²»,ÕâºÁÎŞÒæ´¦.;Non, le jeu n'en vaut pas la chandelle.;Nein, es wäre zu riskant.;;No, no compensa el riesgo que supone.;;;;;;;;;x
EVTDESC_CM_1402;Ò»Î»ÓëÖÚ²»Í¬µÄĞÅÊ¹´ÓÎ÷°àÑÀÀ´µ½ÁËÄãµÄ¹¬Í¢¡£ÕâÎ»×Ô[From.GetTitledNameWithNick]µÄÃÜÊ¹À´µ½ÄãµÄÃæÇ°ËµµÀ£º"ÎÒµÄ[From.GetLordLady]ÇëÇóÄúÖ§Ô®Æä·´¿¹±©¾ı[From.Liege.GetTitledName]Ö®Òå¾Ù¡£[From.GetSheHeCap]Ï£ÍûÄúÄÜ³ö±øÖ§Ô®£¬×÷Îª»Ø±¨£¬[From.GetSheHe]½«ÔÚ°ÚÍÑ[From.Liege.GetOnlyDynastyName]Ñ¹ÆÈÔÚ[From.GetHerHis]±³ÉÏ µÄ¼ÏËøºóÏòÄúĞ§ÖÒ¡£";Une missive très inattendue vous parvient d'Espagne. Un messager envoy?par [From.GetTitledNameWithNick] se présente ?vous et vous parle en ces termes? « M[From.GetHerHis] [From.GetLordLady], [From.GetTitledNameWithNick], vous demande votre aide contre l'infâme [From.Liege.GetTitledName]. [From.GetSheHeCap] vous demande la promesse d'une assistance armée pour sa révolte et, en retour, vous jurera fidélit?lorsque le joug de l'oppression des [From.Liege.GetOnlyDynastyName] aura disparu.?Eine höchst ungewöhnliche Botschaft aus Spanien ist eingetroffen. Ein Gesandter von [From.GetTitledNameWithNick] vermeldet: '[From.GetLordLady] ersucht um Eure Unterstützung gegen den verbrecherischen [From.Liege.GetTitledName]. [From.GetSheHe] erbittet Eure bewaffnete Unterstützung des Aufstands und [From.GetSheHe] schwört Euch im Gegenzug Gefolgschaft, sobald [From.GetHerHis] sich vom Joch derer von [Root.Liege.GetOnlyDynastyName] befreit hat.';;Has recibido un inusual representante de España. Un emisario de [From.GetTitledNameWithNick] se ha presentado ante ti y ha dicho: 'Mi [From.GetLordLady] solicita su ayuda para hacer frente al malvado [From.Liege.GetTitledName]. [From.GetSheHe] le pide que prometa su asistencia armada en la rebelión, y a cambio [From.GetSheHe] le jurar?lealtad una vez el yugo opresor de los [Root.Liege.GetOnlyDynastyName] haya desaparecido.';;;;;;;;;x
EVTOPTA_CM_1402;ºÜºÃºÜºÃ,ÈÃÎÒÃÇÎª´ËÇ©ÊğÒ»·İĞ­¶¨.;Fort bien, nous signerons un trait?en ce sens.;Nun gut, dann werden wir einen Vertrag dahingehend aufsetzen.;;Muy bien, vamos a firmar un acuerdo a ese efecto.;;;;;;;;;x
EVTOPTB_CM_1402;¶Ô²»Æğ,ÎÒ²¢²»Ïë½éÈëÎ÷°àÑÀÊÂÎñ.;Navr? la politique espagnole de m'intéresse pas.;Mit Verlaub, aber die spanische Politik interessiert mich nicht.;;Disculpe, la política española no me interesa.;;;;;;;;;x
EVTDESC_CM_1403;ÄãµÄÌØÊ¹´Ó·¨À¼¿Ë´øÀ´ÁË»µÏûÏ¢. [From.GetTitledName] ¾Ü¾øÖ§Ô®Äã·´¿¹ [Root.Liege.GetOnlyDynastyName]µÄ¶·Õù.;Vos émissaires reviennent de Francie porteurs de mauvaises nouvelles. [From.GetTitledName] a refus?votre demande d'assistance pour combattre les seigneurs [Root.Liege.GetOnlyDynastyName].;Eure Gesandten kehren mit schlechten Nachrichten aus dem Land der Franken zurück. [From.GetTitledName] lehnt Euer Ersuchen um Unterstützung gegen [Root.Liege.GetOnlyDynastyName] ab.;;Tus emisarios han vuelto de Francia con buenas noticias. [From.GetTitledName] ha aceptado tu propuesta y ha prometido ampararte en tu sublevación contra tus gobernantes supremos [Root.Liege.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTA_CM_1403;Õâ»ÙÁËÎÒµÄÏ£Íû!;J'avais tant d'espoir...;Das ist niederschmetternd.;;Esto echa por tierra todas mis esperanzas.;;;;;;;;;x
EVTDESC_CM_1404;ÄãµÄÌØÊ¹´Ó·¨À¼¿Ë´øÀ´ÁËºÃÏûÏ¢. [From.GetTitledName] ½ÓÊÜÁËÄãµÄÇëÇó²¢±£Ö¤½«ÔÚÄãÆğ±ø·´¿¹ [Root.Liege.GetOnlyDynastyName] Ê±ÅÉ±øÖ§Ô®.;Vos émissaires reviennent de Francie porteurs de bonnes nouvelles. [From.GetTitledName] a accept?de vous aider dans votre rébellion contre les seigneurs [Root.Liege.GetOnlyDynastyName].;[From.GetTitledName] akzeptiert Euer Angebot und gelobt, Euren Aufstand gegen Euren Lehnsherrn [Root.Liege.GetOnlyDynastyName] zu unterstützen.;;Tus emisarios han vuelto de Francia con buenas noticias. [From.GetTitledName] ha aceptado tu propuesta y ha prometido ampararte en tu sublevación contra tus gobernantes supremos [Root.Liege.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTA_CM_1404;ÊÇÀ÷±øï÷ÂíµÄÊ±ºòÁË, È»ºó...;Il est temps de se préparer ?la guerre...;Dann werden wir nun zum Krieg rüsten ...;;Debemos prepararnos para la guerra, entonces...;;;;;;;;;x
EVTDESC_CM_1405;Ê±»ú¾ÍÔÚ½ñ³¯! [Root.GetOnlyDynastyName] µÄ¾ü¶Ó½«³å³öÓªÕ¯ÏûÃğ[Root.Liege.GetOnlyDynastyName]Ò»×å, ·¨À¼¿ËµÄÌúÌã½«ÊÇÄãµÄºó¶Ü!;C'est le moment? Les armées de [Root.GetOnlyDynastyName] vont se mettre en route et détrôner les [Root.Liege.GetOnlyDynastyName]. La puissance des Francs est ?vos côtés?;Die Zeit ist reif! Die Truppen von [Root.GetOnlyDynastyName] werden losschlagen und die [Root.Liege.GetOnlyDynastyName] stürzen. Und die Macht der Franken wird mit Euch sein!;;¡Ha llegado el momento! ¡Los ejércitos de los [Root.GetOnlyDynastyName] saldrán para derrocar a los de los [Root.Liege.GetOnlyDynastyName], y el poder de los francos estar?contigo!;;;;;;;;;x
EVTOPTA_CM_1405;ÈÃËûÃÇÍ´¿à!;Qu'ils souffrent?;Sie sollen leiden!;;¡Hagámosles sufrir!;;;;;;;;;x
EVTDESC_CM_1406;ÎÒµÄ[Root.GetLordLady]£¬Î÷°àÑÀÄÇ±ß´«À´ÁËÏûÏ¢£¬ [From.GetTitledName] ¶Ô [target_liege.GetOnlyDynastyName] ·¢¶¯ÁËÅÑÂÒ¡£ÊÇÊ±ºòÂÄĞĞÎÒÃÇµÄÅµÑÔ¡¢³ö±øÔ®ÖúËûÃÇÁË¡£;M[Root.GetHerHis][Root.GetLordLady], \n\nDes nouvelles en provenance d'Espagne nous apprennent que [From.GetTitledName] se rebelle contre les [target_liege.GetOnlyDynastyName]. Le moment est venu d'honorer notre accord et de lui porter assistance en envoyant des troupes.;[Root.GetLordLady], wie aus Spanien vermeldet wird, hat sich [From.GetTitledName] gegen die Dynastie [target_liege.GetOnlyDynastyName] erhoben. Nun sollten wir gemäß unserer Vereinbarung Truppen zur Unterstützung entsenden.;;Mi [Root.GetLordLady], las noticias llegadas de España dicen que [From.GetTitledName] se ha alzado en rebelión contra los [target_liege.GetOnlyDynastyName]es. Ha llegado el momento de cumplir nuestro acuerdo e intervenir ayudándolos con nuestros ejércitos.;;;;;;;;;x
EVTOPTA_CM_1406;¾ÙÆì³ö±ø!;Sonnez trompettes, en avant?;Vorwärts! Mit wehenden Bannern!;;¡Alzad el estandarte y avanzad!;;;;;;;;;x
EVTOPTB_CM_1406;ÎÒÒÑ¾ö¶¨£¬ÈÃËûÃÇ×ÔÉú×ÔÃğ°É.;J'ai chang?d'avis. Ils feront sans nous.;Ich habe es mir anders überlegt. Überlasst sie ihrem Schicksal.;;He recapacitado. Les abandonaremos a su suerte.;;;;;;;;;x
EVTDESC_CM_1408;ÎÒµÄ [Root.GetLordLady], ÎÒÃÇÖÕÓÚ´Ó[Root.Liege.GetOnlyDynastyName]¼Ò×åµÄÑ¹ÆÈÖĞÖØĞÂ»ñµÃÁË¶ÀÁ¢. ³ö±øÖ§Ô®ÎÒÃÇµÄ·¨À¼¿ËÍ³ÖÎÕß½«ÒªÇóÄúÂÄĞĞÄúµÄĞ§ÖÒÅµÑÔ.ÄúÒâÏÂÈçºÎ§!;M[Root.GetHerHis][Root.GetLordLady], nous sommes enfin indépendants des [Root.Liege.GetOnlyDynastyName]. Le souverain franc qui nous a port?assistance s'attend ?ce que vous honoriez votre promesse en lui prêtant allégeance. Que souhaitez-vous faire?;[Root.GetLordLady], nun sind wir endlich frei von der Herrschaft der [Root.Liege.GetOnlyDynastyName]-Dynastie. Der fränkische Herrscher, dessen Unterstützung wir erhielten, erwartet unseren Lehnseid. Wie lautet Euer Befehl?;;Mi [Root.GetLordLady], finalmente hemos logrado independizarnos de los [Root.Liege.GetOnlyDynastyName]. El gobernante de los francos nos ha ayudado y ahora espera que vos cumpla su promesa y le jure lealtad. ¿Cuáles son vuestras órdenes?;;;;;;;;;x
EVTOPTA_CM_1408;ÎÒÒ»ÑÔ¾Å¶¦,½«ÂÄĞĞÅµÑÔ.;Je n'ai qu'une parole, qu'il en soit ainsi.;Mein Versprechen ist heilig und daher werde ich Wort halten.;;Yo cumplo mi palabra.;;;;;;;;;x
EVTOPTB_CM_1408;ÈÃ·¨À¼¿ËÂù×ÓÈ¥¼û[Root.Religion.GetRandomEvilGodName]°É!;Au diable les Francs?;[Root.Religion.GetRandomEvilGodName] soll die Franken holen!;;¡Los [Root.Religion.GetRandomEvilGodName] toman a los francos!;;;;;;;;;x
EVTDESC_CM_1409;ÎÒµÄ[Root.GetLordLady]£¬¾¡¹ÜÄúÔø¾­ÎŞË½Ô®Öú£¬°ïÖú[From.GetHerHim]´ÓÙÁÂíÑÇÍõ³¯»ñµÃÁË[From.GetHerHis]×ÔÓÉ£¬µ«ºÁÎŞĞÅÓşµÄ[From.GetTitledName]Î¥±³ÁË[From.GetHerHis]µ±³õÏòÄú·¢ÊÄĞ§ÖÒµÄÅµÑÔ£¡;M[Root.GetHerHis][Root.GetLordLady], \n\n[From.GetTitledName] n'a pas respect?sa parole en refusant de vous jurer allégeance, et ce, malgr?votre aide si généreuse pour l'aider ?acquérir son indépendance des [Root.Liege.GetOnlyDynastyName]?;[Root.GetLordLady], verräterisch, wie [From.GetTitledName] ist, hat [From.GetHerHis] Wort gebrochen und wird Euch nicht Gefolgschaft leisten. Und das, obwohl Ihr [From.GetHerHim] zu [From.GetHerHis] Unabhängigkeit von der [Root.Liege.GetOnlyDynastyName]-Dynastie verholfen habt!;;¡Mi [Root.GetLordLady], el traidor de [From.GetTitledName] ha incumplido [From.GetHerHis] palabra y ha rechazado juraros lealtad a pesar de que vos [From.GetHerHim] hayáis respaldado tan generosamente para conseguir [From.GetHerHis] independencia de los [Root.Liege.GetOnlyDynastyName]!;;;;;;;;;x
EVTOPTA_CM_1409;ÕâÈº±³ĞÅÆúÒåµÄ[From.Culture.GetName]!;Trahison [From.Culture.GetName]?;Typisch [From.Culture.GetName]!;;¡Estos [From.Culture.GetName]es traicioneros!;;;;;;;;;x
EVTOPTB_CM_1409;ÅÑÍ½!;Sale traître?;Ein abscheulicher Verrat!;;¡Menuda traición!;;;;;;;;;x
;#CALL_ALL_TRIBAL_VASSALS;Call all Tribal Vassals to War;;Alle Stammes-Vasallen zu den Waffen rufen;;Llamar a Todos los Vasallos Tribales a la Guerra;;;;;;;;;x;
CALL_ALL_ALLIES;ÕÙ»½ËùÓĞÃËÓÑ¼ÓÈëÕ½Õù;Appeler tous les alliés ?la guerre;Alle Verbündeten zu den Waffen rufen;;Llamar a Todos los Aliados a la Guerra;;;;;;;;;x
CALL_ALL_NO_WAR;ÄãÃ»ÓĞ´¦ÓÚÕ½Õù×´Ì¬, Òò´ËÄã²»ÄÜÕÙ»½·â³¼¼°ÃËÓÑ¼ÓÈëÕ½Õù;Vous n'êtes pas en guerre actuellement, vous ne pouvez pas appeler tous vos vassaux ou tous vos alliés ?la guerre;Da Ihr Euch nicht im Krieg befindet, könnt Ihr niemanden zu den Waffen rufen.;;No estás en guerra, as?que en estos momentos no puedes Llamar a ningún Vasallo o Aliado a la Guerra;;;;;;;;;x
CALL_ALL_ALLIES_INFO;§G°´×¡§YCtrl¼ü§GÒÔÕÙ»½È«²¿ÃËÓÑ¼ÓÈëÕ½Õù§!;§GMaintenir la touche §YCtrl§G pour appeler tous les alliés ?la guerre?;§YSteuerung? gedrückt halten, um ALLE Verbündeten zu den Waffen zu rufen;;Mantén pulsado la tecla §YControl? para Llamar a TODOS los Aliados a la Guerra;;;;;;;;;x
CharlemagneDLC;²éÀíÂü;Charlemagne;Karl der Große;;Carlomagno;;;;;;;;;x
EarlyWesternClothingDLC;ÔçÆÚÎ÷·½·şÊÎ°ü;Pack de tenues occidentales anciennes;Paket Westliche Kleidung (Frühzeit);;Primeros Paquetes de Tela Occidental;;;;;;;;;x
EarlyEasternClothingDLC;ÔçÆÚ¶«·½·şÊÎ°ü;Pack de tenues orientales anciennes;Paket Östliche Kleidung (Frühzeit);;Primeros Paquetes de Tela Occidental;;;;;;;;;x
DynastyShieldsCharlemagneDLC;²éÀíÂüÍõ³¯¶Ü»Õ;Armoiries dynastiques de Charlemagne;Familienwappen Karls des Großen;;Escudos de la Dinastía de Carlomagno;;;;;;;;;x
EVTDESC107000;×¢Òâ! ÔÚ¹«Ôª1066ÄêµÄÊÀ½çÕıÈçÄãËù¿´µ½µÄ,±»·ÖÎªĞí¶à²»Í¬µÄµØÓò-¹ú¼Ò - Ã¿Ò»¸ö¹ú¼Ò¶¼ÓÉÆä¾ıÖ÷»òÊÇÆäËûµÄÍ³ÖÎÕß¿ØÖÆ×Å. Íõ¹ú·çÔÆ2Õâ¸öÓÎÏ·±íÏÖÁË¹ØÓÚÕâĞ©Í³ÖÎÕßµÄ¸öÈË,¼Ò×å,¹ØÏµ,ÒõÄ±ÒÔ¼°È¨Á¦.ÊÇ³ÉÎªÒ»ÃûÕ÷·şÕß»¹ÊÇÒ»¸öÎÂºÍµÄ¼Ò×å³¤Õß,¶¼È¡¾öÓÚÍæ¼ÒÄãµÄ¾ñÔñ,µ«ÊÇÄãÒª¼Ç×¡²»ÂÛÄãÈçºÎÏë,ÆäËûµÄ½ÇÉ«¶¼»á¿ÊÇó¸ü¶àµÄÍÁµØÓë²Æ¸».\n\nÍõ¹ú·çÔÆ2ÊÇÒ»¸öÊµÊ±Õ½ÂÔÓÎÏ·.¹Ø±ÕÕâ¸ö´°¿Ú²¢Í¨¹ıµ÷½ÚÓÎÏ·ËÙ¶È¿ªÊ¼ÓÎÏ·...;Oyez? Oyez? Voici le monde tel qu'il est en l'an de grâce 1066. Comme vous le voyez, il est divis?en régions distinctes, les comtés. Chaque comt?est contrôl?par un souverain ou un autre. Crusader Kings II est un jeu qui met en avant ces souverains, leurs familles, les relations, les intrigues... Et le pouvoir. Conquérant ou paisible chef de famille, vous faites votre choix, mais sachez que la plupart des personnages auront soif de territoires...\n\nCrusader Kings II est un jeu en temps réel. Fermez cette fenêtre et quittez la pause en utilisant les options de vitesse.;Schaut nur! Die Welt im Jahre des Herren 1066. Wie Ihr seht, ist die Welt in verschiedene Grafschaften aufgeteilt, die von verschiedenen Herrschern regiert werden. Bei Crusader Kings II geht es um diese Herrscher, ihre Familien, Beziehungen, Intrigen und ihre Macht. Ihr könnt ein Eroberer sein oder ein friedlicher Familienvater, ganz wie Ihr wollt. Doch Ihr solltet wissen, dass die meisten anderen Personen nach mehr Land und Grafschaften trachten.\n\nCrusader Kings II ist ein Echtzeitspiel. Schließt nun dieses Fenster und setzt das Spiel über die Geschwindigkeitskontrolle fort ...;;¡Mirad! El mundo tal y como lo conocíamos en 1066, el año de nuestro Salvador. Como veis, est?dividido en distintas regiones -Condados- cada uno de ellos est?controlado por un gobernante u otro. Crusader Kings II es un juego entorno a estos gobernantes, sus familias, relaciones, aventuras... y poder. Puedes ser un conquistador o un pacífico padre de familia, como desees, pero ten en cuenta que la mayoría de personajes codician más tierras, más Condados.\n\nCrusader Kings II es un juego en tiempo real. Cierra esta ventana y reanuda el juego mediante el marcador de velocidad...;;;;;;;;;x
