;#CODE;ENGLISH;;GERMAN;;SPANISH;;;;;;;;;;
character_owe_favor;此人将会欠你一个 人情?。;Ce personnage vous devra une faveur?.;Dieser Charakter wird Euch einen Gefallen? schuldig sein.;;ste personaje te deber?un Favor?;;;;;;;;;x
EVTDESC_ZE_22500;枢密院讨论结束时，[target_pious_voter.GetTitledFirstName]把你拉到一边。[target_pious_voter.GetSheHeCap]跟你大谈特谈要尊重[Root.Religion.GetScriptureName]在枢密院中做决定的权威性。显然枢密院对你怠慢态度看法一致，但幸好[target_pious_voter.GetFirstName]愿意帮你！;?la fin de la r閡nion du Conseil, [target_pious_voter.GetTitledFirstName] vous prend en apart? [target_pious_voter.GetSheHeCap] vous parle longuement de la n閏essit?de prendre en compte [Root.Religion.GetScriptureName] lors de la prise de d閏ision. Apparemment, le Conseil s'accorde ?dire que vous avez n間lig?de le faire, mais heureusement [target_pious_voter.GetFirstName] vous offre son aide?;Nach dem Ende der Ratssitzung nimmt Euch [target_pious_voter.GetTitledFirstName] beiseite. [Root.Religion.GetScriptureName], so erl鋟tert [target_pious_voter.GetSheHe] ausf黨rlich, sei eine Autorit鋞 und m黶se bei allen Ratsentscheidungen ber點ksichtigt werden. Offenbar st鲞t sich der Rat nicht an Eurem Vers鋟mnis, doch gl點klicherweise bietet [target_pious_voter.GetFirstName] Euch Hilfe an!;;Durante la reuni髇 del consejo, [target_pious_voter.GetTitledFirstName] te echa a un lado. [target_pious_voter.GetSheHeCap] te habla largamente sobre la necesidad de respetar la autoridad del [Root.Religion.GetScriptureName] al tomar decisiones en el consejo. Al parecer el Consejo est?de acuerdo en que lo has descuidado, ero afortunadamente [target_pious_voter.GetFirstName] se ofrece a ayudarte!;;;;;;;;;x
EVTOPTA_ZE_22500;你真为会为我那样做吗？我欠你太多了！;Vous feriez 鏰 pour moi? Je vous le revaudrai?;Das w黵det Ihr f黵 mich tun? Ich stehe in Eurer Schuld!;;縇o har韆s por m? e debo una!;;;;;;;;;x
EVTOPTB_ZE_22500;不，没有位置给[Root.Religion.GetScriptureName]从政！;Non, ce qui se trouve dans [Root.Religion.GetScriptureName] n'a pas sa place en politique?;Nein. [Root.Religion.GetScriptureName] und Politik sollten nicht vermischt werden!;;o, no hay lugar para [Root.Religion.GetScriptureName] en la pol韙ica!;;;;;;;;;x
EVTDESC_ZE_22510;枢密院一致认为[From.GetBestName]的行为非常不虔诚，无视了[Root.Religion.GetScriptureName]许多智训。作为一个虔诚的[Root.GetManWoman]，你决定帮助[From.GetHerHim]不要重蹈覆辙。[From.GetFirstName]对你的帮助十分感激，并且告诉你[From.GetSheHe]欠你许多！;Le Conseil s'accorde ?dire que [From.GetBestName] agit de fa鏾n particuli鑢ement impie, ignorant la sagesse de ce qui est 閏rit dans [Root.Religion.GetScriptureName]. La pi閠?閠ant votre fort, vous d閏idez de l'aider ?ne pas refaire les m阭es erreurs. [From.GetFirstName] vous en est tr鑣 reconnaissant et vous dit avoir une dette ?votre 間ard?;Der Rat best鋞igte, dass [From.GetBestName] sich 鋟遝rst piet鋞los verhalten hatte. [Root.Religion.GetScriptureName] enthalte n鋗lich viele Weisheiten, die von [From.GetBestName] nicht ber點ksichtigt wurden. Da Ihr ein frommer Mensch seid, habt Ihr beschlossen, [From.GetBestName] dabei zu helfen, solche Fehler nicht zu wiederholen. [From.GetSheHeCap] zeigte sich 鋟遝rst dankbar daf黵 und lie?Euch wissen, dass [From.GetSheHe] fortan in Eurer Schuld stehe!;;El Consejo acord?que [From.GetBestName] hab韆 estado actuando de una manera muy poco p韆, haciendo caso omiso de la mucha sabidur韆 de [Root.Religion.GetScriptureName]. Siendo un/a [Root.GetManWoman] tan piadoso/a, decidiste ayudar[From.GetHerHim] a no repetir los mismos errores. From.GetFirstName] qued?muy agradecido por esta ayuda y dijo que [From.GetSheHe] quedaba en deuda!;;;;;;;;;x
EVTOPTA_ZE_22510;一颗赛艇！我可以用上这个人情了。;Excellent, je me servirai de cette faveur.;Ausgezeichnet, dieser Gefallen wird mir von Nutzen sein.;;Excelente, podr?aprovechar este favor.;;;;;;;;;x
EVTDESC_ZE_22520;枢密院一致认为[From.GetBestName]的行为非常不虔诚，无视了[Root.Religion.GetScriptureName]许多智训。作为一个虔诚的[Root.GetManWoman]，你决定帮助[From.GetHerHim]不要重蹈覆辙。但[From.GetFirstName]被激怒了因为[From.GetSheHe]以为你在试图诓骗[From.GetHerHim]！;Le conseil s'accorde ?dire que [From.GetBestName] agit de fa鏾n particuli鑢ement impie, ignorant la sagesse de ce qui est 閏rit dans [Root.Religion.GetScriptureName]. La pi閠?閠ant votre fort, vous d閏idez de l'aider ?ne pas refaire les m阭es erreurs. Cependant, [From.GetFirstName] rentre dans une col鑢e noire, pensant que vous essayez d'en tirer un avantage quelconque.;Der Rat best鋞igte, dass [From.GetBestName] sich 鋟遝rst piet鋞los verhalten hatte. [Root.Religion.GetScriptureName] enthalte n鋗lich viele Weisheiten, die von [From.GetBestName] nicht ber點ksichtigt wurden. Da Ihr ein frommer Mensch seid, habt Ihr beschlossen, [From.GetBestName] dabei zu helfen, diesen Fehler nicht zu wiederholen. Dies erz黵nte [From.GetBestName] jedoch aufs 膗遝rste, da [From.GetSheHe] Eure wahren Absichten in Frage stellte!;;El Consejo acord?que [From.GetBestName] hab韆 estado actuando de una manera muy poco p韆 haciendo caso omiso de la mucha sabidur韆 de [Root.Religion.GetScriptureName]. Siendo un/a [Root.GetManWoman] tan piadoso/a, decidiste ayudar[From.GetHerHim] a no repetir al mismo error. Sin embargo, [From.GetFirstName] se enfureci?porque [From.GetSheHe] asumi?que tratabas de enga馻r[From.GetHerHim]!;;;;;;;;;x
EVTOPTA_ZE_22520;还不如一个异教徒...;Pas mieux qu'un h閞閠ique...;Nicht viel besser als ein Ketzer ...;;No es mejor que un hereje...;;;;;;;;;x
EVTDESC_ZE_22600;你听到传言说在国外有一位[target_foreign_voter.GetJobTitle]，有超凡才能并且处理[target_foreign_voter.GetHerHis]事务游刃有余。鉴于你本身的能力经常被枢密院其他人质疑，或许你该写封信给这位'[target_foreign_voter.GetBestName]'，向其寻求[target_foreign_voter.GetHerHis]建议？;Vous avez entendu une rumeur comme quoi le [target_foreign_voter.GetJobTitle] d'un royaume 閠ranger disposait d'un grand talent pour accomplir ses t鈉hes. Avec le Conseil remettant sans cesse vos d閏isions en doute, peut-阾re devriez-vous 閏rire une lettre ?[target_foreign_voter.GetBestName] et lui demander quelques conseils.;Ihr habt Kunde 黚er eine talentierte Person in einem fremden Reich erhalten, die dort einen [target_foreign_voter.GetJobTitle]-Posten innehat und ihr Handwerk perfekt beherrscht. Da Eure eigenen Fertigkeiten oft vom Rat in Frage gestellt werden, solltet Ihr vielleicht einen Brief an [target_foreign_voter.GetBestName] verfassen und um Rat bitten?;;Te has enterado de un [target_foreign_voter.GetJobTitle] en un reino extranjero que es de habilidad magistral y resuelve [target_foreign_voter.GetHerHis] tareas con facilidad. Viendo como a menudo el resto Consejo duda de tus propias habilidades, 縬uiz醩 deber韆 escribir una carta a este '[target_foreign_voter.GetBestName]' y pedir [target_foreign_voter.GetHerHis] consejo?;;;;;;;;;x
EVTOPTA_ZE_22600;好，我会写信给[target_foreign_voter.GetHerHim]的！;Oui, je vais lui 閏rire?;Ja, ich werde einen Brief schreiben!;;? [target_foreign_voter.GetHerHim] escribir?;;;;;;;;;x
EVTOPTB_ZE_22600;不，何必呢...;Non, ?quoi bon...;Nein, wozu sollte das gut sein?;;No, por qu?molestarse...;;;;;;;;;x
EVTDESC_ZE_22610;致超凡的[Root.GetTitledFirstName],\n\n我是[From.GetTitledFirstName]，[From.Liege.GetTitledFirstName]的[From.GetJobTitle]。\n作为[Root.Liege.GetTitledFirstName]枢密院中的[Root.GetJobTitle]，你的才能被深远流传。我恳求你给我一些政治方面的建议，使我可以像你一样令人钦佩地为我的领主效劳。\n\n此致敬礼，\n[From.GetTitledName];Magistral[Root.GetNoneE] [Root.GetTitledFirstName],\nVotre talent en tant que [Root.GetJobTitle] au Conseil de [Root.Liege.GetTitledFirstName] est connu dans le monde entier. Je vous implore de bien vouloir me conseiller en mati鑢e de politique, afin que je puisse servir mon seigneur aussi admirablement que vous servez le v魌re.\n\nCordialement,\n [From.GetTitledFirstName], [From.GetJobTitle] de [From.Liege.GetTitledFirstName];[Root.GetTitledFirstName],\n\nich bin [From.GetTitledFirstName], [From.GetJobTitle] von [From.Liege.GetTitledFirstName].\nEure Fertigkeiten als [Root.GetJobTitle] im Rat von [Root.Liege.GetTitledFirstName] finden weit 黚er die Grenzen hinaus Bewunderung. Ich ersuche Euren Ratschlag in politischen Angelegenheiten, damit ich meinem Lehnsherr ebenso vortrefflich dienen kann wie Ihr dem Euren.\n\nHochachtungsvoll,\n[From.GetTitledName];;Al maestro/ A la maestra [Root.GetTitledFirstName],\n\n soy [From.GetTitledFirstName], [From.GetJobTitle] de [From.Liege.GetTitledFirstName].\nTu habilidad como [Root.GetJobTitle] en el Consejo de [Root.Liege.GetTitledFirstName] es ampliamente conocida. Te imploro me aconsejes en asuntos de pol韙ica, de modo que pueda servir a mi se駉r tan admirablemente como sirves al tuyo.\n\nSaludos,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22610;真是感人至深的请求，我会帮助你的！;Une demande touchante, je vais vous aider?;Ein ergreifendes Ansuchen. Ich werde Euch helfen!;;na solicitud conmovedora, le ayudar?;;;;;;;;;x
EVTOPTB_ZE_22610;跟敌人称兄道弟？我看还是算了吧！;Fraterniser avec l'ennemi? Certainement pas?;Mich mit dem Feind verb黱den? Niemals!;;緾onfraternizar con el enemigo? reo que no!;;;;;;;;;x
EVTDESC_ZE_22620;致[GetFromRootCompliment] [Root.GetFirstName]，\n\n我愿意给你些建议帮助你如何更有效的在枢密院中效劳。随信附上一本书，讲述了我自己作为一位[From.GetJobTitle]的经验，希望里面的内容可以帮到你！\n\n此致敬礼，\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nJ'accepte de vous donner des conseils sur la fa鏾n de mieux servir votre Conseil. J'ai joint ?cette lettre un livre qui r閟ume ma propre exp閞ience de [From.GetJobTitle], j'esp鑢e que son contenu vous sera utile?\n\nCordialement,\n[From.GetTitledName];[Root.GetFirstName],\n\nich m鯿hte Euch gerne dabei unterst黷zen, Eurem Rat besser dienen zu k鰊nen. Deshalb lege ich diesem Brief ein Buch bei, das von meinen eigenen Erfahrungen als [From.GetJobTitle] handelt. Ich hoffe, es wird Euch gute Dienste leisten!\n\nHochachtungsvoll,\n[From.GetTitledName];;Para el [GetFromRootCompliment] [Root.GetFirstName],\n\nEstoy de acuerdo en darte consejo sobre c髆o servir m醩 eficazmente en el Consejo. Junto con esta carta he incluido un libro que trata sobre mi propia experiencia como [From.GetJobTitle], spero que su contenido te preste un buen servicio!\n\nSaludos,\n[From.GetTitledName] ;;;;;;;;;x
EVTOPTA_ZE_22620;真是个伟大的[From.GetManWoman]！;C'est vraiment un[From.GetNoneE] [From.GetManWoman] admirable?;Was f黵 eine gro遖rtige Person!;;ealmente un/una gran [From.GetManWoman]!;;;;;;;;;x
EVTDESC_ZE_22630;致[GetFromRootInsult] [Root.GetFirstName]，\n\n你真的以为我会把我的秘诀告诉你？你这个可悲的[From.GetJobTitle]，我看你不会有长进了！\n\n真挚地\n[From.GetTitledName];[Root.GetFirstName], esp鑓e [GetFromRootInsultNounAdj],\n\nPensez-vous vraiment que je vais vous livrer mes secrets? En tant que [From.GetJobTitle], vous 阾es path閠ique et ce n'est pas pr鑣 de changer?\n\nCordialement,\n[From.GetTitledName];[Root.GetFirstName],\n\ndenkt Ihr wirklich, ich w黵de meine Geheimnisse mit Euch teilen? Als [From.GetJobTitle] gebt Ihr eine armselige Figur ab, und das wird sich auch so schnell nicht 鋘dern!\n\nHochachtungsvoll,\n[From.GetTitledName];;Para [GetFromRootInsult] [Root.GetFirstName],\n\n緿e verdad crees que te voy a contar mis secretos? res un [From.GetJobTitle] pat閠ico y no veo que eso cambie pronto!\n\nSinceramente,\n;;;;;;;;;x
EVTOPTA_ZE_22630;我真是自取其辱...;Demander 閠ait une sotte id閑...;Es war t鰎icht von mir, um Rat zu bitten ...;;Fui idiota al preguntar...;;;;;;;;;x
EVTOPTB_ZE_22630;为什么...![From.GetSheHeCap]怎敢在我寻求帮助时说出如此粗鄙之语？;Quoi...? [From.GetSheHeCap] ose m'insulter alors que je lui demande de l'aide?;Was zum ...! [From.GetSheHeCap] wagt es, einen Hilfesuchenden zu beleidigen?;;ero qu?..! 縖From.GetSheHeCap] se atreve a insultarme cuando le pido ayuda?;;;;;;;;;x
EVTOPTC_ZE_22630;或许用点钱可以改变[From.GetHerHis]主意？;Peut-阾re qu'un peu d'argent l'aidera ?changer d'avis, non?;Vielleicht kann ich mit etwas Geld nachhelfen?;;縌uiz醩 un poco de dinero cambiar?[From.GetHerHis] tono?;;;;;;;;;x
EVTDESC_ZE_22640;致[GetFromRootCompliment] [Root.GetFirstName]，\n\n要知道我永远不会忘记你为我所做的！如果有什么可以为你做的，请尽管开口。而且要知道，我会把你当最亲密的朋友。\n\n真挚地，\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nSachez que je n'oublierai jamais ce que vous avez fait pour moi? Si je peux vous rendre la pareille, n'h閟itez pas ?le demander. Je vous r閟erve un traitement que je n'accorde qu'aux plus proches de mes amis.\n\nCordialement,\n[From.GetTitledName];[Root.GetFirstName],\n\nich werde Euch niemals vergessen, was Ihr f黵 mich getan habt! Sollte ich Euch irgendwie behilflich sein k鰊nen, lasst es mich bitte wissen, denn uns verbindet fortan das starke Band der Freundschaft.\n\nHochachtungsvoll,\n[From.GetTitledName];;Para [GetFromRootCompliment] [Root.GetFirstName],\n\n ebes saber que nunca olvidar?lo que hiciste por m? No dudes en preguntar si hay algo que pueda hacer por ti, y que te tratar?como el m醩 querido de mis amigos. \n\nSinceramente,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22640;完美！;Parfait?;Perfekt!;;erfecto!;;;;;;;;;x
EVTDESC_ZE_22650;致[Root.GetTitledFirstName]，\n\n要知道我只是出于好奇心，并无恶意。但我还是要为我所做的致以歉意。\n真挚地，\n\n[From.GetTitledName];?[Root.GetTitledFirstName],\n\nSachez que j'ai pos?la question par curiosit?et non par malice, mais veuillez n閍nmoins m'excuser pour mon involontaire impudence.\nCordialement,\n\n[From.GetTitledName];[Root.GetTitledFirstName],\n\nIhr solltet wissen, dass Neugier und nicht Boshaftigkeit hinter meiner Bitte standen. Dennoch m鯿hte ich mich f黵 mein Handeln entschuldigen.\nHochachtungsvoll,\n\n[From.GetTitledName];;Para [Root.GetTitledFirstName],\n\nS?que pregunt?por curiosidad y no malicia, pero a鷑 as?te pido disculpas por lo que hice.\nSinceramente,\n\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22650;或许我在回信中过于刻薄...;Peut-阾re que ma r閜onse 閠ait trop s鑓he...;Vielleicht war meine Antwort zu barsch ...;;Quiz醩 fue una respuesta demasiado brusca...;;;;;;;;;x
EVTDESC_ZE_22660;致[GetFromRootInsult] [Root.GetFirstName]，\n\n你竟敢拒绝帮我？要知道我可不会忘了你对我名誉的损坏。\n\n署，\n[From.GetTitledName];[Root.GetFirstName], esp鑓e [GetFromRootInsultNounAdj],\n\nVous osez refuser de m'aider? Sachez que je n'oublierai pas cette attaque envers mon honneur de sit魌.\n\nJe ne vous salue point,\n[From.GetTitledName];[Root.GetFirstName],\n\nIhr wagt es, mein Hilfsgesuch zu ignorieren? Diese Ehrenkr鋘kung werde ich Euch so schnell nicht vergessen.\n\nGezeichnet,\n[From.GetTitledName];;Para [GetFromRootInsult] [Root.GetFirstName],\n\n縊sas rechazar mi ayuda? Debes saber que no olvidar?pronto este insulto a mi honor.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22660;真是个傻X...;L'imb閏ilit??l'閠at pur...;Welch t鰎ichte Person ...;;Un aut閚tico necio...;;;;;;;;;x
EVTDESC_ZE_22670;致[GetFromRootCompliment] [Root.GetFirstName]，\n\n请原谅我提出的请求，或许来点金子会让你重新考虑一下我的提议？\n\n署，\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nVeuillez excuser ma requ阾e. Peut-阾re que de l'or vous aiderait ?reconsid閞er mon offre?\n\nV魌re,\n[From.GetTitledName];[Root.GetFirstName],\n\nich bitte meine 黚erst黵zte Anfrage zu entschuldigen. Vielleicht kann Euch etwas Gold umstimmen?\n\nGezeichnet,\n[From.GetTitledName];;Para [GetFromRootCompliment] [Root.GetFirstName],\n\nPerdone mi solicitud previa. 縌uiz醩 un poco de oro te har韆 reconsiderar mi oferta? \n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22670;嗯，就等你这句话！;Eh bien, vu comme 鏰?;Nun, warum habt Ihr das nicht gleich gesagt?;;ueno, cuando lo pones as?;;;;;;;;;x
EVTOPTB_ZE_22670;再多的金子也没用。;Tout l'or du monde n'aiderait pas votre cause.;Mit Gold werdet Ihr Eure Sache auch nicht vorantreiben k鰊nen.;;Ninguna cantidad de oro te ayudar?en tu causa.;;;;;;;;;x
EVTDESC_ZE_22680;致[GetFromRootCompliment] [Root.GetFirstName]，\n\n请原谅我之前的行为！随信附上一本书，讲述了我自己作为一位[From.GetJobTitle]的经验，希望里面的内容可以帮到你！\n\n此致敬礼，\n[From.GetTitledName]";[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nVeuillez excuser ma r閍ction impulsive? J'ai joint ?cette lettre un livre traitant de ma propre exp閞ience en tant que [From.GetJobTitle], j'esp鑢e que son contenu vous sera utile?\n\nCordialement,\n[From.GetTitledName];[Root.GetFirstName],\n\nich m鯿hte mich f黵 mein vorheriges Benehmen entschuldigen! Deshalb lege ich diesem Brief ein Buch bei, das von meinen eigenen Erfahrungen als [From.GetJobTitle] handelt. Ich hoffe, es wird Euch gute Dienste leisten!\n\nHochachtungsvoll,\n[From.GetTitledName];;Para [GetFromRootCompliment] [Root.GetFirstName],\n\nerdone mi comportamiento anterior! Junto con esta carta he incluido un libro que trata sobre mi propia experiencia como [From.GetJobTitle], spero que su contenido te preste un buen servicio!\n\nSaludos,\n[From.GetTitledName] ;;;;;;;;;x
EVTOPTA_ZE_22680;我就知道金子能撬开[From.GetHerHis]口！;Je savais bien qu'un peu d'or lui d閘ierait la langue?;Ich wusste doch, dass Gold Zungen l鰏en kann!;;ab韆 que [From.GetHerHis] lengua se soltar韆 con un poco de oro!;;;;;;;;;x
EVTDESC_ZE_22690;致[GetFromRootInsult] [Root.GetFirstName]，\n\n你真以为可以收买我？拿上你的脏钱别再来烦我，你永远都不会知晓我的秘诀！\n\n署，\n[From.GetTitledName];[Root.GetFirstName], esp鑓e [GetFromRootInsultNounAdj],\n\nPensiez-vous vraiment pouvoir me corrompre? Gardez votre argent et laissez-moi tranquille, vous ne saurez rien de mes secrets?\n\nSign?\n[From.GetTitledName];[Root.GetFirstName],\n\nhabt Ihr wirklich geglaubt, mich kaufen zu k鰊nen? Behaltet Euer Geld und lasst mich in Frieden. Meine Geheimnisse werdet Ihr niemals erfahren!\n\nGezeichnet,\n[From.GetTitledName];;Para [GetFromRootInsult] [Root.GetFirstName],\n\n縍ealmente cre韘te que podr韆 ser comprado? e devuelvo tu dinero y d閖ame en paz, unca compartir韆 contigo mis secretos!\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22690;值得一试...!;莂 valait la peine d'essayer?;Es war einen Versuch wert ...!;;al韆 la pena intentarlo...!;;;;;;;;;x
stats_increased_tooltip;[From.GetTitledFirstName]?的属性提高了。\n;Les comp閠ences de [From.GetTitledFirstName]? ont augment?\n;Die Werte von [From.GetTitledFirstName]? sind gestiegen.\n;;Aumentan las estad韘ticas de [From.GetTitledFirstName].\n;;;;;;;;;x
