;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
;#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zur Zeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x;
CAN_ONLY_JOIN_X_FACTIONS;只能够加入 $NUM$? 派系!?;Vous ne pouvez rejoindre que $NUM$? Factions??;Ihr d黵ft nur $NUM$? Fraktionen beitreten!;;olo puedes unirte a $NUM$? Facciones!;;;;;;;;;x
indian_subjugation_desc;印度宗教领主可以以 即500?善业为代价向同文化组领主发动征服战争.;Les souverains de religion indienne peuvent se subjuguer les uns les autres pour 500? Karma s'ils sont du m阭e groupe culturel.;Herrscher indischer Religionen k鰊nen sich gegenseitig f黵 500? Karma unterwerfen, wenn sie aus der selben Kulturgruppe stammen.;;Los gobernantes de religiones Indias pueden subyugar a otros por 500? Karma si son del mismo grupo cultural.;;;;;;;;;x
jungle;丛林;Jungle;Dschungel;;Jungla;;;;;;;;;x
hindu;印度教;hindoue;Hindu;;Hind?;;;;;;;;x
hindu_DESC;印度教不是一个单一的宗教，作为记录在吠陀经中古印度多神教的继任者。与耆那教和佛教相对和平的共存千年 - 印度教许多不同教派的存在已经使印度教对所有印度宗教信仰异常的宽容和多元化。尽管如此，它是最好战的三个宗教之一。;L'hindouisme n'est pas une religion unique mais plut魌 un terme g閚閞ique regroupant les religions descendant du polyth閕sme ancestral en Inde tel que consign?dans les V閐as. L'existence de nombreuses sectes au sein de l'hindouisme, ainsi que des mill閚aires de coexistence relativement pacifique avec le ja飊isme et le bouddhisme, a donn??l'hindouisme son caract鑢e remarquablement tol閞ant et pluraliste envers toutes les religions indiennes. Cependant, il s'agit de la religion la plus belliqueuse des trois.;Hinduismus ist keine einzelne Religion, sondern ein 躡erbegriff f黵 die Nachfolgeglauben des urt黰lichen indischen Politheismus, wie in der Veda 黚erliefert. Die Existenz vieler verschiedener Sekten im Hinduismus - und Jahrtausende vergleichsweiser friedlicher Koexistenz mit Jainismus und Buddhismus - f黨rten zu einer bemerkenswerten Toleranz gegen黚er anderen indischen Religionen. Trotzdem ist dies der kriegerischste der drei Glaubensrichtungen.;;El hinduismo no es una religi髇 sino un amplio t閞mino usado para todas las religiones que suceden al polite韘mo Indio recogido en los Vedas. La existencia de tantas sectas - as?como los milenios de coexistencia m醩 o menos pac韋ica con el Jainismo y el Budismo - han hecho a la fe Hind?notoriamente tolerante y plural con todas las religiones Indias. A鷑 as? es la m醩 beligerante de las tres.;;;;;;;;;x
buddhist;佛教;bouddhiste;Buddhist;;Budista;;;;;;;;;x
jain;耆那教;ja飊e;Jainist;;Jaina;;;;;;;;;x
nubian;努比亚人;nubienne;Nubisch;;Nubio;;;;;;;;;x
GOD_SHIVA;湿婆;Shiva;Schiva;;Shiva;;;;;;;;;x
GOD_THE_SUPREME;黑天;le Supr阭e;der H鯿hste;;el Supremo;;;;;;;;;x
THE_VINAYAKAS;众伽那;le Vin鈟aka;die Vinyakas;;los Vinayakas;;;;;;;;;x
THE_MAHABHARATA;摩诃婆罗多;le Mahabharata;das Mahabharata;;el Mahabharata;;;;;;;;;x
PUJARI;法主;pujari;Pujari;;Pujari;;;;;;;;;x
GOD_THE_BUDDHA;佛陀;le Bouddha;der Buddha;;el Buda;;;;;;;;;x
GOD_THE_ARHAT;罗汉;l'Arhat;der Arhat;;el Arhat;;;;;;;;;x
GOD_THE_PERFECTED_ONES;众应供;les Parfaits;die Vollendeten;;los Perfeccionados;;;;;;;;;x
MARA;魔障;Mara;Mara;;Mara;;;;;;;;;x
THE_BUDDHACAVANA;佛说;le Buddhavacana;das Buddhacavana;;el Buddhavamsa;;;;;;;;;x
BHIKKHU;比丘;bhikkhu;Bhikkhu;;bhikkhu;;;;;;;;;x
GOD_THE_TIRTHANKARAS;众祖师;les T顁thankaras;die Tirthanankaras;;los Tirthankaras;;;;;;;;;x
GOD_RISHABH;勒舍波提婆;Rishabhanatha;Rishabh;;Rishabha;;;;;;;;;x
GOD_AJINATH;阿耆达那陀;Ajitnath;Ajinath;;Adinath;;;;;;;;;x
GOD_SAMBHAVANATH;桑波伐那陀;Sambhavanath;Sambhavanath;;Sambhavanath;;;;;;;;;x
THE_PUNISHERS;那落伽;les Punisseurs;die Bestrafer;;los Castigadores;;;;;;;;;x
NIRGRANTHA;尼犍子;nirgrantha;Nirgrantha;;nirgrantha;;;;;;;;;x
brahmin;婆罗门;Brahmane;Brahmane;;Brahm醤;;;;;;;;;x
;#brahmin_desc;Belongs to the Brahmin caste.;;Geh?rt der Brahmanenkaste an;;Pertenece a la casta Brahmán.;;;;;;;;;x;
kshatriya;刹帝利;Kshatriya;Kshatriya;;Chatria;;;;;;;;;x
;#kshatriya_desc;Belongs to the Kshatriya caste.;;Geh?rt der Kshatriyakaste an;;Pertenece a la casta Chatria.;;;;;;;;;x;
vaishya;吠舍;Vaishya;Vaishya;;Vaisia;;;;;;;;;x
;#vaishya_desc;Belongs to the Vaishya caste.;;Geh?rt der Vaishyakaste an;;Pertenece a la casta Vaisia.;;;;;;;;;x;
shaivist_hindu;湿婆派;Shiva飐te;Shaivist;;Shiva韘mo;;;;;;;;;x
shaivist_hindu_desc;此人信奉印度教的湿婆派.;Ce personnage suit la branche shiva飐te de l'hindouisme.;Der Charakter folgt dem shaivistischen Zweig des Hinduismus;;Este personaje sigue la rama Shiva韘ta del Hinduismo.;;;;;;;;;x
vaishnavist_hindu;毗湿奴派;Vishnouiste;Vaishnavist;;Visnuista;;;;;;;;;x
vaishnavist_hindu_desc;此人信奉印度教的毗湿奴派.;Ce personnage suit la branche vishnouiste de l'hindouisme.;Der Charakter folgt dem Vaishnazweig des Hinduismus;;Este personaje sigue la rama Visnuista del Hinduismo.;;;;;;;;;x
shaktist_hindu;性力派;Shaktiste;Shaktist;;Shaktismo;;;;;;;;;x
shaktist_hindu_desc;此人信奉印度教的性力派.;Ce personnage suit la branche shaktiste de l'hindouisme.;Der Charakter folg dem Shaktazweig des Hinduismus;;Este personaje sigue la rama Shaktista del Hinduismo.;;;;;;;;;x
smartist_hindu;师摩多派;Smartiste;Smarthist;;Advaita;;;;;;;;;x
smartist_hindu_desc;此人信奉印度教的师摩多派.;Ce personnage suit la branche smartiste de l'hindouisme.;Der Charakter folgt dem Smarthazweig des Hinduismus;;Este personaje sigue la rama Advaita del Hinduismo.;;;;;;;;;x
mahayana_buddhist;大乘佛教;Bouddhiste mahayana;Mahayana Buddhist;;Budista Mahayana;;;;;;;;;;x
mahayana_buddhist_desc;此人信奉大乘佛教.;Ce personnage suit la branche mayahana du bouddhisme.;Der Charakter folgt dem Mahayanazweig des Buddhismus;;Este personaje sigue la rama Mahayana del Budismo.;;;;;;;;;x
vajrayana_buddhist;金刚乘佛教;Bouddhiste vajrayana ;Vajrayana Buddhist;;Budista Vajrayana;;;;;;;;;;x
vajrayana_buddhist_desc;此人信奉金刚乘佛教.;Ce personnage suit la branche vajrayana du bouddhisme.;Der Charakter folgt dem Vajrayanazweig des Buddhismus;;Este personaje sigue la rama Vajrayana del Budismo.;;;;;;;;;x
theravada_buddhist;上座部佛教;Bouddhiste theravada;Theravada Buddhist;;Budista Theravada;;;;;;;;;x
theravada_buddhist_desc;此人信奉上座部佛教.;Ce personnage suit la branche theravada du bouddhisme.;Der Charakter folgt dem Theravadazweig des Buddhismus;;Este personaje sigue la rama Theravada del Budismo.;;;;;;;;;x
digambara_jain;天衣派;Ja飊 digambara;Digambara Jainist;;Digambara;;;;;;;;;x
digambara_jain_desc;此人信奉耆那教的天衣派.;Ce personnage suit la branche digambara du ja飊isme.;Der Charakter folgt dem Digambarazweig des Jainismus.;;Este personaje sigue la rama Digambara del Jainismo.;;;;;;;;;x
svetambara_jain;白衣派;Ja飊 svetambara ;Svetambara Jainist;;Suetambara;;;;;;;;;x
svetambara_jain_desc;此人信奉耆那教的白衣派.;Ce personnage suit la branche svetambara du ja飊isme.;Der Charakter folgt dem Svetambarazweig des Jainismus.;;Este personaje sigue la rama Suetambara del Jainismo.;;;;;;;;;x
sympathy_indian;同情印度宗教;Sympathie pour les religions indiennes;Sympathie an indischen Religionen;;Simpat韆 por las religiones Indias;;;;;;;;;x
sympathy_indian_desc;此人尽管不是印度教徒, 也不是佛教徒或耆那教徒, 但对印度的信仰与印度宗教的信徒有着特殊的同情和理解.;Ce personnage, bien qu'il ne soit pas hindou, bouddhiste ou ja飊, montre une certaine tol閞ance et une compr閔ension relative des cultes indiens et leurs adeptes.;Der Charakter, obwohl weder Hindu, Buddhist oder Jainist, hegt eine besondere Sympatie und Verst鋘dnis f黵 indische Religionen und ihre J黱ger.;;Este personaje, aunque no es Hind? ni Budista o Jaina, tiene una especial simpat韆 y conocimiento de la fe India y sus seguidores.;;;;;;;;;x
karluk;葛罗逯人;karlouke;Karlukisch;;Qarluq;;;;;;;;;x
kirghiz;黠戛斯人;kirghize;Kirghizisch;;Kirgu韘;;;;;;;;;x
khanty;汉特人;khante;Khantisch;;Janty;;;;;;;;;x
afghan;阿富汗人;afghane;Afghanisch;;Afgano;;;;;;;;;x
baloch;俾路支人;baloutche;Balochisch;;Baluchi;;;;;;;;;x
indo_aryan_group;印度雅利安文化;indo-aryen;Indo-Aryanisch;;Indoario;;;;;;;;;x
dravidian_group;达罗毗荼文化;dravidien;Dravidianisch;;Dravidiano;;;;;;;;;x
indian;印度人;indienne;Indisch;;Indio;;;;;;;;;x
bengali;旁伽罗人;bengale;Bengalisch;;Bengal?;;;;;;;;x
hindustani;天竺人;hindoustanaise;Hindustanisch;;Indost醤ico;;;;;;;;;x
sindhi;信度人;sindhi;Sindhisch;;Sindhi;;;;;;;;;x
marathi;摩罗提人;marathi;Marathisch;;Marat?;;;;;;;;x
sinhala;僧迦罗人;sinhala;Sinhalaisch;;Cingal閟;;;;;;;;;x
telugu;泰卢固人;t閘ougou;Telugisch;;T閘ugu;;;;;;;;;x
kannada;迦那陀人;kannada;Kannadisch;;Canar閟;;;;;;;;;x
tamil;陀密罗人;tamoule;Tamilisch;;Tamil;;;;;;;;;x
gujurati;瞿折罗人;gujarati;Gujuratisch;;Guyarat?;;;;;;;;x
panjabi;五河人;pendjabi;Panjabisch;;Panyabi;;;;;;;;;x
rajput;罗阇弗多罗人;rajput;Rajputisch;;Rajput;;;;;;;;;x
oriya;奥梨萨人;oriya;Oriyaisch;;Oriya;;;;;;;;;x
assamese;阿萨姆人;assamaise;Assamesisch;;Asam閟;;;;;;;;;x
IS_LOWBORN;出身低贱;Est de basse extraction;Ist von niedriger Geburt;;es de baja cuna;;;;;;;;;x
IS_NOT_LOWBORN;不是平民;N'est pas de basse extraction;Ist NICHT von niedriger Geburt;;NO es de baja cuna;;;;;;;;;x
IS_REINCARNATED;转世化身;Est r閕ncarn?Ist reinkarniert;;est?reencarnado;;;;;;;;;x
IS_NOT_REINCARNATED;不是转世化身;N'est pas r閕ncarn?Ist NICHT reinkarniert;;NO est?reencarnado;;;;;;;;;x
NUM_DYN_MEMBERS_LESS_THAN;家族成员少于;Moins de membres dynastiques que ;Weniger Dynastiemitglieder als;;Menos miembros de dinast韆 que;;;;;;;;;x
NUM_DYN_MEMBERS_GREATER_THAN;家族成员多于;Davantage de membres dynastiques que ;Mehr Dynastiemitglieder als;;M醩 miembros de dinast韆 que;;;;;;;;;x
decadent;腐化;D閏adent;Dekadent;;Decadente;;;;;;;;;x
decadent_desc;高床软枕的生活令人沈缅逸乐之中, 生活腐化会招致虔诚穆斯林敌视, 更会败坏家族的名声, 最终可能引发暴动, 地方部落起兵推翻腐化的统治家族. ;Une vie de plaisirs et de d閎auche a rendu ce personnage d閏adent. Il est une offense vivante pour tout bon musulman. Les personnages d閏adents font lentement progresser la d閏adence de toute leur dynastie, ce qui peut conduire ?des soul鑦ements tribaux g閚閞alis閟.;Bequemes Leben und frappierende Ausschweifungen haben diesen Charakter dekadent werden lassen - eine lebene Beleidigung f黵 alle rechtschaffenen Muslime. Dekadente Charaktere erh鰄en langsam den Dekadenzwert ihrer ganzen Dynastie, was auf Dauer zu massiven Stammesaufst鋘den f黨ren kann.;;Una vida c髆oda y un flagrante libertinaje han hecho a este personaje decadente, una ofensa viviente a los musulmanes honestos. Los personajes decadentes aumentan lentamente la decadencia de la dinast韆, lo que puede conducir a levantamientos tribales masivos.;;;;;;;;;x
reincarnation;[Reincarnation.GetBestName]转世;R閕ncarnation de [Reincarnation.GetBestName];Reinkarnation von [Reincarnation.GetBestName];;Reencarnaci髇 de [Reincarnation.GetBestName];;;;;;;;;x
reincarnation_desc;大家都认为他是[Reincarnation.GetBestName]的转世.;Nombreux sont ceux qui pensent que ce personnage est la r閕ncarnation de [Reincarnation.GetBestName].;Dieser Charakter wird weithin f黵 die Reinkarnation von [Reincarnation.GetBestName] gehalten.;;Se cree que este personaje es la reencarnaci髇 de [Reincarnation.GetBestName].;;;;;;;;;x
opinion_takfir;叛教者;Takf顁;Takfir;;Takfir;;;;;;;;;x
opinion_straightened_up;改过迁善;Redress?Gebessert;;Enderezado;;;;;;;;;x
;#DECADENCE_DESC;All adult Muslim men below the rank of Count risk acquiring the Decadent? trait, especially those of low character. The amount of Decadence these men incur on their dynasty depends on their own social status as well as the total amount of Holdings controlled by the Dynasty. Decadence affects the tax income from the demesne and the morale damage that demesne levies take in battle. Ways to halt or decrease Decadence include:\n*? Granting landed titles to dynasty members\n*? A smaller demesne for the Dynasty Head\n*? Successfully convincing decadent Dynasty members to abandon their sinful ways.\n*? Imprisoning, banishing or killing decadent Dynasty members\n(The Religion View contains a list of decadent dynasty members.)?;;All erwachsenen Muslime unterhalb des Ranges Graf k?nnen die Dekadent?-Eigenschaft erhalten. Die Menge an Dekadenz, welche diese M?nner in ihre Dynastie einbringen, h?ngt von ihrem sozialen Status und der Anzahl der von der Dynastie kontrollierten Liegenschaften ab. Dekadenz beeinflusst das Steuereinkommen der Dom?ne und Moralsch?den im Kampf. M?glichkeiten, Dekadenz zu verringern:\n*? Landtitel an Dynastiemitglieder vergeben\n*? Verkleinerung der Dom?ne des Dynastieführers\n*? Erfolgreiches überzeugen von Dynastiemitgliedern, ihren sündigen Weg zu verlassen.\n*? Einsperren, Verbannen oder T?ten von dekadenten Dynastiemitgliedern\n(Die Religionsübersicht enth?lt eine Liste dekadenter Dynastiemitglieder.)?;;Todos los varones musulmanes adultos por debajo del rango de Conde pueden adquirir el rasgo de Decadente?, especialmente aquellos de poco carácter. La Decadencia que introducen en su dinastía depende de su estatus social y de la cantidad de propiedades controladas por la dinastía. La decadencia afecta a los ingresos por impuestos de las heredades y al da?o de moral que las levas sufren en batalla. Para detener o reducir la decadencia se puede:\n*? Conceder títulos con tierra a los miembros de la dinastía\n*? Una heredad menor para el cabeza de la dinastía\n*? Convencer a los miembros decadentes para que abandonen sus costumbres pecaminosas.\n*? Apresar, desterrar o matar a los miembros decadentes de la dinastía\n(La vista Religión contiene una lista de los miembros decadentes de la dinastía.)?;;;;;;;;;x;
convince_to_straighten_up;劝他悔改;Se reprendre en main;躡errede zur Besserung;;Convencer para enderezar;;;;;;;;;x
;#convince_to_straighten_up_desc;Attempt to reason with [This.GetBestName]?, asking him to clean up his act. There is no guarantee that this will succeed, but having a high Learning or Diplomacy skill will help.;Tenter de raisonner [This.GetBestName]? en lui demandant de se reprendre en main. La réussite n'est nullement garantie mais une érudition ou une diplomatie élevée vous aidera.;Versucht, [This.GetBestName]? zu überzeugen, sein Leben in Ordnung zu bringen. Es gibt keine Garantie auf Erfolg, aber hohe Bildung und Diplomatie hilft.;;Intentar razonar con [This.GetBestName]?, pidiéndole que reforme su conducta. No hay garantías de éxito, pero una habilidad alta de Aprendizaje o Diplomacia ayudará.;;;;;;;;;x;
EVTDESC91300;香料商人的白眼把我震住了! 显然人人都认为我是个养尊处优的废人, 惯于享乐而溺于罪途!!;Ce marchand d'閜ices m'a jet?un regard m閜risant, j'ai ordonn?qu'on lui donne du b鈚on. Apparemment, nombreux sont ceux qui pensent que je me suis ramolli et que je suis devenu d閏adent, que je me suis perdu dans le vice et les choses impures?;Ich lie?den Gew黵zh鋘dler f黵 seine herablassenden Blicke verpr黦eln. Offenbar gibt es einige, welche glauben, ich sei weich und dekadent geworden, verloren in Laster und Haram!;;He hecho que golpeen al mercader por su mirada despectiva. arece ser que muchos creen que me he vuelto blando y decadente, perdido en los vicios y dej醤dome llevar por lo prohibido!;;;;;;;;;x
EVTOPTA91300;喂! 唱歌的, 给我换首好听点的歌!;Ridicule? M閚閟trel, une autre chanson?;B鋒! Barde, spiel ein anderes Lied!;;a! uglar, toca otra canci髇!;;;;;;;;;x
EVTDESC91350;我的 [GetFromFromRelation] [FromFrom.GetBestName] 对我晓以大义, 我终于理解到我堕落的生活已令整个家族蒙羞. [FromFrom.GetSubjectPronounCap] 用 [FromFrom.GetPossPronoun] 影响力守护着整个 [Root.GetDynName] 家族, 就像是先知(愿他安好)早已安排好的一个完美模范, 敦促我去追随, 去践行.;M[FromFrom.GetHerHis] [GetFromFromRelation], [FromFrom.GetBestName], m'a fait savoir que ma vie de p閏h閟 jette la honte sur toute la dynastie. [FromFrom.GetSubjectPronounCap] utilise son influence pour prot間er la maison [Root.GetDynName] mais me conseille vivement de m'inspirer du parfait exemple donn?par le Proph鑤e, la paix soit sur lui.;Mein [GetFromFromRelation] [FromFrom.GetBestName] hat mich wissen lassen, dass mein s黱diges Leben die gesamte Dynastie besch鋗t. [FromFrom.GetSubjectPronounCap] nutzt [FromFrom.GetPossPronoun] Einfluss, um Haus [Root.GetDynName] zu sch黷zen, doch r鋞 mir, mich vom perfekten Vorbild des Propheten (Friede sei mit ihm) leiten zu lassen. ;;Mi [GetFromFromRelation] [FromFrom.GetBestName] me ha hecho saber que mi vida pecaminosa averg黣nza a toda la dinast韆. [FromFrom.GetSubjectPronounCap] ejerce [FromFrom.GetPossPronoun] influencia para proteger la casa [Root.GetDynName], pero me urge a buscar gu韆 en el ejemplo del Profeta (que la paz sea con 閘).;;;;;;;;;x
EVTOPTA91350;滚! 我的事不干你事.;Quelle insolence? Ma vie m'appartient.;Wie unh鰂lich! Mein Leben geh鰎t mir!;;u?descort閟! Mi vida es m韆.;;;;;;;;;x
EVTOPTB91350;求 [Root.Religion.GetRandomGodName] 帮助, 我会改过!;Que [Root.Religion.GetRandomGodName] m'aide dans cette t鈉he?;Ich werde es versuchen, mit der Hilfe von [Root.Religion.GetRandomGodName]!;;o intentar? con la ayuda de [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTDESC91351;我那堕落的 [GetFromRelation] [From.GetBestName] 拒绝放弃 [From.GetPossPronoun] 的罪恶生活. 我可以宣布 [From.GetObjectPronoun] 是一个叛教者, 那我就可以名正言顺将他关起来......除非还有其他办法解决 [From.GetObjectPronoun]的问题.;M[From.GetHerHis] [GetFromRelation], [From.GetBestName], en pleine d閏adence, refuse de revenir dans le droit chemin et sera donc kafir, ce qui me donnera un motif pour l'emprisonner ?cause de sa d間閚閞escence... ?moins qu'il existe un moyen de l'aider ?revenir dans le droit chemin.;Mein dekadenter [GetFromRelation] [From.GetBestName] weigert sich, [From.GetPossPronoun] s黱diges Leben zu 鋘dern. Ich kann [From.GetObjectPronoun] Kafir nennen - Grund genug, den Degenerierten einzukerkern... au遝r es gibt einen anderen Weg, zu [From.GetObjectPronoun] durchzudringen.;;Mi decadente [GetFromRelation] [From.GetBestName] se niega a cambiar sus costumbres pecaminosas. Lo puedo declarar kafir, lo que me dar?la raz髇 para apresar al degenerado... a menos que haya otra forma de llegar a [From.GetObjectPronoun].;;;;;;;;x
EVTOPTA91351;宣布 [From.GetObjectPronoun] 是叛教者!;Invoquer le takf顁 contre [From.GetHerselfHimself]?;Erkl鋜t [From.GetObjectPronoun] zum Takfir!;;roclamar Takfir contra [From.GetObjectPronoun]!;;;;;;;;;x
EVTOPTB91351;我有特别的说服技巧!;Mes talents de n間ociateur valent mieux que cela?;Ich kann besser verhandeln!;;oy mejor negociador que eso!;;;;;;;;;x
EVTOPTC91351;我一定要将 [From.GetPossPronoun] 从地狱之火中拯救出来!;Je dois 閜argner ?son 鈓e le brasier du Jahannam?;Ich muss [From.GetPossPronoun] vor den Feuern von Jahannam retten!;;ebo salvar [From.GetPossPronoun] alma de los fuegos de Yahannam!;;;;;;;;;x
EVTOPTD91351;是时候采用一些......特殊手段.;Essayons une m閠hode moins... conventionnelle.;Zeit, etwas?unkonventionelles zu probieren.;;Hora de volverse... imaginativo.;;;;;;;;;x
EVTDESC91352;我的 [GetFromRelation] [From.GetBestName] 终于明白 [From.GetSubjectPronoun] 生活得如此颓废, 并向我保证 [From.GetSubjectPronoun] 从此洗心革面, 回归[From.GetPossPronoun] 正轨.;M[From.GetHerHis] [GetFromRelation], [From.GetBestName], comprend que sa vie est du c魌?haram et m'a promis de grands changements dans son attitude.;Mein [GetFromRelation] [From.GetBestName] versteht, dass [From.GetSubjectPronoun] im Haram lebt und versichert mir, dass [From.GetSubjectPronoun] [From.GetPossPronoun] Leben 鋘dern wird.;;Mi [GetFromRelation] [From.GetBestName] entiende que vive una vida de haram, y me ha asegurado que va a cambiar sus formas.;;;;;;;;;x
EVTOPTA91352;太好了! [Root.GetDynName] 家当如此洁净!;Bien. La maison [Root.GetDynName] demeurera pure.;Gut, Haus [Root.GetDynName] muss rein bleiben!;;ien, la casa [Root.GetDynName] permanecer?pura!;;;;;;;;;x
