;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTB_WOL_2300;不, 我相信 [intrigue_spymaster.GetObjectPronoun];Non, je peux avoir confance en [intrigue_spymaster.GetHerselfHimself];Nein, ich kann [intrigue_spymaster.GetObjectPronoun] vertrauen;;No, yo puedo fiarme de [intrigue_spymaster.GetObjectPronoun];;;;;;;;;x
EVTOPTB_WOL_2071;呵呵!既然这样我的间谍就可以完成任务回来了.;Ah ha? Je peux maintenant rappeler mes espions.;Ach so! Nun kann ich meine Spione zur點kpfeifen.;;Ah! Ahora puedo retirar mis esp韆s.;;;;;;;;;x
EVTOPTF_WOL_2080;我知道了,不过我觉得可以让间谍去继续打探些其他的消息.;Je vois... Il est temps d'espionner quelqu'un d'autre.;Verstehe, aber ich glaube, dass es an der Zeit ist, meine Spione auf jemand anderen anzusetzen.;;Muy bien, pero creo que ahora es el momento de espiar a otra persona.;;;;;;;;;x
EVTOPTC_WOL_2100;不...我觉得我们应该去打探其他人的一些消息.;Non... Je pense qu'il est temps d'espionner quelqu'un d'autre.;Nein... ich glaube, dass es an der Zeit ist, meine Spione auf jemand anderen anzusetzen.;;No... creo que ahora toca espiar a otra persona.;;;;;;;;;x
EVTDESC_WOL_2065;很不幸,我没能在[FromFromFrom.GetTitledFirstName]身上搞到什么有用的消息.也许我该关注下其他地方?;Espionner [FromFromFrom.GetTitledFirstName] ne donne pas grand-chose. Peut-阾re devrais-je trouver une autre cible?;Das Ausspionieren von [FromFromFrom.GetTitledFirstName] hat nicht viel gebracht. Vielleicht sollte ich meine Anstrengungen auf ein anderes Ziel ausrichten?;;No estoy teniendo mucha suerte espiando a [FromFromFrom.GetTitledFirstName]. Quiz醩 debo poner mis esfuerzos en otro lado?;;;;;;;;;x
EVTOPTA_WOL_2065;是的,这没有意义.;Oui, c'est une perte de temps.;Ja, denn das hat keinen Sinn.;;S? esto no tiene sentido.;;;;;;;;;x
EVTOPTB_WOL_2065;不,我肯定 [FromFromFrom.GetSubjectPronoun]应对什么事情负责...;Non, je sais qu'[FromFromFrom.GetSubjectPronoun] cache quelque chose...;Nein, ich bin mir sicher, dass [FromFromFrom.GetSubjectPronoun] etwas im Schilde f黨rt...;;No, estoy seguro de que [FromFromFrom.GetSubjectPronoun] est?haciendo algo il韈ito...;;;;;;;;;x
EVTDESC38313;生活的压力已然渐渐褪去,我现在不再紧张不安!;La vie me semble moins 阾re une source d'inqui閠udes. Je ne suis plus stress闋!;Das Leben scheint nun nicht mehr so anstrengend wie zuvor. Ich habe nun nicht mehr die Eigenschaft Gestresst!;;Las tensiones de la vida ya no parecen tan insoportables. Ya no estoy Estresado!;;;;;;;;;x
EVTDESC38314;今天我以微笑来迎接新一天的到来,我不再沮丧消沉!;En me r関eillant ce matin, j'avais un grand sourire aux l鑦res. Ma d閜ression appartient au pass闋!;Ich wachte heute morgen mit einem breiten L鋍heln auf den Lippen auf. Ich bin nun nicht mehr Deprimiert!;;Esta ma馻na me despert?con una sonrisa. Ya no estoy Deprimido!;;;;;;;;;x
PICK_FOCUS_DESC;在$YEARS$?年时间内你不能再次变更关注点!;Vous ne pourrez plus changer d'int閞阾 ?nouveau avant $YEARS$? ans?;Ihr k鰊nt Euren Fokus nun $YEARS$? Jahre lang nicht mehr 鋘dern!;;No podr醩 volver a cambiar de Foco hasta que haya pasado $YEARS$? a駉s!;;;;;;;;;x
CANNOT_CANCEL;无法被取消。?;Annulation impossible.?;Kann nicht abgebrochen werden.?;;No se puede cancelar.?;;;;;;;;;x
CANNOT_CANCEL_UNTIL;无法在$DATE$?前取消。?;Annulation impossible avant $DATE$?.?;Kann nicht abgebrochen werden bis $DATE$?.?;;No se puede cancelar hasta $DATE$?.?;;;;;;;;;x
FV_CHOOSE_FOCUS;选择关注点;Choisir un int閞阾;Fokus w鋒len;;Seleccionar un Foco;;;;;;;;;x
CANNOT_CHANGE_FOCUS_UNTIL;无法在$DATE$?前改变焦点。?;Impossible de changer d'int閞阾 avant $DATE$?.?;Fokus kann nicht ge鋘dert werden bis $DATE$?.?;;No puede cambiar Foco hasta $DATE$?.?;;;;;;;;;x
EVTDESC_WOL_3052;我的[GetFromFromRelation], [FromFrom.GetTitledFirstNameNoRegnal],要求我多花一些时间[FromFrom.Capital.Capital.GetName]同家人在一起.我肯定这么做会增进同[From.GetTitledName]之间的友谊...;M[FromFrom.GetHerHis] [GetFromFromRelation], [FromFrom.GetTitledFirstNameNoRegnal] m'a demand?de passer du temps en famille ?[FromFrom.Capital.Capital.GetName]. Son id閑 est certainement de renforcer les liens entre moi et [From.GetTitledName]...;[GetFromFromRelation] [FromFrom.GetTitledFirstNameNoRegnal] hat mich gebeten, im Kreise der Familie in [FromFrom.Capital.Capital.GetName] eine sch鰊e Zeit zu verbringen. Ich bin mir sicher, dass dahinter die Absicht steckt, mein Verh鋖tnis zu [From.GetTitledName] zu verbessern...;;Mi [GetFromFromRelation], [FromFrom.GetTitledFirstNameNoRegnal], me ha pedido pasar un poco de tiempo de calidad en familia en [FromFrom.Capital.Capital.GetName]. Seguro que su idea es que yo me haga mejor amigo de [From.GetTitledName]...;;;;;;;;;x
opinion_dishonest_duel;不诚信的决斗;Duel malhonn阾e;Unehrliches Duell;;Duelo Deshonesto;;;;;;;;;x
magnificent_maze;壮美的迷宫;Magnifique labyrinthe;Pr鋍htiger Irrgarten;;Laberinto Magn韋ico;;;;;;;;;x
desc_magnificent_maze;这个角色的美丽的花园迷宫在国内远近闻名.;Le magnifique labyrinthe que poss鑔e ce personnage dans son jardin est r閜ut?pour sa beaut?m阭e au del?de nos fronti鑢es.;Der wundersch鰊e Irrgarten dieser Person ist weit 黚er die Grenzen des Reiches hinaus f黵 seine Sch鰊heit bekannt.;;El hermoso laberinto jard韓 de este personaje es famoso en varios reinos por su belleza.;;;;;;;;;x
duel_title;决斗;Le duel;Das Duell;;El Duelo;;;;;;;;;x
EVTOPTG_WOL_10221;[stonemason.GetSheHeCap]现在不在这里. [stonemason.GetSheHeCap]有更重要的事情去解决;[stonemason.GetSheHeCap] n'est pas disponible pour le moment. [stonemason.GetSheHeCap] a des choses plus importantes qui retiennent son attention.;[stonemason.GetSheHeCap] ist gerade nicht hier. [stonemason.GetSheHeCap] hat Wichtigeres zu tun.;;[stonemason.GetSheHeCap] no est?aqu?en este momento. [stonemason.GetSheHeCap] est?ocupado con cosas m醩 imporantes.;;;;;;;;;x
duel_tooltip_busy;决斗的任何一方不能担负任务或处于战斗之中.\n;Aucun des duellistes ne peut 阾re occup?ou impliqu?dans une guerre.\n;Keiner der Duellanten darf besch鋐tigt sein oder einen Krieg f黨ren.\n;;Ninguno de los contendientes puede estar ocupado o involucrado en una guerra.\n ;;;;;;;;;;x
;#duel_tooltip_sickness;Must be in a healthy condition.\n;Doit être en bonne santé.\n;Muss gesund sein.\n;;Tiene que estar en condición saludable.\n;;;;;;;;;;x;
;#duel_tooltip_fought_before;Have not duelled each other before.\n;Ne se sont jamais affrontés en duel.\n;Darf sich nicht bereits vorher duelliert haben.\n;;No han luchado antes en un duelo entre ellos.\n;;;;;;;;;;x;
opinion_fought_duel;决斗;Se sont affront閟 en duel;Duell ausgetragen;;Luchado en un Duelo;;;;;;;;;;x
duel_tooltip_valid_target;你的文化和宗教允许与其决斗.\n;Est une cible valide pour votre religion ou votre culture.\n;Ist ein g黮tiges Ziel eines Duells in Eurer Religion oder Kultur.\n;;Es un contendiente v醠ido para un duelo en tu cultura.\n;;;;;;;;;;x
duel_tooltip_recent_duel;决斗的任意一方没有正在参与其他决斗.\n;Aucun des deux participants ne s'est battu en duel r閏emment.\n;Keiner der Duellanten hat vor Kurzem ein Duell ausgetragen.\n;;Ninguno de los contendientes ha luchado en un duelo recientemente.\n;;;;;;;;;;x
dishonest_duel_tooltip;这在决斗中是不诚信的行为,其他人会因之而不满.;Cette action est consid閞閑 comme malhonn阾e et peut froisser certaines personnes.;Dies wird als unehrlich betrachtet und die Leute k鰊nten 黚er eine solche Verhaltensweise aufgebracht sein.;;Esto se considera deshonesto y puede afectar a tu reputaci髇 negativamente.;;;;;;;;;;x
;#duel_tooltip_excommunicated;Has the trait 'Zealous?' and target is Excommunicated? in the same religion.\n;A le trait 'zèle?' et la cible est excommuniée?.\n;Besitzt die Eigenschaft 'Eifernd?' und das Ziel ist Exkommuniziert? in der gleichen Religion.\n;;Tiene el rasgo 'Fanático?' y el otro contendiente ha sido Excomunicado? de la misma religión.\n;;;;;;;;;;x;
EVTOPTB_WOL_11110;不,我不想打我的朋友.;Non, je ne veux pas affronter mes amis.;Nein, ich will nicht gegen meine Freunde k鋗pfen.;;No, no quiero luchar contra mis amigos.;;;;;;;;;x
is_not_ascetic;不是苦行僧\n;N'est pas asc鑤e\n;Ist kein Asket\n;;No es Asc閠ico\n;;;;;;;;;x
wol_duel_training;决斗训练;Entra頽ement au duel;Duellausbildung;;Entrenado para Duelos;;;;;;;;;x
desc_wol_duel_training;这人最近接受了决斗的训练。;Ce personnage s'est r閏emment entra頽??l'art du duel.;Diese Person hat k黵zlich die Kunst des Duellkampfs trainiert.;;Este personaje recientemente ha entrenado para duelos;;;;;;;;;x
