#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
HOLD_ELECTION_EFFECT;Ò»³¡Ñ¡¾ÙÕıÔÚ$TITLE$¾ÙĞĞ¡£\n;Une élection se tient en $TITLE$.\n;Eine Wahl wird gehalten in $TITLE$.\n;;Elección en $TITLE$.\n;;;;;;;;;x
EVTDESC39101;Ò»Ğ¡Èº¸»ÓĞµÄÆïÊ¿½¨Á¢ÁËÒ»¸öĞÂµÄÌìÖ÷½Ì¾üÍÅ¡£»ù¶½ºÍËùÂŞÃÅÊ¥µîµÄÆ¶¿àÆïÊ¿ÍÅ£¨¼ò³ÆÎªÊ¥µîÆïÊ¿ÍÅ£©ÒÑĞûÊÄ±£»¤Ç°ÍùÊ¥µØµÄ³¯Ê¥Õß¡£The [Root.Religion.GetName]ÍêÈ«Ö§³ÖÕâÒ»ÆïÊ¿ÍÅ¡£¾¡¹ÜÍÅÀïµÄÆïÊ¿ÃÇÖ»ÓëÒì½ÌÍ½ºÍÒì¶Ë×÷Õ½£¬µ«»¹ÊÇ¿ÉÒÔÏò[Root.Religion.GetName]Í³ÖÎÕßÑ°Çó°ïÖú¡£;Un nouvel ordre militaire chrétien a ét?fond?par un groupe de huit chevaliers.\nLes Pauvres Chevaliers du Christ et du Temple de Salomon, également appelés Templiers, ont jur?de protéger les pèlerins se rendant en Terre Sainte.\nL'Eglise [Root.Religion.GetName] a légitim?cet ordre par le concile de Troyes et autorise ainsi les pieux seigneurs [Root.Religion.GetName] ?solliciter leur aide, bien que l'Ordre du Temple se refusera ?combattre d'autre [Root.Religion.GetName].;Eine kleine Gruppe wohlhabender Ritter hat einen neuen christlichen Militärorden gegründet. Die Arme Ritterschaft Christi und des salomonischen Tempels zu Jerusalem, oder kurz Tempelritter, haben geschworen, die durch das Heilige Land reisenden Pilger zu beschützen. Die [Root.Religion.GetName] Kirche steht völlig hinter dem Orden und gestattet gottesfürchtigen [Root.Religion.GetName] Herrschern, sie um Unterstützung zu bitten. Gegen [Root.Religion.GetName] Glaubensbrüder aber ziehen sie nicht zu Felde.;;Un pequeño grupo de caballeros ricos ha fundado una nueva orden militar cristiana. Los Pobres Caballeros de Cristo y del Templo de Salomón, o Caballeros Templarios de modo abreviado, han jurado proteger a los peregrinos que viajen por Tierra Santa. La iglesia [Root.Religion.GetName] apoya totalmente la Orden y permitir?que los gobernantes [Root.Religion.GetName] devotos les pidan ayuda, pero la Orden no luchar?contra otros [Root.Religion.GetName]s.;;;;;;;;;x
EVTDESC39102;Ò®Â·ÈöÀäµÄÈÕ¶úÂüÊ¥ÂêÀöÒ½ÔºÆïÊ¿ÍÅÔÚ[Root.Religion.GetName]½Ì»áºÍÉñÊ¥ÂŞÂíµÛ¹ú»ÊµÛµÄ×ÊÖúÏÂ½¨Á¢ÁË¡£Ìõ¶ÙÆïÊ¿ÍÅºÍÊ¥Ô¼º²ÆïÊ¿ÍÅÒÔ¼°Ê¥µîÆïÊ¿ÍÅÀàËÆ£¬Ö÷ÒªÊÇÎªÁË±£»¤ºÍÕÕÁÏÇ°ÍùÊ¥µØµÄ³¯Ê¥Õß¡£²»¹ıÖ»ÒªÈÎºÎ[Root.Religion.GetName]Ô­ÒâÎª¸ÃÆïÊ¿ÍÅÖ§¸¶²¿¶Ó±£Ñø·Ñ£¬ËûÃÇ¾Í»áÎªÆäĞ§ÀÍ¡£×÷ÎªÒ»¸öÉ®ÂÂÆïÊ¿ÍÅ£¬ËûÃÇÖ»Ô¸ÓëÒì½ÌÍ½ÓëÒì¶Ë×÷Õ½¡£;L'Ordre de la Maison de Sainte-Marie-des-Teutoniques, ou Ordre Teutonique, a ét?form?par un groupe de chevaliers originaires de Brême et de Lübeck.\nCelui-ci est soutenu par l'Eglise [Root.Religion.GetName] et par le Saint Empereur romain. L'Ordre Teutonique, ?l'instar des Hospitaliers et des Templiers, protège et soigne principalement les pèlerins qui viennent en Terre Sainte, mais serviront aussi tout bon seigneur de confession [Root.Religion.GetName]. En tant qu'ordre religieux, il ne combattra que des hérétiques et des infidèles.;Unterstützt von die [Root.Religion.GetName] Kirche und dem Heiligen Römischen Kaiser wurde der Orden der Brüder vom Deutschen Haus Sankt Mariens in Jerusalem gegründet. Wie die Malteser und die Tempelritter bieten auch die Ritter des Deutschen Ordens hauptsächlich Pilgern im Heiligen Land Schutz und Pflege. Generell aber dienen sie jedem rechtschaffenen [Root.Religion.GetName] Herrscher, der für ihren Unterhalt aufkommt. Als religiöser Orden kämpfen sie nicht gegen [Root.Religion.GetName] Glaubensbrüder.;;Se ha creado la Orden de los Caballeros Teutónicos del Hospital de Santa María de Jerusalén, auspiciada por la iglesia [Root.Religion.GetName] y el Sacro Emperador Romano. La principal tarea de dicha Orden, igual que en el caso de los Caballeros de San Juan y los Templarios, es proteger a los peregrinos a Tierra Santa, pero servirán a cualquier buen gobernante [Root.Religion.GetName] dispuesto a pagar su mantenimiento. Al ser una Orden religiosa, no lucharán contra otros [Root.Religion.GetName]s.;;;;;;;;;x
EVTDESC_SOA_1709;Ê¥°²¶«ÄáÆïÊ¿ÍÅÊÇÊÀ½çÉÏ×îÔçµÄÆïÊ¿ÍÅÖ®Ò»¡£¹«Ôª370Äê£¬Ê¹Í½ÒşĞŞÊ¿°²¶«ÄáÔÚ°£Èû¶í±ÈÑÇ»ÊµÛ×ÊÖúÏÂ³ÉÁ¢ÁËÊ¥°²¶«ÄáÆïÊ¿ÍÅ¡£\n\¾¡¹ÜËûÃÇ¼¸°ÙÄêÀ´Ò»Ö±±£³ÖµÍµ÷£¬µ«ÊÇÏÖÔÚ£¬Õâ¸öÉ®ÂÂÆïÊ¿ÍÅÓÖÖØÏÖÔÚÊÀÈËÃæÇ°¡£ËûÃÇ¹æ¶¨µÄ×ÚÖ¼ÊÇ´ÓËùÓĞÏëÒªÉËº¦[Root.Religion.GetName]»ù¶½Í½µÄÊÖÖĞ±£»¤ÕâĞ©ĞÅÍ½¡£´ËÍâ£¬Ö»Òª¸ÃÍÅÒ»·¢ÏÖÒì½ÌÍ½ºÍÒì¶Ë×ÙÓ°£¬¸ÃÍÅ¾Í»á¶ÔËûÃÇ½øĞĞÇåÏ´¡£;Les chevaliers de l'Ordre de Saint Antoine sont issus de l'un des plus anciens ordres de chevalierie du monde. En 370, des disciples d'Antoine l'Ermite fondèrent l'Ordre de Saint Antoine sous le patronage de l'empereur d'Ethiopie.\n\nMême si cet ordre a su se montrer discret durant de nombreux siècles, il apparait désormais comme une force puissante dont le but annonc?est de protéger les chrétiens [Root.Religion.GetName] de tous ceux qui leur voudrais du mal et d'expulser tous les infidèles et hérétiques qu'ils trouveront.;Die Ritter des Heiligen Antonius sind einer der ältesten Ritterorden, gegründet im Jahr  370 von Schülern des Heiligen Antonius, dem Einsiedlers unter dem Patronat des Kaisers von Äthiopien. \n\nObwohl sie viele Jahrhunderte lang kaum aktiv waren, haben sie sich jetzt als starke Macht neu formiert, mit dem erklärten Ziel, [Root.Religion.GetName] Christen vor allen zu schützen, die ihnen übelwollen, und das Land von Ketzern und Ungläubigen zu säubern, wo immer die sich auch zeigen sollten. ;;Los Caballeros de San Antonio provienen de una de las órdenes de caballería más antiguas del mundo. En el 370, los discípulos de Antonio el Ermitaño fundaron la Orden de San Antonio bajo el patrocinio del emperador de Etiopía.\n\nA pesar de que se han mantenido fuera de la escena pública durante muchos siglos, esta orden santa ha salido ahora a la luz como fuerza poderosa. Su propósito declarado es proteger a los cristianos [Root.Religion.GetName] de todos aquellos que pretendan causarles mal y purgar la tierra de infieles y herejes, dondequiera que se encuentren.;;;;;;;;;x
EVTDESC_SOA_1809;Ò»Ğ©²¨Ë¹µÄÓÅĞãÕ½Ê¿×Ô·¢½¨Á¢ÁËÖ¼ÔÚÎªº´ÎÀ[Root.Religion.GetName]ĞÅÑö¶øÏ×ÉíµÄĞÂ½ÌÍÅ¡£ËûÃÇ³Æ×Ô¼ºÎª³¤Éú¾ü£¬¾ÍÏñÏ£ÂŞ¶àµÂÃèÊöµÄ¹Å²¨Ë¹¾«Ó¢Õ½Ê¿ÄÇÑù¡£ËûÃÇËÆºõ´òËã·¢ÑïËûÃÇÄÇĞ©ÓĞ×Å´«ÆæÉ«²ÊµÄÏÈ×æÃÇµÄ¾üÊ¦´«Í³¡£\n\nÕâÒ»¾üÊÂ½ÌÍÅĞûÊÄÒªÓëËùÓĞÍşĞ²ËöÂŞÑÇË¹µÂµÄÒÅ²úÖ®ÈË×÷Õ½£¬¶øÇÒ²»»áÈÃìì½ÌÖØµ¸ÆßÊÀ¼ÍÊ±ÔÚ°¢À­²®¶ÔÍâÕ÷·şÕ½ÕùÖĞÒ»°ÜÍ¿µØµÄ¸²ÕŞ¡£;Certains parmi les meilleurs guerriers de Perse ont pris la décision de fonder un nouvel ordre dédi??protéger la foi [Root.Religion.GetName].\nIls se font appeler « Immortels », en hommage au surnom des Mélophores, ces guerriers d'élite de l'Empire achéménide de l'ancien temps décrits par Hérodote. Les Immortels semblent avoir l'intention de porter la tradition martiale de leurs légendaires prédécesseurs.\n\nCet ordre a jur?de combattre tous ceux qui menacent l'héritage de Zoroastre et de faire le nécessaire pour que la foi [Root.Religion.GetName] ne souffre plus jamais des maux qu'elle a connus lors de la conquête arabe du VIIème siècle.;Einige von Persiens besten Kriegern haben es auf sich genommen, einen neuen Heiligen Orden zum Schutz des [Root.Religion.GetName] Glaubens zu gründen. Sie nennen sich selbst Die Unsterblichen, wie die alte, von Herodot beschriebene persische Kriegerelite, und sie wollen die martialischen Traditionen ihrer legendären Vorläufer wieder aufleben lassen.\n\nDieser militante Heilige Orden hat sich dem Kampf gegen alle verschrieben, die das Erbe Zoroastrers bedrohen könnten, damit der Zorastrianismus nie mehr Rückschläge wie nach den arabischen Eroberungen im 7. Jahrhundert erleiden muss.  ;;Unos de los mejores guerreros de Persia han asumido la tarea de fundar una nueva orden santa dedicada a salvaguardar la f?[Root.Religion.GetName]. Se hacen llamar los Inmortales, al igual que la antigua élite guerrera persa descrita por Herodoto, y parecen decididos a continuar con la tradición marcial de sus legendarios predecesores.\n\nEsta orden santa militante ha jurado luchar contra todos los que amenacen el legado de Zoroastro y no permitir que la f?[Root.Religion.GetName] vuelva a sufrir los reveses causados por las conquistas árabes del siglo VII.;;;;;;;;;x
EVTDESC_SOA_1209;Ò»ÈºÊôÓÚËÕ·ÆÅÉµÄµÂ¶ûÎ¬Ï£ÍĞ²§É®ÔÚÒ»Î»À´×ÔºôÂŞÉºµÄÃûÎª¹ş¼ª¡¤µÄÉñÃØÖ÷ÒåÕßÁìµ¼ÏÂáÈÆğ¡£Îª¡°ÍòÎïºÏÒ»¡±¶ø²»Ğ¸·Ü¶·µÄÍ¬Ê±£¬°İ¿ËËşÊ²½ÌÍÅÍ¨¹ıÚ¤ÏëºÍË¼Ë÷¹ÅÀ¼¾­½ÌÒåµÄÒş²Øº¬ÒåÀ´Ä¥Á·×Ô¼ºµÄÁé»ê¡£°İ¿ËËşÊ²½ÌÍÅÊ®·ÖºÃÕ½£¬¶øÇÒÔÚ[Root.Religion.GetName]ÄÂË¹ÁÖÊ¿±øÖĞÓÈÆäÊÜ»¶Ó­¡£°İ¿ËËşÊ²½ÌÍÅĞûÊÄº´ÎÀÒÁË¹À¼½Ì²¢Óë¸÷ÖÖ¸÷ÑùµÄÒì¶ËºÍ¶àÉñ½ÌÍ½×÷Õ½¡£;Une secte soufiste de derviches a ét?fond?par un certain Haci Bektas Veli, un mystique natif du Khorassan. Œuvrant pour ce qu'ils nomment «l'Unit?de l'Etre? les Bektachis forment leurs âmes par la méditation et la contemplation du sens profond du Coran.\nLa confrérie bektachie est un ordre guerrier particulièrement appréci?des soldats [Root.Religion.GetName]s. L'Ordre a jur?de protéger l'islam et de combattre les infidèles et les polythéistes de toutes sortes.;"Unter der Führerschaft eines gewissen Hadschi Baktasch Wali, eines Mystikers aus Khorosan, ist eine Sufi-Sekte aus Derwischen entstanden. In ihrem Streben nach der ""Einheit des Seins"" ertüchtigen die Bektaschis ihre Seele durch Meditation und Kontemplation der wahren Bedeutung des Korans. Der kriegerische Bektaschi-Orden ist besonders bei jungen [Root.Religion.GetName] Soldaten beliebt. Die Mitglieder leisten einen Eid, den Islam zu schützen und Ungläubige und Polytheisten jeder Art zu belämpfen.";;"Ha surgido una secta suf?de derviches bajo el liderazgo de un tal Hadji Bektash Wali, un místico de Jorasán. Los Bektashis aspiran a la ""Unidad del Ser" y educan el alma a través de la meditación y la contemplación del significado interno del Corán. La Orden Bektashi es favorable a la guerra y especialmente popular entre los soldados musulmanes [Root.Religion.GetName]. La Orden ha jurado proteger el Islam y combatir a los infieles y politeístas de todo tipo.";;;;;;;;;x
EVTDESC88000;ÓĞ¸öÏûÏ¢Á÷´«Éõ¹ã£ºÒ»Î»[Root.Religion.GetName]Ğû½ÌÊ¿¹şÉ£¡¤ÒÁ±¾¡¤Èø°Í¹şÒÑÔÚÎ÷²¨Ë¹Ä³´¦³ÉÁ¢Ò»¸öĞÂµÄÃûÎª°¢ÈøĞÁÅÉµÄ½ÌÍÅ¡£Í¨¹ıÊ¹ÓÃ¸÷ÀàÆÛÕ©ÊÖ¶Î£¬Õâ»ïÉñÃØµÄ£¬ÓÉÑµÁ·ÓĞËØµÄÉ±ÊÖ×é³ÉµÄ¿ñÈÈ·Ö×ÓÒÑ¾­Õ¼ÁìÁË°¢À­ÄÂÌØµÄÉ½¼äÒªÈû£¬²¢°Ñ¸ÃµØÉèÎªËûÃÇ½ÌÍÅµÄ×Ü²¿¡£Ö»ÓĞĞ¡²¿·Ö²Ğ±©µÄĞ×Í½ÄÜ¹»³ÉÎª¹şÉ£ÎŞË½µÄºÍÎŞÎ·µÄĞÅÍ½......;Une rumeur court voulant qu'un [Root.Religion.GetName] fanatique ismaélite et nizârite, Hassan-i Sabbah, ait créé un ordre religieux du nom de « Hashshâshîns » quelque part en Perse occidentale. A force de ruse et de fourberie, cette secte de mystérieux assassins a pris le contrôle d'Alamut, une forteresse au sud de la mer Caspienne, et en a fait son siège.\nUne série de spectaculaires meurtres publiques leur a déj?ét?attribu? et l'on ne peut que craindre que les intrépides dévots d'Hassan-i ne continuent, l'Ordre aillant jur?de défendre la foi chiite.;Es spricht sich herum, dass ein [Root.Religion.GetName] Missionar, Hassan-i Sabbah, einen religiösen Orden, 'Hashshashin' genannt, irgendwo in West-Persien, gegründet hat. Dieser mysteriöse Kult ausgebildeter Mörder hat, mit Hilfe von Betrügereien und Tücke, die Kon;;Se comenta que un misionero [Root.Religion.GetName], Hassan-i Sabbah, ha fundado una orden religiosa conocida como los 'Hassasin' en algún lugar al oeste de Persia. Utilizando la astucia y el engaño, este misterioso culto de entrenados asesinos ha tomado el control de la fortaleza de Alamut y la ha convertido en su cuartel general. Ya puede apreciarse el reguero de crímenes violentos de los devotos e intrépidos discípulos de Hassan...;;;;;;;;;x
donate_money_to_assassins;¾èÏ× 300¤ ¸ø¹şÈøĞÁÅÉ;Donner 300?aux Hashshâshîns;Spendet den Hashshashin 300?;;Donar 300?a los Hassasin;;;;;;;;;x
donate_money_to_assassins_desc;ÎÒ¿ÉÒÔ¾èÇ®¸ø¹şÈøĞÁÅÉÀ´»»È¡[Player.Religion.GetPietyName]ò¯³Ï¶È;Je peux donner de l'argent aux Hashshashin en échange de [Player.Religion.GetPietyName].;Ich kann den Hashshashin Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Hassasin. A cambio obtendr?[Player.Religion.GetPietyName].;;;;;;;;;x
donate_money_to_bektashi;¾èÏ× 300¤ ¸ø°İ¿ËËşÊ²½ÌÍÅ;Donner 300?aux Bektachis;Spendet den Bektaschi 300?;;Donar 300?a los Bektashi;;;;;;;;;
donate_money_to_bektashi_desc;ÎÒ¿ÉÒÔ¾èÇ®¸ø°İ¿ËËşÊ²½ÌÍÅÀ´»»È¡[Player.Religion.GetPietyName]ò¯³Ï¶È;Je peux donner de l'argent aux Bektachis en échange de [Player.Religion.GetPietyName].;Ich kann den Bektaschi Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Bektashi. A cambio obtendr?[Player.Religion.GetPietyName].;;;;;;;;;x
donate_money_to_knights_templar;¾èÔù 300¤ ¸øÊ¥µîÆïÊ¿ÍÅ;Donner 300?aux Templiers;Spendet den Tempelrittern 300?;;Donar 300?a los Caballeros Templarios;;;;;;;;;x
donate_money_to_knights_templar_desc;ÎÒ¿ÉÒÔÍ¨¹ı¾èÇ®¸øÊ¥µîÆïÊ¿ÍÅÒÔ»»È¡ò¯³Ï¶ÈºÍ[Root.Religion.GetName]½Ì»á¶ÔÎÒÖÕÉúµÄ×ğÖØ¡£;Il est possible de donner de l'argent ?l'Ordre du Temple en échange de piét? Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Mit einer Geldspende an die Tempelrittern kann ich Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche erlangen.;;Puedo hacer una donación a los Caballeros Templarios. A cambio obtendr?la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_hospitaler_desc;ÎÒ¿ÉÒÔ¾èÇ®¸øÒ½ÔºÆïÊ¿ÍÅÀ´»»È¡ò¯³Ï¶ÈºÍ[Root.Religion.GetName]½Ì»á¶ÔÎÒÖÕÉúµÄ×ğÖØ¡£;Il est possible de donner de l'argent ?l'Ordre des Hospitaliers en échange de piét? Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Mit einer Geldspende an die Johanniter kann ich Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche erlangen.;;Puedo hacer una donación a los Caballeros Hospitalarios. A cambio obtendr?la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
