#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
AIREASON_CAN_PAY_OWN_RANSOM;§Y[GetTitledFirstName]§! ¿ÉÒÔ¸ºµ£ [GetHerHis] ×Ô¼ºµÄÊê½ğ;§Y[GetTitledFirstName]? peut payer sa propre rançon;§Y[GetTitledFirstName]? Kann [GetHerHis] Lösegeld selbst zahlen;;§Y[GetTitledFirstName]? puede permitirse su propio rescate;;;;;;;;;x
EVTDESC68000;ÎÒÕ®Ì¨¸ßÖş£¬ÒÑ¾­ÎŞÁ¦Ö§¸¶ÖÎ°²¹ÙµÄ¹¤×Ê¡£Á¬[Root.GetName]µÄÅ©Ãñ¶¼²»ÔÙ×ğÖØÎÒµÄÍ³ÖÎÁË£¡;Je ne peux plus payer mes baillis et mes dettes envers les classes inférieures sont dangereusement élevées. Les paysans en [Root.GetName] remettent sérieusement en doute mon droit divin ?gouverner?;Ich kann meine Beamten nicht bezahlen, und meine Schulden bei den Untertanen sind gefährlich hoch. Die Bauern von [Root.GetName] missachten völlig mein von Gott gegebenes Herrschaftsrecht!;;No puedo pagar a mis magistrado y mis deudas a las clases bajas son peligrosamente elevadas. ¡Ahora los campesinos de [Root.GetName] desacatan por completo mi derecho divino a gobernar!;;;;;;;;;x
EVTDESC68001;[Root.GetName]ÏÖÔÚÓÖÂıÂı¿ªÊ¼×ğÖØÎÒµÄÍ³ÖÎÁË¡£½ñºóÎÒ¿É²»ÄÜÔÙÈÃ³à×Ö·¢Éú£¡;Les paysans en [Root.GetName] respectent un peu plus ma fonction ?nouveau. Plus jamais je n'aurai de dettes?;Allmählich respektieren die Bauern von [Root.GetName] wieder meine Herrschaft. Ich sollte nie wieder ins Defizit fallen!;;Los campesinos de [Root.GetName] vuelven lentamente a respetar mi mandato. ¡Nunca deb?dejar que las cuentas del tesoro tocaran fondo!;;;;;;;;;x
EVTDESC68010;ÎÒÎŞ·¨¸øÖÎ°²¹ÙÃÇ¸¶Ğ½Ë®£¬[Root.GetName]µÄÇÔÔôÃÇÔÚµ±µØ½¨ÆğÁËÒ»¸öÇÔÔô¹«»á¡£;Comme je n'ai plus d'argent pour payer mes prévôts, une guilde de voleurs s'est établie ?[Root.GetName].;Weil ich kein Geld hatte, um  meine Schulzen und Beamten zu bezahlen, ist in [Root.GetName] eine Diebesgilde entstanden.;;Debido a mi falta de fondos para pagar a los alguaciles y magistrados, se ha establecido una banda de ladrones en [Root.GetName].;;;;;;;;;x
EVTDESC68020;ÑÏÖØµÄ²ÆÕş³à×ÖÊ¹µÃ[Root.GetName]³öÏÖÁËÒ»¸ö×ßË½ÍøÂç¡£;Mon grave endettement a entraîn?l'apparition d'un réseau de contrebandiers ?[Root.GetName].;Infolge meines akuten Haushaltsdefizits ist in [Root.GetName] ein Schmugglerring entstanden.;;Mi agudo déficit presupuestario ha hecho posible que surja una red de contrabandistas en [Root.GetName].;;;;;;;;;x
EVTDESC68030;Ã»Áìµ½×ã¹»¹¤×ÊµÄÖÎ°²¹ÙÃÇÄ¬ĞíÒ»Ö§Ç¿µÁÍÅ»ïÔÚ[Root.GetName]ĞËÆğ¡£²»¹ıËûÃÇ»¹Ã»µ¨×ÓÀ´´ò½ÙÎÒµÄ³Ç±¤¡£;Mes prévôts manquent de ressources et n'ont donc pas pu empêcher une importante bande de malandrins de s'établir ?[Root.GetName]. Ceux-ci sont cependant trop lâches pour s'attaquer ?mes châteaux.;Meine unterbezahlten Schulzen haben haben die Entstehung einer großen Räuberbande in [Root.GetName] zugelassen. Aber sie sind zu Feige, meine Burgen anzugreifen.;;Mis mal pagados alguaciles han permitido que una gran banda de ladrones se haga fuerte en [Root.GetName]. No obstante, son demasiado cobardes para atacar mis castillos.;;;;;;;;;x
EVTDESC315;Éú²ú¹ı³ÌÊ®·ÖÀ§ÄÑ£¬¿ÖÅÂÊÇÎÒµÄÉíÌå³öÁËÎÊÌâ¡£½ÓÉúÆÅ¿´ÆğÀ´Ê®·Ö»ÅÕÅ¡£ÎÒ¾õµÃ×Ô¼ººÜ²»Êæ·ş¡­¡­;J'ai vécu un accouchement difficile et je crains d'avoir quelques problèmes. Les sages-femmes semblent inquiètes et je me sens si faible...;Meine Wehen waren schlimm und ich fürchte, dass es mir nicht gut geht. Die Hebammen sehen sehr besorgt aus und ich fühle mich schrecklich schwach?;Mi parto fue difícil y presiento que no estoy bien del todo. Las matronas parecían preocupadas, y me siento terriblemente débil...;;;;;;;;;x
EVTOPTA315;ÎÒÓ¦¸ÃÏò[Root.Religion.GetRandomGodName]µ»¸æ;Je dois prier [Root.Religion.GetRandomGodName];Ich muss zu [Root.Religion.GetRandomGodName] beten.;;Debo rezar a [Root.Religion.GetRandomGodName];;;;;;;;;x
EVTDESC6062;±£Ä·ËµÎÒÒÑ¾­²»ÔÙÊÇ¸ö²¡Ñí×ÓÁË¡£;Mém?a dit que je n'étais plus malade.;Nana sagt, ich sei nicht mehr krank.;;Nana dice que la enfermedad ha remitido.;;;;;;;;;x
EVTOPTA6062;ÎÒÄÜÓä¿ìµÄÍæË£ÁË£¡;Je peux courir?;Ich kann laufen!;;¡Puedo correr!;;;;;;;;;x
sickly;¶à²¡;Enfant maladif;Kränklich;;Enfermizo;;;;;;;;;x
sickly_desc;Õâ¸öº¢×ÓÉúÀ´¶à²¡£¬Ò²Ğí»î²»¹ıÓ¤¶ùÆÚ¡£;Cet enfant est maladif et pourrait donc ne pas atteindre l'âge adulte.;Dieses Kind wurde kränklich geboren und wird vielleicht nicht lange leben;;Este niño naci?enfermizo y podría no sobrevivir a la infancia.;;;;;;;;;x
sickly_death;ÌåÈõ¶à²¡µÄÓ¤¶ù;de son état maladif;Ein kränkliches Kind;;beb?enfermizo;;;;;;;;;x
REL_SISTER_WIFE;æ¢ÃÃÆŞ;Sœur-Épouse;Schwester-Frau;;Hermana-Esposa;;;;;;;;;x
REL_MOTHER_WIFE;Ç×Ä¸ÆŞ;Mère-Épouse;Mutter-Frau;;Madre-Esposa;;;;;;;;;x
REL_DAUGHTER_WIFE;¸¸¼Ş;Fille-Épouse;Tochter-Frau;;Hija-Esposa;;;;;;;;;x
REL_BROTHER_HUSBAND;½ãÃÃ¿Ø;Frère-Mari;Bruder-Ehemann;;Hermano-Esposo;;;;;;;;;x
REL_SON_HUSBAND;È¢Ä¸É¥Ê§;Fils-Mari;Sohn-Ehemann;;Hijo-Esposo;;;;;;;;;x
REL_FATHER_HUSBAND;¹í¸¸;Père-Mari;Vater-Ehemann;;Padre-Esposo;;;;;;;;;x
jewish;ÓÌÌ«½Ì;juive;Jüdisch;;Judío;;;;;;;;;x
samaritan;ÈöÂêÀûÑÇÅÉ;samaritaine;Samariter;;Samaritano;;;;;;;;;x
karaite;Ê¥¾­ÅÉ;karaïte;Karaite;;Caraíta;;;;;;;;;x
THE_TORAH;ÂÉ·¨Êé;la Torah;Die Torah;;La Tor?;;;;;;;;x
THE_TANAKH;ËşÄÉºÕ;le Tanakh;Der Tanakh;;El Tanaj;;;;;;;;;x
RANDOM_CHARACTER;Ëæ»ú½ÇÉ«;Personnage aléatoire;Zufällige Figur;;Personaje aleatorio;;;;;;;;;x
jewish_DESC;ÓÌÌ«½ÌÊÇ×î¹ÅÀÏµÄÑÇ²®À­º±×Ú½Ì, ËüµÄÆğÔ´¿ÉÒÔ×·Ëİµ½ÇàÍ­Ê±´ú. Õâ¸öÒ»Éñ½ÌµÄÊ¥³ÇÊÇ¹ÅÒÔÉ«ÁĞÍõ¹úµÄÊ×¶¼Ò®Â·ÈöÀä.;Le judaïsme est la plus ancienne des religions abrahamiques. On fait remonter ses origines ?l'âge du bronze. La ville la plus sacrée de cette religion monothéiste est Jérusalem, qui fut la capitale de l'ancien royaume d'Israël.;Das Judentum ist die älteste der abrahamischen Religionen, ihre Ursprünge reichen zurück bis in die Bronzezeit.  Die heiligste Stadt dieser monotheistischen Religion ist Jerusalem, einst Hauptstadt des Königreichs Israel.;;El judaísmo es la más antigua de las religiones abrahámicas, cuyos orígenes se remontan hasta la Edad de Bronce. La ciudad más sagrada de esta fe monoteísta es Jerusalén, antaño capital del antiguo reino de Israel.;;;;;;;;;x
build_third_temple;½¨ÔìµÚÈıÊ¥µî;Construire le Troisième Temple;Bauen Sie den dritten Tempel;;Construir el Tercer Templo;;;;;;;;;x
build_third_temple_desc;Ò®Â·ÈöÀäµÚÒ»Ê¥µîºÍµÚ¶şÊ¥µî¶¼±»ÈëÇÖµÄµĞ¾ü´İ»ÙÁË¡£Èç½ñ£¬ÓÌÌ«ÈËÖÕÓÚÓÖÒ»´ÎÍ³ÖÎÁËÊ¥³Ç£¬ÊÇÊ±ºò¿ªÊ¼ĞŞ½¨µÚÈıÊ¥µîÁË¡£;Les Premier et Second Temple ont tous deux ét?détruits par des armées d'envahisseurs. Maintenant que la cit?est de nouveau sous contrôle juif, il est temps de commencer la construction du Troisième Temple.;Der erste und der zweite Heilige Tempel in Jerusalem wurden von Eroberern zerstört. Jetzt, da die Stadt endlich wieder unter jüdischer Herrschaft ist, ist es Zeit, mit dem Bau des Dritten Tempels zu beginnen.;;El Primer y Segundo Templos Sagrados de Jerusalén fueron destruidos por ejércitos invasores. Ahora que la ciudad ha reinstaurado el gobierno judío, ha llegado la hora de comenzar a construir un Tercer Templo.;;;;;;;;;x
EVTDESC_SoA_100;µÚÈıÊ¥µîµÄĞŞ½¨½«»áÁ¢¿ÌÔÚÊ¥µîÉ½ÉÏÕ¹¿ª¡£ÕâËùÉ½ÄÜ¹»¸©î«Õû¸öÒ®Â·ÈöÀä³Ç¡£ĞÂµÄÊ¥µî½«»á±ÈÔ¢ÑÔÖĞµÄËùÂŞÃÅµÚÒ»Ê¥µîÉè¼ÆµÃ¸üÎªºê´ó¡£ÄãÊÖÏÂµÄ½¨ÖşÊ¦ÃÇÔ¤¼Æ£¬ĞŞ½¨Õâ×ùÊ¥µî½«Ê¹ÓÃÕûÕûËÄÄêµÄÊ±¼ä¡£Ò»¾­Íê¹¤£¬Ëü±Ø½«³ÉÎªÒ®Â·ÈöÀäµÄĞÂµÄµØ±ê£¡;La construction du Troisième Temple commence immédiatement sur le Mont du Temple qui surplombe Jérusalem. Ce nouveau temple sera même plus grand que le légendaire Premier Temple du roi Salomon, mais vos architectes estiment que sa construction prendra environ quatre ans, bien que nous ne doutions pas résultat sera vraiment spectaculaire?;Der Bau des Dritten Tempels beginnt sofort auf dem Tempelberg in Jerusalem. Im Entwurf ist der neue Tempel sogar größer als der sagenhafte erste Tempel von König Salomon. Ihre Baumeister veranschlagen eine Bauzeit von etwa vier Jahren. Was für ein großartiger Anblick wird der Tempel geben, wenn er fertig ist!;;La construcción del Tercer Templo comenzar?inmediatamente en el Monte del Templo situado junto a Jerusalén. El diseño del nuevo templo supera en alcance incluso al del legendario Primer Templo del rey Salomón. Tus arquitectos calculan que la construcción durar?unos cuatro años. Una vez terminado, ¡ser?realmente digno de ver!;;;;;;;;;x
EVTOPTA_SoA_100;ÈÃÎÒÃÇµÈ´ıÄÇÒ»Ìì¡£;Qu'est-ce que quatre ans lorsque l'on a attendu près d'un millénaire?;Unser Volk muss nur ein klein wenig länger warten;;Nuestro pueblo solo tiene que esperar un poco más.;;;;;;;;;x
EVTNAME_SoA_101;µÚÈıÊ¥µî;Le Troisième Temple;Der Dritte Tempel;;El Tercer Templo;;;;;;;;;x
EVTDESC_SoA_101;ÓÉËùÂŞÃÅÍõ½¨ÔìµÄµÚÒ»Ê¥µî±»°Í±ÈÂ×µÄÈëÇÖÕß´İ»ÙÁË¡£ÓÉ²¨Ë¹µÛ¹úµÄ¾ÓÂ³Ê¿´óµÛÖ÷³ÖĞŞ½¨µÄµÚ¶şÊ¥µîÓÖ±»ÂŞÂíÈËÒÄÎªÆ½µØ¡£µ«ÊÇ£¬Î°´óµÄ[FromFrom.GetTitledFirstName]ĞË½¨µÄµÚÈıÊ¥µî½«»áÓÀÔ¶ÒÙÁ¢£¡\n\n¸ßËÊĞÛÎ°µÄÊ¥µî×øÂäÔÚÊ¥µîÉ½ÉÏ£¬³ÉÎªÒ»Â·ÈöÀäµÄ±êÖ¾¡£Ç°À´Ê¥³ÇµÄÂÃĞĞÕßÃÇÔ¶Ô¶µØ¾ÍÄÜÒ»ÑÛ±æ±ğ³öËü¡£Õâ¾°Ïó£¬¾ÍÊÇËùÂŞÃÅÍõÇ×ÁÙ£¬Ò²Ò»¶¨»á±»¸Ğ¶¯µÄÁ÷Àá¡£;Le Premier temple, construit par le roi Salomon, fut détruit par les envahisseurs babyloniens. Le Second Temple, construit sous les auspices du grand Cyrus de Perse, fut ras?par les Romains au terme d'un épouvantable siège. Le Troisième temple, cependant, construit par l'illustre [FromFrom.GetTitledFirstName], se dressera pour l'éternité !\n\nConstruit au sommet du mont du Temple, le magnifique édifice est devenu un trait dominant de Jérusalem et les voyageurs qui arrivent de très loin le reconnaissent instantanément ?leur approche. En vérit? Salomon lui-même aurait vers?des larmes d'émotion en le voyant.;Der erste, von König Salomon errichtete Tempel, wurde von den babylonischen Eoberern zerstört. Der Zweite, unter der Herrschaft des Perserkönigs Cyrus dem Großen gebaute Tempel wurde nach schrecklicher Belagerung von den Römern geschleift. Der Dritte Tempel aber, geschaffen von [FromFrom.GetTitledFirstName] dem Großen, wird in alle Ewigkeit stehen!\n\nDas prächtige Bauwerk auf dem Tempelberg überragt Jersualem und ist schon aus weiter Ferne sichtbar. Selbst König Salomo wäre von seinem Anblick zu Tränen gerührt. ;;El Primer Templo, construido por el rey Salomón, fue destruido por los invasores babilonios. El Segundo Templo, erigido bajo los auspicios de Ciro el Grande de Persia, fue arrasado por los romanos tras un terrible asedio. El Tercer Templo, sin embargo, edificado por el gran [FromFrom.GetTitledFirstName], ¡perdurar?por toda la eternidad!\n\nDesde su posición en lo alto del Monte del Templo, este magnífico edificio se ha convertido en una insignia destacada de Jerusalén que los viajeros identifican de inmediato al acercarse a la ciudad. A decir verdad, contemplarlo habría hacho saltar las lágrimas al mismísimo Salomón.;;;;;;;;;x
EVTOPTA_SoA_101;ÕæÊÇÌ«ÃÀÃîÁË¡£;Il est magnifique.;So Schön.;;Es hermoso.;;;;;;;;;x
restore_high_priesthood;»Ö¸´´ó¼ÀË¾;Restaurer la Grande Prêtrise;Stellt das Hohepriestertum wieder her;;Restaurar el Sumo Sacerdocio;;;;;;;;;x
restore_high_priesthood_desc;ÓÌÌ«½ÌµÄ¼ÀË¾³¤Õâ¸öÉñÊ¥µÄÖ°Î»Ëæ×ÅµÚ¶şÊ¥µîÒ»Æğ±»ÂŞÂíÈË´İ»ÙÁË¡£Èç½ñµÚÈıÊ¥µîÒÑ¾­ĞË½¨Íê³É£¬»òĞíÎÒÃÇÒ²¸ÃÈÎÃüÒ»Î»ĞÂµÄ´ò»÷ËÀÁË¡£;Le titre de Kohen Gadol - littéralement «Grand prêtre?- est vacant depuis la destruction du Second Temple par les Romains. Cependant, maintenant que le Troisième Temple est construit, il est en notre pouvoir de nommer un nouveau grand prêtre.;Das Amt des Kohen Gadol - des Hohepriesters der Juden - ist seit der Zerstörung des Zweiten Tempels durch die Römer erloschen. Nun, nach der Errichtung des Dritten Tempels, sollte vielleicht ein neuer Hohepriester ernannt werden. ;;El puesto de Kohen Gadol —Sumo Sacerdote del judaísmo?est?vacante desde que los romanos destruyeron el Segundo Templo. Ahora que la construcción del Tercer templo ha finalizado, tal vez debería nombrarse un nuevo Sumo Sacerdote.;;;;;;;;;x
create_israel;½¨Á¢ÒÔÉ«ÁĞ;Créer Israël;Erschaffe Israel;;Crear Israel;;;;;;;;;x
create_israel_desc;ÒÔÉ«ÁĞµÄ×ÓËïÃÇÊÇÊ±ºòÔÚÒ®Â·ÈöÀäÓëÓ¦ĞíÖ®µØÉÏ½¨Á¢Ò»¸öÍ³Ò»µÄĞÂÍõ¹úÁË¡£Èç´ËÒ»À´£¬ÓÌÌ«ÈËÓÖÄÜÔÙÒ»´ÎºÍÆ½°²ÄşµÄÉú»îÔÚÒ»Æğ¡£;Il est temps pour les Fils d'Israël de fonder une nouvelle monarchie unie autour de Jérusalem et de la Terre Promise, afin que les Juifs puissent ?nouveau vivre ensemble, en paix et en harmonie.;Für die Kinder Israels ist es Zeit, ein neues einiges Königreich im Gelobten Land rund um Jerusalem zu errichten,  damit die Juden wieder in Frieden harmonisch zusammenleben können. ;;Es hora de que los Hijos de Israel funden una nueva monarquía unida entre Jerusalén y la Tierra Prometida, de modo que los Judíos puedan vivir de nuevo juntos en paz y armonía.;;;;;;;;;x
k_israel;ÒÔÉ«ÁĞ;Israël;Israel;;Israel;;;;;;;;;x
k_israel_adj;ÒÔÉ«ÁĞ;israélite;Israeliten;;israelitas;;;;;;;;;x
EVTTOOLTIP_SoA_102;ÒÔÉ«ÁĞÍõ¹úÖØÉúÁË¡£;Le royaume d'Israël renaît.;Das Königreich Israel ist neu geboren.;;Renace el Reino de Israel.;;;;;;;;;x
EVTNAME_SoA_102;Ó¦ĞíÖ®µØ;La Terre promise;Das Gelobte Land;;La Tierra Prometida;;;;;;;;;x
