;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
haughty;自大;Enfant au caract鑢e hautain;躡erheblich;;altanero/a;;;;;;;;;x
;#indolent_desc;This child is very averse to any kind of exertion, be it mental or physical.;;Das Kind hat eine Abneigung gegen Anstrengung jeder Form, ganz gleich ob k?rperlicher oder geistiger Natur.;;Este/a ni?o/a es muy contrario a cualquier clase de esfuerzo, ya que sea mental o físico.;;;;;;;;;x;
playful;玩乐;Enfant au caract鑢e espi鑗le;Verspielt;;juguet髇/a;;;;;;;;;x
;#playful_desc;This child loves to engage in fun and games, almost always turning any activity into an excuse to play.;;Das Kind liebt Spiele und das Vergnügen und hat einen spielerischen Zugang zur Welt.;;Este/a ni?o/a ama tomar parte en diversión y juegos, casi siempre en cualquier actividad es una excusa para jugar.;;;;;;;;;x;
conscientious;尽责;Enfant au caract鑢e consciencieux;Gewissenhaft;;concienzudo/a;;;;;;;;;x
;#conscientious_desc;This child is unusually scrupulous and responsible, taking delight in completing any chores and tasks to perfection.;;Das Kind ist au?ergew?hnlich pflichtbewusst und m?chte ihm gestellte Aufgaben m?glichst perfekt erledigen. ;;Este/a ni?o/a es inusualmente escrupuloso/a y responsable, disfrutando con la realización de sus quehaceres y tareas a la perfección.;;;;;;;;;x;
fussy;挑剔;Enfant au caract鑢e pointilleux;Pingelig;;quisquilloso/a;;;;;;;;;x
;#fussy_desc;This child is very particular about details which seem trivial to others, sometimes to the point of causing anxiety and frustration.;;Das Kind misst scheinbar nebens?chlichen Kleinigkeiten gro?e Bedeutung zu, was nicht alle nachvollziehen k?nnen und manchmal für Frustration sorgt.;;Este/a ni?o/a presta una atención muy particular a detalles que parecen triviales a otros, a veces hasta el punto de causar ansiedad y frustración.;;;;;;;;;x;
curious;好奇;Enfant au caract鑢e curieux;Neugierig;;curioso/a;;;;;;;;;x
;#curious_desc;This child has an inquisitive nature and is constantly asking questions and poking around looking for new and interesting things.;;Das Kind kann stundenlang Fragen stellen und ist immer auf der Suche nach neuen und interessanten Dingen.;;Este/a ni?o/a tiene una naturaleza curiosa y está constantemente haciendo preguntas y husmeando en busca de cosas nuevas e interesantes.;;;;;;;;;x;
idolizer;狂信者;Enfant au caract鑢e idol鈚re;Manipulierbar;;Adorador;;;;;;;;;x
;#idolizer_desc;This child is easily impressed and also has a fervent desire to seek for ultimate truths.;;Das Kind ist leicht zu beeindrucken und hat eine gro?e Sehnsucht nach endgültigen Wahrheiten.;;Este/a ni?o/a se impresiona fácilmente y también tiene un deseo ferviente por buscar las verdades definitivas.;;;;;;;;;x;
no_objective_title;没有选择重心;Pas d'int閞阾 choisi;Kein Fokus ausgew鋒lt;;Ning鷑 foco elegido;;;;;;;;;x
focus_ch_pride;傲慢;Fiert?Stolz;;Orgullo;;;;;;;;;x
focus_ch_pride_title;傲慢;Fiert?Stolz;;Orgullo;;;;;;;;;x
focus_ch_pride_desc;[This.GetTitledFirstName] 由枢密院成员和贵族教导, 准备成为统治者. 此重心通常的特质结果是 自大?和 沉思?。;[This.GetTitledFirstName] re鏾it son 閐ucation de nobles et de conseillers, dans le but de se pr閜arer au pouvoir. En d閏oule un caract鑢e songeur? et hautain?.;[This.GetTitledFirstName] wird unter der Anleitung von Kanzlern und Adligen auf eine herrschende Funktion vorbereitet. Die bei diesem Fokus zu erwartenden Eigenschaften sind 躡erheblich? und Gr黚lerisch?.;;[This.GetTitledFirstName] es educado por consejeros y nobles, prepar醤dole para gobernar. Los rasgos comunes resultantes de este enfoque son Altanero/a? y pensativo/a?.;;;;;;;;;x
focus_ch_humility;谦逊;Humilit?Demut;;Humildad;;;;;;;;;x
focus_ch_humility_title;谦逊;Humilit?Demut;;Humildad;;;;;;;;;x
focus_ch_humility_desc;[This.GetTitledFirstName] 在宫廷中由仆人教导, 专注于服侍与谦逊. 此重心通常的特质结果是 怯懦?和 亲切?。;[This.GetTitledFirstName] re鏾it son 閐ucation de serviteurs de la cour, avec un accent mis sur le service et l'humilit? En d閏oule un caract鑢e timide? et tendre?.;[This.GetTitledFirstName] soll unter dem Einfluss der Hofdienerschaft in der Hauptsache Gehorsam und Demut lernen. Die bei diesem Fokus zu erwartenden Eigenschaften sind Zaghaft? und Herzlich?.;;[This.GetTitledFirstName] es educado por sirvientes de la corte, centr醤dose en servicio y humildad. Los rasgos comunes resultantes de este enfoque son Timido? y Afectuoso?.;;;;;;;;;x
focus_ch_duty;使命;Devoir;Pflicht;;Deber;;;;;;;;;x
focus_ch_duty_title;使命;Devoir;Pflicht;;Deber;;;;;;;;;x
focus_ch_duty_desc;[This.GetTitledFirstName] 在宫廷中由守卫与随从教导, 专注于使命与勤勉. 此重心通常的特质结果是 尽责?。;[This.GetTitledFirstName] re鏾it son 閐ucation de gardes et de domestiques, avec un accent mis sur le devoir et le z鑜e. En d閏oule un caract鑢e consciencieux?.;[This.GetTitledFirstName] wird von Wachen und Gefolgsm鋘nern des Hofes zu Flei?und Pflichtbewusstsein erzogen. Die bei diesem Fokus zu erwartende Eigenschaft ist Gewissenhaft?.;;[This.GetTitledFirstName] es educado por guardias y criados de la centr醤dose en servicio y diligencia. El rasgo com鷑 resultante de este enfoque es concienzudo/a?.;;;;;;;;;x
focus_ch_etiquette;礼仪;蓆iquette;Etikette;;Etiqueta;;;;;;;;;x
focus_ch_etiquette_title;礼仪;蓆iquette;Etikette;;Etiqueta;;;;;;;;;x
focus_ch_etiquette_desc;[This.GetTitledFirstName] 由枢密院成员与其他廷臣教导, 专注于彬彬有礼的举止与礼仪. 此重心通常的特质结果是 玩乐?和 懒散?。;[This.GetTitledFirstName] re鏾it son 閐ucation de conseillers et d'autres courtisans, avec un accent mis sur la courtoisie et l'閠iquette. En d閏oule un caract鑢e espi鑗le? et veule?.;[This.GetTitledFirstName] soll unter der Anleitung der Ratsmitglieder und H鰂linge das gute Benehmen bei Hofe erlernen. Die bei diesem Fokus zu erwartenden Eigenschaften sind Verspielt? und Tr鋑e?.;;[This.GetTitledFirstName] es educado por consejeros y otros cortesanos, centr醤dose en comportamiento cort閟 y etiqueta. Los rasgos comunes resultantes de este enfoque son Juguet髇? e Indolente?;;;;;;;;;x
focus_ch_thrift;节俭;蒫onomie;Sparsamkeit;;Frugalidad;;;;;;;;;x
focus_ch_thrift_title;节俭;蒫onomie;Sparsamkeit;;Frugalidad;;;;;;;;;x
focus_ch_thrift_desc;[This.GetTitledFirstName] 由工匠和商人教导, 专注于数学与发明. 此重心通常的特质结果是 好奇?和 挑剔?。;[This.GetTitledFirstName] re鏾it son 閐ucation d'artisans et de marchands, avec un accent mis sur les math閙atiques et l'inventivit? En d閏oule un caract鑢e curieux? et pointilleux?.;[This.GetTitledFirstName] wird von Handwerkern und Kaufleuten in die Welt der Mathematik und Erfindungen eingef黨rt. Die bei diesem Fokus zu erwartenden Eigenschaften sind Neugierig? und Pingelig?.;;[This.GetTitledFirstName] es educado por artesanos y comerciantes, centr醤dose en matem醫icas e invenci髇. Los rasgos comunes resultantes de este enfoque son curioso? y quisquilloso/a?.;;;;;;;;;x
focus_ch_faith;信仰;Religion;Glaube;;Fe;;;;;;;;;x
focus_ch_faith_title;信仰;Religion;Glaube;;Fe;;;;;;;;;x
focus_ch_faith_desc; [This.GetTitledFirstName] 由祭司教导, 专注于 [This.Educator.Religion.GetName]? 信仰与宗教学习. 此重心通常的特质结果是 狂信者?。;[This.GetTitledFirstName] re鏾it son 閐ucation de pr阾res, avec un accent mis sur l'閠ude de la religion [This.Educator.Religion.GetName]?. En d閏oule un caract鑢e idol鈚re?.;[This.GetTitledFirstName] wird von Priestern in den Dingen des Glaubens und der Religion unterrichtet. Die bei diesem Fokus zu erwartenden Eigenschaft ist Manipulierbar?.;;[This.GetTitledFirstName] est?bajo la tutela de sacerdotes, cendr醤dose en la fe [This.Educator.Religion.GetName]? y ense馻nza religiosa. El rasgo com鷑 resultante de este enfoque es Adorador?.;;;;;;;;;x
focus_ch_struggle;竞争;Conflit;Kampf;;Lucha;;;;;;;;;x
focus_ch_struggle_title;竞争;Conflit;Kampf;;Lucha;;;;;;;;;x
focus_ch_struggle_desc;[This.GetTitledFirstName] 受到非常宽松的教导, 多半是被大人放在一边不管，用[This.GetHerHis]本事与其他孩子竞争. 此重心通常的特质结果是 粗暴?和 任性?。;[This.GetTitledFirstName] ne re鏾it que peu d'閐ucation, devant trouver sa propre voie en comp閠ition avec les autres enfants. En d閏oule un caract鑢e chahuteur? et opini鈚re?.;[This.GetTitledFirstName] bleibt ohne erkl鋜ten Lehrmeister und soll sich im Wettkampf mit anderen Heranwachsenden auf die eigene St鋜ke besinnen. Die bei diesem Fokus zu erwartenden Eigenschaften sind Rauflustig? und Eigenwillig?.;;[This.GetTitledFirstName] est?bajo una tutela muy suelta, pr醕ticamente dejado a [This.GetHerHis] propio aire, compitiendo con otros ni駉s. Los rasgos comunes resultantes de este enfoque son Ruidoso? y Obstinado?.;;;;;;;;;x
focus_ch_heritage;传承;H閞itage;Tradition;;Patrimonio;;;;;;;;;x
focus_ch_heritage_title;传承;H閞itage;Tradition;;Patrimonio;;;;;;;;;x
focus_ch_heritage_desc;[This.GetTitledFirstName] 由许多不同的廷臣与家庭成员教导, 专注于同化进 [This.Educator.Culture.GetName]? 文化与 [This.Educator.Religion.GetName]? 信仰. 这个重心没有特定的特质.;[This.GetTitledFirstName] re鏾it son 閐ucation de divers courtisans et membres de sa famille, avec un accent mis sur l'assimilation de la culture [This.Educator.Culture.GetName]? et de la religion [This.Educator.Religion.GetName]?. Aucun trait particulier n'est associ??cet int閞阾.;[This.GetTitledFirstName] wird von verschiedenen H鰂lingen und Familienmitgliedern die [This.Educator.Culture.GetName]? Kultur und der [This.Educator.Religion.GetName]? Glaube n鋒ergebracht. Mit diesem Fokus stehen keine besonderen Eigenschaften in Verbindung.;;[This.GetTitledFirstName] est?educado por varios cortesanos y miembros de la familia, centr醤dose en la asimilaci髇 de la cultura de [This.Educator.Culture.GetName]? y la fe de [This.Educator.Religion.GetName]? No hay rasgos espec韋icos asociados con este enfoque.;;;;;;;;;x
focus_ed_diplomacy;外交;Diplomatie;Diplomatie;;Diplomacia;;;;;;;;;x
focus_ed_diplomacy_title;外交教育;蒬ucation ?la diplomatie;Diplomatische Ausbildung;;Educaci髇 diplom醫ica;;;;;;;;;x
focus_ed_diplomacy_desc;[This.GetTitledFirstName] 专注于 [This.GetHerHis]外交与政治手腕上的学习.\n亲切? 与 好奇? 的孩子会在这种教育上做的更好, 而 任性? 与 挑剔? 的孩子会受到阻碍.;[This.GetTitledFirstName] concentre ses 閠udes sur la diplomatie et la politique.\nLes enfants tendres? et curieux? s'en sortiront mieux avec cette 閐ucation, alors que les enfants opini鈚res? et pointilleux? 閜rouveront des difficult閟.;[This.GetTitledFirstName] konzentriert sich auf Diplomatie und staatsm鋘nische F鋒igkeiten.\nHerzliche? und neugierige? Kinder haben es dabei leicht, w鋒rend eigenwillige? und pingelige? Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios sobre las formas de la diplomacia y habilidad pol韙ica.\nA los ni駉s \nafectuosos? y Curiosos? les ir?mejor con esta educaci髇, mientras que los ni駉s Obstinados y ? Quisquilloso? encontrar醤 problemas.;;;;;;;;;x
focus_ed_martial;军事;Martialit?Kriegskunst;;Marcial;;;;;;;;;x
focus_ed_martial_title;军事教育;蒬ucation martiale;Ausbildung in der Kunst des Krieges;;Educaci髇 Marcial;;;;;;;;;x
focus_ed_martial_desc;[This.GetTitledFirstName] 专注于 [This.GetHerHis] 军事战略与战争之道上的学习.\n粗暴? 与 任性?的孩子会在这种教育上做的更好, 而 怯懦?的孩子与 狂信者? 会受到阻碍.;[This.GetTitledFirstName] concentre ses 閠udes sur la strat間ie militaire et la guerre.\nLes enfants chahuteurs? et opini鈚res? s'en sortiront mieux avec cette 閐ucation, alors que les enfants timides? et idol鈚res? 閜rouveront des difficult閟.;[This.GetTitledFirstName] konzentriert sich auf Milit鋜strategie und die Kriegf黨rung.\nRauflustige? und eigenwillige? Kinder haben es dabei leicht, w鋒rend zaghafte? und manipulierbare? Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios sobre las de estrategia militar y guerra.\nA los ni駉s Ruidosos? y Obstinados? Les ir?mejor con esta educaci髇, mientras que los ni駉s Timidos? y Adoradores? encontrar醤 problemas.;;;;;;;;;x
focus_ed_stewardship;财政;Intendance;Verwaltung;;Administraci髇;;;;;;;;;x
focus_ed_stewardship_desc;[This.GetTitledFirstName] 专注 [This.GetHerHis] 簿记与行政管理学习.\n沉思? 与 尽责? 的孩子会在这种教育上做的更好, 而 懒惰? 与 骄傲? 的孩子会受到阻碍.;[This.GetTitledFirstName] concentre ses 閠udes sur la comptabilit?et l'administration.\nLes enfants songeurs? et consciencieux? s'en sortiront mieux avec cette 閐ucation, alors que les enfants veules? et hautains? 閜rouveront des difficult閟.;[This.GetTitledFirstName] konzentriert sich auf Buchhaltung und Verwaltung.\nGr黚lerische? und gewissenhafte? Kinder haben es dabei leicht, w鋒rend tr鋑e? und 黚erhebliche? Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios en contabilidad y administraci髇.\n\nA los ni駉s pensativos? y concienzudos? les ir?mejor con esta educaci髇, mientras que los ni駉s Indolentes? y altaneros? encontrar醤 problemas.;;;;;;;;;x
focus_ed_stewardship_title;财政教育;蒬ucation ?l'intendance;Ausbildung in der Kunst der Verwaltung;;Educaci髇 de la administraci髇;;;;;;;;;x
focus_ed_intrigue;密谋;Intrigue;Intrige;;Intriga;;;;;;;;;x
focus_ed_intrigue_title;密谋教育;蒬ucation aux intrigues;Ausbildung in der Kunst der Intrige;;Educaci髇 de intriga;;;;;;;;;x
focus_ed_intrigue_desc;[This.GetTitledFirstName] 专注于 [This.GetHerHis] 密谋与阴影中的演技学习.\n玩乐? 与 挑剔? 的孩子会在这种教育上表现得更好, 而 粗暴? 与 亲切? 的孩子会受到阻碍.;[This.GetTitledFirstName] concentre ses 閠udes sur les intrigues et l'art de man渦vrer dans les ombres.\nLes enfants espi鑗les? et pointilleux? s'en sortiront mieux avec cette 閐ucation, alors que les enfants chahuteurs? et tendres? 閜rouveront des difficult閟.;[This.GetTitledFirstName] konzentriert sich auf Intrige und die Sph鋜e des Verborgenen.\nVerspielte? und pingelige? Kinder haben es dabei leicht, w鋒rend rauflustige? und herzliche? Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios en las formas de intriga y actuar en las sombras.\nA los ni駉s juguetones? y quisquillosos? les ir?mejor con esta educaci髇, mientras que los ni駉s Ruidosos? y afectuosos? encontrar醤 problemas.;;;;;;;;;x
focus_ed_learning;学问;蓃udition;Bildung;;Conocimiento;;;;;;;;;x
focus_ed_learning_title;学问教育;蒬ucation ?l'閞udition;Bildungsorientierte Ausbildung;;Educaci髇 de conocimiento;;;;;;;;;x
focus_ed_learning_desc;[This.GetTitledFirstName] 专注于 [This.GetHerHis] 学问、哲学与宗教上的学习.\n怯懦? 的孩子与 狂信者? 会在这种教育上表现得更好, 而 沉思? 与 幽默? 的孩子会受到阻碍.;[This.GetTitledFirstName] concentre ses 閠udes sur la connaissance, la philosophie et la religion.\nLes enfants timides? et idol鈚res? s'en sortiront mieux avec cette 閐ucation, alors que les enfants songeurs? et espi鑗les? 閜rouveront des difficult閟.;[This.GetTitledFirstName] konzentriert sich auf Philosophie, Religion und Bildung.\nZaghafte? und manipulierbare? Kinder haben es dabei leicht, w鋒rend gr黚lerische? und verspielte? Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios en aprender filosof韆 y religi髇.\nLos ni駉s\nTimidos?y Adoradores les ir?mejor con esta educaci髇, mientras que los ni駉s Melanc髄icos? y Juguetonesn? encontrar醤 problemas.;;;;;;;;;x
INSULT_USELESS;废物;minable;nutzlos;;in鷗il;;;;;;;;;x
INSULT_SNEAK;告密者;de tra顃re;schleichen;;sopl髇/ona;;;;;;;;;x
silence_is_golden;沉默是金;Le silence est d'or.;Schweigen ist Gold;;En boca cerrada no entran moscas;;;;;;;;;x
silence_is_golden_desc;这个角色明智地选择了保持沉默。;Ce personnage a intelligemment choisi de rester discret.;Dieser Charakter zieht es klugerweise vor, zu schweigen.;;Este personaje sabiamente ha decidido callarse.;;;;;;;;;x
EVTDESCA_ZE_12000;我无意中发现 [haughty_events_char_1.GetTitledFirstNameWithNick] 在走廊里与一名庶民仆人亲吻.;J'ai crois?[haughty_events_char_1.GetTitledFirstNameWithNick] en train d'embrasser l'un des serviteurs dans les couloirs.;Ich habe gesehen, wie [haughty_events_char_1.GetTitledFirstNameWithNick] im Gang einen Dienstboten k黶ste.;;Me he encontrado a [haughty_events_char_1.GetTitledFirstNameWithNick] besando a un sirviente en un pasillo.;;;;;;;;;x
EVTOPTA_ZE_12000;这是不合适的, 我应该告诉 [haughty_events_char_1.GetHerHim]！;C'est inappropri? et je compte bien lui dire?;Das ist ungeh鰎ig, und das werde ich ihm/ihr sagen!;;s inapropiado, y se [haughty_events_char_1.GetHerHim] dir?;;;;;;;;;x
EVTOPTB_ZE_12000;这是我们的秘密,对吗？;C'est notre petit secret, hein?;Das ist unser Geheimnis, in Ordnung?;;Este es nuestro secreto, 縱erdad?;;;;;;;;;x
EVTDESCB_ZE_12000;穿过院子时, 我看见 [haughty_events_char_1.GetTitledFirstName] 愤怒地用一根沉重的棍子在打狗.;En traversant la cour, j'ai aper鐄 [haughty_events_char_1.GetTitledFirstName] en train de frapper violemment un chien ?coups de b鈚on.;Als ich 黚er den Hof gehe, sehe ich, wie [haughty_events_char_1.GetTitledFirstName] 鋜gerlich mit einem Kn黳pel auf einen Hund einschl鋑t.;;Caminando por el patio, veo a [haughty_events_char_1.GetTitledFirstName] pegando furiosamente a un perro con un palo pesado.;;;;;;;;;x
EVTDESCC_ZE_12000;在外面散步时, 我在路上偶遇了一些平民. 他们其中一个大声叫唤, 说我今天看起来很可爱.;En me promenant ?l'ext閞ieur, je croise des manants sur la route. L'un d'eux me fait remarquer ma beaut?en cette belle journ閑.;Beim Spaziergang begegnen mir ein paar Leute aus dem Volk. Einer von ihnen ruft mir zu, dass ich heute entz點kend aussehe.;;Dando un paseo por fuera, me encuentro a algunos plebeyos por el camino. Uno de ellos me llama, diciendo que hoy tengo un bonito aspecto.;;;;;;;;;x
EVTOPTE_ZE_12000;我会看到他因这么跟我说话受到惩罚！;Je m'assurerai qu'il soit puni pour s'阾re adress??moi de la sorte?;Ich sorge daf黵, dass er f黵 diese freche Bemerkung bestraft wird!;;ar?que le castiguen por dirigirse a m?de ese modo!;;;;;;;;;x
EVTOPTF_ZE_12000;我会优雅的点下头并接受恭维.;J'opinerai du chef et accepterai le compliment gracieusement.;Ich nicke und nehme das Kompliment w黵devoll an.;;Asentir?y aceptar?el elogio graciosamente.;;;;;;;;;x
EVTOPTE_ZE_12000_TOOLTIP1;农民很生气;Les paysans se mettent en col鑢e.;Die Bauern werden b鰏e.;;Los campesinos se enfadan.;;;;;;;;;x
EVTOPTE_ZE_12000_TOOLTIP2;农民屈服了;Les paysans restent silencieux.;Die Bauern werden unterworfen.;;Los campesinos son sometidos.;;;;;;;;;x
EVTOPTC_ZE_12000;我会捡起一根棍子来打他！;Je vais plut魌 me saisir d'un b鈚on et le frapper?;Ich nehme mir selbst einen Kn黳pel und schlage auf den 躡elt鋞er ein.;;oger?un palo y le pegar?a 閘!;;;;;;;;;x
EVTOPTD_ZE_12000;我想我会加入！;Je pense me joindre ?eux?;Da mache ich doch sofort mit!;;reo que me unir?a 閘!;;;;;;;;;x
EVTDESCA_ZE_12002;当我正与诱人的厨师度过一个愉快的时刻时, 那讨厌的孩子 [From.GetFirstName] 碰见了我们并立刻以道德指责我！;Alors que je passe un bon moment en cuisine en charmante compagnie, l'incorrigible [From.GetFirstName] vient vers nous et commence ?me faire la morale?;Gerade als es bei meinem Techtelmechtel mit dem Koch interessant wird, kommt dieses verw黱schte Kind, [From.GetFirstName], zu uns und beginnt, mir einen Vortrag 黚er Moral zu halten.;;Cuando estoy pasando un momento agradable a solas con el cocinero atractivo, el desgraciado de [From.GetFirstName] nos encuentra y al punto comienza a reprenderme sobre la moral.;;;;;;;;;x
EVTDESCB_ZE_12002;当我正与诱人的厨师度过一个愉快的时刻时, 年轻的 [From.GetFirstName] 碰见了我们. 然而, [From.GetSheHe] 只是对我们眨了眨眼就溜走了.;Alors que je passe un bon moment en cuisine en charmante compagnie, [From.GetFirstName] vient vers nous. Cependant, [From.GetSheHe] se contente de me faire un clin d'渋l et poursuit son chemin.;Gerade als es bei meinem Techtelmechtel mit dem Koch interessant wird, platzt Klein [From.GetFirstName] herein und zwinkert mir vielsagend zu, bevor [From.GetSheHe] lautlos verschwindet.;;Mientras paso un momento agradable a solas con el cocinero atractivo, el/a joven [From.GetFirstName] nos descubre. Sin embargo, [From.GetSheHe] s髄o nos gui馻 un ojo en complicidad y se va.;;;;;;;;;x
EVTOPTA_ZE_12002;我会抓住这个小鬼并让 [From.GetHerHim] 好看的！;Je vais l'attraper et lui flanquer une bonne correction?;Ich werde das Balg am Schlafittchen packen und ihm den Hintern versohlen!;;garrar?a ese mocoso/a y [From.GetHerHim] dar?una buena tunda!;;;;;;;;;x
EVTOPTB_ZE_12002;无所谓.;莂 n'a pas d'importance.;Es spielt keine Rolle.;;No importa.;;;;;;;;;x
;#EVTOPTC_ZE_12002;I should bring [FRom.GetHerHim] soime candy later.;;Ich sollte ihm/ihr sp?ter ein paar Sü?igkeiten schenken.;;[FRom.GetHerHim] llevaré dulces más tarde.;;;;;;;;;x;
EVTDESCA_ZE_12004;[From.GetTitledFirstName] 没有诚恳地接受我的指责. [From.GetSheHeCap] 抓住我并狠揍了一顿.;[From.GetTitledFirstName] n'a pas appr閏i?que je lui fasse la morale. [From.GetSheHeCap] m'a flanqu?une sacr閑 racl閑.;[From.GetTitledFirstName] hat mein Tadel nicht gepasst. [From.GetSheHeCap] hat mich erwischt und mir eine ordentliche Tracht Pr黦el verpasst.;;[From.GetTitledFirstName] no se tom?bien mi reprimenda. [From.GetSheHeCap] me cogi?y me dio una buena paliza.;;;;;;;;;x
EVTOPTA_ZE_12004;那个 [GetRootFromInsult]！我会告诉所有人！;L'esp鑓e [GetRootFromInsultNounAdj]? Je vais le dire ?tout le monde?;[GetRootFromInsult]! Dann werde ich eben allen davon erz鋒len!;;er?[GetRootFromInsult]! e lo contar?a todo el mundo!;;;;;;;;;x
EVTOPTB_ZE_12004;我会躲好不让 [From.GetSheHe] 再找到我.;Je vais me cacher pour qu'[From.GetSheHe] ne me trouve pas.;Ich muss mich besser verstecken, damit [From.GetSheHe] mich nicht mehr findet.;;Me esconder?para que [From.GetSheHe] no me vuelva a encontrar.;;;;;;;;;x
EVTDESCA_ZE_12006;[From.GetFirstName], 那个 [GetRootFromInsult], 在周围向所有人散播关于我的谎言, 作为我给予[From.GetHerHim]应得的敲打的幼稚报复.;[From.GetFirstName], l'esp鑓e [GetRootFromInsultNounAdj] a racont?des mensonges ?tout le monde me concernant pour se venger de la correction re鐄e.;[GetRootFromInsult]! [From.GetFirstName] erz鋒lte 黚erall L黦en 黚er mich. Das war die kindische Rache f黵 die Tracht Pr黦el, die ich ihm/ihr verpasst habe.;;[From.GetFirstName], ese [GetRootFromInsult], me rode?y le cont?a todo el mundo mentiras sobre m? como venganza infantil por la merecida paliza que [From.GetHerHim] di. ;;;;;;;;;x
EVTDESCB_ZE_12006;当我转过身, 狗咬了我的脚踝，而[From.GetFirstName] 成功地逃脱，但潜伏在周围，满怀怨恨地注视着我.;En me retournant, le chien m'a mordu les chevilles, et [From.GetFirstName] a r閡ssi ?s'enfuir, r鬱ant depuis dans le coin en me lan鏰nt des regards noirs.;Als ich mich umdrehte, biss mir der Hund ins Bein und [From.GetFirstName] konnte entwischen. Seitdem werde ich von dem Balg hasserf黮lt beobachtet.;;Al girarme, el perro me mordi?en el tobillo y [From.GetFirstName] consigui?escapar, pero se ha estado acech醤dome desde entonces y mir醤dome con odio.;;;;;;;;;x
EVTDESCC_ZE_12002;当我在院子里打一条疯狗时, 那个小坏蛋 [From.GetFirstName] 跑过来并开始用棍子打我.;Alors que je frappe un chien enrag?dans la cour, [From.GetFirstName] accourt et commence ?me frapper ?coups de b鈚on.;Als ich auf dem Hof einen tollw黷igen K鰐er verpr黦le, kommt dieses G鰎 [From.GetFirstName] und f鋘gt an, mit einem Stecken auf mich einzuschlagen.;;Mientras pegaba a un perro rabioso en el patio, el peque駉 bellaco de [From.GetFirstName] se acerca y empieza a pegarme con un palo. ;;;;;;;;;x
EVTDESCD_ZE_12002;当我在院子里打一条疯狗时, 小 [From.GetFirstName] 跑过来加入到殴打中.;Alors que je frappe un chien enrag?dans la cour, [From.GetFirstName] accourt et commence ?me frapper ?coups de b鈚on.;Als ich auf dem Hof einen tollw黷igen K鰐er verpr黦le, kommt Klein [From.GetFirstName] und hilft mit.;;Mientras pegaba a un perro rabioso en el patio, el peque駉 [From.GetFirstName] se acerca y se une a la paliza.;;;;;;;;;x
EVTOPTD_ZE_12002;我会给[GetRootFromInsult]好看！;Je vais lui montrer, esp鑓e [GetRootFromInsultNounAdj]?;[GetRootFromInsult]! Ich werde mich daf黵 r鋍hen!;;e va enterar ese [GetRootFromInsult]!;;;;;;;;;x
