;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESC61212;[Root.Regent.GetFirstName] ÓÃ[Root.Regent.GetHerHis]Ø°Ê×ºİºİµØ´Ì¹ıÀ´, Ç§¾ûÒ»·¢Ö®¼Ê, ÄãÏÕĞ©Ã»ÓĞ¶ã¿ª. ÎÀ±øÑ¸ËÙ³å½øÀ´, ÖÆ·şÁËÄãµÄÉãÕşÕß.  [Root.Regent.GetSheHe] ¼âÉù½Ğ×Å, 'ÄãÔõÃ´»¹²»ËÀ?!';[Root.Regent.GetFirstName] fend l'air devant [Root.Regent.GetHerselfHimself] avec sa dague vous ratant d'un cheveux alors que vous esquivez, paniqué[Root.GetNoneE]. Les gardes se ruent dans la salle et trainent hors de votre vue votre régent[Root.Regent.GetNoneE] alors qu'[Root.Regent.GetSheHe] hurle : « Pourquoi ne voulez-vous pas mourir ?! »;"[Root.Regent.GetFirstName] wirbelt [Root.Regent.GetHerHis] Dolch wild durch die Gegend und verfehlt Euch um Haaresbreite während Ihr panisch versucht ihm zu entwischen. Die Wachen stürmen herein und zerren Euren ""Wieso wollt Ihr nicht einfach sterben?!"" schreienden Regenten davon.";;"[Root.Regent.GetFirstName] acuchilla violentamente al aire con su daga, fallando a darte por los pelos de un calvo mientras huyes presa del pánico. Los guardias entran corriendo y le reducen mientras grita ""¡¿Por qué no te mueres?!""";;;;;;;;;x
EVTTOOLTIP61213;±»¹ØÈëºÚÀÎ.;Jeté dans une cellule sombre.;In eine dunkle Zelle geworfen worden.;;Encerrádlo en la mazmorra más oscura.;;;;;;;;;x
YEARLY_INCOME_LESS_THAN;ÄêÊÕÈëĞ¡ÓÚ ;Revenus annuels inférieurs à;Jahresinkommen unter;;Ingresos anual inferiores a ;Entrate annuale inferiori a ;;;;;;;;x
YEARLY_INCOME_GREATER_THAN;ÄêÊÕÈë¶àÓÚ ;Revenus annuels supérieurs à;Jahresinkommen über;;Ingresos anual superiores a ;Entrate annuale superiori a ;;;;;;;;x
DE_JURE_LIEGE_CHANGED_NONE_SETUP;·Ö·âÍ·ÏÎ¸Ä±ä·¨ÀíÁìÖ÷;Le titre foncier change de seigneur de jure;Gelandeter Titel verändert de jure Lehnsherren;;El título nobiliario cambia señor de facto;;;;;;;;;x
DE_JURE_LIEGE_CHANGED_NONE_LOG;¾­¹ı§Y$NEW_LIEGE$§!§Y$YEARS$§!ÄêµÄÍ³ÖÎ£¬ §Y$TITLE$§!ÏÖÔÚÒÑ³ÉÎªÆä·¨ÀíÁìÍÁ.;Après §Y$YEARS$§! années passées sous le joug de §Y$NEW_LIEGE$§!, le §Y$TITLE$§! est désormais considéré comme faisant partie de celui-ci.;Nach §Y$YEARS$§! Jahren unter dem §Y$NEW_LIEGE$§!, der §Y$TITLE$§! wird nun als teil davon.;;Después de §Y$YEARS$§! años bajo la §Y$NEW_LIEGE$§!, el §Y$TITLE$§! ahora se considera parte de ella.;;;;;;;;;x
TITLE_CANNOT_USURP_REL_HEADS;²»ÄÜ´Û¶á×Ú½ÌÁìĞäÍ·ÏÎ;Ne peut usurper les titres chefs religieux;Kann nicht an sich zu reißen religiöses Oberhaupt Titel;;No se puede usurpar los principales títulos religiosos;;;;;;;;;x
INTERACTION_REQUIRES_NOT_IN_REVOLT;§Y[Actor.GetTitledFirstName]§! ²»ÔÚÅÑÂÒ;§Y[Actor.GetTitledFirstName]§! n'est pas en révolte;§Y[Actor.GetTitledFirstName]§! ist nicht in der Revolte;;§Y[Actor.GetTitledFirstName]§! no está en la revuelta;;;;;;;;;x
INTERACTION_REQUIRES_TP_IS_NOT_LIEGE;§Y[Actor.GetTitledFirstName]§! ²»ÊÇ §Y[ThirdPartyCharacter.GetTitledFirstName]§! µÄ·â³¼;§Y[Actor.GetTitledFirstName]§! n'est pas un vassal de §Y[ThirdPartyCharacter.GetTitledFirstName]§!;§Y[Actor.GetTitledFirstName]§! ist nicht ein Vasall von §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;§Y[Actor.GetTitledFirstName]§! no es un vasallo de §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;;;;;;;;x
BROKEN_SAVEGAME;§R´æµµËğ»µ§!;§RSAUVEGARDE CORROMPUE§!;§RGEBROCHENEN SPIELSTANDT§!;;§RPARTIDA GUARDADA ROTO§!;;;;;;;;;x
