;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
IS_NOT_LOVER_OF;不是$WHO$?的情人;N'est pas l'amant(e) de $WHO$?;Ist KEIN Liebhaber von $WHO$?;;No es un amante de $WHO$?;;;;;;;;;x
HAS_OVERSEAS_HOLDINGS;拥有海外领土;Poss鑔e des propri閠閟 outre-mer;Hat Besitzt黰er im Ausland;; Tiene propiedades en el extranjero;;;;;;;;;x
OUT_OF_SUPPLIES;该单位缺乏补给已经有;Cette unit?n'est pas ravitaill閑 depuis;Diese Einheit hat keinen Nachschub erhalten, seit;; Esta unidad ha estado sin suministros durante;;;;;;;;;x
MATCHMAKING_SERVER_HOST_TITLE;主要设置;Param鑤res d'h閎ergement;Einstellungen f黵 die Spielerstellung;; Configuraci髇 de juego del hu閟ped;;;;;;;;;x
SAMRAT_CHAKRAVARTIN;转轮圣王;Samrat Chakravartin;Samrat Chakravartin;; Samrat Chakravartin;;;;;;;;;x
SAMRAJNI_CHAKRAVARTIN;转轮圣后;Samrajni Chakravartin;Samrajni Chakravartin;; Samrajni Chakravartin;;;;;;;;;x
CHARVIEW_RELATIONS;人际关系;Relations;Beziehung;; Relaciones;;;;;;;;;x
ADD_FRIEND_EFFECT;$WHO$和$OTHER$成为了亲密的朋友。\n;Une forte amiti?d閎ute entre $WHO$ et $OTHER$.\n;$WHO$ und $OTHER$ sind nun enge Freunde.\n;; $WHO$ y $OTHER$ se convierten en amigos 韓timos.\n;;;;;;;;;x
REMOVE_FRIEND_EFFECT;$WHO$和$OTHER$的友谊破裂了。\n;L'amiti?entre $WHO$ et $OTHER$ n'est plus.\n;Die Freundschaft zwischen $WHO$ und $OTHER$ ist beendet.\n;; La amistad entre  $WHO$ y $OTHER$ termina.\n;;;;;;;;;x
ADD_RIVAL_EFFECT;$WHO$和$OTHER$变成了仇敌。\n;Une intense rivalit?s'installe entre $WHO$ et $OTHER$.\n;$WHO$ und $OTHER$ sind nun Erzrivalen.\n;; $WHO$ y $OTHER$ se convierten en rivales.\n;;;;;;;;;x
REMOVE_RIVAL_EFFECT;$WHO$和$OTHER$冰释前嫌。\n;La rivalit?entre $WHO$ et $OTHER$ n'est plus.\n;Die Rivalit鋞 zwischen $WHO$ und $OTHER$ ist beendet.\n;;La rivalidad entre $WHO$ y $OTHER$ termina.\n;;;;;;;;;x
AIREASON_GLAD_TO_TAKE_HOSTAGE;倾向于扣留人质;Ravi de prendre en otage;Froh 黚er Geiselnahme;; Encantado de tomar reh閚;;;;;;;;;x
convert_to_local_culture;转变为本地文化（[Root.Capital.Culture.GetName]）;Adopter la culture locale ([Root.Capital.Culture.GetName]);Konvertiert zur lokalen Kultur;; Convertir a la cultura local ([Root.Capital.Culture.GetName]);;;;;;;;;x
convert_to_local_culture_desc;我发觉自己总是以[Root.Capital.Culture.GetName]的语言进行思考. 我统治着[Root.Capital.GetName]的[Root.Capital.Culture.GetName],但是我是否真的是他们当中的一员呢？;Je me surprends ?penser en langue [Root.Capital.Culture.GetName] constamment. Je r鑗ne sur le peuple de culture [Root.Capital.Culture.GetName] de [Root.Capital.GetName], mais suis-je r閑llement l'un des leurs?;Ich ertappe mich st鋘dig dabei, meine Gedanken in der [Root.Capital.Culture.GetName]en Sprache zu formulieren. Ich regiere die [Root.Capital.Culture.GetName]en Menschen aus [Root.Capital.GetName], aber bin ich wahrhaftig einer von ihnen?;; Me sorprendo a m?mismo pensando en el idioma [Root.Capital.Culture.GetName] todo el tiempo. Yo gobierno a los [Root.Capital.Culture.GetName] gente de [Root.Capital.GetName], pero en realidad, soy uno de ellos? ;;;;;;;;;x
convert_to_local_religion;转变为本地宗教（[Root.Capital.Religion.GetName]）;Adopter la religion locale ([Root.Capital.Religion.GetName]);Konvertiert zur lokalen Religion ([Root.Capital.Religion.GetName]);; Convertir a la religi髇 local ([Root.Capital.Religion.GetName];;;;;;;;;x
convert_to_local_religion_desc;我被[Root.Capital.GetName]?里的深切并狂热信奉着[Root.Capital.Religion.GetName]?的人民打动了，这件事诱使着我转变了信仰。为了[Root.Capital.Religion.GetRandomGodName]?的荣耀！;Les gens de religion [Root.Capital.Religion.GetName]? de [Root.Capital.GetName]? m'impressionnent par la profondeur et la passion avec laquelle ils vivent leur foi. J'envisage de me convertir et de faire mienne la gloire de [Root.Capital.Religion.GetRandomGodName]?.;Die [Root.Capital.Religion.GetName]en? Menschen in [Root.Capital.GetName]? beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, zu konvertieren und [Root.Capital.Religion.GetRandomGodName]? zu preisen...;;La gente [Root.Capital.Religion.GetName]? de [Root.Capital.GetName]? me impresiona con la profundidad y la pasi髇 de su fe. Estoy tentado a convertirme y abrazar la gloria de [Root.Capital.Religion.GetRandomGodName]?...;;;;;;;;;x
e_india;天竺;Inde;Indien;; India;;;;;;;;;x
EVTDESC_RoI_403;恒河是印度教神话当中所有神圣水域的具现,它被拟人化为恒河女神.鉴于你住的地方距离这条伟大的河流相当近,你的传戒师建议你前去拜访它.;Le Gange incarne toutes les eaux sacr閑s dans la mythologie hindoue et est personnifi?par la d閑sse Ganga. 蓆ant donn?que vous habitez proche de ce grand fleuve, Upadhyaya vous sugg鑢e une visite.;Ganges ist die Verk鰎perung aller heiligen Gew鋝ser in der Hindu-Mythologie und wird durch die G鰐tin Ganga personifiziert. Da Ihr ganz in der N鋒e dieses gro遝n Flusses lebt, r鋞 Euer Upadhyaya Euch zu einem Besuch.;; Ganges es la encarnaci髇 de todas las aguas sagradas de la mitolog韆 hind?y se personifica en la diosa Ganga. Como vives bastante cerca de este gran r韔, tu Upadhyaya sugiere que hagas una visita.;;;;;;;;;x
EVTOPTA_RoI_403;我会去的.;J'irai.;Ich werde ihm einen Besuch abstatten.;; Ir?;;;;;;;;;x
EVTOPTB_RoI_403;我没时间.;Je n'ai pas le temps.;Ich habe keine Zeit.;; No tengo tiempo.;;;;;;;;;x
EVTDESC_RoI_404;你到达了恒河河岸.避让着途中挤的满满的普通朝圣者们,你进入了岸边的一座庙宇.圣水不但使你的心灵得到了净化,还加强了你同神之间的联系.;Vous arrivez sur les bords du Gange. Vous p閚閠rez dans le temple construit sur la rive, prenant soin d'関iter la foule des p鑜erins. Les eaux sacr閑s vous permettront un rituel de purification et renforceront votre relation avec le divin.;Ihr seid am Ufer des Ganges angekommen. Ihr betretet einen Tempel am Flussufer und vermeidet das Gedr鋘ge der gew鰄nlichen Pilger. Das heilige Wasser bietet die M鰃lichkeit eines Reinigungsrituals und wird Eure Verbindung zum G鰐tlichen st鋜ken.;; Has llegado a las orillas del Ganges. Entras en un templo situado a las orillas del r韔, evitando la multitud de los comunes peregrinos. Las aguas sagradas ofrecen un ritual de purificaci髇 y fortalecer?tu v韓culo con lo divino.;;;;;;;;;x
EVTOPTA_RoI_404;我步入恒河水中，女神洗净了我的罪孽。;Je descends dans les eaux et le Gange me lave de mes p閏h閟.;Ich steige ins Wasser und der Ganges w鋝cht meine S黱den fort.;; Desciendo en el agua y Ganga lava mis pecados.;;;;;;;;;x
EVTDESC_RoI_3150;你的宫廷上师话不多.他不但提供着古怪的建议,还在好几个场合中被抓到喝酒.你开始怀疑他是否是一位真正的上师.;Le gourou de votre cour n'es pas tr鑣 bavard. Il vous donne d'閠ranges conseils, et on l'a plusieurs fois surpris en train de boire. Vous commencez ?douter qu'il soit un v閞itable gourou.;Euer Hofguru redet nicht viel. Er gibt seltsame Ratschl鋑e und wurde verschiedene Male dabei ertappt, wie er Alkohol zu sich genommen hat. Ihr zweifelt langsam daran, ob er wirklich ein echter Guru ist.;; Tu gur?de la corte no habla mucho. Da consejos extra駉 y adem醩 ha sido pillado bebiendo en varias ocasiones. Est醩 empezando a dudar de que 閘 sea un gur?real.;;;;;;;;;x
EVTOPTA_RoI_3150;我必须调查这件事.;Je dois mener une enqu阾e.;Ich muss der Sache auf den Grund gehen.;; Tengo que investigar esto.;;;;;;;;;x
EVTOPTB_RoI_3150;谁在乎这个.;Peu importe;Wen k黰mert's?;; 繟 qui閚 le importa?;;;;;;;;;x
EVTDESC_RoI_3151;你已经监视你的宫廷上师好几个星期了.他私下里抽烟喝酒,还一直靠伪装溜出去跑到快活屋,用着大家捐给他的钱打牌.;Vous avez fait surveiller votre gourou pendant plusieurs semaines. Il boit en secret et fume des herbes. Il s'閏lipse discr鑤ement pour visiter des lieux de plaisir incognito. Il d閜ense aux cartes les dons d'argent qu'il re鏾it.;Ihr habt Euren Hofguru einige Wochen lang beobachten lassen. Er trinkt heimlich und raucht Kr鋟ter, er schleicht sich verkleidet aus dem Haus, um Freudenh鋟ser zu besuchen und gibt das Geld, das er durch Spenden einnimmt, beim Kartenspiel aus.;; Has tenido a tu gur?de la corte bajo observaci髇 durante varias semanas. 蒷 bebe y fuma hierba en secreto, va furtivamente a casas de placer disfrazado, y gasta el dinero que recibe de donaciones jugando a las cartas.;;;;;;;;;x
EVTOPTA_RoI_3151;我必须跟他摊牌.;Je vais lui parler face ?face.;Ich muss ihn darauf ansprechen.;; Tengo que enfrentarme a 閘.;;;;;;;;;x
EVTOPTB_RoI_3151;事实上,那正是我想要的上师.;?la r閒lexion, j'aime bien son style.;Eigentlich mag ich einen solchen Guru.;; En realidad, ese es mi tipo de gur?;;;;;;;;;x
EVTDESC_RoI_3152;当你把你的宫廷上师的所作所为摆在他面前时,心理防线已经崩溃的他乞求你的宽恕：“我坦白,我是个假的.求您放过我————我只是个想要活命的普通人哪！”;Alors que votre gourou entend vos remontrances concernant la vie qu'il m鑞e, il se d閏ompose et implore votre cl閙ence. 獼e l'avoue, je suis un imposteur. Ayez piti?de moi, je suis juste un homme du peuple qui tente de gagner sa vie.?Als Ihr den Hofguru auf seine Gewohnheiten ansprecht, bricht er zusammen und bittet um Gnade: "Ich gebe es zu, ich bin ein Hochstapler. Bitte lasst Gnade walten - ich bin nur ein einfacher Mann, der versucht seinen Lebensunterhalt zu verdienen.";; Como te enfrentas a tu gur?de la corte por sus h醔itos, 閘 se viene abajo e implora misericordia: 'Confieso que soy un impostor. Por favor, tenga piedad de m?- S髄o soy un hombre com鷑 tratando de ganarse la vida.';;;;;;;;;x
EVTOPTA_RoI_3152;把他给我关起来！;Au cachot?;In den Kerker mit dir!;;A los mazmorras contigo!;;;;;;;;;x
EVTOPTB_RoI_3152;现在离开我的宫殿,我给你浮夸的演技一个差评.;Quittez mon palais dans la seconde. Votre com閐ie est termin閑.;Entferne dich sofort aus meinem Palast. Diese Posse ist vor黚er.;; M醨chate de mi palacio ahora. Tu farsa se ha terminado.;;;;;;;;;x
EVTDESC_RoI_3100;你的宫廷宗师来觐见你: '我有要事相告, [Root.GetLordLady] [Root.GetFirstName]... 我们必须始终追求智慧并行走在人生的正道上. 身为一位高贵的统治者, 成天与杜康作伴恐怕是不合适的.' 语毕, 他深深地鞠躬, 看着你, 不再说话.;Le gourou de votre cour vient vous voir. 珷Je dois vous entretenir d'un sujet important, M[Root.GetHerHis][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'阾re un ivrogne牷. Il s'incline et vous d関isage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir m黶sen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht f黵 einen Herrscher, ein Trunkenbold zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gur?de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabidur韆 y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea un borracho.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTOPTA_RoI_3100;我应该积极进取.;Je dois am閘iorer ma conduite.;Ich werde versuchen, mich zu bessern.;; Me esforzar?para mejorar.;;;;;;;;;x
EVTOPTB_RoI_3100;让我静静.;Laisse-moi tranquille.;Lass mich in Frieden.;; D閖ame en paz.;;;;;;;;;x
EVTOPTC_RoI_3100;没人敢跟我这么说话！;Personne ne me parle ainsi?;Keiner darf so mit mir sprechen!;;Nadie me habla as?;;;;;;;;;x
EVTDESC_RoI_3101;你的宫廷宗师来觐见你: '我有要事相告, [Root.GetLordLady] [Root.GetFirstName]... 我们必须始终追求智慧并行走在人生的正道上. 身为一位高贵的统治者, 成天寻乐恐怕是不合适的.' 语毕, 他深深地鞠躬, 看着你, 不再说话.;Le gourou de votre cour vient vous voir. 珷Je dois vous entretenir d'un sujet important, M[Root.GetHerHis][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'阾re un h閐oniste牷. Il s'incline et vous d関isage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir m黶sen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht f黵 einen edlen Herrscher ein Hedonist zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gur?de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabidur韆 y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan hedonista.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3102;你的宫廷宗师来觐见你: '我有要事相告, [Root.GetLordLady] [Root.GetFirstName]... 我们必须始终追求智慧并行走在人生的正道上. 身为一位高贵的统治者, 成天和囚犯玩SM恐怕是不合适的.' 语毕, 他深深地鞠躬, 看着你, 不再说话.;Le gourou de votre cour vient vous voir. 珷Je dois vous entretenir d'un sujet important, M[Root.GetHerHis][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'阾re un empaleur牷. Il s'incline et vous d関isage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir m黶sen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht f黵 einen edlen Herrscher als Pf鋒ler bekannt zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gur?de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabidur韆 y tratar de caminar por el camino recto en la vida. No es adecuado que un noble gobernante sea conocido como un empalador. Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3103;你的宫廷宗师来觐见你: '我有要事相告, [Root.GetLordLady] [Root.GetFirstName]... 我们必须始终追求智慧并行走在人生的正道上. 身为一位高贵的统治者, 如此纵情声色恐怕是不合适的.' 语毕, 他深深地鞠躬, 看着你, 不再说话.;Le gourou de votre cour vient vous voir. 珷Je dois vous entretenir d'un sujet important, M[Root.GetHerHis][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve de luxure牷. Il s'incline et vous d関isage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir m黶sen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht f黵 einen edlen Herrscher l黶tern und unz點htig zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gur?de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabidur韆 y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan libidinoso y lujurioso.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3104;你的宫廷宗师来觐见你: '我有要事相告, [Root.GetLordLady] [Root.GetFirstName]... 我们必须始终追求智慧并行走在人生的正道上. 身为一位高贵的统治者, 如此饕餮恐怕是不合适的.' 语毕, 他深深地鞠躬, 看着你, 不再说话.;Le gourou de votre cour vient vous voir. 珷Je dois vous entretenir d'un sujet important, M[Root.GetHerHis][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve de gourmandise牷. Il s'incline et vous d関isage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir m黶sen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht f黵 einen edlen Herrscher gefr溥ig zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gur?de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabidur韆 y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea glot髇.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3105;你的宫廷宗师来觐见你: '我有要事相告, [Root.GetLordLady] [Root.GetFirstName]... 我们必须始终追求智慧并行走在人生的正道上. 身为一位高贵的统治者, 应该是金钱如粪土才是.' 语毕, 他深深地鞠躬, 看着你, 不再说话.;Le gourou de votre cour vient vous voir. 珷Je dois vous entretenir d'un sujet important, M[Root.GetHerHis][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve d'avarice牷. Il s'incline et vous d関isage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir m黶sen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht f黵 einen edlen Herrscher gierig zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gur?de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabidur韆 y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan avaro.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3106;你的宫廷宗师来觐见你: '我有要事相告, [Root.GetLordLady] [Root.GetFirstName]... 我们必须始终追求智慧并行走在人生的正道上. 身为一位高贵的统治者, 因嫉妒折损身体恐怕是不合适的.' 语毕, 他深深地鞠躬, 看着你, 不再说话.;Le gourou de votre cour vient vous voir. 珷Je dois vous entretenir d'un sujet important, M[Root.GetHerHis][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'envier les autres牷. Il s'incline et vous d関isage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir m黶sen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht f黵 einen edlen Herrscher dem Neid erlegen zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gur?de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabidur韆 y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea consumido por la envidia.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3107;你的宫廷宗师来觐见你: '我有要事相告, [Root.GetLordLady] [Root.GetFirstName]... 我们必须始终追求智慧并行走在人生的正道上. 身为一位高贵的统治者, 如此暴躁易怒恐怕是不合适的.' 语毕, 他深深地鞠躬, 看着你, 不再说话.;Le gourou de votre cour vient vous voir. 珷Je dois vous entretenir d'un sujet important, M[Root.GetHerHis][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de s'emporter constamment牷. Il s'incline et vous d関isage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir m黶sen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht f黵 einen edlen Herrscher ein zornig zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gur?de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabidur韆 y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan iracundo.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3108;你的宫廷宗师来觐见你: '我有要事相告, [Root.GetLordLady] [Root.GetFirstName]... 我们必须始终追求智慧并行走在人生的正道上. 身为一位高贵的统治者, 如此骄傲自大恐怕是不合适的.' 语毕, 他深深地鞠躬, 看着你, 不再说话.;Le gourou de votre cour vient vous voir. 珷Je dois vous entretenir d'un sujet important, M[Root.GetHerHis][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'avoir tellement d'orgueil牷. Il s'incline et vous d関isage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir m黶sen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht f黵 einen edlen Herrscher Stolz zu zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gur?de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabidur韆 y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble tenga tanto orgullo.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3109;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so arbitrary in [Root.GetHerHis] rule.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. 珷Je dois vous entretenir d'un sujet important, M[Root.GetHerHis][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve de partialit闋? Il s'incline et vous d関isage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir m黶sen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht f黵 einen edlen Herrscher willk黵lich zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gur?de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabidur韆 y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan arbitrario en [Root.GetHerHis] gobierno.' Se inclina y te mira en silencio.;;;;;;;;;x
