;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
LEDGER_SORT_DELAYED;点击后按此栏排序;Cliquez pour trier cette colonne;Zum Sortieren nach dieser Spalte hier klicken;;Clic para ordenar usando esta columna;;;;;;;;;x
EVTTOOLTIP40026;刺客雇主的身份被揭发.;sera d関oil?en tant que Commanditaire des assassins.;wird als ein Auftraggeber von Attent鋞ern entlarvt werden.;;ser?expuesto como empleador de asesinos.;;;;;;;;;x
EVTDESC40026;我们的刺客不仅被发现了, 还供出了我们是幕后主使.  如今 [From.GetBestName] 正在向 [Root.PrimaryTitle.GetFullName] 的每一个人展示我们违背对封臣的封建义务的证据.;Ils ont mis la main sur notre assassin et celui-ci a os?r関閘er que nous 閠ions derri鑢e tout cela. [From.GetBestName] prouve maintenant aux gens de [Root.PrimaryTitle.GetFullName] que nous avons bris?notre contrat f閛dal avec un vassal.;Nicht nur, dass unser Attent鋞er entlarvt wurde, er hat es auch noch fertig gebracht, uns mit hineinzuziehen, weil wir hinter dem Ganzen stehen w黵den.   Nun legt [From.GetBestName] vor jedem im [Root.PrimaryTitle.GetFullName] Zeugnis ab, dass wir unseren Lehensvertrag mit einem Vasallen gebrochen h鋞ten. ;;No solo ha descubierto a nuestro asesino, sino que ha conseguido averiguar que est醔amos detr醩 de 閘. Ahora [From.GetBestName] muestra pruebas a todos en [Root.PrimaryTitle.GetFullName] que evidencian que hemos roto nuestro contrato feudal con un vasallo.;;;;;;;;;x
EVTOPTA40026;真是个坏消息...;Cela ne me dit rien qui vaille...;Das sind schlechte Neuigkeiten ...;;Son malas noticias...;;;;;;;;;x
deceitful_martial;徒有其表的统率;Soi-disant brave;Kriegerisch erscheinend;;Aspecto Marcial;;;;;;;;;x
deceitful_stewardship;虚假的财政能力;Intendance fourbe;Den Hofverwalter vort鋟schend;;Fingir actuar en su beneficio;;;;;;;;;x
deceitful_diplomacy;有名无实的交际;Soi-disant diplomatique;Diplomatisch erscheinend;;Aspecto Diplom醫ico;;;;;;;;;x
deceitful_learning;赝劣的学识;Apprentissage fourbe;Das Lernen vort鋟schend;;Fingir Aprendizaje;;;;;;;;;x
EVTDESC3260;我并不是一个很够格的统率,有时甚至连身为一个称职的骑士应有表现都拿不出来. 幸运的是,我知道如何操纵人心...;Je ne suis pas le plus brave des souverains, parfois m阭e je semble 阾re incapable de me conduire en chevalier. Heureusement, je sais comment manipuler les gens...;Ich bin nicht der kriegerischste aller Herrscher und manchmal scheint es so, als w鋜e ich geradezu unf鋒ig, wenn es darum geht, mich wie ein Ritter zu benehmen.  Zum Gl點k verstehe ich es, Menschen zu manipulieren ...;;No soy el m醩 marcial de los gobernantes y a veces parezco incluso incompetente a la hora de comportarme como un caballero. Por suerte, se como manipular a la gente...;;;;;;;;;x
EVTOPTA3260;也就是随口一说,随口一说..;Parler pour parler et parler pour parler...;Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;;;;;;;;;x
EVTOPTB3260;就让 [Root.job_marshal.GetTitledFirstName] 去背黑锅吧.;Laisser [Root.job_marshal.GetTitledFirstName] endosser la responsabilit?;Lasst [Root.job_marshal.GetTitledFirstName] die Schuld zukommen.;;Dejar que [Root.job_marshal.GetTitledFirstName] cargue con la culpa.;;;;;;;;;x
EVTDESC3261;我已经忍受不了日复一日的处理领地的政务了. 我可以依赖别人去处理公务, 同时得让他们相信我是在忙更棘手的要务.;Je ne peux plus g閞er les affaires quotidiennes de mon domaine. Je compte sur les autres, mais je les manipule 間alement pour qu'ils pensent que c'est moi qui accomplis les t鈉hes les plus difficiles.;Ich schaffe es einfach nicht, die t鋑lichen Gesch鋐te meines Landsitzes zu bew鋖tigen.  Ich verlasse mich auf andere, manipuliere sie aber, so dass sie glauben, ich w黵de die schwierigeren Dinge erledigen. ;;No puedo seguir encarg醤dome de los asuntos diarios de mis dominios. Delego en otros, pero les hago creer que yo me encargo de la parte m醩 dif韈il.;;;;;;;;;x
EVTOPTA3261;也就是随口一说,随口一说..;Parler pour ne rien dire, mais parler...;Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;;;;;;;;;x
EVTOPTB3261;让 [Root.job_treasurer.GetTitledFirstName] 来解决那堆麻烦事吧.;Laisser [Root.job_treasurer.GetTitledFirstName] s'occuper des t鈉hes difficiles.;Lasst [Root.job_treasurer.GetTitledFirstName] die harte Arbeit erledigen.;;Dejar que [Root.job_treasurer.GetTitledFirstName] haga el trabajo duro.;;;;;;;;;x
EVTDESC3262;有时候我在外交上的疏忽使我处在尴尬的状态. 不过, 只要控制一下舆论, 我可以让我的廷臣来代我承担指责.;Parfois, les subtilit閟 de la diplomatie m'閏happent et me mettent dans de f鈉heuses situations. Par contre, en manipulant minutieusement ma Cour, j'ai r閡ssi ?persuader les courtisans d'endosser la responsabilit??ma place lorsque les choses se corsent.;Manchmal fehlt es mir an Feingef黨l f黵 die Diplomatie, was mich in unbeholfene Situationen bringt. Wie auch immer, durch sorgf鋖tige Manipulation meines Hofstaats konnte ich es bewerkstelligen, dass meine H鰂linge stets die Schuldigen sind, wenn die Dinge schlecht stehen. ;;A veces las sutilezas de la diplomacia me superan y me encuentro en situaciones inc髆odas. Sin embargo, gracias a mi cuidadosa manipulaci髇 de la corte, consigo que mis cortesanos carguen con la culpa cuando las cosas salen mal.;;;;;;;;;x
EVTOPTA3262;他们毕竟是我的得力助手..;Ils me servent apr鑣 tout...;Sie dienen mir am Ende doch ...;;Al fin y al cabo me sirven?;;;;;;;;x
EVTOPTB3262;就该是 [Root.job_chancellor.GetTitledFirstName] 背锅的时候了.;Laisser [Root.job_chancellor.GetTitledFirstName] endosser la responsabilit?;Lasst [Root.job_chancellor.GetTitledFirstName] die Schuld zukommen.;;Dejar que [Root.job_chancellor.GetTitledFirstName] cargue con la culpa.;;;;;;;;;x
EVTDESC3263;我不是一个饱读诗书的人,如果在一些学识讨论中我不能小心谨慎地尽量避免发言的话,全宫廷很快就会发现这一点.;Je ne suis pas une personne livresque, et si ce n'閠ait quelques interventions prudentes dans certaines discussions, ce serait maintenant 関ident aux yeux de ma Cour.;Ich bin keine sonderlich gelehrte Person und wenn es nicht nur ein paar vorsichtige Bemerkungen in einigen, wenigen Diskussionen w鋜en, h鋞te sich dies meinem Hofstaate l鋘gst offenbart. ;;No soy una persona ilustrada y, si no fuera por algunos comentarios cuidadosos en ciertas conversaciones, ser韆 obvio para mi corte.;;;;;;;;;x
EVTOPTA3263;也就是随口一说,随口一说..;Parler pour ne rien dire, mais parler...;Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;;;;;;;;;x
EVTOPTB3263;[Root.job_spiritual.GetTitledFirstName] 肯定不会乐见这事的.;Cela ne pla顃 pas ?[Root.job_spiritual.GetTitledFirstName].;[Root.job_spiritual.GetTitledFirstName] ist nicht gl點klich damit. ;;[Root.job_spiritual.GetTitledFirstName] no est?contento con ello.;;;;;;;;;x
;#;;;;;;;;;;;;;;x;
EVTDESC73200;真可恶, [Root.Liege.GetTitledFirstName] 任命 [Root.job_marshal.GetTitledFirstName] 作为[Root.Liege.GetHerHis]元帅. 我明明比他更有能力当元帅!;C'est triste que [Root.Liege.GetTitledFirstName] recrute [Root.job_marshal.GetTitledFirstName] en tant que mar閏hal. Je suis plus comp閠ent[Root.GetNoneE] et ferais un bien meilleur mar閏hal?;Es ist traurig, dass [Root.Liege.GetTitledFirstName] [Root.job_marshal.GetTitledFirstName] als [Root.Liege.GetHerHis] Marschall einstellt. Ich verf黦e 黚er mehr Kompetenz und w鋜e ein besserer Marschall!;;Es una l醩tima que [Root.Liege.GetTitledFirstName] contrate a [Root.job_marshal.GetTitledFirstName] como Mariscal. o soy m醩 competente y ser韆 mejor Mariscal!;;;;;;;;;x
EVTOPTA73200;我会向领主申诉!;Je d閜oserai une requ阾e aupr鑣 de m[Root.Liege.GetHerHis] [Root.Liege.GetLordLady] lige?;Ich werde meinen Lehensherren darum ersuchen!;;o solicitar?a mi se駉r!;;;;;;;;;x
EVTTOOLTIP73201;会听取我们的申诉,希望他做出明智的决定;閏outera notre requ阾e. Esp閞ons une sage d閏ision.;wird unser Gesuch anh鰎en und hoffentlich eine weise Entscheidung treffen;;escuchar?nuestra petici髇 y si dios quiere tomar?una sabia decisi髇.;;;;;;;;;x
EVTDESC73201;[From.GetBestName] 声称[From.GetSheHe]比 [Root.job_marshal.GetTitledFirstName] 更适合担任元帅,并且认为 [Root.PrimaryTitle.GetFullName] 应当把元帅的职位授予给[From.GetSheHe].;[From.GetBestName] pr閠end qu'[From.GetSheHe] ferait un meilleur mar閏hal que [Root.job_marshal.GetTitledFirstName], et r閏lame le titre de mar閏hal de [Root.PrimaryTitle.GetFullName].;[From.GetBestName] behauptet, dass [From.GetSheHe]ein besserer Marschall als [Root.job_marshal.GetTitledFirstName] w鋜e und ersucht darum, dass [From.GetSheHe] den Titel des Marschalls von [Root.PrimaryTitle.GetFullName] erhalten m鰃e.;;[From.GetBestName] afirma que [From.GetSheHe] ser韆 mejor Mariscal que [Root.job_marshal.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el t韙ulo de Mariscal de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTA73201;现在[From.GetSheHeCap]就是我的新元帅了;[From.GetSheHeCap] est d閟ormais mon nouveau mar閏hal.;[From.GetSheHeCap] ist von nun an mein neuer Marschall;;Ahora [From.GetSheHe] es mi nuevo Mariscal;;;;;;;;;x
EVTOPTB73201;再多给 [Root.job_marshal.GetFirstName] 一次机会!;Donner ?[Root.job_marshal.GetFirstName] une chance de faire ses preuves.;Gebt [Root.job_marshal.GetFirstName] eine Chance, sich zu beweisen;;Dar a [Root.job_marshal.GetFirstName] la posibilidad de probarse [From.GetHerselfHimself];;;;;;;;;x
EVTTOOLTIP73202;会听说我们的耐心.;entendra parler de notre patience.;wird von unserer Geduld h鰎en.;;sabr?de nuestra paciencia.;;;;;;;;;x
EVTOPTC73201;我才是 [Root.PrimaryTitle.GetFullName] 说了算的人!;Je r鑗ne sur [Root.PrimaryTitle.GetFullName]?;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;o gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC73202;我的领主 [From.GetBestName] 并不是很满意我作为 [Root.PrimaryTitle.GetFullName] 元帅的表现, 正在考虑撤换我..;M[From.GetHerHis] [From.GetLordLady] lige, [From.GetBestName], n'est pas satisfait[From.GetNoneE] de mes actions en tant que mar閏hal de [Root.PrimaryTitle.GetFullName] et envisage de me remplacer.;Unser Lehensherr [From.GetBestName] ist nicht allzu gl點klich mit unserer Leistung als Marschall von [Root.PrimaryTitle.GetFullName] und erw鋑t, uns zu ersetzen ...;;Mi se駉r [From.GetBestName] no est?del todo satisfecho con nuestro rendimiento como Mariscal de [Root.PrimaryTitle.GetFullName] y est?considerando sustituirnos...;;;;;;;;;x
EVTOPTA73202;我必须证明自己!;Je dois faire mes preuves?;Ich muss mich beweisen!;;ebo probar mi val韆!;;;;;;;;;x
EVTOPTB73202;我该怎么办?;Que puis-je faire?;Was kann ich tun?;;縌u?puedo hacer?;;;;;;;;;x
EVTDESC73203;时间已经过的够久了, 我理当成为 [Root.PrimaryTitle.GetFullName] 的元帅, [Root.Liege.GetTitledFirstName] 会授予我元帅职位!;Assez d'eau a coul?sous les ponts? Je m閞ite de devenir mar閏hal de [Root.PrimaryTitle.GetFullName], et [Root.Liege.GetTitledFirstName] me conf閞era ce titre?;Es ist genug Zeit vergangen und ich verdiene es, Marschall von [Root.PrimaryTitle.GetFullName] zu werden und  [Root.Liege.GetTitledFirstName] wird mich dazu machen!;;Ha transcurrido tiempo suficiente, merezco convertirme en Mariscal de [Root.PrimaryTitle.GetFullName]  [Root.Liege.GetTitledFirstName] lo har?;;;;;;;;;x
EVTOPTA73203;我急迫的期待[Root.Liege.GetHerHis]回音.;J'attends sa r閜onse avec impatience.;Ich warte sehnlichst auf [Root.Liege.GetHerHis]Antwort. ;;Espero su respuesta con impaciencia.;;;;;;;;;x
EVTTOOLTIP73204;会听取我们的申诉,希望他做出明智的决定;閏outera notre requ阾e. Esp閞ons une sage d閏ision.;wird unser Gesuch anh鰎en und hoffentlich eine weise Entscheidung treffen.;;escuchar?nuestra petici髇 y si dios quiere tomar?una sabia decisi髇.;;;;;;;;;x
;#EVTDESC73204;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become Marshal of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petionioning me again about it.;;Ich versprach [From.GetBestName], dass [From.GetSheHe] eine Chance bek?me, Marschall von [Root.PrimaryTitle.GetFullName] zu werden. Nun ersucht  [From.GetSheHe] mich erneut darum.;;Le prometí a [From.GetBestName] que le daría una oportunidad para convertirse en Mariscal de [Root.PrimaryTitle.GetFullName]. Ahora [From.GetSheHe] vuleve a pedírmelo.;;;;;;;;;x;
EVTOPTA73204;现在[From.GetSheHeCap]就是我的新元帅了;[From.GetSheHeCap] est d閟ormais mon nouveau mar閏hal.;[From.GetSheHeCap] ist von nun an mein neuer Marschall;;[From.GetSheHeCap] es ahora mi nuevo Mariscal;;;;;;;;;x
EVTOPTC73204;我才是 [Root.PrimaryTitle.GetFullName] 说了算的人!;Je r鑗ne sur [Root.PrimaryTitle.GetFullName]?;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;o gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC73205;我亲爱的和值得信赖的 [This.GetBestName].\nI hereby grant you the title as Marshal of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];M[This.GetHerHis] ch[This.GetBoyGirl] [This.GetBestName], vous 阾es digne de confiance. \nJe vous accorde le titre de mar閏hal de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];Mein lieber und vertrauensw黵diger [This.GetBestName].\nIch gew鋒re Euch hiermit den Titel des Marschalls von [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;Mi querido y leal [This.GetBestName].\nPor la presente os concedo el t韙ulo de Mariscal de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x
EVTOPTA73205;这是我应得的..;Je le m閞ite...;Ich habe es verdient ...;;Es lo que merezco?;;;;;;;;x
;#;;;;;;;;;;;;;;x;
EVTDESC73210;真可恶, [Root.Liege.GetTitledFirstName] 任命 [Root.job_spymaster.GetTitledFirstName] 作为[Root.Liege.GetHerHis]间谍头目. 我明明比他更有能力当间谍头目!;C'est triste que [Root.Liege.GetTitledFirstName] recrute [Root.job_spymaster.GetTitledFirstName] en tant que ma顃re-espion. Je suis plus comp閠ent[Root.GetNoneE] et ferais un bien meilleur ma顃re-espion?;Es ist traurig, dass [Root.Liege.GetTitledFirstName] [Root.job_spymaster.GetTitledFirstName]als [Root.Liege.GetHerHis] Meisterspion einstellt. Ich verf黦e 黚er mehr Kompetenz und w鋜e ein besserer Meisterspion!;;Es una l醩tima que [Root.Liege.GetTitledFirstName] emplee a [Root.job_spymaster.GetTitledFirstName] como Maestro de Esp韆s. o soy m醩 competente y ser韆 mejor Maestro de Esp韆s!;;;;;;;;;x
EVTOPTA73210;我会向领主申诉!;Je d閜oserai une requ阾e aupr鑣 de m[Root.Liege.GetHerHis] [Root.Liege.GetLordLady] lige?;Ich werde meinen Lehensherren darum ersuchen!;;o solicitar?a mi se駉r!;;;;;;;;;x
EVTTOOLTIP73211;会听取我们的申诉,希望他做出明智的决定;閏outera notre requ阾e. Esp閞ons une sage d閏ision.;wird unser Gesuch anh鰎en und hoffentlich eine weise Entscheidung treffen.;;escuchar?nuestra petici髇 y si dios quiere tomar?una sabia decisi髇.;;;;;;;;;x
EVTDESC73211;[From.GetBestName] 声称[From.GetSheHe]比 [Root.job_spymaster.GetTitledFirstName] 更适合担任间谍头目,并且认为 [Root.PrimaryTitle.GetFullName] 应当把间谍头目的职位授予给[From.GetSheHe].;[From.GetBestName] pr閠end qu'[From.GetSheHe] ferait un meilleur ma顃re-espion que [Root.job_spymaster.GetTitledFirstName], et r閏lame le titre de ma顃re-espion de [Root.PrimaryTitle.GetFullName].;[From.GetBestName] behauptet, dass [From.GetSheHe]ein besserer Meisterspion als [Root.job_spymaster.GetTitledFirstName] w鋜e und ersucht darum, dass [From.GetSheHe] den Titel des Meisterspions von [Root.PrimaryTitle.GetFullName] zugesprochen bek鋗e.;;[From.GetBestName] afirma que [From.GetSheHe] ser韆 mejor Maestro de Esp韆s que [Root.job_spymaster.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el t韙ulo de Maestro de Esp韆s de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTA73211;现在[From.GetSheHeCap]就是我的新间谍头目了;[From.GetSheHeCap] est d閟ormais mon nouveau ma顃re-espion.;[From.GetSheHeCap] ist von nun an mein neuer Meisterspion;;[From.GetSheHeCap] es ahora mi nuevo Maestro de Esp韆s;;;;;;;;;x
EVTOPTB73211;再多给 [Root.job_spymaster.GetTitledFirstName] 一次机会!;Donner ?[Root.job_spymaster.GetTitledFirstName] une chance de faire ses preuves.;Gebt [Root.job_spymaster.GetFirstName] eine Chance, sich zu beweisen;;Dar a [Root.job_spymaster.GetTitledFirstName] la posibilidad de probarse [Root.job_spymaster.GetHerselfHimself];;;;;;;;;x
EVTTOOLTIP73212;会听说我们的耐心.;entendra parler de notre patience.;wird von unserer Geduld h鰎en.;;sabr?de nuestra paciencia.;;;;;;;;;x
EVTOPTC73211;我才是 [Root.PrimaryTitle.GetFullName] 说了算的人!;Je r鑗ne sur [Root.PrimaryTitle.GetFullName]?;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;o gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC73212;我的领主 [From.GetBestName] 并不是很满意我作为 [Root.PrimaryTitle.GetFullName] 的间谍头目的表现, 正在考虑撤换我..;M[From.GetHerHis] [From.GetLordLady] lige, [From.GetBestName], n'est pas satisfait[From.GetNoneE] de mes actions en tant que ma顃re-espion de [Root.PrimaryTitle.GetFullName] et envisage de me remplacer.;Unser Lehensherr [From.GetBestName] ist nicht allzu gl點klich mit unserer Leistung als Meisterspion von [Root.PrimaryTitle.GetFullName] und erw鋑t unsere Abl鰏ung ...;;Mi se駉r [From.GetBestName] no est?del todo contento con nuestro rendimiento como Maestro de Esp韆s de [Root.PrimaryTitle.GetFullName] y est?considerando sustituirnos...;;;;;;;;;x
EVTOPTA73212;我必须证明自己!;Je dois faire mes preuves?;Ich muss mich beweisen!;;ebo probar mi val韆!;;;;;;;;;x
EVTOPTB73212;我该怎么办?;Que puis-je faire?;Was kann ich tun?;;縌u?puedo hacer?;;;;;;;;;x
EVTDESC73213;时间已经过的够久了, 我理当成为 [Root.PrimaryTitle.GetFullName] 的间谍头目,[Root.Liege.GetTitledFirstName] 会授予我间谍头目职位!;Assez d'eau a coul?sous les ponts? Je m閞ite de devenir ma顃re-espion de [Root.PrimaryTitle.GetFullName], et [Root.Liege.GetTitledFirstName] me conf閞era ce titre?;Es ist genug Zeit vergangen und ich verdiene es, Meisterspion von [Root.PrimaryTitle.GetFullName] zu werden und  [Root.Liege.GetTitledFirstName] wird mich dazu machen!;;Ha transcurrido tiempo suficiente, merezco convertirme en Maestro de Esp韆s de [Root.PrimaryTitle.GetFullName]  [Root.Liege.GetTitledFirstName] lo har?;;;;;;;;;x
EVTOPTA73213;我急迫的期待[Root.Liege.GetHerHis]回音.;J'attends sa r閜onse avec impatience.;Ich warte sehnlichst auf [Root.Liege.GetHerHis] Antwort.;;Espero [Root.Liege.GetHerHis] respuesta con impaciencia.;;;;;;;;;x
EVTTOOLTIP73214;会听取我们的申诉,希望他做出明智的决定;閏outera notre requ阾e. Esp閞ons une sage d閏ision.;wird unser Gesuch anh鰎en und hoffentlich eine weise Entscheidung treffen.;;escuchar?nuestra petici髇 y si dios quiere tomar?una sabia decisi髇.;;;;;;;;;x
;#EVTDESC73214;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become Spymaster of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petionioning me again about it.;;Ich versprach [From.GetBestName], dass [From.GetSheHe] eine Chance bek?me, Meisterspion von [Root.PrimaryTitle.GetFullName] zu werden. Nun ersucht  [From.GetSheHe] mich erneut darum.;;Le prometí a [From.GetBestName] que le daría una oportunidad para convertirse en Maestro de Espías de [Root.PrimaryTitle.GetFullName]. Ahora [From.GetSheHe] vuelve a reclamarla.;;;;;;;;;x;
EVTOPTA73214;现在[From.GetSheHeCap]就是我的新间谍头目了;[From.GetSheHeCap] est d閟ormais mon nouveau ma顃re-espion.;[From.GetSheHeCap] ist von nun an mein neuer Meisterspion;;[From.GetSheHeCap] es ahora mi nuevo Maestro de Esp韆s;;;;;;;;;x
EVTOPTC73214;我才是 [Root.PrimaryTitle.GetFullName] 说了算的人!;Je r鑗ne sur [Root.PrimaryTitle.GetFullName]?;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;o gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC73215;我亲爱的和值得信赖的 [This.GetBestName].\nI hereby grant you the title as Spymaster of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];M[This.GetHerHis] ch[This.GetBoyGirl] [This.GetBestName], vous 阾es digne de confiance. \nJe vous accorde le titre de ma顃re-espion de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];Mein/e liebe/r und vertrauensw黵dige/r [This.GetBestName].\nIch gew鋒re Euch hiermit den Titel des Meisterspions  von [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;Mi querido y leal [This.GetBestName].\nPor la presente os concedo el t韙ulo de Maestro de Esp韆s de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x
EVTOPTA73215;这是我应得的..;Je le m閞ite...;Ich habe es verdient ...;;Es lo que me merezco?;;;;;;;;x
;#;;;;;;;;;;;;;;x;
EVTDESC73220;真可恶, [Root.Liege.GetTitledFirstName] 任命 [Root.job_treasurer.GetTitledFirstName] 作为[Root.Liege.GetHerHis]总管. 我明明比他更有能力当总管!;C'est triste que [Root.Liege.GetTitledFirstName] recrute [Root.job_treasurer.GetTitledFirstName] en tant qu'intendant. Je suis plus comp閠ent[Root.GetNoneE] et ferais un bien meilleur intendant?;Es ist traurig, dass [Root.Liege.GetTitledFirstName] [Root.job_treasurer.GetTitledFirstName] als [Root.Liege.GetHerHis] Hofverwalter einstellt. Ich verf黦e 黚er mehr Kompetenz und w鋜e ein besserer Hofverwalter!;;Es una l醩tima que [Root.Liege.GetTitledFirstName] contrate a [Root.job_treasurer.GetTitledFirstName] como [Root.GetTreasurerName]. o soy m醩 competente y ser韆 mejor [Root.GetTreasurerName]!;;;;;;;;;x
EVTOPTA73220;我会向领主申诉!;Je d閜oserai une requ阾e aupr鑣 de m[Root.Liege.GetHerHis] [Root.Liege.GetLordLady] lige?;Ich werde meinen Lehensherren darum ersuchen!;;o solicitar?a mi se駉r!;;;;;;;;;x
EVTTOOLTIP73221;会听取我们的申诉,希望他做出明智的决定;閏outera notre requ阾e. Esp閞ons une sage d閏ision.;wird unser Gesuch anh鰎en und hoffentlich eine weise Entscheidung treffen.;;escuchar?nuestra petici髇 y si dios quiere tomar?una sabia decisi髇.;;;;;;;;;x
EVTDESC73221;[From.GetBestName] 声称[From.GetSheHe]比 [Root.job_treasurer.GetTitledFirstName] 更适合担任总管, 认为 [Root.PrimaryTitle.GetFullName] 应当把总管的职位授予[From.GetSheHe].;[From.GetBestName] pr閠end qu'[From.GetSheHe] ferait un meilleur intendant que [Root.job_treasurer.GetTitledFirstName], et r閏lame le titre d'intendant de [Root.PrimaryTitle.GetFullName].;[From.GetBestName] behauptet dass [From.GetSheHe]ein besserer Hofverwalter als [Root.job_treasurer.GetTitledFirstName] w鋜e und ersucht darum, dass [From.GetSheHe] den Titel des Hofmeisters von [Root.PrimaryTitle.GetFullName] zugesprochen bek鋗e.;;[From.GetBestName] afirma que [From.GetSheHe] ser韆 mejor [Root.GetTreasurerName] que [Root.job_treasurer.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el t韙ulo de [Root.GetTreasurerName] de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTA73221;现在[From.GetSheHeCap]就是我的新总管了;[From.GetSheHeCap] est d閟ormais mon nouvel intendant.;[From.GetSheHeCap] ist von nun an mein neuer Hofmeister;;[From.GetSheHeCap] es ahora mi nuevo [Root.GetTreasurerName];;;;;;;;;x
EVTOPTB73221;再多给 [Root.job_treasurer.GetFirstName] 一次机会!;Donner ?[Root.job_treasurer.GetFirstName] une chance de faire ses preuves.;Gebt [Root.job_treasurer.GetFirstName] eine Chance, sich zu beweisen. ;;Dar a [Root.job_treasurer.GetFirstName] la posibilidad de probarse [From.GetHerselfHimself];;;;;;;;;x
EVTTOOLTIP73222;会听说我们的耐心.;entendra parler de notre patience.;wird von unserer Geduld h鰎en.;;sabr?de nuestra paciencia.;;;;;;;;;x
EVTOPTC73221;我才是 [Root.PrimaryTitle.GetFullName] 说了算的人!;Je r鑗ne sur [Root.PrimaryTitle.GetFullName]?;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;o gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
